SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
400.3204294684245	668.0	1169.0	1169.0	:airplane:	:airplane:	✈️	✈️
332.9300102714577	460.0	882.0	882.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
222.72789677337516	324.0	2634.0	349.0	:blue_heart:	:green_heart:	💙	💚
222.72789677337514	324.0	349.0	2634.0	:green_heart:	:blue_heart:	💚	💙
202.3210850015021	491.0	2634.0	1169.0	:blue_heart:	:airplane:	💙	✈️
202.3210850015021	491.0	1169.0	2634.0	:airplane:	:blue_heart:	✈️	💙
166.52773704539118	190.0	530.0	530.0	:smiling_face_with_hearts:	:smiling_face_with_hearts:	🥰	🥰
132.73087834814459	490.0	2634.0	2634.0	:blue_heart:	:blue_heart:	💙	💙
130.21326930639432	132.0	113.0	113.0	:clapping_hands:	:clapping_hands:	👏	👏
115.80435343111411	134.0	554.0	554.0	:red_heart:	:red_heart:	❤️	❤️
90.61874335050311	92.0	94.0	94.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
85.83719618492428	131.0	882.0	1169.0	:smiling_face_with_heart-eyes:	:airplane:	😍	✈️
85.83719618492428	131.0	1169.0	882.0	:airplane:	:smiling_face_with_heart-eyes:	✈️	😍
78.13644066568718	80.0	152.0	152.0	:partying_face:	:partying_face:	🥳	🥳
70.96735368737782	72.0	31.0	31.0	:star:	:star:	⭐	⭐
68.77747184463362	78.0	495.0	495.0	:raising_hands:	:raising_hands:	🙌	🙌
66.6060830781743	68.0	111.0	111.0	:crossed_fingers:	:crossed_fingers:	🤞	🤞
64.22785513053584	109.0	513.0	2634.0	:smiling_face_with_smiling_eyes:	:blue_heart:	😊	💙
64.22785513053584	109.0	2634.0	513.0	:blue_heart:	:smiling_face_with_smiling_eyes:	💙	😊
58.901619014132336	79.0	554.0	1169.0	:red_heart:	:airplane:	❤️	✈️
58.901619014132336	79.0	1169.0	554.0	:airplane:	:red_heart:	✈️	❤️
57.6958541151901	76.0	1169.0	513.0	:airplane:	:smiling_face_with_smiling_eyes:	✈️	😊
57.695854115190095	76.0	513.0	1169.0	:smiling_face_with_smiling_eyes:	:airplane:	😊	✈️
54.80880833851155	56.0	85.0	85.0	:eyes:	:eyes:	👀	👀
54.045612040710054	66.0	349.0	1169.0	:green_heart:	:airplane:	💚	✈️
54.045612040710054	66.0	1169.0	349.0	:airplane:	:green_heart:	✈️	💚
51.68319618496559	87.0	2634.0	495.0	:blue_heart:	:raising_hands:	💙	🙌
51.68319618496559	87.0	495.0	2634.0	:raising_hands:	:blue_heart:	🙌	💙
48.531820593215144	106.0	882.0	2634.0	:smiling_face_with_heart-eyes:	:blue_heart:	😍	💙
48.531820593215144	106.0	2634.0	882.0	:blue_heart:	:smiling_face_with_heart-eyes:	💙	😍
48.275015985868954	54.0	1169.0	170.0	:airplane:	:star-struck:	✈️	🤩
48.275015985868954	54.0	170.0	1169.0	:star-struck:	:airplane:	🤩	✈️
46.87196116949658	48.0	75.0	75.0	:evergreen_tree:	:evergreen_tree:	🌲	🌲
40.96471214189401	42.0	42.0	42.0	:police_car_light:	:police_car_light:	🚨	🚨
39.40530157005227	52.0	495.0	1169.0	:raising_hands:	:airplane:	🙌	✈️
39.40530157005227	52.0	1169.0	495.0	:airplane:	:raising_hands:	✈️	🙌
37.00739160330158	40.0	93.0	1169.0	:party_popper:	:airplane:	🎉	✈️
37.00739160330158	40.0	1169.0	93.0	:airplane:	:party_popper:	✈️	🎉
35.630107083554634	40.0	162.0	1169.0	:grinning_face:	:airplane:	😀	✈️
35.630107083554634	40.0	1169.0	162.0	:airplane:	:grinning_face:	✈️	😀
34.88447363832784	36.0	82.0	82.0	:beaming_face_with_smiling_eyes:	:beaming_face_with_smiling_eyes:	😁	😁
33.37762710620463	42.0	170.0	2634.0	:star-struck:	:blue_heart:	🤩	💙
33.37762710620463	42.0	2634.0	170.0	:blue_heart:	:star-struck:	💙	🤩
32.99472153723639	34.0	18.0	18.0	:sparkles:	:sparkles:	✨	✨
29.951373253615532	53.0	2634.0	530.0	:blue_heart:	:smiling_face_with_hearts:	💙	🥰
29.951373253615532	53.0	530.0	2634.0	:smiling_face_with_hearts:	:blue_heart:	🥰	💙
29.211221135899894	32.0	349.0	349.0	:green_heart:	:green_heart:	💚	💚
28.999480476162667	30.0	6.0	6.0	:clapping_hands_medium-light_skin_tone:	:clapping_hands_medium-light_skin_tone:	👏🏼	👏🏼
28.455155862388914	33.0	93.0	2634.0	:party_popper:	:blue_heart:	🎉	💙
28.455155862388906	33.0	2634.0	93.0	:blue_heart:	:party_popper:	💙	🎉
26.992239229605794	32.0	248.0	1169.0	:winking_face:	:airplane:	😉	✈️
26.992239229605794	32.0	1169.0	248.0	:airplane:	:winking_face:	✈️	😉
26.82753459121348	37.0	2634.0	248.0	:blue_heart:	:winking_face:	💙	😉
26.827534591213475	37.0	248.0	2634.0	:winking_face:	:blue_heart:	😉	💙
25.96905656519255	27.0	44.0	54.0	:yellow_heart:	:purple_heart:	💛	💜
25.96905656519255	27.0	54.0	44.0	:purple_heart:	:yellow_heart:	💜	💛
23.885922915401636	27.0	495.0	349.0	:raising_hands:	:green_heart:	🙌	💚
23.88592291540163	27.0	349.0	495.0	:green_heart:	:raising_hands:	💚	🙌
23.350786301388943	32.0	530.0	1169.0	:smiling_face_with_hearts:	:airplane:	🥰	✈️
23.350786301388943	32.0	1169.0	530.0	:airplane:	:smiling_face_with_hearts:	✈️	🥰
22.000986281006217	26.0	530.0	495.0	:smiling_face_with_hearts:	:raising_hands:	🥰	🙌
22.000986281006213	26.0	495.0	530.0	:raising_hands:	:smiling_face_with_hearts:	🙌	🥰
21.547302103169418	24.0	112.0	1169.0	:smiling_face_with_open_hands:	:airplane:	🤗	✈️
21.547302103169418	24.0	1169.0	112.0	:airplane:	:smiling_face_with_open_hands:	✈️	🤗
20.866306527762692	22.0	112.0	112.0	:smiling_face_with_open_hands:	:smiling_face_with_open_hands:	🤗	🤗
