SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
357.61308546750655	364.0	537.0	94.0	:face_with_symbols_on_mouth:	#fuckalaskaairlines	🤬	
353.11019360129677	369.0	537.0	262.0	:face_with_symbols_on_mouth:	shit	🤬	
294.1100162825912	368.0	537.0	1502.0	:face_with_symbols_on_mouth:	airline	🤬	
292.6567232094277	369.0	537.0	1559.0	:face_with_symbols_on_mouth:	fly	🤬	
209.9625911699419	379.0	537.0	4800.0	:face_with_symbols_on_mouth:	do	🤬	
207.7290003529599	386.0	537.0	5131.0	:face_with_symbols_on_mouth:	not	🤬	
206.7008031190944	444.0	537.0	7028.0	:face_with_symbols_on_mouth:	this	🤬	
188.10131548943963	380.0	537.0	6159.0	:face_with_symbols_on_mouth:	with	🤬	
97.56820334526807	101.0	537.0	153.0	:face_with_symbols_on_mouth:	each	🤬	
84.98778618583704	236.0	207.0	29537.0	:enraged_face:	to	😡	
77.15944612258511	83.0	124.0	1649.0	:hot_beverage:	#merriertogether	☕	
75.5037838847486	199.0	257.0	21328.0	:loudly_crying_face:	i	😭	
74.21798224569463	110.0	537.0	2742.0	:face_with_symbols_on_mouth:	time	🤬	
74.09364705830015	81.0	157.0	1649.0	:Christmas_tree:	#merriertogether	🎄	
70.48717281141569	178.0	303.0	16561.0	:face_with_tears_of_joy:	a	😂	
66.34420098191156	87.0	659.0	1421.0	:airplane:	#purdytakesflight	✈️	
62.80869681590032	112.0	207.0	11563.0	:enraged_face:	flight	😡	
62.1083998652629	84.0	659.0	1605.0	:airplane:	#alaskaholidaysweater	✈️	
61.039233255466854	192.0	257.0	29537.0	:loudly_crying_face:	to	😭	
59.68723397111092	113.0	257.0	10652.0	:loudly_crying_face:	my	😭	
58.98054252335694	124.0	207.0	16561.0	:enraged_face:	a	😡	
54.698652432784	159.0	303.0	21328.0	:face_with_tears_of_joy:	i	😂	
54.63809831032582	107.0	257.0	11407.0	:loudly_crying_face:	on	😭	
53.102362571047365	125.0	257.0	16648.0	:loudly_crying_face:	and	😭	
52.611527737273306	149.0	537.0	11407.0	:face_with_symbols_on_mouth:	on	🤬	
51.57567708177572	102.0	207.0	14405.0	:enraged_face:	you	😡	
51.56685137095349	59.0	537.0	741.0	:face_with_symbols_on_mouth:	5	🤬	
51.15504519039121	54.0	537.0	217.0	:face_with_symbols_on_mouth:	literally	🤬	
50.92329821632094	122.0	207.0	21328.0	:enraged_face:	i	😡	
50.58453621502286	119.0	257.0	16561.0	:loudly_crying_face:	a	😭	
49.944721617178665	74.0	67.0	21328.0	:crying_face:	i	😢	
49.51748101962756	71.0	537.0	2389.0	:face_with_symbols_on_mouth:	service	🤬	
48.9109488138937	50.0	537.0	11.0	:face_with_symbols_on_mouth:	drops	🤬	
48.90653602747061	68.0	537.0	2141.0	:face_with_symbols_on_mouth:	customer	🤬	
48.894784892302376	50.0	537.0	13.0	:face_with_symbols_on_mouth:	utterly	🤬	
48.894784892302376	50.0	537.0	13.0	:face_with_symbols_on_mouth:	6:30	🤬	
48.68890808190154	169.0	537.0	16648.0	:face_with_symbols_on_mouth:	and	🤬	
48.64479492686257	71.0	46.0	29537.0	:thumbs_down_medium-light_skin_tone:	to	👎🏼	
48.62928336014497	50.0	537.0	46.0	:face_with_symbols_on_mouth:	hanging	🤬	
48.60693756815689	52.0	537.0	295.0	:face_with_symbols_on_mouth:	ridiculous	🤬	
48.53329736242296	50.0	537.0	58.0	:face_with_symbols_on_mouth:	leaves	🤬	
48.454723174620675	192.0	537.0	21328.0	:face_with_symbols_on_mouth:	i	🤬	
48.35809382602237	50.0	537.0	80.0	:face_with_symbols_on_mouth:	answers	🤬	
48.28670597968101	50.0	537.0	89.0	:face_with_symbols_on_mouth:	keeps	🤬	
48.04451742572703	167.0	303.0	29537.0	:face_with_tears_of_joy:	to	😂	
47.856652220022646	121.0	207.0	23570.0	:enraged_face:	the	😡	
47.85111206351009	98.0	303.0	10540.0	:face_with_tears_of_joy:	is	😂	
47.69976708275487	56.0	46.0	10540.0	:thumbs_down_medium-light_skin_tone:	is	👎🏼	
47.45889713698686	94.0	257.0	11563.0	:loudly_crying_face:	flight	😭	
47.335965215328734	134.0	257.0	23570.0	:loudly_crying_face:	the	😭	
47.262447239256865	81.0	303.0	7028.0	:face_with_tears_of_joy:	this	😂	
46.78158248466079	89.0	92.0	29537.0	:face_with_rolling_eyes:	to	🙄	
46.756017739104585	55.0	537.0	913.0	:face_with_symbols_on_mouth:	4	🤬	
46.36841663868087	50.0	537.0	339.0	:face_with_symbols_on_mouth:	tonight	🤬	
45.84467331756176	215.0	659.0	23570.0	:airplane:	the	✈️	
45.534761831921	70.0	303.0	5231.0	:face_with_tears_of_joy:	's	😂	
45.21437937668263	81.0	207.0	11407.0	:enraged_face:	on	😡	
44.93618703938042	55.0	537.0	1180.0	:face_with_symbols_on_mouth:	3	🤬	
44.749334402176814	93.0	257.0	12741.0	:loudly_crying_face:	for	😭	
44.14907419194324	235.0	659.0	29537.0	:airplane:	to	✈️	
43.51758928301294	58.0	537.0	1791.0	:face_with_symbols_on_mouth:	hold	🤬	
43.49325246415979	61.0	92.0	12741.0	:face_with_rolling_eyes:	for	🙄	
