SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
264.02417445813313	292.0	297.0	5988.0	:pile_of_poo:	call	💩	
198.42112992105288	1549.0	1614.0	156044.0	:enraged_face:	to	😡	
185.64100962725146	190.0	966.0	329.0	:red_heart:	ride	❤️	
183.1623521380721	266.0	966.0	7812.0	:red_heart:	thanks	❤️	
166.50437098554713	827.0	1614.0	64265.0	:enraged_face:	my	😡	
165.3840066166869	1069.0	1107.0	156044.0	:face_with_symbols_on_mouth:	to	🤬	
154.82891184287146	1085.0	1614.0	124425.0	:enraged_face:	the	😡	
151.54590181393	548.0	865.0	64265.0	:loudly_crying_face:	my	😭	
151.5167227405478	153.0	966.0	58.0	:red_heart:	aamazing	❤️	
150.8430673381743	910.0	1614.0	93078.0	:enraged_face:	and	😡	
148.41504568369672	355.0	297.0	82770.0	:pile_of_poo:	you	💩	
145.58350557094002	149.0	297.0	979.0	:pile_of_poo:	worse	💩	
144.66589030348032	699.0	1614.0	60423.0	:enraged_face:	flight	😡	
142.99032702247356	144.0	297.0	4.0	:pile_of_poo:	1.20h	💩	
142.92747866028301	144.0	297.0	30.0	:pile_of_poo:	tkt	💩	
142.7584952372312	144.0	297.0	100.0	:pile_of_poo:	purpose	💩	
141.43161584234545	143.0	966.0	73.0	:red_heart:	upfront	❤️	
141.39941694769797	145.0	297.0	1084.0	:pile_of_poo:	ask	💩	
139.62329072297487	943.0	1614.0	114944.0	:enraged_face:	i	😡	
137.823756929547	144.0	297.0	2206.0	:pile_of_poo:	online	💩	
137.68618059166934	145.0	297.0	2690.0	:pile_of_poo:	done	💩	
135.2112867545246	146.0	297.0	4229.0	:pile_of_poo:	change	💩	
135.0073655801122	140.0	865.0	597.0	:loudly_crying_face:	christmas	😭	
132.21723248644844	138.0	966.0	653.0	:red_heart:	especially	❤️	
131.25467057818676	649.0	1107.0	91546.0	:face_with_symbols_on_mouth:	a	🤬	
130.95754130918755	147.0	297.0	6668.0	:pile_of_poo:	them	💩	
130.25285706721547	611.0	1614.0	56680.0	:enraged_face:	is	😡	
129.61458679921222	145.0	297.0	6445.0	:pile_of_poo:	waiting	💩	
129.5022690303901	517.0	1107.0	60423.0	:face_with_symbols_on_mouth:	flight	🤬	
128.01221456204664	639.0	1107.0	93078.0	:face_with_symbols_on_mouth:	and	🤬	
127.5251408725594	625.0	865.0	114944.0	:loudly_crying_face:	i	😭	
127.27715375703613	598.0	1107.0	82770.0	:face_with_symbols_on_mouth:	you	🤬	
127.12953680453559	163.0	297.0	15657.0	:pile_of_poo:	service	💩	
126.44394776290436	634.0	1614.0	64337.0	:enraged_face:	for	😡	
126.20864664852876	145.0	297.0	8152.0	:pile_of_poo:	ca	💩	
124.77082262379429	752.0	1614.0	91546.0	:enraged_face:	a	😡	
122.58971428994562	472.0	966.0	64337.0	:red_heart:	for	❤️	
121.62033323658437	700.0	865.0	156044.0	:loudly_crying_face:	to	😭	
121.48361662870622	152.0	297.0	13894.0	:pile_of_poo:	customer	💩	
121.46845977175684	434.0	1614.0	33281.0	:enraged_face:	me	😡	
120.32947941095101	497.0	1107.0	64265.0	:face_with_symbols_on_mouth:	my	🤬	
120.10421429773173	699.0	1107.0	124425.0	:face_with_symbols_on_mouth:	the	🤬	
116.62757906761449	633.0	966.0	124425.0	:red_heart:	the	❤️	
114.71660219159575	620.0	763.0	156044.0	:airplane:	to	✈️	
114.47216311314725	158.0	297.0	21032.0	:pile_of_poo:	they	💩	
112.65294336732092	500.0	1614.0	50435.0	:enraged_face:	in	😡	
111.64454654092103	364.0	1614.0	27722.0	:enraged_face:	no	😡	
111.17152231749343	639.0	1614.0	82770.0	:enraged_face:	you	😡	
