SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
159.6550076959025	162.0	360.0	175.0	:airplane:	:purple_heart:	✈️	💜
159.6550076959025	162.0	175.0	360.0	:purple_heart:	:airplane:	💜	✈️
30.82061587874901	32.0	115.0	360.0	:red_heart:	:airplane:	❤️	✈️
30.82061587874901	32.0	360.0	115.0	:airplane:	:red_heart:	✈️	❤️
28.999852824951127	30.0	6.0	6.0	:file_folder:	:file_folder:	📁	📁
28.971856789660766	30.0	83.0	83.0	:clapping_hands:	:clapping_hands:	👏	👏
20.92485013065932	22.0	69.0	360.0	:raising_hands:	:airplane:	🙌	✈️
20.924850130659316	22.0	360.0	69.0	:airplane:	:raising_hands:	✈️	🙌
19.965010568466578	21.0	69.0	175.0	:raising_hands:	:purple_heart:	🙌	💜
19.965010568466578	21.0	175.0	69.0	:purple_heart:	:raising_hands:	💜	🙌
16.99974943470407	18.0	10.0	10.0	:check_mark_button:	:check_mark_button:	✅	✅
16.92536010841791	18.0	83.0	360.0	:clapping_hands:	:airplane:	👏	✈️
16.92536010841791	18.0	360.0	83.0	:airplane:	:clapping_hands:	✈️	👏
14.998708728316698	16.0	24.0	24.0	:sparkles:	:sparkles:	✨	✨
13.995797640998955	15.0	83.0	24.0	:clapping_hands:	:United_States:	👏	🇺🇸
13.995797640998955	15.0	24.0	83.0	:United_States:	:clapping_hands:	🇺🇸	👏
13.994093554775528	15.0	16.0	175.0	:folded_hands:	:purple_heart:	🙏	💜
13.994093554775528	15.0	175.0	16.0	:purple_heart:	:folded_hands:	💜	🙏
12.999127667088796	14.0	21.0	21.0	:registered:	:registered:	®️	®️
11.993863137703759	13.0	175.0	19.0	:purple_heart:	:seat:	💜	💺
11.993863137703755	13.0	19.0	175.0	:seat:	:purple_heart:	💺	💜
10.999938281418029	12.0	6.0	6.0	:writing_hand:	:writing_hand:	✍️	✍️
10.999938281418029	12.0	6.0	6.0	:right_arrow:	:right_arrow:	➡️	➡️
9.990889795608911	11.0	16.0	360.0	:folded_hands:	:airplane:	🙏	✈️
9.990889795608911	11.0	360.0	16.0	:airplane:	:folded_hands:	✈️	🙏
8.990084154049443	10.0	19.0	360.0	:seat:	:airplane:	💺	✈️
8.990084154049443	10.0	360.0	19.0	:airplane:	:seat:	✈️	💺
7.999988130992485	9.0	3.0	3.0	:sport_utility_vehicle:	:bullet_train:	🚙	🚅
7.999988130992485	9.0	3.0	3.0	:bullet_train:	:sport_utility_vehicle:	🚅	🚙
7.998575868248759	9.0	3.0	360.0	:sport_utility_vehicle:	:airplane:	🚙	✈️
7.998575868248759	9.0	3.0	360.0	:bullet_train:	:airplane:	🚅	✈️
7.998575868248759	9.0	360.0	3.0	:airplane:	:sport_utility_vehicle:	✈️	🚙
7.998575868248759	9.0	360.0	3.0	:airplane:	:bullet_train:	✈️	🚅
7.991459669728851	9.0	360.0	18.0	:airplane:	:blue_heart:	✈️	💙
7.991459669728851	9.0	18.0	360.0	:blue_heart:	:airplane:	💙	✈️
6.99586976910068	8.0	59.0	59.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
6.848057464577166	8.0	360.0	360.0	:airplane:	:airplane:	✈️	✈️
5.982934465847281	7.0	360.0	45.0	:airplane:	:smiling_face_with_sunglasses:	✈️	😎
5.982934465847281	7.0	45.0	360.0	:smiling_face_with_sunglasses:	:airplane:	😎	✈️
4.9999944611217275	6.0	1.0	6.0	:open_file_folder:	:file_folder:	📂	📁
4.9999944611217275	6.0	6.0	1.0	:file_folder:	:open_file_folder:	📁	📂
4.9999916916943175	6.0	3.0	3.0	:sport_utility_vehicle:	:sport_utility_vehicle:	🚙	🚙
4.9999916916943175	6.0	3.0	3.0	:bullet_train:	:bullet_train:	🚅	🚅
4.9999916916943175	6.0	3.0	3.0	:check_mark:	:check_mark:	✔️	✔️
4.999867068898179	6.0	12.0	12.0	:pleading_face:	:pleading_face:	🥺	🥺
4.998089450459803	6.0	18.0	115.0	:blue_heart:	:red_heart:	💙	❤️
4.998089450459803	6.0	115.0	18.0	:red_heart:	:blue_heart:	❤️	💙
4.99119623600324	6.0	83.0	115.0	:clapping_hands:	:red_heart:	👏	❤️
4.99119623600324	6.0	115.0	83.0	:red_heart:	:clapping_hands:	❤️	👏
3.9987539271105903	5.0	175.0	9.0	:purple_heart:	:gem_stone:	💜	💎
3.9987539271105903	5.0	9.0	175.0	:gem_stone:	:purple_heart:	💎	💜
3.997437025203309	5.0	360.0	9.0	:airplane:	:gem_stone:	✈️	💎
3.997437025203309	5.0	9.0	360.0	:gem_stone:	:airplane:	💎	✈️
2.99998944978693	4.0	4.0	4.0	:confetti_ball:	:confetti_ball:	🎊	🎊
2.99998944978693	4.0	4.0	4.0	:police_car_light:	:police_car_light:	🚨	🚨
2.9999683494529865	4.0	4.0	12.0	:confetti_ball:	:party_popper:	🎊	🎉
2.9999683494529865	4.0	12.0	4.0	:party_popper:	:confetti_ball:	🎉	🎊
2.999952524272356	4.0	6.0	12.0	:balloon:	:party_popper:	🎈	🎉
2.999952524272356	4.0	12.0	6.0	:party_popper:	:balloon:	🎉	🎈
2.9987869104498337	4.0	16.0	115.0	:smiling_face:	:red_heart:	☺️	❤️
2.998786910449833	4.0	115.0	16.0	:red_heart:	:smiling_face:	❤️	☺️
2.9981805054691897	4.0	115.0	24.0	:red_heart:	:United_States:	❤️	🇺🇸
2.9981805054691897	4.0	24.0	115.0	:United_States:	:red_heart:	🇺🇸	❤️
2.9971524664704363	4.0	360.0	12.0	:airplane:	:party_popper:	✈️	🎉
2.9971524664704363	4.0	12.0	360.0	:party_popper:	:airplane:	🎉	✈️
2.9943069865308196	4.0	24.0	360.0	:smiling_face_with_smiling_eyes:	:airplane:	😊	✈️
2.9943069865308196	4.0	360.0	24.0	:airplane:	:smiling_face_with_smiling_eyes:	✈️	😊
2.991289201620311	4.0	115.0	115.0	:red_heart:	:red_heart:	❤️	❤️
