SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
17965.80008212061	18014.0	195.0	195.0	:Jamaica:	:Jamaica:	🇯🇲	🇯🇲
5158.68738243081	5164.0	110.0	110.0	:middle_finger_medium-light_skin_tone:	:middle_finger_medium-light_skin_tone:	🖕🏼	🖕🏼
1881.5911299129361	1958.0	759.0	759.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
1475.3927511530546	1480.0	188.0	188.0	:thumbs_down:	:thumbs_down:	👎	👎
1413.0094827392031	1510.0	986.0	986.0	:enraged_face:	:enraged_face:	😡	😡
1315.480510565893	1412.0	1019.0	1019.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
1214.1415421760814	1292.0	952.0	952.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
1090.4157755406527	1092.0	88.0	88.0	:face_with_spiral_eyes:	:face_with_spiral_eyes:	😵‍💫	😵‍💫
1084.5197832616552	1086.0	80.0	80.0	:honeybee:	:honeybee:	🐝	🐝
1056.883006015098	1058.0	40.0	40.0	:moai:	:moai:	🗿	🗿
970.3271823105487	994.0	580.0	580.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
950.5075659735404	958.0	314.0	314.0	:clapping_hands:	:clapping_hands:	👏	👏
820.863566942718	822.0	49.0	49.0	:triangular_flag:	:triangular_flag:	🚩	🚩
711.58215516584	784.0	1195.0	1195.0	:red_heart:	:red_heart:	❤️	❤️
558.8233286142327	562.0	237.0	237.0	:United_States:	:United_States:	🇺🇸	🇺🇸
532.689833441825	540.0	413.0	413.0	:folded_hands:	:folded_hands:	🙏	🙏
516.177032052584	584.0	1354.0	1354.0	:airplane:	:airplane:	✈️	✈️
484.27420729070786	486.0	147.0	147.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
444.7230142232372	469.0	759.0	986.0	:face_with_symbols_on_mouth:	:enraged_face:	🤬	😡
