SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
598.8506511009543	600.0	25.0	25.0	:triangular_flag:	:triangular_flag:	🚩	🚩
340.95076353621175	342.0	19.0	19.0	:white_large_square:	:white_large_square:	⬜	⬜
302.84796102775647	304.0	19.0	66.0	:white_large_square:	:slightly_smiling_face:	⬜	🙂
302.8479610277564	304.0	66.0	19.0	:slightly_smiling_face:	:white_large_square:	🙂	⬜
238.58311276390293	240.0	66.0	66.0	:slightly_smiling_face:	:slightly_smiling_face:	🙂	🙂
192.3758579425928	215.0	911.0	302.0	:blue_heart:	:airplane:	💙	✈️
192.3758579425928	215.0	302.0	911.0	:airplane:	:blue_heart:	✈️	💙
159.59754570943636	216.0	911.0	911.0	:blue_heart:	:blue_heart:	💙	💙
17.999848881269433	19.0	1.0	19.0	:woman_pilot:	:white_large_square:	👩‍✈️	⬜
17.999848881269433	19.0	1.0	19.0	:man_pilot:	:white_large_square:	👨‍✈️	⬜
17.999848881269433	19.0	19.0	1.0	:white_large_square:	:woman_pilot:	⬜	👩‍✈️
17.999848881269433	19.0	19.0	1.0	:white_large_square:	:man_pilot:	⬜	👨‍✈️
16.795235965723307	18.0	911.0	30.0	:blue_heart:	:smiling_face_with_smiling_eyes:	💙	😊
16.795235965723307	18.0	30.0	911.0	:smiling_face_with_smiling_eyes:	:blue_heart:	😊	💙
14.99955380845525	16.0	1.0	66.0	:woman_pilot:	:slightly_smiling_face:	👩‍✈️	🙂
14.99955380845525	16.0	1.0	66.0	:man_pilot:	:slightly_smiling_face:	👨‍✈️	🙂
14.99955380845525	16.0	66.0	1.0	:slightly_smiling_face:	:woman_pilot:	🙂	👩‍✈️
14.99955380845525	16.0	66.0	1.0	:slightly_smiling_face:	:man_pilot:	🙂	👨‍✈️
13.861808476672696	15.0	24.0	911.0	:raising_hands:	:blue_heart:	🙌	💙
13.861808476672696	15.0	911.0	24.0	:blue_heart:	:raising_hands:	💙	🙌
10.999917282282457	12.0	4.0	4.0	:round_pushpin:	:round_pushpin:	📍	📍
9.969791877211344	11.0	21.0	302.0	:thumbs_up:	:airplane:	👍	✈️
9.969791877211344	11.0	302.0	21.0	:airplane:	:thumbs_up:	✈️	👍
8.978892461258642	10.0	302.0	16.0	:airplane:	:seat:	✈️	💺
8.978892461258642	10.0	16.0	302.0	:seat:	:airplane:	💺	✈️
7.978416166088675	9.0	18.0	302.0	:american_football:	:airplane:	🏈	✈️
7.978416166088675	9.0	302.0	18.0	:airplane:	:american_football:	✈️	🏈
7.942279253623742	9.0	911.0	16.0	:blue_heart:	:seat:	💙	💺
7.942279253623742	9.0	16.0	911.0	:seat:	:blue_heart:	💺	💙
6.931901850996607	8.0	21.0	911.0	:thumbs_up:	:blue_heart:	👍	💙
6.931901850996607	8.0	911.0	21.0	:blue_heart:	:thumbs_up:	💙	👍
6.681938377582033	8.0	302.0	302.0	:airplane:	:airplane:	✈️	✈️
5.97974818144894	7.0	911.0	7.0	:blue_heart:	:green_heart:	💙	💚
5.97974818144894	7.0	7.0	911.0	:green_heart:	:blue_heart:	💚	💙
5.971249324798584	7.0	30.0	302.0	:smiling_face_with_smiling_eyes:	:airplane:	😊	✈️
5.971249324798584	7.0	302.0	30.0	:airplane:	:smiling_face_with_smiling_eyes:	✈️	😊
5.908010356964414	7.0	32.0	911.0	:winking_face:	:blue_heart:	😉	💙
5.908010356964414	7.0	911.0	32.0	:blue_heart:	:winking_face:	💙	😉
4.999974946007897	6.0	3.0	3.0	:prince:	:prince:	🤴	🤴
4.999974946007897	6.0	3.0	3.0	:flexed_biceps:	:flexed_biceps:	💪	💪
4.999974946007897	6.0	3.0	3.0	:magnifying_glass_tilted_left:	:magnifying_glass_tilted_left:	🔍	🔍
4.999974946007897	6.0	3.0	3.0	:rose:	:rose:	🌹	🌹
4.999955459671867	6.0	4.0	4.0	:crown:	:crown:	👑	👑
4.999930405908386	6.0	5.0	5.0	:popcorn:	:popcorn:	🍿	🍿
4.999899784807315	6.0	6.0	6.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
4.999899784807315	6.0	6.0	6.0	:clapping_hands:	:clapping_hands:	👏	👏
4.999649255503853	6.0	9.0	14.0	:jack-o-lantern:	:clapper_board:	🎃	🎬
4.999649255503853	6.0	14.0	9.0	:clapper_board:	:jack-o-lantern:	🎬	🎃
4.999599151127759	6.0	12.0	12.0	:eyes:	:eyes:	👀	👀
4.9993736875664	6.0	15.0	15.0	:registered:	:registered:	®️	®️
4.979752323230102	6.0	8.0	911.0	:airplane_departure:	:blue_heart:	🛫	💙
4.979752323230102	6.0	911.0	8.0	:blue_heart:	:airplane_departure:	💙	🛫
4.977227052598701	6.0	911.0	9.0	:blue_heart:	:birthday_cake:	💙	🎂
4.977227052598701	6.0	9.0	911.0	:birthday_cake:	:blue_heart:	🎂	💙
4.97470304349954	6.0	10.0	911.0	:balloon:	:blue_heart:	🎈	💙
4.97470304349954	6.0	911.0	10.0	:blue_heart:	:balloon:	💙	🎈
3.980478815305046	5.0	9.0	911.0	:dog_face:	:blue_heart:	🐶	💙
3.980478815305046	5.0	911.0	9.0	:blue_heart:	:dog_face:	💙	🐶
3.9588877748261777	5.0	911.0	19.0	:blue_heart:	:party_popper:	💙	🎉
3.958887774826166	5.0	19.0	911.0	:party_popper:	:blue_heart:	🎉	💙
2.9999920463269905	4.0	1.0	4.0	:mountain:	:round_pushpin:	⛰️	📍
2.9999920463269905	4.0	4.0	1.0	:round_pushpin:	:mountain:	📍	⛰️
2.999936371189271	4.0	8.0	4.0	:airplane_departure:	:airplane_arrival:	🛫	🛬
2.999936371189271	4.0	4.0	8.0	:airplane_arrival:	:airplane_departure:	🛬	🛫
2.9998210465909025	4.0	10.0	9.0	:balloon:	:birthday_cake:	🎈	🎂
2.9998210465909025	4.0	9.0	10.0	:birthday_cake:	:balloon:	🎂	🎈
2.9997932101236255	4.0	13.0	8.0	:palm_tree:	:sun:	🌴	☀️
2.9997932101236255	4.0	8.0	13.0	:sun:	:palm_tree:	☀️	🌴
2.9996182425352753	4.0	8.0	24.0	:airplane_departure:	:raising_hands:	🛫	🙌
2.9996182425352753	4.0	24.0	8.0	:raising_hands:	:airplane_departure:	🙌	🛫
2.99759872374869	4.0	4.0	302.0	:folded_hands:	:airplane:	🙏	✈️
2.99759872374869	4.0	302.0	4.0	:airplane:	:folded_hands:	✈️	🙏
2.9927608556771417	4.0	4.0	911.0	:folded_hands:	:blue_heart:	🙏	💙
2.9927608556771417	4.0	911.0	4.0	:blue_heart:	:folded_hands:	💙	🙏
2.9922011899977194	4.0	13.0	302.0	:sparkles:	:airplane:	✨	✈️
2.9922011899977194	4.0	302.0	13.0	:airplane:	:sparkles:	✈️	✨
