SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
4485.533343590032	4504.0	146.0	146.0	:triangular_flag:	:triangular_flag:	🚩	🚩
2195.9634900097876	2200.0	87.0	87.0	:wastebasket:	:wastebasket:	🗑️	🗑️
1804.9934870825098	1808.0	78.0	78.0	:middle_finger:	:middle_finger:	🖕	🖕
952.1059126074589	1010.0	569.0	569.0	:enraged_face:	:enraged_face:	😡	😡
845.7466443892305	848.0	90.0	90.0	:clown_face:	:clown_face:	🤡	🤡
746.03663493475	748.0	84.0	84.0	:clapping_hands_light_skin_tone:	:clapping_hands_light_skin_tone:	👏🏻	👏🏻
676.1295525487884	690.0	322.0	322.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
601.6422956200068	604.0	111.0	111.0	:rocket:	:rocket:	🚀	🚀
541.6938977458999	554.0	337.0	337.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
480.13535341945766	488.0	279.0	279.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
354.90595060466836	356.0	38.0	38.0	:tomato:	:tomato:	🍅	🍅
302.5071776504199	308.0	284.0	284.0	:airplane:	:airplane:	✈️	✈️
271.72030504268986	274.0	160.0	160.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
240.60871146031337	242.0	94.0	94.0	:fire:	:fire:	🔥	🔥
174.26608063895182	176.0	151.0	151.0	:weary_face:	:weary_face:	😩	😩
168.30955438405843	170.0	149.0	149.0	:red_heart:	:red_heart:	❤️	❤️
154.84324553667466	156.0	74.0	74.0	:clapping_hands:	:clapping_hands:	👏	👏
152.9375405284374	154.0	47.0	47.0	:United_States:	:United_States:	🇺🇸	🇺🇸
146.52749218092814	148.0	132.0	132.0	:thumbs_up:	:thumbs_up:	👍	👍
140.96800302547572	147.0	569.0	337.0	:enraged_face:	:face_with_symbols_on_mouth:	😡	🤬
140.96800302547572	147.0	337.0	569.0	:face_with_symbols_on_mouth:	:enraged_face:	🤬	😡
130.82893381302395	132.0	84.0	84.0	:thumbs_down:	:thumbs_down:	👎	👎
126.42191289026184	128.0	157.0	157.0	:blue_heart:	:blue_heart:	💙	💙
126.07333234790265	128.0	199.0	199.0	:face_with_rolling_eyes:	:face_with_rolling_eyes:	🙄	🙄
116.92698725323699	118.0	58.0	58.0	:face_vomiting:	:face_vomiting:	🤮	🤮
110.8441028584785	112.0	87.0	87.0	:face_with_steam_from_nose:	:face_with_steam_from_nose:	😤	😤
108.99708330039219	110.0	12.0	12.0	:U.S._Outlying_Islands:	:U.S._Outlying_Islands:	🇺🇲	🇺🇲
102.98896455589932	104.0	24.0	24.0	:clapping_hands_medium_skin_tone:	:clapping_hands_medium_skin_tone:	👏🏽	👏🏽
98.96749722170559	100.0	42.0	42.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
92.939686253596	94.0	59.0	59.0	:tired_face:	:tired_face:	😫	😫
84.99541210034847	86.0	17.0	17.0	:police_car_light:	:police_car_light:	🚨	🚨
80.9665538849308	82.0	47.0	47.0	:grinning_face_with_sweat:	:grinning_face_with_sweat:	😅	😅
78.927626765986	80.0	70.0	70.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
70.99355307791843	72.0	22.0	22.0	:star:	:star:	⭐	⭐
60.99391896379918	62.0	23.0	23.0	:raising_hands_medium-light_skin_tone:	:raising_hands_medium-light_skin_tone:	🙌🏼	🙌🏼
60.9867126267772	62.0	34.0	34.0	:man_facepalming_light_skin_tone:	:man_facepalming_light_skin_tone:	🤦🏻‍♂️	🤦🏻‍♂️
59.49829902475977	61.0	279.0	160.0	:face_with_tears_of_joy:	:rolling_on_the_floor_laughing:	😂	🤣
59.49829902475977	61.0	160.0	279.0	:rolling_on_the_floor_laughing:	:face_with_tears_of_joy:	🤣	😂
54.99624530766613	56.0	19.0	19.0	:collision:	:collision:	💥	💥
52.993216070065365	54.0	26.0	26.0	:thumbs_down_medium-light_skin_tone:	:thumbs_down_medium-light_skin_tone:	👎🏼	👎🏼
52.98473807593859	54.0	39.0	39.0	:face_with_spiral_eyes:	:face_with_spiral_eyes:	😵‍💫	😵‍💫
52.982300420083924	54.0	42.0	42.0	:pile_of_poo:	:pile_of_poo:	💩	💩
52.98144778371001	54.0	43.0	43.0	:hundred_points:	:hundred_points:	💯	💯
52.909542892139456	54.0	95.0	95.0	:folded_hands:	:folded_hands:	🙏	🙏
50.85636808277995	52.0	122.0	122.0	:unamused_face:	:unamused_face:	😒	😒
46.997961400673844	48.0	12.0	19.0	:credit_card:	:collision:	💳	💥
46.997961400673844	48.0	19.0	12.0	:collision:	:credit_card:	💥	💳
41.99482170730849	43.0	15.0	43.0	:raising_hands_light_skin_tone:	:hundred_points:	🙌🏻	💯
41.99482170730849	43.0	43.0	15.0	:hundred_points:	:raising_hands_light_skin_tone:	💯	🙌🏻
41.644347030409456	43.0	157.0	284.0	:blue_heart:	:airplane:	💙	✈️
41.644347030409456	43.0	284.0	157.0	:airplane:	:blue_heart:	✈️	💙
40.99887010693614	42.0	12.0	12.0	:credit_card:	:credit_card:	💳	💳
40.99246044371421	42.0	31.0	31.0	:thumbs_down_light_skin_tone:	:thumbs_down_light_skin_tone:	👎🏻	👎🏻
40.97712903820553	42.0	54.0	54.0	:smiling_face_with_hearts:	:smiling_face_with_hearts:	🥰	🥰
38.99326737682803	40.0	30.0	30.0	:OK_hand:	:OK_hand:	👌	👌
38.9897596410132	40.0	37.0	37.0	:party_popper:	:party_popper:	🎉	🎉
38.986805741329505	40.0	42.0	42.0	:expressionless_face:	:expressionless_face:	😑	😑
36.99715347742328	38.0	20.0	20.0	:thumbs_down_medium_skin_tone:	:thumbs_down_medium_skin_tone:	👎🏽	👎🏽
36.99655575032353	38.0	22.0	22.0	:thumbs_up_light_skin_tone:	:thumbs_up_light_skin_tone:	👍🏻	👍🏻
36.99359579615499	38.0	30.0	30.0	:clapping_hands_medium-light_skin_tone:	:clapping_hands_medium-light_skin_tone:	👏🏼	👏🏼
36.9855929301534	38.0	45.0	45.0	:flushed_face:	:flushed_face:	😳	😳
36.958928762879424	38.0	76.0	76.0	:crying_face:	:crying_face:	😢	😢
35.77856229264045	37.0	115.0	279.0	:thinking_face:	:face_with_tears_of_joy:	🤔	😂
35.77856229264045	37.0	279.0	115.0	:face_with_tears_of_joy:	:thinking_face:	😂	🤔
34.999324833379205	36.0	10.0	10.0	:orange_heart:	:orange_heart:	🧡	🧡
34.99867669209642	36.0	14.0	14.0	:middle_finger_medium-light_skin_tone:	:middle_finger_medium-light_skin_tone:	🖕🏼	🖕🏼
34.99611131254358	36.0	24.0	24.0	:neutral_face:	:neutral_face:	😐	😐
34.91088139836977	36.0	115.0	115.0	:thinking_face:	:thinking_face:	🤔	🤔
33.96195684098914	35.0	322.0	18.0	:loudly_crying_face:	:broken_heart:	😭	💔
33.96195684098914	35.0	18.0	322.0	:broken_heart:	:loudly_crying_face:	💔	😭
32.99908031947072	34.0	12.0	12.0	:backhand_index_pointing_down_light_skin_tone:	:backhand_index_pointing_down_light_skin_tone:	👇🏻	👇🏻
32.993045881119286	34.0	33.0	33.0	:check_mark_button:	:check_mark_button:	✅	✅
30.994581054135885	32.0	30.0	30.0	:heart_suit:	:heart_suit:	♥️	♥️
30.98930798594674	32.0	111.0	16.0	:rocket:	:Tokyo_tower:	🚀	🗼
30.98930798594674	32.0	16.0	111.0	:Tokyo_tower:	:rocket:	🗼	🚀
28.999377752681625	30.0	10.0	11.0	:orange_heart:	:cold_face:	🧡	🥶
28.999377752681625	30.0	11.0	10.0	:cold_face:	:orange_heart:	🥶	🧡
28.999185425738016	30.0	12.0	12.0	:cricket:	:cricket:	🦗	🦗
28.998727242789055	30.0	15.0	15.0	:raising_hands_light_skin_tone:	:raising_hands_light_skin_tone:	🙌🏻	🙌🏻
26.98220669280019	28.0	58.0	58.0	:pleading_face:	:pleading_face:	🥺	🥺
26.979669236504343	28.0	62.0	62.0	:eyes:	:eyes:	👀	👀
25.86412673860146	27.0	284.0	94.0	:airplane:	:fire:	✈️	🔥
