SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
104.88252456623809	408.0	569.0	33960.0	:enraged_face:	i	😡	
98.63796904990184	466.0	569.0	49136.0	:enraged_face:	to	😡	
95.82307766277623	293.0	569.0	21177.0	:enraged_face:	for	😡	
94.73266972396993	346.0	569.0	29858.0	:enraged_face:	and	😡	
81.60874726290689	292.0	569.0	28386.0	:enraged_face:	a	😡	
81.56938012728615	241.0	569.0	19615.0	:enraged_face:	my	😡	
81.5612639036529	338.0	569.0	37616.0	:enraged_face:	the	😡	
76.79449217883928	247.0	569.0	23016.0	:enraged_face:	flight	😡	
74.24267046531045	136.0	111.0	37616.0	:rocket:	the	🚀	
73.61594882987292	216.0	322.0	33960.0	:loudly_crying_face:	i	😭	
71.50527331831118	98.0	569.0	3207.0	:enraged_face:	up	😡	
70.8970855418874	210.0	569.0	19519.0	:enraged_face:	on	😡	
70.7339853772818	258.0	337.0	49136.0	:face_with_symbols_on_mouth:	to	🤬	
70.27040353760339	225.0	569.0	22661.0	:enraged_face:	you	😡	
69.93618614667557	222.0	337.0	37616.0	:face_with_symbols_on_mouth:	the	🤬	
68.81252619985344	205.0	569.0	19692.0	:enraged_face:	is	😡	
66.7483697555501	158.0	337.0	21177.0	:face_with_symbols_on_mouth:	for	🤬	
66.58679247635062	112.0	569.0	5937.0	:enraged_face:	they	😡	
65.96388690651557	147.0	322.0	19615.0	:loudly_crying_face:	my	😭	
65.1616178912979	184.0	337.0	29858.0	:face_with_symbols_on_mouth:	and	🤬	
64.99011565700921	145.0	569.0	11116.0	:enraged_face:	with	😡	
62.15629232227618	95.0	569.0	4555.0	:enraged_face:	all	😡	
61.80645157512626	153.0	337.0	23016.0	:face_with_symbols_on_mouth:	flight	🤬	
61.28273275349983	169.0	337.0	28386.0	:face_with_symbols_on_mouth:	a	🤬	
60.04225968731779	126.0	569.0	9748.0	:enraged_face:	have	😡	
59.15513480548156	143.0	569.0	12966.0	:enraged_face:	in	😡	
58.93307624977381	145.0	337.0	22661.0	:face_with_symbols_on_mouth:	you	🤬	
58.411818902655426	118.0	569.0	8979.0	:enraged_face:	no	😡	
57.74758764354834	60.0	111.0	1031.0	:rocket:	project	🚀	
57.650593835851204	119.0	569.0	9390.0	:enraged_face:	me	😡	
57.22266039403506	179.0	322.0	37616.0	:loudly_crying_face:	the	😭	
57.21025764132396	102.0	569.0	6779.0	:enraged_face:	from	😡	
56.96680830900632	192.0	284.0	49136.0	:airplane:	to	✈️	
55.22885498569259	168.0	337.0	33960.0	:face_with_symbols_on_mouth:	i	🤬	
54.221509630329166	110.0	151.0	33960.0	:weary_face:	i	😩	
53.70531304795985	57.0	146.0	1535.0	:triangular_flag:	jet	🚩	
53.578324411833165	57.0	146.0	1623.0	:triangular_flag:	flying	🚩	
53.42387600551535	120.0	279.0	22661.0	:face_with_tears_of_joy:	you	😂	
53.077953035345864	149.0	199.0	49136.0	:face_with_rolling_eyes:	to	🙄	
52.968940043193584	57.0	146.0	2050.0	:triangular_flag:	blue	🚩	
52.416350340490766	59.0	146.0	3787.0	:triangular_flag:	when	🚩	
52.2853134592062	114.0	199.0	29858.0	:face_with_rolling_eyes:	and	🙄	
52.23051301503234	91.0	160.0	22661.0	:rolling_on_the_floor_laughing:	you	🤣	
52.19093961066583	80.0	569.0	4534.0	:enraged_face:	jetblue	😡	
51.29840224865698	118.0	337.0	19615.0	:face_with_symbols_on_mouth:	my	🤬	
51.05863309819943	53.0	94.0	1031.0	:fire:	project	🔥	
51.02018018296747	125.0	199.0	37616.0	:face_with_rolling_eyes:	the	🙄	
50.98913860584384	57.0	146.0	3494.0	:triangular_flag:	'm	🚩	
50.87567042912175	90.0	569.0	6597.0	:enraged_face:	hours	😡	
50.84503989152755	101.0	569.0	8573.0	:enraged_face:	at	😡	
50.74102107620273	117.0	337.0	19692.0	:face_with_symbols_on_mouth:	is	🤬	
50.24328173718979	66.0	76.0	19615.0	:crying_face:	my	😢	
50.06670840091038	100.0	569.0	8664.0	:enraged_face:	that	😡	
48.979008358130415	79.0	151.0	19615.0	:weary_face:	my	😩	
48.87840922788749	91.0	199.0	21177.0	:face_with_rolling_eyes:	for	🙄	
48.39153496530567	176.0	322.0	49136.0	:loudly_crying_face:	to	😭	
48.354622706133014	111.0	569.0	11512.0	:enraged_face:	this	😡	
47.964786640440025	115.0	569.0	12540.0	:enraged_face:	it	😡	
47.29942452551881	104.0	122.0	49136.0	:unamused_face:	to	😒	
47.138642609953564	85.0	199.0	19615.0	:face_with_rolling_eyes:	my	🙄	
46.7785816957153	131.0	322.0	29858.0	:loudly_crying_face:	and	😭	
46.641733358103636	98.0	111.0	49136.0	:rocket:	to	🚀	
46.303803117870956	99.0	115.0	49136.0	:thinking_face:	to	🤔	
46.23613661167605	78.0	111.0	29858.0	:rocket:	and	🚀	
45.86395857070478	84.0	322.0	12540.0	:loudly_crying_face:	it	😭	
45.71495818737298	65.0	160.0	12540.0	:rolling_on_the_floor_laughing:	it	🤣	
45.55521799920812	70.0	569.0	4513.0	:enraged_face:	time	😡	
45.54141047420804	86.0	115.0	37616.0	:thinking_face:	the	🤔	
45.15488540239286	105.0	569.0	11739.0	:enraged_face:	of	😡	
44.9368073215812	84.0	569.0	7422.0	:enraged_face:	are	😡	
44.87635257064551	105.0	199.0	33960.0	:face_with_rolling_eyes:	i	🙄	
44.7912905599159	106.0	569.0	12145.0	:enraged_face:	your	😡	
44.755111892856156	47.0	87.0	1669.0	:wastebasket:	guys	🗑️	
44.57726556000558	65.0	569.0	3829.0	:enraged_face:	out	😡	
44.433506446962646	72.0	151.0	19692.0	:weary_face:	is	😩	
44.10979428818202	131.0	284.0	37616.0	:airplane:	the	✈️	
43.97286407279422	108.0	151.0	49136.0	:weary_face:	to	😩	
43.927417094918795	45.0	111.0	78.0	:rocket:	moon	🚀	
43.87838556704441	57.0	569.0	2453.0	:enraged_face:	fly	😡	
