SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
78131.05309538936	89762.0	920.0	920.0	:airplane:	:airplane:	✈️	✈️
35241.29589187554	35716.0	279.0	279.0	:baby_bottle:	:baby_bottle:	🍼	🍼
3780.246439135275	3784.0	65.0	65.0	:cloud:	:cloud:	☁️	☁️
550.9451246642934	552.0	24.0	24.0	:triangular_flag:	:triangular_flag:	🚩	🚩
418.96801409235394	420.0	21.0	21.0	:yellow_square:	:yellow_square:	🟨	🟨
320.2135293293145	322.0	119.0	119.0	:clapping_hands:	:clapping_hands:	👏	👏
220.98613068254235	222.0	19.0	19.0	:white_large_square:	:white_large_square:	⬜	⬜
143.7044538446284	146.0	227.0	227.0	:blue_heart:	:blue_heart:	💙	💙
102.58340047179684	104.0	152.0	152.0	:magnifying_glass_tilted_right:	:magnifying_glass_tilted_right:	🔎	🔎
88.99843216392676	90.0	10.0	10.0	:candle:	:candle:	🕯️	🕯️
82.9941570427773	84.0	19.0	21.0	:white_large_square:	:yellow_square:	⬜	🟨
82.9941570427773	84.0	21.0	19.0	:yellow_square:	:white_large_square:	🟨	⬜
64.61523651839549	66.0	183.0	183.0	:winking_face:	:winking_face:	😉	😉
62.33590968746826	64.0	65.0	920.0	:cloud:	:airplane:	☁️	✈️
62.33590968746826	64.0	920.0	65.0	:airplane:	:cloud:	✈️	☁️
40.99939991331572	42.0	9.0	9.0	:movie_camera:	:movie_camera:	🎥	🎥
40.956110967573366	42.0	77.0	77.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
33.91061489760647	35.0	95.0	152.0	:woman_detective:	:magnifying_glass_tilted_right:	🕵️‍♀️	🔎
33.91061489760647	35.0	152.0	95.0	:magnifying_glass_tilted_right:	:woman_detective:	🔎	🕵️‍♀️
22.994104405466185	24.0	37.0	37.0	:eyes:	:eyes:	👀	👀
16.998556449962145	18.0	21.0	21.0	:american_football:	:american_football:	🏈	🏈
16.998415704814608	18.0	22.0	22.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
16.997954203072535	18.0	25.0	25.0	:sparkles:	:sparkles:	✨	✨
14.999505015903107	16.0	13.0	13.0	:snowflake:	:snowflake:	❄️	❄️
14.997537015986127	16.0	29.0	29.0	:waving_hand:	:waving_hand:	👋	👋
13.99994762334773	15.0	1.0	19.0	:blue_square:	:white_large_square:	🟦	⬜
13.99994762334773	15.0	19.0	1.0	:white_large_square:	:blue_square:	⬜	🟦
12.99718601302871	14.0	33.0	33.0	:thinking_face:	:thinking_face:	🤔	🤔
11.509778708483237	13.0	227.0	920.0	:blue_heart:	:airplane:	💙	✈️
11.509778708483235	13.0	920.0	227.0	:airplane:	:blue_heart:	✈️	💙
10.999944005223522	12.0	5.0	5.0	:check_mark_button:	:check_mark_button:	✅	✅
8.999907135126323	10.0	7.0	7.0	:backhand_index_pointing_up:	:backhand_index_pointing_up:	👆	👆
8.995072189789463	10.0	51.0	51.0	:party_popper:	:party_popper:	🎉	🎉
7.999891456829554	9.0	3.0	21.0	:man_dancing:	:raising_hands:	🕺	🙌
7.999891456829554	9.0	21.0	3.0	:raising_hands:	:man_dancing:	🙌	🕺
