SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
19434.653946145667	19490.0	159.0	159.0	:middle_finger_light_skin_tone:	:middle_finger_light_skin_tone:	🖕🏻	🖕🏻
14177.702472780815	15996.0	1067.0	1067.0	:airplane:	:airplane:	✈️	✈️
11143.527387047603	11168.0	138.0	138.0	:luggage:	:luggage:	🧳	🧳
7951.310196995295	8010.0	256.0	256.0	:triangular_flag:	:triangular_flag:	🚩	🚩
6798.635805964972	6806.0	92.0	92.0	:microbe:	:microbe:	🦠	🦠
4665.382881575529	4768.0	443.0	443.0	:clapping_hands:	:clapping_hands:	👏	👏
4475.9820271366325	4860.0	874.0	874.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
3169.5235638575864	3178.0	146.0	146.0	:middle_finger:	:middle_finger:	🖕	🖕
1814.5492615717317	1856.0	448.0	448.0	:blue_heart:	:blue_heart:	💙	💙
1393.7776084015718	1396.0	89.0	89.0	:clapping_hands_medium_skin_tone:	:clapping_hands_medium_skin_tone:	👏🏽	👏🏽
1258.776991384988	1260.0	40.0	40.0	:flag_in_hole:	:flag_in_hole:	⛳	⛳
858.7428334613633	870.0	328.0	328.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
820.2926018167786	838.0	428.0	428.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
816.9269730515061	836.0	446.0	446.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
793.5326193625924	802.0	874.0	97.0	:face_with_tears_of_joy:	:pile_of_poo:	😂	💩
793.5326193625924	802.0	97.0	874.0	:pile_of_poo:	:face_with_tears_of_joy:	💩	😂
780.3148653599951	782.0	89.0	89.0	:check_mark_button:	:check_mark_button:	✅	✅
778.8011195945111	780.0	48.0	48.0	:ewe:	:ewe:	🐑	🐑
758.87206079798	760.0	39.0	39.0	:black_heart:	:black_heart:	🖤	🖤
704.7437645767101	726.0	508.0	508.0	:enraged_face:	:enraged_face:	😡	😡
661.2221751610243	691.0	446.0	874.0	:rolling_on_the_floor_laughing:	:face_with_tears_of_joy:	🤣	😂
661.2221751610243	691.0	874.0	446.0	:face_with_tears_of_joy:	:rolling_on_the_floor_laughing:	😂	🤣
