SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
270.94551943443366	272.0	17.0	17.0	:triangular_flag:	:triangular_flag:	🚩	🚩
247.86690566510728	250.0	81.0	81.0	:hamburger:	:hamburger:	🍔	🍔
122.95526090606658	134.0	339.0	339.0	:crown:	:crown:	👑	👑
98.87582273606145	100.0	22.0	81.0	:french_fries:	:hamburger:	🍟	🍔
98.87582273606142	100.0	81.0	22.0	:hamburger:	:french_fries:	🍔	🍟
68.97627327376202	70.0	22.0	22.0	:french_fries:	:french_fries:	🍟	🍟
64.05676830803311	67.0	125.0	339.0	:waving_hand:	:crown:	👋	👑
64.05676830803311	67.0	339.0	125.0	:crown:	:waving_hand:	👑	👋
60.99021139204812	62.0	15.0	15.0	:writing_hand:	:writing_hand:	✍️	✍️
59.979195280037736	61.0	81.0	6.0	:hamburger:	:cup_with_straw:	🍔	🥤
59.979195280037736	61.0	6.0	81.0	:cup_with_straw:	:hamburger:	🥤	🍔
39.99617136289163	41.0	22.0	6.0	:french_fries:	:cup_with_straw:	🍟	🥤
39.996171362891616	41.0	6.0	22.0	:cup_with_straw:	:french_fries:	🥤	🍟
38.93484308648153	40.0	48.0	48.0	:face_screaming_in_fear:	:face_screaming_in_fear:	😱	😱
25.995301500281716	27.0	81.0	3.0	:hamburger:	:orange_square:	🍔	🟧
25.995301500281716	27.0	3.0	81.0	:orange_square:	:hamburger:	🟧	🍔
18.999477884785257	20.0	6.0	6.0	:cup_with_straw:	:cup_with_straw:	🥤	🥤
18.992982157230987	20.0	22.0	22.0	:fire:	:fire:	🔥	🔥
18.98324448529191	20.0	34.0	34.0	:sparkles:	:sparkles:	✨	✨
18.95656029431435	20.0	125.0	24.0	:waving_hand:	:mobile_phone_with_arrow:	👋	📲
18.95656029431435	20.0	24.0	125.0	:mobile_phone_with_arrow:	:waving_hand:	📲	👋
14.999765184214247	16.0	5.0	4.0	:yellow_heart:	:ring:	💛	💍
14.999765184214247	16.0	4.0	5.0	:ring:	:yellow_heart:	💍	💛
12.89566873903512	14.0	125.0	81.0	:waving_hand:	:hamburger:	👋	🍔
12.89566873903512	14.0	81.0	125.0	:hamburger:	:waving_hand:	🍔	👋
11.999149168360402	13.0	4.0	22.0	:poultry_leg:	:french_fries:	🍗	🍟
11.999149168360402	13.0	22.0	4.0	:french_fries:	:poultry_leg:	🍟	🍗
10.999856347652617	12.0	4.0	4.0	:rooster:	:rooster:	🐓	🐓
10.999856347652617	12.0	4.0	4.0	:ring:	:ring:	💍	💍
10.999775544254636	12.0	5.0	5.0	:yellow_heart:	:yellow_heart:	💛	💛
10.990228140052198	12.0	33.0	33.0	:red_heart:	:red_heart:	❤️	❤️
10.96192659772843	12.0	125.0	34.0	:waving_hand:	:sparkles:	👋	✨
10.96192659772843	12.0	34.0	125.0	:sparkles:	:waving_hand:	✨	👋
9.957967791795374	11.0	15.0	339.0	:saluting_face:	:crown:	🫡	👑
9.957967791795374	11.0	339.0	15.0	:crown:	:saluting_face:	👑	🫡
8.79429668194264	10.0	81.0	339.0	:hamburger:	:crown:	🍔	👑
8.79429668194264	10.0	339.0	81.0	:crown:	:hamburger:	👑	🍔
6.996420739878453	8.0	24.0	24.0	:mobile_phone_with_arrow:	:mobile_phone_with_arrow:	📲	📲
6.899672357639376	8.0	48.0	339.0	:face_screaming_in_fear:	:crown:	😱	👑
6.899672357639376	8.0	339.0	48.0	:crown:	:face_screaming_in_fear:	👑	😱
5.938527033004068	7.0	33.0	339.0	:red_heart:	:crown:	❤️	👑
5.938527033004053	7.0	339.0	33.0	:crown:	:red_heart:	👑	❤️
4.999961324188821	6.0	2.0	4.0	:no_entry:	:cheese_wedge:	⛔	🧀
4.999961324188821	6.0	4.0	2.0	:cheese_wedge:	:no_entry:	🧀	⛔
4.999956489735655	6.0	3.0	3.0	:soft_ice_cream:	:soft_ice_cream:	🍦	🍦
4.999956489735655	6.0	3.0	3.0	:orange_square:	:orange_square:	🟧	🟧
4.999956489735655	6.0	3.0	3.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
4.999922648679668	6.0	4.0	4.0	:orange_heart:	:orange_heart:	🧡	🧡
4.999922648679668	6.0	4.0	4.0	:cheese_wedge:	:cheese_wedge:	🧀	🧀
4.999922648679668	6.0	4.0	4.0	:poultry_leg:	:poultry_leg:	🍗	🍗
4.999912979846877	6.0	6.0	3.0	:eye:	:mouth:	👁️	👄
4.999912979846877	6.0	3.0	6.0	:mouth:	:eye:	👄	👁️
4.999825961182975	6.0	6.0	6.0	:eye:	:eye:	👁️	👁️
4.999608421068612	6.0	81.0	1.0	:hamburger:	:keycap_0:	🍔	0️⃣
4.999608421068612	6.0	1.0	81.0	:keycap_0:	:hamburger:	0️⃣	🍔
4.998433865755107	6.0	81.0	4.0	:hamburger:	:cheese_wedge:	🍔	🧀
