SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
468.2062002272859	6184.0	12018.0	6260.0	:police_car_light:	:eyes:	🚨	👀
468.2062002272859	6184.0	6260.0	12018.0	:eyes:	:police_car_light:	👀	🚨
457.3838325902511	5828.0	12018.0	5830.0	:police_car_light:	:joystick:	🚨	🕹️
457.3838325902511	5828.0	5830.0	12018.0	:joystick:	:police_car_light:	🕹️	🚨
100.88803942253108	104.0	193.0	193.0	:heart_suit:	:heart_suit:	♥️	♥️
63.3189046364727	66.0	216.0	216.0	:sparkles:	:sparkles:	✨	✨
34.84672974001727	36.0	87.0	87.0	:raising_hands:	:raising_hands:	🙌	🙌
32.87115186748706	34.0	82.0	82.0	:cloud:	:cloud:	☁️	☁️
31.97967783533031	33.0	33.0	33.0	:watermelon:	:strawberry:	🍉	🍓
31.97967783533031	33.0	33.0	33.0	:strawberry:	:watermelon:	🍓	🍉
28.974125479550835	30.0	39.0	39.0	:clapping_hands:	:clapping_hands:	👏	👏
22.945607071078676	24.0	63.0	63.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
18.99030540549149	20.0	29.0	29.0	:registered:	:registered:	®️	®️
18.856309265728903	20.0	58.0	216.0	:star-struck:	:sparkles:	🤩	✨
18.856309265728903	20.0	216.0	58.0	:sparkles:	:star-struck:	✨	🤩
16.993115909142126	18.0	33.0	20.0	:watermelon:	:high_voltage:	🍉	⚡
16.993115909142126	18.0	33.0	20.0	:strawberry:	:high_voltage:	🍓	⚡
16.993115909142126	18.0	20.0	33.0	:high_voltage:	:watermelon:	⚡	🍉
16.993115909142126	18.0	20.0	33.0	:high_voltage:	:strawberry:	⚡	🍓
16.985725065235336	18.0	37.0	37.0	:red_heart:	:red_heart:	❤️	❤️
14.985670586799104	16.0	24.0	64.0	:star:	:dizzy:	⭐	💫
14.985670586799102	16.0	64.0	24.0	:dizzy:	:star:	💫	⭐
13.990445217070372	15.0	64.0	17.0	:dizzy:	:crystal_ball:	💫	🔮
13.990445217070372	15.0	17.0	64.0	:crystal_ball:	:dizzy:	🔮	💫
13.967787840210644	15.0	216.0	17.0	:sparkles:	:crystal_ball:	✨	🔮
13.967787840210644	15.0	17.0	216.0	:crystal_ball:	:sparkles:	🔮	✨
12.998385703056837	14.0	14.0	14.0	:first_quarter_moon_face:	:full_moon:	🌛	🌕
