SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
815.6092672135009	10808.0	6260.0	12372.0	:eyes:	a	👀	
771.0822258662517	16562.0	12018.0	16566.0	:police_car_light:	twitch	🚨	
770.9595763188495	16562.0	12018.0	16571.0	:police_car_light:	stream	🚨	
707.5856116396752	16562.0	12018.0	19485.0	:police_car_light:	to	🚨	
696.1203900906743	10734.0	6260.0	16566.0	:eyes:	twitch	👀	
696.0108067044939	10734.0	6260.0	16571.0	:eyes:	stream	👀	
665.630125474866	5828.0	5830.0	5834.0	:joystick:	live	🕹️	
665.5716038911453	5828.0	5830.0	5835.0	:joystick:	join	🕹️	
663.532699755307	5828.0	5830.0	5870.0	:joystick:	game	🕹️	
661.3502587979733	6185.0	6260.0	6187.0	:eyes:	rumor	👀	
661.2967748237688	6184.0	6260.0	6186.0	:eyes:	peepers	👀	
661.2967748237688	6184.0	6260.0	6186.0	:eyes:	peeped	👀	
661.186917260915	6184.0	6260.0	6188.0	:eyes:	heard	👀	
661.186917260915	6184.0	6260.0	6188.0	:eyes:	moment	👀	
660.2552540939021	6184.0	6260.0	6205.0	:eyes:	drop	👀	
659.2729136053914	6184.0	6260.0	6223.0	:eyes:	want	👀	
658.940408013732	5829.0	5830.0	5952.0	:joystick:	now	🕹️	
658.782680860308	6185.0	6260.0	6234.0	:eyes:	keep	👀	
658.0238295035374	6184.0	6260.0	6246.0	:eyes:	those	👀	
656.7032016544933	12012.0	12018.0	12014.0	:police_car_light:	#unsubscribe	🚨	
656.7032016544933	12012.0	12018.0	12014.0	:police_car_light:	opt	🚨	
656.2973610098891	12014.0	12018.0	12032.0	:police_car_light:	#cocacolaxmarshmello	🚨	
656.1563909775891	12012.0	12018.0	12033.0	:police_car_light:	reply	🚨	
655.6532212995431	6184.0	6260.0	6290.0	:eyes:	any	👀	
654.8902949172202	12016.0	12018.0	12085.0	:police_car_light:	#cocacolacreations	🚨	
652.6611531682915	5828.0	5830.0	6062.0	:joystick:	time	🕹️	
643.082986310928	5828.0	5830.0	6239.0	:joystick:	's	🕹️	
641.1842051546522	5828.0	5830.0	6275.0	:joystick:	it	🕹️	
639.5340350291565	10736.0	6260.0	19485.0	:eyes:	to	👀	
638.1802883585043	6184.0	6260.0	6629.0	:eyes:	could	👀	
634.4686747981415	13656.0	12018.0	16451.0	:police_car_light:	the	🚨	
634.0547139030524	6184.0	6260.0	6713.0	:eyes:	if	👀	
630.3721203407786	5828.0	5830.0	6486.0	:joystick:	is	🕹️	
618.0632563312976	6184.0	6260.0	7054.0	:eyes:	at	👀	
611.714108117204	12014.0	12018.0	13743.0	:police_car_light:	out	🚨	
580.6992375654025	5828.0	5830.0	7605.0	:joystick:	us	🕹️	
576.002094749167	10736.0	12018.0	12372.0	:police_car_light:	a	🚨	
567.0147963887789	4550.0	6260.0	4555.0	:eyes:	notification	👀	
566.8229552134277	4550.0	6260.0	4558.0	:eyes:	control	👀	
566.7575764736828	4551.0	6260.0	4561.0	:eyes:	soon	👀	
565.801904570776	4551.0	6260.0	4576.0	:eyes:	coming	👀	
565.3583824670661	4550.0	6260.0	4581.0	:eyes:	way	👀	
565.2949533836578	4550.0	6260.0	4582.0	:eyes:	day	👀	
554.9786993118744	6233.0	6260.0	8820.0	:eyes:	you	👀	
553.3622343972047	6236.0	6260.0	8878.0	:eyes:	we	👀	
505.3039672990791	7826.0	6260.0	16451.0	:eyes:	the	👀	
471.1511974914453	6184.0	12018.0	6186.0	:police_car_light:	peepers	🚨	
471.1511974914453	6184.0	12018.0	6186.0	:police_car_light:	peeped	🚨	
471.1110544719809	6184.0	12018.0	6187.0	:police_car_light:	rumor	🚨	
471.0709210168556	6184.0	12018.0	6188.0	:police_car_light:	heard	🚨	
471.0709210168556	6184.0	12018.0	6188.0	:police_car_light:	moment	🚨	
470.39011190125785	6184.0	12018.0	6205.0	:police_car_light:	drop	🚨	
469.67224584861276	6184.0	12018.0	6223.0	:police_car_light:	want	🚨	
469.23505496039746	6184.0	12018.0	6234.0	:police_car_light:	keep	🚨	
468.75941450438086	6184.0	12018.0	6246.0	:police_car_light:	those	🚨	
468.28841643955747	6184.0	6260.0	12014.0	:eyes:	#unsubscribe	👀	
468.28841643955747	6184.0	6260.0	12014.0	:eyes:	opt	👀	
468.0742527870482	6186.0	6260.0	12032.0	:eyes:	#cocacolaxmarshmello	👀	
467.8982482982017	6184.0	6260.0	12033.0	:eyes:	reply	👀	
467.02685879854	6184.0	12018.0	6290.0	:police_car_light:	any	🚨	
466.9901978143953	6186.0	6260.0	12085.0	:eyes:	#cocacolacreations	👀	
465.49370839913996	4551.0	6260.0	6674.0	:eyes:	your	👀	
457.4640977403468	5828.0	5830.0	12014.0	:joystick:	#unsubscribe	🕹️	
457.4640977403468	5828.0	5830.0	12014.0	:joystick:	opt	🕹️	
457.21849769577494	5828.0	12018.0	5834.0	:police_car_light:	live	🚨	
457.18377654638164	5829.0	5830.0	12032.0	:joystick:	#cocacolaxmarshmello	🕹️	
457.17719008275606	5828.0	12018.0	5835.0	:police_car_light:	join	🚨	
457.0831886992033	5828.0	5830.0	12033.0	:joystick:	reply	🕹️	
456.1256046457844	5829.0	5830.0	12085.0	:joystick:	#cocacolacreations	🕹️	
455.73796623471833	5828.0	12018.0	5870.0	:police_car_light:	game	🚨	
454.25204271868057	6184.0	12018.0	6629.0	:police_car_light:	could	🚨	
452.41506564243093	5828.0	12018.0	5952.0	:police_car_light:	now	🚨	
451.23448791982577	6184.0	12018.0	6713.0	:police_car_light:	if	🚨	
448.06200678454013	5828.0	12018.0	6062.0	:police_car_light:	time	🚨	
441.45229693538175	5830.0	12018.0	6239.0	:police_car_light:	's	🚨	
440.2657169497133	5832.0	12018.0	6275.0	:police_car_light:	it	🚨	
439.53308807277193	6184.0	12018.0	7054.0	:police_car_light:	at	🚨	
436.184327121667	6185.0	6260.0	13743.0	:eyes:	out	👀	
434.0425441211958	4572.0	6260.0	7700.0	:eyes:	for	👀	
432.61955945864537	5832.0	12018.0	6486.0	:police_car_light:	is	🚨	
426.0514979406712	5828.0	5830.0	13743.0	:joystick:	out	🕹️	
403.97440554700097	4550.0	12018.0	4555.0	:police_car_light:	notification	🚨	
403.8764403228677	4552.0	12018.0	4561.0	:police_car_light:	soon	🚨	
403.8342193874784	4550.0	12018.0	4558.0	:police_car_light:	control	🚨	
402.99594979921034	4550.0	12018.0	4576.0	:police_car_light:	coming	🚨	
402.7639593139753	4550.0	12018.0	4581.0	:police_car_light:	way	🚨	
402.7176060044224	4550.0	12018.0	4582.0	:police_car_light:	day	🚨	
397.1588667792874	5828.0	12018.0	7605.0	:police_car_light:	us	🚨	
390.01943390718185	6184.0	12018.0	8820.0	:police_car_light:	you	🚨	
388.64333518519385	6184.0	12018.0	8878.0	:police_car_light:	we	🚨	
387.0204567652153	5828.0	5830.0	16451.0	:joystick:	the	🕹️	
385.642332087694	5829.0	5830.0	16566.0	:joystick:	twitch	🕹️	
385.5111044119016	5828.0	5830.0	16571.0	:joystick:	stream	🕹️	
353.21853315206096	5829.0	5830.0	19485.0	:joystick:	to	🕹️	
339.77140897965535	1634.0	6260.0	1636.0	:eyes:	livestream	👀	
339.77140897965535	1634.0	6260.0	1636.0	:eyes:	designed	👀	
329.67388092262405	4552.0	12018.0	6674.0	:police_car_light:	your	🚨	
305.02531461403004	4552.0	12018.0	7700.0	:police_car_light:	for	🚨	
270.3598131762218	1634.0	6260.0	2544.0	:eyes:	with	👀	
242.7140895026411	1638.0	6260.0	3140.0	:eyes:	in	👀	
242.0725661671382	1634.0	12018.0	1636.0	:police_car_light:	livestream	🚨	
242.0725661671382	1634.0	12018.0	1636.0	:police_car_light:	designed	🚨	
191.19886034726687	1634.0	12018.0	2544.0	:police_car_light:	with	🚨	
170.37119161972703	1634.0	12018.0	3140.0	:police_car_light:	in	🚨	
