SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
19308.071025036905	19466.0	144.0	144.0	:moai:	:moai:	🗿	🗿
17600.136586726767	19996.0	584.0	584.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
13410.24969008166	13852.0	289.0	289.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
11336.813062683763	21538.0	1495.0	1495.0	:Ukraine:	:Ukraine:	🇺🇦	🇺🇦
2227.645039716263	2388.0	425.0	425.0	:face_vomiting:	:face_vomiting:	🤮	🤮
1806.0879483404478	1848.0	240.0	240.0	:thinking_face:	:thinking_face:	🤔	🤔
1255.0098396575447	1348.0	430.0	430.0	:fire:	:fire:	🔥	🔥
1154.3702369012847	1198.0	306.0	306.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
1133.424262106915	1156.0	220.0	220.0	:middle_finger:	:middle_finger:	🖕	🖕
926.7587122153842	1006.0	461.0	461.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
870.5573629608351	872.0	36.0	36.0	:rainbow_flag:	:rainbow_flag:	🏳️‍🌈	🏳️‍🌈
839.162215535044	860.0	245.0	245.0	:enraged_face:	:enraged_face:	😡	😡
740.2739620560544	754.0	209.0	209.0	:rocket:	:rocket:	🚀	🚀
637.423444800905	693.0	1495.0	144.0	:Ukraine:	:victory_hand:	🇺🇦	✌️
637.423444800905	693.0	144.0	1495.0	:victory_hand:	:Ukraine:	✌️	🇺🇦
628.8135547917717	750.0	689.0	689.0	:red_heart:	:red_heart:	❤️	❤️
628.1702323532758	637.0	220.0	144.0	:middle_finger:	:victory_hand:	🖕	✌️
628.1702323532758	637.0	144.0	220.0	:victory_hand:	:middle_finger:	✌️	🖕
602.0906158532929	608.0	144.0	144.0	:victory_hand:	:victory_hand:	✌️	✌️
587.6605441566819	666.0	220.0	1495.0	:middle_finger:	:Ukraine:	🖕	🇺🇦
587.6605441566819	666.0	1495.0	220.0	:Ukraine:	:middle_finger:	🇺🇦	🖕
460.9041540552195	462.0	23.0	23.0	:tomato:	:tomato:	🍅	🍅
418.91284849988597	420.0	23.0	23.0	:latin_cross:	:latin_cross:	✝️	✝️
408.02004788475716	420.0	261.0	261.0	:folded_hands:	:folded_hands:	🙏	🙏
347.2830143083482	358.0	266.0	266.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
340.93411441520806	344.0	124.0	124.0	:clapping_hands:	:clapping_hands:	👏	👏
329.91428028203563	334.0	154.0	154.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
318.7107494215089	320.0	48.0	48.0	:red_exclamation_mark:	:red_exclamation_mark:	❗	❗
306.9516302494241	308.0	20.0	20.0	:clapping_hands_medium-dark_skin_tone:	:clapping_hands_medium-dark_skin_tone:	👏🏾	👏🏾
294.10207157611944	296.0	88.0	88.0	:purple_heart:	:purple_heart:	💜	💜
292.1209853442393	294.0	53.0	144.0	:man_facepalming:	:victory_hand:	🤦‍♂️	✌️
292.1209853442393	294.0	144.0	53.0	:victory_hand:	:man_facepalming:	✌️	🤦‍♂️
291.69136091964856	294.0	79.0	144.0	:unamused_face:	:victory_hand:	😒	✌️
291.69136091964856	294.0	144.0	79.0	:victory_hand:	:unamused_face:	✌️	😒
285.052399469778	295.0	53.0	1495.0	:man_facepalming:	:Ukraine:	🤦‍♂️	🇺🇦
