SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
808.6831112980478	812.0	29.0	29.0	:black_large_square:	:black_large_square:	⬛	⬛
160.82077948062474	162.0	18.0	18.0	:triangular_flag:	:triangular_flag:	🚩	🚩
28.996209713422623	30.0	6.0	6.0	:hot_face:	:hot_face:	🥵	🥵
27.9970451501116	29.0	29.0	1.0	:black_large_square:	:yellow_square:	⬛	🟨
27.9970451501116	29.0	1.0	29.0	:yellow_square:	:black_large_square:	🟨	⬛
25.994865021260335	27.0	9.0	6.0	:collision:	:credit_card:	💥	💳
25.994865021260328	27.0	6.0	9.0	:credit_card:	:collision:	💳	💥
24.65878345136235	33.0	250.0	311.0	:winking_face:	:red_heart:	😉	❤️
24.658783451362346	33.0	311.0	250.0	:red_heart:	:winking_face:	❤️	😉
24.42108693072835	28.0	168.0	168.0	:eyes:	:eyes:	👀	👀
22.993123291218556	24.0	9.0	9.0	:collision:	:collision:	💥	💥
22.958954123584128	24.0	22.0	22.0	:chocolate_bar:	:chocolate_bar:	🍫	🍫
22.763265752258604	24.0	53.0	53.0	:clapping_hands:	:clapping_hands:	👏	👏
18.997432381689194	20.0	6.0	6.0	:credit_card:	:credit_card:	💳	💳
13.352796761787134	22.0	311.0	439.0	:red_heart:	:smiling_face_with_sunglasses:	❤️	😎
13.352796761787134	22.0	439.0	311.0	:smiling_face_with_sunglasses:	:red_heart:	😎	❤️
12.9753713942705	14.0	22.0	22.0	:sparkles:	:sparkles:	✨	✨
11.9447684846096	17.0	185.0	439.0	:hot_pepper:	:smiling_face_with_sunglasses:	🌶️	😎
11.9447684846096	17.0	439.0	185.0	:smiling_face_with_sunglasses:	:hot_pepper:	😎	🌶️
11.55276047522857	13.0	31.0	311.0	:face_with_tears_of_joy:	:red_heart:	😂	❤️
11.55276047522857	13.0	311.0	31.0	:red_heart:	:face_with_tears_of_joy:	❤️	😂
10.992540806034397	12.0	13.0	13.0	:fire:	:fire:	🔥	🔥
9.103226349536587	14.0	311.0	311.0	:red_heart:	:red_heart:	❤️	❤️
7.947386084755306	9.0	5.0	311.0	:ring:	:red_heart:	💍	❤️
7.947386084755304	9.0	311.0	5.0	:red_heart:	:ring:	❤️	💍
7.838692647262502	9.0	89.0	54.0	:raising_hands:	:american_football:	🙌	🏈
7.838692647262495	9.0	54.0	89.0	:american_football:	:raising_hands:	🏈	🙌
7.020606509525844	9.0	100.0	311.0	:smirking_face:	:red_heart:	😏	❤️
7.020606509525844	9.0	311.0	100.0	:red_heart:	:smirking_face:	❤️	😏
6.998899583609081	8.0	6.0	6.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
5.98366541346977	7.0	43.0	14.0	:strawberry:	:two_hearts:	🍓	💕
5.98366541346977	7.0	14.0	43.0	:two_hearts:	:strawberry:	💕	🍓
5.553694750474484	7.0	55.0	311.0	:face_savoring_food:	:red_heart:	😋	❤️
5.553694750474484	7.0	311.0	55.0	:red_heart:	:face_savoring_food:	❤️	😋
4.999786015767437	6.0	3.0	3.0	:pushpin:	:pushpin:	📌	📌
4.999405621654894	6.0	5.0	5.0	:ring:	:ring:	💍	💍
4.999144117262395	6.0	6.0	6.0	:index_pointing_up:	:index_pointing_up:	☝️	☝️
4.9984785305970325	6.0	8.0	8.0	:police_car_light:	:police_car_light:	🚨	🚨
4.976515783396188	6.0	45.0	22.0	:cup_with_straw:	:chocolate_bar:	🥤	🍫
4.976515783396188	6.0	22.0	45.0	:chocolate_bar:	:cup_with_straw:	🍫	🥤
4.513278059836912	6.0	439.0	49.0	:smiling_face_with_sunglasses:	:thumbs_up:	😎	👍
4.513278059836911	6.0	49.0	439.0	:thumbs_up:	:smiling_face_with_sunglasses:	👍	😎
3.776322966267336	5.0	168.0	67.0	:eyes:	:magnifying_glass_tilted_left:	👀	🔍
3.776322966267336	5.0	67.0	168.0	:magnifying_glass_tilted_left:	:eyes:	🔍	👀
3.49152603971729	5.0	185.0	143.0	:hot_pepper:	:smiling_face_with_heart-eyes:	🌶️	😍
3.49152603971729	5.0	143.0	185.0	:smiling_face_with_heart-eyes:	:hot_pepper:	😍	🌶️
2.9995754419791103	4.0	5.0	5.0	:speaking_head:	:speaking_head:	🗣️	🗣️
2.9993886509157095	4.0	6.0	6.0	:speaker_high_volume:	:speaker_high_volume:	🔊	🔊
2.996350292750886	4.0	43.0	5.0	:strawberry:	:beating_heart:	🍓	💓
2.996350292750886	4.0	5.0	43.0	:beating_heart:	:strawberry:	💓	🍓
2.9956546851772607	4.0	16.0	16.0	:backhand_index_pointing_right:	:backhand_index_pointing_right:	👉	👉
