SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
72.07462902799323	187.0	311.0	1485.0	:red_heart:	pepper	❤️	
64.86231071983839	105.0	67.0	2448.0	:magnifying_glass_tilted_left:	you	🔍	
56.110241357462805	80.0	67.0	1655.0	:magnifying_glass_tilted_left:	your	🔍	
48.1276137073667	53.0	67.0	335.0	:magnifying_glass_tilted_left:	help	🔍	
46.347573874377524	67.0	69.0	1655.0	:magnifying_glass_tilted_right:	your	🔎	
45.11207748846211	64.0	69.0	1548.0	:magnifying_glass_tilted_right:	and	🔎	
42.91004880710459	149.0	311.0	2468.0	:red_heart:	we	❤️	
41.775155462221456	175.0	439.0	2468.0	:smiling_face_with_sunglasses:	we	😎	
41.51099218619187	85.0	185.0	1485.0	:hot_pepper:	pepper	🌶️	
40.71816197893546	55.0	69.0	1273.0	:magnifying_glass_tilted_right:	us	🔎	
40.33565225648138	79.0	311.0	801.0	:red_heart:	dr	❤️	
39.69104453058565	138.0	311.0	2448.0	:red_heart:	you	❤️	
39.587634041502575	50.0	69.0	934.0	:magnifying_glass_tilted_right:	dm	🔎	
39.273716691559635	49.0	67.0	900.0	:magnifying_glass_tilted_left:	it	🔍	
39.072771980517764	121.0	250.0	2448.0	:winking_face:	you	😉	
37.728586904051944	50.0	39.0	2059.0	:face_with_monocle:	the	🧐	
37.527823025842025	40.0	33.0	330.0	:blue_heart:	berry	💙	
36.713379540244105	52.0	67.0	1548.0	:magnifying_glass_tilted_left:	and	🔍	
36.26918034499989	60.0	67.0	2468.0	:magnifying_glass_tilted_left:	we	🔍	
35.84641347822674	43.0	67.0	696.0	:magnifying_glass_tilted_left:	code	🔍	
35.68546862964618	43.0	69.0	696.0	:magnifying_glass_tilted_right:	code	🔎	
35.51210499638458	40.0	67.0	402.0	:magnifying_glass_tilted_left:	team	🔍	
35.47592631333842	45.0	67.0	966.0	:magnifying_glass_tilted_left:	can	🔍	
35.01831308169062	135.0	439.0	2059.0	:smiling_face_with_sunglasses:	the	😎	
34.83289127904818	40.0	22.0	1485.0	:chocolate_bar:	pepper	🍫	
33.943539432986555	44.0	67.0	1067.0	:magnifying_glass_tilted_left:	our	🔍	
33.768788390118566	53.0	69.0	2059.0	:magnifying_glass_tilted_right:	the	🔎	
33.41766114191846	83.0	439.0	900.0	:smiling_face_with_sunglasses:	it	😎	
33.351828478596495	70.0	185.0	1528.0	:hot_pepper:	a	🌶️	
33.34569159792558	56.0	69.0	2468.0	:magnifying_glass_tilted_right:	we	🔎	
33.166930045832416	38.0	67.0	470.0	:magnifying_glass_tilted_left:	zip	🔍	
31.525566334690158	100.0	311.0	1996.0	:red_heart:	to	❤️	
31.492616547779793	66.0	311.0	900.0	:red_heart:	it	❤️	
31.29401984035275	102.0	439.0	1485.0	:smiling_face_with_sunglasses:	pepper	😎	
31.21244040089821	36.0	39.0	844.0	:face_with_monocle:	with	🧐	
30.455145020630116	49.0	73.0	2059.0	:thinking_face:	the	🤔	
29.93319459182154	97.0	311.0	2059.0	:red_heart:	the	❤️	
29.676690174306927	128.0	439.0	2448.0	:smiling_face_with_sunglasses:	you	😎	
29.16022788490845	34.0	67.0	530.0	:magnifying_glass_tilted_left:	send	🔍	
29.030400070185877	37.0	43.0	1485.0	:strawberry:	pepper	🍓	
28.814238770633267	70.0	250.0	1485.0	:winking_face:	pepper	😉	
28.806283447771744	30.0	43.0	43.0	:strawberry:	strawberries	🍓	
28.597550952668136	36.0	39.0	1528.0	:face_with_monocle:	a	🧐	
28.521541773221028	30.0	43.0	107.0	:strawberry:	cream	🍓	
28.48558241784555	81.0	250.0	1996.0	:winking_face:	to	😉	
28.185346214650963	90.0	250.0	2468.0	:winking_face:	we	😉	
27.90340809425538	72.0	168.0	2468.0	:eyes:	we	👀	
27.82380738670284	34.0	39.0	1273.0	:face_with_monocle:	us	🧐	
27.81767675486661	29.0	29.0	62.0	:black_large_square:	deserves	⬛	
27.800603195025044	53.0	250.0	900.0	:winking_face:	it	😉	
27.78847375600094	40.0	69.0	1528.0	:magnifying_glass_tilted_right:	a	🔎	
27.762158884074896	29.0	29.0	81.0	:black_large_square:	still	⬛	
27.72035453283408	43.0	67.0	1996.0	:magnifying_glass_tilted_left:	to	🔍	
27.591125913518617	80.0	250.0	2059.0	:winking_face:	the	😉	
27.122672750831807	91.0	439.0	1528.0	:smiling_face_with_sunglasses:	a	😎	
27.008376045663667	36.0	39.0	1996.0	:waving_hand:	to	👋	
26.80570299013157	36.0	39.0	2059.0	:waving_hand:	the	👋	
26.34849143258064	46.0	250.0	728.0	:winking_face:	's	😉	
25.9225085428506	67.0	168.0	2448.0	:eyes:	you	👀	
25.865536392795434	65.0	439.0	888.0	:smiling_face_with_sunglasses:	that	😎	
25.775587115857533	29.0	29.0	801.0	:black_large_square:	dr	⬛	
25.518348149990675	52.0	168.0	1528.0	:eyes:	a	👀	
25.078083956754227	57.0	439.0	728.0	:smiling_face_with_sunglasses:	's	😎	
24.98891154749063	53.0	168.0	1655.0	:eyes:	your	👀	
24.796961301343693	29.0	43.0	801.0	:strawberry:	dr	🍓	
24.774530940852973	26.0	33.0	75.0	:cherries:	cherry	🍒	
24.731749741657314	28.0	67.0	367.0	:magnifying_glass_tilted_left:	find	🔍	
24.720518215449417	32.0	69.0	966.0	:magnifying_glass_tilted_right:	can	🔎	
24.617832367925715	29.0	69.0	530.0	:magnifying_glass_tilted_right:	send	🔎	
24.533996314413574	32.0	311.0	222.0	:red_heart:	love	❤️	
24.5035526451287	26.0	67.0	82.0	:magnifying_glass_tilted_left:	care	🔍	
24.25138097618925	27.0	67.0	289.0	:magnifying_glass_tilted_left:	if	🔍	
24.234399143417022	29.0	67.0	615.0	:magnifying_glass_tilted_left:	of	🔍	
24.1397702319304	27.0	39.0	530.0	:face_with_monocle:	send	🧐	
24.093431344132842	33.0	67.0	1273.0	:magnifying_glass_tilted_left:	us	🔍	
24.083147203742588	29.0	29.0	1485.0	:black_large_square:	pepper	⬛	
23.98256976913123	29.0	29.0	1528.0	:black_large_square:	a	⬛	
23.78836988431932	25.0	67.0	36.0	:magnifying_glass_tilted_left:	members	🔍	
23.7343027050588	30.0	69.0	844.0	:magnifying_glass_tilted_right:	with	🔎	
23.695192005026154	25.0	67.0	52.0	:magnifying_glass_tilted_left:	consumer	🔍	
23.349831481820324	47.0	100.0	2468.0	:smirking_face:	we	😏	
23.254215808563004	25.0	67.0	129.0	:magnifying_glass_tilted_left:	area	🔍	
23.176870550814442	64.0	185.0	2468.0	:hot_pepper:	we	🌶️	
22.97434032114411	25.0	67.0	179.0	:magnifying_glass_tilted_left:	one	🔍	
22.957898563281972	26.0	67.0	354.0	:magnifying_glass_tilted_left:	n't	🔍	
22.853630227288157	27.0	39.0	934.0	:face_with_monocle:	dm	🧐	
22.665693968071018	57.0	250.0	1528.0	:winking_face:	a	😉	
22.62463783646262	64.0	311.0	1528.0	:red_heart:	a	❤️	
22.562542026218754	32.0	39.0	2468.0	:face_with_monocle:	we	🧐	
22.562542026218754	32.0	39.0	2468.0	:waving_hand:	we	👋	
22.51521857846378	25.0	22.0	801.0	:chocolate_bar:	dr	🍫	
22.385226898434208	42.0	311.0	676.0	:red_heart:	is	❤️	
22.20237999807281	42.0	168.0	1273.0	:eyes:	us	👀	
22.189163444329612	38.0	69.0	2448.0	:magnifying_glass_tilted_right:	you	🔎	
22.15355697218702	45.0	168.0	1485.0	:eyes:	pepper	👀	
22.035308186356488	31.0	73.0	1273.0	:thinking_face:	us	🤔	
21.918252644563328	28.0	39.0	1548.0	:waving_hand:	and	👋	
21.82464183893444	27.0	67.0	747.0	:magnifying_glass_tilted_left:	in	🔍	
21.694498790330982	33.0	49.0	2468.0	:thumbs_up:	we	👍	
21.577220837415343	38.0	73.0	2468.0	:thinking_face:	we	🤔	
21.472394387519977	30.0	100.0	900.0	:smirking_face:	it	😏	
21.437774293829197	41.0	89.0	2448.0	:raising_hands:	you	🙌	
21.421435901883857	23.0	67.0	108.0	:magnifying_glass_tilted_left:	over	🔍	
21.3751266535446	34.0	69.0	1996.0	:magnifying_glass_tilted_right:	to	🔎	
21.26821611855408	29.0	33.0	2468.0	:cherries:	we	🍒	
21.03935968880822	51.0	439.0	801.0	:smiling_face_with_sunglasses:	dr	😎	
20.99508066240955	29.0	439.0	195.0	:smiling_face_with_sunglasses:	flavor	😎	
20.950002190513732	53.0	185.0	2059.0	:hot_pepper:	the	🌶️	
20.894619954640273	84.0	439.0	1996.0	:smiling_face_with_sunglasses:	to	😎	
20.78088691983046	50.0	168.0	2059.0	:eyes:	the	👀	
