SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
4842.635619442681	5200.0	296.0	296.0	:cup_with_straw:	:cup_with_straw:	🥤	🥤
3593.743468329512	3612.0	76.0	76.0	:white_large_square:	:white_large_square:	⬜	⬜
2023.4171312017895	2668.0	608.0	608.0	:red_heart:	:red_heart:	❤️	❤️
1986.6543560659654	2160.0	321.0	321.0	:fire:	:fire:	🔥	🔥
1077.293885433748	1088.0	104.0	104.0	:hot_pepper:	:hot_pepper:	🌶️	🌶️
1070.7569538743414	1076.0	69.0	69.0	:zany_face:	:zany_face:	🤪	🤪
1025.1039893979828	1038.0	118.0	118.0	:purple_heart:	:purple_heart:	💜	💜
1020.2225293451547	1026.0	75.0	75.0	:goat:	:goat:	🐐	🐐
934.6225883584021	940.0	75.0	75.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
835.611692647828	844.0	103.0	103.0	:triangular_flag:	:triangular_flag:	🚩	🚩
760.1407118418467	776.0	153.0	153.0	:thumbs_up:	:thumbs_up:	👍	👍
754.1862257842737	756.0	36.0	36.0	:cross_mark:	:cross_mark:	❌	❌
745.2913959524784	772.0	203.0	203.0	:smiling_face_with_hearts:	:smiling_face_with_hearts:	🥰	🥰
723.5887500733098	854.0	458.0	458.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
645.8428115813813	676.0	232.0	232.0	:pleading_face:	:pleading_face:	🥺	🥺
566.181240396349	572.0	101.0	101.0	:star-struck:	:star-struck:	🤩	🤩
555.3771827579071	566.0	144.0	144.0	:drooling_face:	:drooling_face:	🤤	🤤
541.0462777763269	574.0	265.0	265.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
532.9463327119911	626.0	450.0	450.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
522.4038655862275	524.0	37.0	37.0	:peach:	:peach:	🍑	🍑
509.6193443186018	512.0	57.0	57.0	:slightly_smiling_face:	:slightly_smiling_face:	🙂	🙂
506.51188639619573	508.0	34.0	34.0	:baby:	:baby:	👶	👶
