SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
131.65233028545114	183.0	75.0	5811.0	:face_with_symbols_on_mouth:	you	🤬	
94.24794908107718	112.0	36.0	5680.0	:cross_mark:	to	❌	
90.07042902229999	159.0	75.0	11327.0	:face_with_symbols_on_mouth:	i	🤬	
87.27567159622421	376.0	450.0	11327.0	:loudly_crying_face:	i	😭	
82.9923791670263	84.0	36.0	3.0	:cross_mark:	cvt	❌	
82.98221980275926	84.0	36.0	7.0	:cross_mark:	token	❌	
81.40233910507206	89.0	14.0	6719.0	:desert_island:	pepper	🏝️	
80.54830758917893	86.0	14.0	4598.0	:desert_island:	dr	🏝️	
78.61008440534229	281.0	608.0	5811.0	:red_heart:	you	❤️	
78.54757905844515	85.0	12.0	6719.0	:old_woman:	pepper	👵	
77.33712303657616	82.0	12.0	4598.0	:old_woman:	dr	👵	
71.34804736237784	194.0	450.0	4598.0	:loudly_crying_face:	dr	😭	
70.9196135489925	124.0	608.0	1349.0	:red_heart:	love	❤️	
68.53574212702591	266.0	608.0	6719.0	:red_heart:	pepper	❤️	
68.4970875919293	218.0	608.0	4598.0	:red_heart:	dr	❤️	
67.83615307113419	225.0	450.0	6719.0	:loudly_crying_face:	pepper	😭	
65.7602951358291	84.0	36.0	8228.0	:cross_mark:	the	❌	
65.7102616946863	94.0	101.0	4598.0	:star-struck:	dr	🤩	
65.12202060656381	101.0	450.0	1325.0	:loudly_crying_face:	please	😭	
64.7037301591492	75.0	124.0	1325.0	:folded_hands:	please	🙏	
64.62307075121619	83.0	66.0	4598.0	:sparkles:	dr	✨	
61.55483082009569	87.0	66.0	6719.0	:sparkles:	pepper	✨	
61.431624544353866	100.0	101.0	6719.0	:star-struck:	pepper	🤩	
59.629927131310005	174.0	450.0	5198.0	:loudly_crying_face:	it	😭	
59.41302326283483	307.0	608.0	11327.0	:red_heart:	i	❤️	
54.99659295454062	56.0	36.0	2.0	:cross_mark:	metavars	❌	
54.98467091180753	56.0	36.0	9.0	:cross_mark:	pre	❌	
54.972752937791306	56.0	36.0	16.0	:cross_mark:	sale	❌	
54.738533167429566	56.0	118.0	47.0	:purple_heart:	lean	💜	
53.50359534112731	98.0	608.0	1478.0	:red_heart:	all	❤️	
51.312071993456456	158.0	450.0	5680.0	:loudly_crying_face:	to	😭	
51.21300894281796	118.0	317.0	4598.0	:eyes:	dr	👀	
50.43869540927542	130.0	450.0	4032.0	:loudly_crying_face:	and	😭	
50.11496484985229	113.0	123.0	11327.0	:weary_face:	i	😩	
49.93586377596365	56.0	36.0	3210.0	:cross_mark:	in	❌	
49.79615428177844	56.0	36.0	3306.0	:cross_mark:	of	❌	
49.33495456278631	222.0	458.0	11327.0	:face_with_tears_of_joy:	i	😂	
49.27277759215741	64.0	450.0	691.0	:loudly_crying_face:	find	😭	
49.02572534179347	61.0	75.0	3348.0	:face_with_symbols_on_mouth:	my	🤬	
48.07831568806046	135.0	317.0	6719.0	:eyes:	pepper	👀	
44.496948156963235	88.0	450.0	2334.0	:loudly_crying_face:	me	😭	
44.45412673735799	135.0	608.0	4032.0	:red_heart:	and	❤️	
44.204501371124884	46.0	608.0	34.0	:red_heart:	wonderful	❤️	
43.91030329312543	121.0	608.0	3348.0	:red_heart:	my	❤️	
43.46582130146494	88.0	450.0	2449.0	:loudly_crying_face:	n't	😭	
42.97475628396789	44.0	52.0	13.0	:grinning_face:	happiness	😀	
42.6891222848104	59.0	68.0	5811.0	:clapping_hands:	you	👏	
42.12231877063583	160.0	450.0	8228.0	:loudly_crying_face:	the	😭	
40.672639106734444	44.0	608.0	107.0	:red_heart:	god	❤️	
40.58952567839664	97.0	458.0	3348.0	:face_with_tears_of_joy:	my	😂	
39.13495838557071	144.0	608.0	5680.0	:red_heart:	to	❤️	
38.78889955446986	123.0	450.0	5811.0	:loudly_crying_face:	you	😭	
38.47485878392896	55.0	608.0	725.0	:red_heart:	how	❤️	
38.46561368874601	49.0	68.0	4032.0	:clapping_hands:	and	👏	
38.431205835565734	78.0	450.0	2433.0	:loudly_crying_face:	's	😭	
37.01323077261812	112.0	458.0	5198.0	:face_with_tears_of_joy:	it	😂	
36.51988309314559	87.0	450.0	3348.0	:loudly_crying_face:	my	😭	
36.51444390743807	132.0	292.0	11327.0	:rolling_on_the_floor_laughing:	i	🤣	
36.46505537106022	111.0	292.0	8228.0	:rolling_on_the_floor_laughing:	the	🤣	
35.747613716404025	69.0	450.0	2167.0	:loudly_crying_face:	do	😭	
35.714250243909575	51.0	450.0	967.0	:loudly_crying_face:	out	😭	
35.06414637708489	81.0	458.0	3082.0	:face_with_tears_of_joy:	this	😂	
35.03805332867232	50.0	321.0	1349.0	:fire:	love	🔥	
34.54842186228791	96.0	608.0	3306.0	:red_heart:	of	❤️	
34.484185631953984	48.0	94.0	4202.0	:cherries:	is	🍒	
34.43527265932362	92.0	321.0	5811.0	:fire:	you	🔥	
34.32825633106298	121.0	450.0	6948.0	:loudly_crying_face:	a	😭	
34.278061709177486	122.0	458.0	6948.0	:face_with_tears_of_joy:	a	😂	
34.02810140605176	63.0	78.0	11327.0	:pensive_face:	i	😔	
33.940344224940105	109.0	232.0	11327.0	:pleading_face:	i	🥺	
33.25628624180169	51.0	450.0	1205.0	:loudly_crying_face:	back	😭	
32.9760274251073	43.0	450.0	665.0	:loudly_crying_face:	ca	😭	
32.743814926879544	60.0	450.0	1909.0	:loudly_crying_face:	can	😭	
32.313712065819175	35.0	94.0	624.0	:cherries:	cherry	🍒	
32.14333234996149	46.0	94.0	4598.0	:cherries:	dr	🍒	
32.12831414783843	38.0	69.0	2433.0	:zany_face:	's	🤪	
31.984464098048157	42.0	232.0	1325.0	:pleading_face:	please	🥺	
31.982478056115603	33.0	69.0	9.0	:zany_face:	orders	🤪	
31.949007774932813	114.0	608.0	5198.0	:red_heart:	it	❤️	
31.60064454189938	33.0	69.0	207.0	:zany_face:	doctor	🤪	
31.437079064590147	56.0	608.0	1316.0	:red_heart:	just	❤️	
31.26708213676219	35.0	75.0	1300.0	:face_with_symbols_on_mouth:	not	🤬	
30.970167540618462	34.0	94.0	780.0	:cherries:	zero	🍒	
30.742344535334084	83.0	608.0	3082.0	:red_heart:	this	❤️	
30.544164100506556	65.0	292.0	4032.0	:rolling_on_the_floor_laughing:	and	🤣	
30.391232590299918	77.0	292.0	5680.0	:rolling_on_the_floor_laughing:	to	🤣	
30.14282204717137	49.0	94.0	6719.0	:cherries:	pepper	🍒	
29.818532278427575	118.0	458.0	8228.0	:face_with_tears_of_joy:	the	😂	
29.629004724333935	70.0	450.0	3210.0	:loudly_crying_face:	in	😭	
29.54148146773703	48.0	450.0	1398.0	:loudly_crying_face:	so	😭	
29.137538033719494	50.0	608.0	1190.0	:red_heart:	'm	❤️	
29.12719204000404	35.0	75.0	2449.0	:face_with_symbols_on_mouth:	n't	🤬	
29.1057284974146	32.0	75.0	967.0	:face_with_symbols_on_mouth:	out	🤬	
28.998069841170818	30.0	75.0	1.0	:face_with_symbols_on_mouth:	adored	🤬	
28.996139874878402	30.0	75.0	2.0	:face_with_symbols_on_mouth:	betrayed	🤬	
28.994068181950034	31.0	75.0	518.0	:face_with_symbols_on_mouth:	had	🤬	
