SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
2137.2965338277527	3992.0	3992.0	3992.0	:speedboat:	:snow-capped_mountain:	🚤	🏔️
2137.2965338277527	3992.0	3992.0	3992.0	:snow-capped_mountain:	:speedboat:	🏔️	🚤
158.2539025613794	160.0	297.0	297.0	:shamrock:	:shamrock:	☘️	☘️
130.95399299282843	132.0	81.0	81.0	:purple_heart:	:purple_heart:	💜	💜
66.94675587707117	68.0	121.0	121.0	:registered:	:registered:	®️	®️
64.99542088126964	66.0	36.0	36.0	:grimacing_face:	:grimacing_face:	😬	😬
60.93400166053264	62.0	141.0	141.0	:red_heart:	:red_heart:	❤️	❤️
54.99983165959426	56.0	7.0	8.0	:blue_circle:	:red_circle:	🔵	🔴
54.99983165959426	56.0	8.0	7.0	:red_circle:	:blue_circle:	🔴	🔵
54.99980761100996	56.0	8.0	8.0	:red_circle:	:red_circle:	🔴	🔴
40.99988888050686	42.0	7.0	7.0	:blue_circle:	:blue_circle:	🔵	🔵
40.999092916194805	42.0	20.0	20.0	:writing_hand:	:writing_hand:	✍️	✍️
38.99991350928437	40.0	5.0	8.0	:purple_circle:	:red_circle:	🟣	🔴
38.99991350928437	40.0	8.0	5.0	:red_circle:	:purple_circle:	🔴	🟣
38.92305368118405	40.0	297.0	120.0	:shamrock:	:green_heart:	☘️	💚
38.92305368118405	40.0	120.0	297.0	:green_heart:	:shamrock:	💚	☘️
33.99993354990249	35.0	5.0	7.0	:purple_circle:	:blue_circle:	🟣	🔵
33.99993354990249	35.0	7.0	5.0	:blue_circle:	:purple_circle:	🔵	🟣
32.99952746966295	34.0	16.0	16.0	:clapping_hands:	:clapping_hands:	👏	👏
30.990212778709292	32.0	75.0	75.0	:money_bag:	:money_bag:	💰	💰
30.98056062257902	32.0	75.0	149.0	:money_bag:	:star-struck:	💰	🤩
30.98056062257902	32.0	149.0	75.0	:star-struck:	:money_bag:	🤩	💰
26.974959407179355	28.0	128.0	128.0	:face_savoring_food:	:face_savoring_food:	😋	😋
26.966077268579216	28.0	149.0	149.0	:star-struck:	:star-struck:	🤩	🤩
24.998449405722713	26.0	33.0	33.0	:sparkles:	:sparkles:	✨	✨
22.995865857184313	24.0	56.0	56.0	:fire:	:fire:	🔥	🔥
20.988355183362465	22.0	98.0	98.0	:beaming_face_with_smiling_eyes:	:beaming_face_with_smiling_eyes:	😁	😁
19.26731189890592	22.0	1233.0	1233.0	:smiling_face_with_smiling_eyes:	:smiling_face_with_smiling_eyes:	😊	😊
18.999972312475194	20.0	5.0	5.0	:purple_circle:	:purple_circle:	🟣	🟣
18.998046504007235	20.0	42.0	42.0	:thinking_face:	:thinking_face:	🤔	🤔
18.984061440125572	20.0	120.0	120.0	:green_heart:	:green_heart:	💚	💚
16.999918835997054	18.0	9.0	9.0	:butterfly:	:butterfly:	🦋	🦋
16.999675347157087	18.0	18.0	18.0	:eye:	:eye:	👁️	👁️
14.999985655108764	16.0	8.0	2.0	:red_circle:	:green_circle:	🔴	🟢
14.999985655108764	16.0	8.0	2.0	:red_circle:	:orange_circle:	🔴	🟠
14.999985655108764	16.0	2.0	8.0	:green_circle:	:red_circle:	🟢	🔴
14.999985655108764	16.0	2.0	8.0	:orange_circle:	:red_circle:	🟠	🔴
14.999870897323845	16.0	8.0	18.0	:mouth:	:eye:	👄	👁️
14.999870897323843	16.0	18.0	8.0	:eye:	:mouth:	👁️	👄
12.999988924852047	14.0	7.0	2.0	:blue_circle:	:green_circle:	🔵	🟢
12.999988924852047	14.0	7.0	2.0	:blue_circle:	:orange_circle:	🔵	🟠
12.999988924852047	14.0	2.0	7.0	:green_circle:	:blue_circle:	🟢	🔵
12.999988924852047	14.0	2.0	7.0	:orange_circle:	:blue_circle:	🟠	🔵
10.999989030377122	12.0	4.0	4.0	:chicken:	:chicken:	🐔	🐔
10.999989030377122	12.0	4.0	4.0	:soft_ice_cream:	:soft_ice_cream:	🍦	🍦
8.999994198899135	10.0	5.0	2.0	:purple_circle:	:green_circle:	🟣	🟢
8.999994198899135	10.0	5.0	2.0	:purple_circle:	:orange_circle:	🟣	🟠
8.999994198899135	10.0	2.0	5.0	:green_circle:	:purple_circle:	🟢	🟣
8.999994198899135	10.0	2.0	5.0	:orange_circle:	:purple_circle:	🟠	🟣
8.989495649219078	10.0	120.0	151.0	:green_heart:	:smiling_face_with_heart-eyes:	💚	😍
8.989495649219078	10.0	151.0	120.0	:smiling_face_with_heart-eyes:	:green_heart:	😍	💚
6.999996202918316	8.0	8.0	1.0	:red_circle:	:boy:	🔴	👦
