SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
3040.7066802689424	20096.0	10090.0	20432.0	:eyes:	come	👀	
2766.923562904839	30153.0	10090.0	55359.0	:eyes:	u	👀	
2168.0817226729864	10048.0	10090.0	10048.0	:eyes:	innovations	👀	
2167.3236927480175	10048.0	10090.0	10055.0	:eyes:	create	👀	
2161.932087554375	10048.0	10090.0	10105.0	:eyes:	tried	👀	
2142.848476984707	10048.0	10090.0	10285.0	:eyes:	ca	👀	
2137.2965338277527	3992.0	3992.0	3992.0	:speedboat:	order+build	🚤	
2137.2965338277527	3992.0	3992.0	3992.0	:snow-capped_mountain:	order+build	🏔️	
2137.0607829728383	3992.0	3992.0	3993.0	:speedboat:	mmm	🚤	
2137.0607829728383	3992.0	3992.0	3993.0	:speedboat:	u'd	🚤	
2137.0607829728383	3992.0	3992.0	3993.0	:snow-capped_mountain:	mmm	🏔️	
2137.0607829728383	3992.0	3992.0	3993.0	:snow-capped_mountain:	u'd	🏔️	
2136.353919253422	3992.0	3992.0	3996.0	:speedboat:	surf+turf	🚤	
2136.353919253422	3992.0	3992.0	3996.0	:snow-capped_mountain:	surf+turf	🏔️	
2136.118427549291	3992.0	3992.0	3997.0	:speedboat:	sipping	🚤	
2136.118427549291	3992.0	3992.0	3997.0	:snow-capped_mountain:	sipping	🏔️	
2134.941939474901	3992.0	3992.0	4002.0	:speedboat:	medium	🚤	
2134.941939474901	3992.0	3992.0	4002.0	:snow-capped_mountain:	medium	🏔️	
2110.927785135651	10048.0	10090.0	10597.0	:eyes:	has	👀	
2101.06262543713	3992.0	3992.0	4149.0	:speedboat:	think	🚤	
2101.06262543713	3992.0	3992.0	4149.0	:snow-capped_mountain:	think	🏔️	
2096.332397039153	3992.0	3992.0	4170.0	:speedboat:	drink	🚤	
2096.332397039153	3992.0	3992.0	4170.0	:snow-capped_mountain:	drink	🏔️	
2032.416206886069	3992.0	3992.0	4466.0	:speedboat:	were	🚤	
2032.416206886069	3992.0	3992.0	4466.0	:snow-capped_mountain:	were	🏔️	
2023.7590370404607	10048.0	10090.0	11525.0	:eyes:	wait	👀	
1919.5769093707358	10048.0	10090.0	12803.0	:eyes:	time	👀	
1911.041171476201	10048.0	10090.0	12917.0	:eyes:	own	👀	
1747.1706427550798	11976.0	3992.0	55359.0	:speedboat:	u	🚤	
1747.1706427550798	11976.0	3992.0	55359.0	:snow-capped_mountain:	u	🏔️	
1746.772954284153	3992.0	3992.0	6151.0	:speedboat:	fries	🚤	
1746.772954284153	3992.0	3992.0	6151.0	:snow-capped_mountain:	fries	🏔️	
1668.5259507306662	10048.0	10090.0	16916.0	:eyes:	up	👀	
1655.1919283713084	3992.0	3992.0	6866.0	:speedboat:	important	🚤	
1655.1919283713084	3992.0	3992.0	6866.0	:snow-capped_mountain:	important	🏔️	
1527.3059930911136	10048.0	10090.0	20161.0	:eyes:	n't	👀	
1467.1598028522073	10050.0	10090.0	21841.0	:eyes:	ur	👀	
1394.14477304119	7984.0	3992.0	38628.0	:speedboat:	what	🚤	
1394.14477304119	7984.0	3992.0	38628.0	:snow-capped_mountain:	what	🏔️	
1349.7433774894198	10048.0	10090.0	25753.0	:eyes:	our	👀	
1328.7502420345618	10048.0	10090.0	26564.0	:eyes:	#mcdonaldshacks	👀	
1246.6747901363156	10048.0	10090.0	30131.0	:eyes:	share	👀	
1208.0095096338566	3992.0	3992.0	12897.0	:speedboat:	when	🚤	
1208.0095096338566	3992.0	3992.0	12897.0	:snow-capped_mountain:	when	🏔️	
1165.9027208165653	3992.0	3992.0	13840.0	:speedboat:	or	🚤	
1165.9027208165653	3992.0	3992.0	13840.0	:snow-capped_mountain:	or	🏔️	
1155.7004547165304	3992.0	3992.0	14084.0	:speedboat:	if	🚤	
1155.7004547165304	3992.0	3992.0	14084.0	:snow-capped_mountain:	if	🏔️	
1154.2251628997737	10048.0	10090.0	35077.0	:eyes:	with	👀	
1099.3908189702984	10051.0	10090.0	38628.0	:eyes:	what	👀	
1090.2588272234036	3992.0	3992.0	15814.0	:speedboat:	tweet	🚤	
1090.2588272234036	3992.0	3992.0	15814.0	:snow-capped_mountain:	tweet	🏔️	
1085.6038597255913	3992.0	3992.0	15949.0	:speedboat:	else	🚤	
1085.6038597255913	3992.0	3992.0	15949.0	:snow-capped_mountain:	else	🏔️	
1077.2674828480758	10048.0	10090.0	40180.0	:eyes:	now	👀	
1066.8335452464069	3991.0	3992.0	16503.0	:speedboat:	#stop	🚤	
1066.8335452464069	3991.0	3992.0	16503.0	:speedboat:	unsubscribe	🚤	
1066.8335452464069	3991.0	3992.0	16503.0	:snow-capped_mountain:	#stop	🏔️	
1066.8335452464069	3991.0	3992.0	16503.0	:snow-capped_mountain:	unsubscribe	🏔️	
1066.1913761826427	3992.0	3992.0	16531.0	:speedboat:	bag	🚤	
1066.1913761826427	3992.0	3992.0	16531.0	:snow-capped_mountain:	bag	🏔️	
1056.4848012501336	3992.0	3992.0	16834.0	:speedboat:	of	🚤	
1056.4848012501336	3992.0	3992.0	16834.0	:snow-capped_mountain:	of	🏔️	
1053.777300595683	3992.0	3992.0	16920.0	:speedboat:	see	🚤	
1053.777300595683	3992.0	3992.0	16920.0	:snow-capped_mountain:	see	🏔️	
1050.5245179645892	10051.0	10090.0	42240.0	:eyes:	for	👀	
1023.6500626200229	3992.0	3992.0	17923.0	:speedboat:	want	🚤	
1023.6500626200229	3992.0	3992.0	17923.0	:snow-capped_mountain:	want	🏔️	
1007.931455758397	3992.0	3992.0	18482.0	:speedboat:	be	🚤	
1007.931455758397	3992.0	3992.0	18482.0	:snow-capped_mountain:	be	🏔️	
926.5315367623417	3992.0	3992.0	21841.0	:speedboat:	ur	🚤	
926.5315367623417	3992.0	3992.0	21841.0	:snow-capped_mountain:	ur	🏔️	
884.1613432254408	20096.0	10090.0	230975.0	:eyes:	to	👀	
844.6803846839264	11975.0	3992.0	230975.0	:speedboat:	to	🚤	
844.6803846839264	11975.0	3992.0	230975.0	:snow-capped_mountain:	to	🏔️	
839.2953359871058	3992.0	3992.0	26564.0	:speedboat:	#mcdonaldshacks	🚤	
839.2953359871058	3992.0	3992.0	26564.0	:snow-capped_mountain:	#mcdonaldshacks	🏔️	
836.7587783542664	7984.0	3992.0	105712.0	:speedboat:	a	🚤	
836.7587783542664	7984.0	3992.0	105712.0	:snow-capped_mountain:	a	🏔️	
803.3626598480881	10048.0	10090.0	71292.0	:eyes:	and	👀	
785.5959352821908	3992.0	3992.0	30272.0	:speedboat:	like	🚤	
785.5959352821908	3992.0	3992.0	30272.0	:snow-capped_mountain:	like	🏔️	
734.2860754014037	3992.0	3992.0	34587.0	:speedboat:	it	🚤	
734.2860754014037	3992.0	3992.0	34587.0	:snow-capped_mountain:	it	🏔️	
732.4830649425509	3992.0	3992.0	34755.0	:speedboat:	this	🚤	
732.4830649425509	3992.0	3992.0	34755.0	:snow-capped_mountain:	this	🏔️	
636.32499058503	3992.0	3992.0	45836.0	:speedboat:	get	🚤	
636.32499058503	3992.0	3992.0	45836.0	:snow-capped_mountain:	get	🏔️	
611.9512240834763	3992.0	3992.0	49483.0	:speedboat:	is	🚤	
611.9512240834763	3992.0	3992.0	49483.0	:snow-capped_mountain:	is	🏔️	
587.5137312239422	7984.0	3992.0	209701.0	:speedboat:	the	🚤	
587.5137312239422	7984.0	3992.0	209701.0	:snow-capped_mountain:	the	🏔️	
575.6124154820346	3992.0	3992.0	55778.0	:speedboat:	on	🚤	
575.6124154820346	3992.0	3992.0	55778.0	:snow-capped_mountain:	on	🏔️	
538.9693627040228	3992.0	3992.0	63413.0	:speedboat:	only	🚤	
538.9693627040228	3992.0	3992.0	63413.0	:snow-capped_mountain:	only	🏔️	
537.9709155340108	703.0	1233.0	4514.0	:smiling_face_with_smiling_eyes:	download	😊	
494.3044482852526	3992.0	3992.0	75017.0	:speedboat:	free	🚤	
494.3044482852526	3992.0	3992.0	75017.0	:snow-capped_mountain:	free	🏔️	
486.99194121997084	3992.0	3992.0	77214.0	:speedboat:	's	🚤	
486.99194121997084	3992.0	3992.0	77214.0	:snow-capped_mountain:	's	🏔️	
480.62999282358925	3992.0	3992.0	79204.0	:speedboat:	app	🚤	
480.62999282358925	3992.0	3992.0	79204.0	:snow-capped_mountain:	app	🏔️	
473.11825287271273	625.0	1279.0	4545.0	:slightly_smiling_face:	prices	🙂	
470.3365551967422	3991.0	3992.0	82548.0	:speedboat:	reply	🚤	
470.3365551967422	3991.0	3992.0	82548.0	:snow-capped_mountain:	reply	🏔️	
454.80290629142894	10055.0	10090.0	209701.0	:eyes:	the	👀	
450.4387519402589	3992.0	3992.0	89769.0	:speedboat:	in	🚤	
450.4387519402589	3992.0	3992.0	89769.0	:snow-capped_mountain:	in	🏔️	
427.20898953198576	512.0	1233.0	2926.0	:smiling_face_with_smiling_eyes:	latest	😊	
407.76379965631463	538.0	1279.0	4514.0	:slightly_smiling_face:	download	🙂	
407.09098451417145	516.0	1233.0	3930.0	:smiling_face_with_smiling_eyes:	pricing	😊	
406.1297113695539	532.0	1233.0	4545.0	:smiling_face_with_smiling_eyes:	prices	😊	
401.27406259664644	484.0	1279.0	2926.0	:slightly_smiling_face:	latest	🙂	
400.2391191953998	468.0	1233.0	2495.0	:smiling_face_with_smiling_eyes:	based	😊	
367.41122057976304	428.0	1233.0	2426.0	:smiling_face_with_smiling_eyes:	set	😊	
355.9078168565717	586.0	1233.0	9441.0	:smiling_face_with_smiling_eyes:	location	😊	
347.21085527473747	456.0	1279.0	4419.0	:slightly_smiling_face:	individual	🙂	
342.5634536155198	397.0	1279.0	2250.0	:slightly_smiling_face:	variables	🙂	
328.8293798097265	467.0	1279.0	5905.0	:slightly_smiling_face:	restaurant	🙂	
328.5784461619206	549.0	1279.0	9441.0	:slightly_smiling_face:	location	🙂	
325.10798673872944	421.0	1279.0	4158.0	:slightly_smiling_face:	vary	🙂	
312.23828332978707	666.0	1233.0	17052.0	:smiling_face_with_smiling_eyes:	deals	😊	
310.7436973455319	1041.0	1233.0	42240.0	:smiling_face_with_smiling_eyes:	for	😊	
305.39360415067915	406.0	1233.0	4807.0	:smiling_face_with_smiling_eyes:	may	😊	
301.06005587084377	404.0	1279.0	4807.0	:slightly_smiling_face:	may	🙂	
297.02207297030196	641.0	1279.0	16834.0	:slightly_smiling_face:	of	🙂	
296.2985178497796	379.0	1279.0	3930.0	:slightly_smiling_face:	pricing	🙂	
292.9801476350005	678.0	1233.0	20163.0	:smiling_face_with_smiling_eyes:	can	😊	
292.39651136073917	324.0	1233.0	1574.0	:smiling_face_with_smiling_eyes:	factors	😊	
284.2944334422012	670.0	1279.0	20163.0	:slightly_smiling_face:	can	🙂	
284.01667377231684	441.0	1233.0	8035.0	:smiling_face_with_smiling_eyes:	are	😊	
278.21266811408475	352.0	1279.0	3731.0	:slightly_smiling_face:	their	🙂	
269.42923496980353	424.0	1279.0	8035.0	:slightly_smiling_face:	are	🙂	
268.0727403807452	311.0	1279.0	2252.0	:slightly_smiling_face:	owner	🙂	
266.71491193633904	1121.0	1279.0	63487.0	:slightly_smiling_face:	you	🙂	
262.072532471247	524.0	1233.0	14819.0	:smiling_face_with_smiling_eyes:	by	😊	
262.0533490522594	1147.0	1233.0	71292.0	:smiling_face_with_smiling_eyes:	and	😊	
261.23921568299164	282.0	1279.0	1100.0	:slightly_smiling_face:	greatest	🙂	
260.4533487425031	287.0	1279.0	1422.0	:slightly_smiling_face:	decide	🙂	
258.6897401648461	287.0	1233.0	1586.0	:smiling_face_with_smiling_eyes:	items	😊	
251.58741058604653	616.0	1279.0	21735.0	:slightly_smiling_face:	always	🙂	
251.57849279482315	547.0	1279.0	17052.0	:slightly_smiling_face:	deals	🙂	
248.9696346672827	292.0	1279.0	2426.0	:slightly_smiling_face:	set	🙂	
243.6651569882506	287.0	1279.0	2495.0	:slightly_smiling_face:	based	🙂	
235.0231784341627	1050.0	1279.0	71292.0	:slightly_smiling_face:	and	🙂	
233.9496952745316	281.0	1279.0	2819.0	:slightly_smiling_face:	them	🙂	
232.62011619807416	259.0	1279.0	1578.0	:slightly_smiling_face:	cost	🙂	
230.93019053784613	791.0	1279.0	42240.0	:slightly_smiling_face:	for	🙂	
227.48782801142454	881.0	1233.0	55778.0	:smiling_face_with_smiling_eyes:	on	😊	
225.7774838701983	844.0	1233.0	52016.0	:smiling_face_with_smiling_eyes:	your	😊	
222.20665707477468	1728.0	1279.0	209701.0	:slightly_smiling_face:	the	🙂	
221.61576814080667	312.0	1233.0	5905.0	:smiling_face_with_smiling_eyes:	restaurant	😊	
