SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
1480.3704074124591	1482.0	39.0	39.0	:white_circle:	:white_circle:	⚪	⚪
1259.0204181551799	7970.0	4431.0	8017.0	:fire:	:backhand_index_pointing_down:	🔥	👇
1259.0204181551799	7970.0	8017.0	4431.0	:backhand_index_pointing_down:	:fire:	👇	🔥
1012.7126941546342	1014.0	39.0	26.0	:white_circle:	:blue_circle:	⚪	🔵
1012.7126941546342	1014.0	26.0	39.0	:blue_circle:	:white_circle:	🔵	⚪
936.6993254589149	8008.0	8017.0	8017.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
752.5473193191724	878.0	760.0	760.0	:raising_hands:	:raising_hands:	🙌	🙌
648.8771423209292	650.0	26.0	26.0	:blue_circle:	:blue_circle:	🔵	🔵
575.1142568305393	1707.0	1744.0	4476.0	:smirking_face:	:blue_heart:	😏	💙
575.1142568305393	1707.0	4476.0	1744.0	:blue_heart:	:smirking_face:	💙	😏
393.56788826022677	402.0	259.0	259.0	:clapping_hands:	:clapping_hands:	👏	👏
286.7024634997454	294.0	279.0	279.0	:star-struck:	:star-struck:	🤩	🤩
238.98277441129812	240.0	16.0	16.0	:black_large_square:	:black_large_square:	⬛	⬛
228.6571724204873	1104.0	4476.0	4476.0	:blue_heart:	:blue_heart:	💙	💙
196.16230158258736	198.0	123.0	123.0	:face_blowing_a_kiss:	:face_blowing_a_kiss:	😘	😘
164.97872666866644	168.0	208.0	208.0	:hundred_points:	:hundred_points:	💯	💯
162.77450786441048	164.0	70.0	70.0	:glowing_star:	:glowing_star:	🌟	🌟
159.28449123915811	162.0	195.0	195.0	:face_savoring_food:	:face_savoring_food:	😋	😋
109.35221124318151	534.0	4431.0	4431.0	:fire:	:fire:	🔥	🔥
76.32918433671514	78.0	175.0	175.0	:smiling_face_with_sunglasses:	:smiling_face_with_sunglasses:	😎	😎
70.77584464703732	72.0	105.0	105.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
52.91141464860102	54.0	76.0	76.0	:rocket:	:rocket:	🚀	🚀
48.94172680274887	50.0	64.0	64.0	:sparkles:	:sparkles:	✨	✨
48.512890039224935	51.0	760.0	138.0	:raising_hands:	:american_football:	🙌	🏈
48.512890039224935	51.0	138.0	760.0	:american_football:	:raising_hands:	🏈	🙌
46.99002771794942	48.0	27.0	27.0	:check_mark:	:check_mark:	✔️	✔️
44.98656493444508	46.0	32.0	32.0	:police_car_light:	:police_car_light:	🚨	🚨
40.989904574061406	42.0	29.0	29.0	:smiling_face_with_smiling_eyes:	:smiling_face_with_smiling_eyes:	😊	😊
37.9973866611899	39.0	39.0	6.0	:white_circle:	:bell:	⚪	🔔
37.9973866611899	39.0	6.0	39.0	:bell:	:white_circle:	🔔	⚪
37.99651560959749	39.0	39.0	8.0	:white_circle:	:ring:	⚪	💍
37.99651560959749	39.0	8.0	39.0	:ring:	:white_circle:	💍	⚪
34.992469899326665	36.0	27.0	27.0	:smiling_face_with_hearts:	:smiling_face_with_hearts:	🥰	🥰
30.999705148341913	32.0	16.0	2.0	:black_large_square:	:white_large_square:	⬛	⬜
30.999705148341913	32.0	2.0	16.0	:white_large_square:	:black_large_square:	⬜	⬛
30.998442862396356	32.0	13.0	13.0	:triangular_flag:	:triangular_flag:	🚩	🚩
30.99764130502135	32.0	16.0	16.0	:star:	:star:	⭐	⭐
29.97587939677006	60.0	1753.0	1753.0	:exploding_head:	:exploding_head:	🤯	🤯
28.999688395662872	30.0	6.0	6.0	:hot_pepper:	:hot_pepper:	🌶️	🌶️
28.994149600403773	30.0	26.0	26.0	:waving_hand:	:waving_hand:	👋	👋
24.99882397622137	26.0	26.0	6.0	:blue_circle:	:bell:	🔵	🔔
24.99882397622137	26.0	6.0	26.0	:bell:	:blue_circle:	🔔	🔵
24.998431986422037	26.0	26.0	8.0	:blue_circle:	:ring:	🔵	💍
24.998431986422037	26.0	8.0	26.0	:ring:	:blue_circle:	💍	🔵
22.99597977937742	24.0	24.0	24.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
22.994912080703905	24.0	27.0	27.0	:sun:	:sun:	☀️	☀️
22.992400133974762	24.0	33.0	33.0	:party_popper:	:party_popper:	🎉	🎉
20.99689208132075	22.0	22.0	22.0	:heart_suit:	:heart_suit:	♥️	♥️
19.991556221610132	21.0	25.0	55.0	:sign_of_the_horns:	:microphone:	🤘	🎤
19.991556221610132	21.0	55.0	25.0	:microphone:	:sign_of_the_horns:	🎤	🤘
16.999469498106	18.0	10.0	10.0	:crossed_fingers:	:crossed_fingers:	🤞	🤞
16.999236084601666	18.0	12.0	12.0	:thumbs_up:	:thumbs_up:	👍	👍
16.9839625447288	18.0	55.0	55.0	:microphone:	:microphone:	🎤	🎤
14.99992405305274	16.0	16.0	1.0	:black_large_square:	:red_square:	⬛	🟥
14.99992405305274	16.0	16.0	1.0	:black_large_square:	:blue_square:	⬛	🟦
14.99992405305274	16.0	1.0	16.0	:red_square:	:black_large_square:	🟥	⬛
14.99992405305274	16.0	1.0	16.0	:blue_square:	:black_large_square:	🟦	⬛
14.104163813234488	16.0	259.0	760.0	:clapping_hands:	:raising_hands:	👏	🙌
14.104163813234488	16.0	760.0	259.0	:raising_hands:	:clapping_hands:	🙌	👏
11.456762192381209	13.0	32.0	4476.0	:wrapped_gift:	:blue_heart:	🎁	💙
11.456762192381209	13.0	4476.0	32.0	:blue_heart:	:wrapped_gift:	💙	🎁
10.999822140221152	12.0	7.0	7.0	:flexed_biceps:	:flexed_biceps:	💪	💪
10.999767694089478	12.0	8.0	8.0	:ring:	:ring:	💍	💍
10.999637024773701	12.0	10.0	10.0	:poultry_leg:	:cut_of_meat:	🍗	🥩
10.999637024773701	12.0	10.0	10.0	:cut_of_meat:	:poultry_leg:	🥩	🍗
10.999560801921875	12.0	11.0	11.0	:high_voltage:	:high_voltage:	⚡	⚡
10.999560801921875	12.0	11.0	11.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
10.999477320532742	12.0	12.0	12.0	:dizzy:	:dizzy:	💫	💫
10.998729653782615	12.0	35.0	10.0	:cup_with_straw:	:glass_of_milk:	🥤	🥛
10.998729653782615	12.0	10.0	35.0	:glass_of_milk:	:cup_with_straw:	🥛	🥤
10.998080035012755	12.0	23.0	23.0	:partying_face:	:partying_face:	🥳	🥳
10.975627652766365	12.0	82.0	82.0	:cherries:	:cherries:	🍒	🍒
10.117169049817331	12.0	32.0	8017.0	:police_car_light:	:backhand_index_pointing_down:	🚨	👇
10.117169049817331	12.0	8017.0	32.0	:backhand_index_pointing_down:	:police_car_light:	👇	🚨
9.997420445246934	11.0	22.0	35.0	:camera_with_flash:	:cup_with_straw:	📸	🥤
9.997420445246934	11.0	35.0	22.0	:cup_with_straw:	:camera_with_flash:	🥤	📸
8.999631441921807	10.0	12.0	10.0	:cookie:	:glass_of_milk:	🍪	🥛
8.999631441921805	10.0	10.0	12.0	:glass_of_milk:	:cookie:	🥛	🍪
8.99871012694694	10.0	35.0	12.0	:cup_with_straw:	:cookie:	🥤	🍪
8.99871012694694	10.0	12.0	35.0	:cookie:	:cup_with_straw:	🍪	🥤
7.998436560660526	9.0	16.0	35.0	:movie_camera:	:cup_with_straw:	🎥	🥤
7.998436560660525	9.0	35.0	16.0	:cup_with_straw:	:movie_camera:	🥤	🎥
7.997654975429891	9.0	105.0	8.0	:smiling_face_with_heart-eyes:	:ring:	😍	💍
7.997654975429891	9.0	8.0	105.0	:ring:	:smiling_face_with_heart-eyes:	💍	😍
7.995327498898322	9.0	6.0	279.0	:loudly_crying_face:	:star-struck:	😭	🤩
7.995327498898322	9.0	279.0	6.0	:star-struck:	:loudly_crying_face:	🤩	😭
7.991991161606176	9.0	35.0	82.0	:cup_with_straw:	:cherries:	🥤	🍒
7.991991161606176	9.0	82.0	35.0	:cherries:	:cup_with_straw:	🍒	🥤
6.999937176357368	8.0	5.0	5.0	:red_exclamation_mark:	:red_exclamation_mark:	❗	❗
6.999879379160612	8.0	8.0	6.0	:taco:	:pot_of_food:	🌮	🍲
6.999879379160612	8.0	6.0	8.0	:pot_of_food:	:taco:	🍲	🌮
6.999849224316859	8.0	6.0	10.0	:leafy_green:	:poultry_leg:	🥬	🍗
6.999849224316859	8.0	6.0	10.0	:leafy_green:	:cut_of_meat:	🥬	🥩
6.999849224316859	8.0	6.0	10.0	:leafy_green:	:fried_shrimp:	🥬	🍤
6.999849224316858	8.0	10.0	6.0	:poultry_leg:	:leafy_green:	🍗	🥬
6.999849224316858	8.0	10.0	6.0	:cut_of_meat:	:leafy_green:	🥩	🥬
6.999849224316858	8.0	10.0	6.0	:fried_shrimp:	:leafy_green:	🍤	🥬
6.999748709218836	8.0	10.0	10.0	:poultry_leg:	:fried_shrimp:	🍗	🍤
6.999748709218836	8.0	10.0	10.0	:cut_of_meat:	:fried_shrimp:	🥩	🍤
6.999748709218836	8.0	10.0	10.0	:fried_shrimp:	:poultry_leg:	🍤	🍗
6.999748709218836	8.0	10.0	10.0	:fried_shrimp:	:cut_of_meat:	🍤	🥩
6.9995979396132695	8.0	16.0	10.0	:movie_camera:	:glass_of_milk:	🎥	🥛
6.9995979396132695	8.0	10.0	16.0	:glass_of_milk:	:movie_camera:	🥛	🎥
6.999447173659292	8.0	22.0	10.0	:camera_with_flash:	:glass_of_milk:	📸	🥛
6.999447173659292	8.0	10.0	22.0	:glass_of_milk:	:camera_with_flash:	🥛	📸
6.998891883853809	8.0	21.0	21.0	:trophy:	:trophy:	🏆	🏆
6.9328758712546446	8.0	6.0	4476.0	:pot_of_food:	:blue_heart:	🍲	💙
6.9328758712546446	8.0	4476.0	6.0	:blue_heart:	:pot_of_food:	💙	🍲
6.910661938015743	8.0	8.0	4476.0	:taco:	:blue_heart:	🌮	💙
6.910661938015743	8.0	4476.0	8.0	:blue_heart:	:taco:	💙	🌮
6.87749054906598	8.0	11.0	4476.0	:black_heart:	:blue_heart:	🖤	💙
6.87749054906598	8.0	4476.0	11.0	:blue_heart:	:black_heart:	💙	🖤
5.999571138035702	7.0	16.0	12.0	:movie_camera:	:cookie:	🎥	🍪
5.999571138035702	7.0	12.0	16.0	:cookie:	:movie_camera:	🍪	🎥
5.9994103231966	7.0	22.0	12.0	:camera_with_flash:	:cookie:	📸	🍪
5.9994103231966	7.0	12.0	22.0	:cookie:	:camera_with_flash:	🍪	📸
5.999213777946057	7.0	22.0	16.0	:camera_with_flash:	:movie_camera:	📸	🎥
5.999213777946057	7.0	16.0	22.0	:movie_camera:	:camera_with_flash:	🎥	📸
5.803524473569221	7.0	20.0	4476.0	:confetti_ball:	:blue_heart:	🎊	💙
5.803524473569221	7.0	4476.0	20.0	:blue_heart:	:confetti_ball:	💙	🎊
4.9999824093251695	6.0	3.0	3.0	:P_button:	:P_button:	🅿️	🅿️
4.9999824093251695	6.0	3.0	3.0	:T-Rex:	:T-Rex:	🦖	🦖
4.9999824093251695	6.0	3.0	3.0	:check_mark_button:	:check_mark_button:	✅	✅
4.9999824093251695	6.0	3.0	3.0	:film_projector:	:film_projector:	📽️	📽️
4.9999824093251695	6.0	3.0	3.0	:sports_medal:	:sports_medal:	🏅	🏅
4.9999824093251695	6.0	3.0	3.0	:gem_stone:	:gem_stone:	💎	💎
4.999968727715858	6.0	4.0	4.0	:recycling_symbol:	:recycling_symbol:	♻️	♻️
4.999968727715858	6.0	4.0	4.0	:person_running:	:person_running:	🏃	🏃
4.999951137156014	6.0	5.0	5.0	:cold_face:	:cold_face:	🥶	🥶
4.999951137156014	6.0	5.0	5.0	:grinning_face_with_sweat:	:grinning_face_with_sweat:	😅	😅
4.999929637652103	6.0	6.0	6.0	:bell:	:bell:	🔔	🔔
4.999929637652103	6.0	6.0	6.0	:smiling_face_with_halo:	:smiling_face_with_halo:	😇	😇
4.999929637652103	6.0	6.0	6.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
4.999904229263457	6.0	7.0	7.0	:victory_hand:	:victory_hand:	✌️	✌️
4.999841686089423	6.0	9.0	9.0	:folded_hands:	:folded_hands:	🙏	🙏
4.999804551441404	6.0	10.0	10.0	:pancakes:	:pancakes:	🥞	🥞
4.999804551441404	6.0	10.0	10.0	:snowflake:	:snowflake:	❄️	❄️
4.999788915883004	6.0	6.0	18.0	:goal_net:	:ice_hockey:	🥅	🏒
4.999788915883004	6.0	18.0	6.0	:ice_hockey:	:goal_net:	🏒	🥅
4.999749827196066	6.0	64.0	2.0	:sparkles:	:woman’s_boot:	✨	👢
4.999749827196066	6.0	2.0	64.0	:woman’s_boot:	:sparkles:	👢	✨
4.999742009494836	6.0	22.0	6.0	:camera_with_flash:	:video_camera:	📸	📹
4.999742009494836	6.0	6.0	22.0	:video_camera:	:camera_with_flash:	📹	📸
4.999742009494836	6.0	22.0	6.0	:camera_with_flash:	:writing_hand:	📸	✍️
4.999742009494836	6.0	6.0	22.0	:writing_hand:	:camera_with_flash:	✍️	📸
4.999718556463821	6.0	12.0	12.0	:man_dancing:	:man_dancing:	🕺	🕺
4.999616927914137	6.0	14.0	14.0	:OK_hand:	:OK_hand:	👌	👌
4.999560251339697	6.0	15.0	15.0	:crown:	:crown:	👑	👑
4.999218250978955	6.0	20.0	20.0	:confetti_ball:	:confetti_ball:	🎊	🎊
4.99905409900264	6.0	22.0	22.0	:mango:	:mango:	🥭	🥭
4.998778570136088	6.0	25.0	25.0	:sign_of_the_horns:	:sign_of_the_horns:	🤘	🤘
4.994338954739613	6.0	21.0	138.0	:trophy:	:american_football:	🏆	🏈
4.994338954739611	6.0	138.0	21.0	:american_football:	:trophy:	🏈	🏆
4.962914296229253	6.0	138.0	138.0	:american_football:	:american_football:	🏈	🏈
4.7028200959432445	6.0	4476.0	35.0	:blue_heart:	:baseball:	💙	⚾
4.702820095943244	6.0	35.0	4476.0	:baseball:	:blue_heart:	⚾	💙
4.33048248550099	6.0	4476.0	82.0	:blue_heart:	:cherries:	💙	🍒
4.33048248550099	6.0	82.0	4476.0	:cherries:	:blue_heart:	🍒	💙
3.9908972297196206	5.0	259.0	21.0	:clapping_hands:	:trophy:	👏	🏆
3.9908972297196206	5.0	21.0	259.0	:trophy:	:clapping_hands:	🏆	👏
3.9860162101068557	5.0	760.0	11.0	:raising_hands:	:soccer_ball:	🙌	⚽
3.9860162101068557	5.0	11.0	760.0	:soccer_ball:	:raising_hands:	⚽	🙌
3.9042650318318097	5.0	760.0	76.0	:raising_hands:	:rocket:	🙌	🚀
3.9042650318318097	5.0	76.0	760.0	:rocket:	:raising_hands:	🚀	🙌
3.7468720879290807	8.0	1336.0	1336.0	:musical_notes:	:musical_notes:	🎶	🎶
2.9999944156408795	4.0	2.0	2.0	:man_running:	:woman_running:	🏃‍♂️	🏃‍♀️
2.9999944156408795	4.0	2.0	2.0	:woman_running:	:man_running:	🏃‍♀️	🏃‍♂️
2.9999944156408795	4.0	2.0	2.0	:man_raising_hand:	:person_raising_hand_medium_skin_tone:	🙋‍♂️	🙋🏽
