SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
29141.168982716208	30810.0	511.0	511.0	:nauseated_face:	:nauseated_face:	🤢	🤢
16522.747280987976	16714.0	230.0	230.0	:pile_of_poo:	:pile_of_poo:	💩	💩
16493.406522592046	25348.0	1540.0	1540.0	:blue_heart:	:blue_heart:	💙	💙
15252.679562132349	15376.0	192.0	192.0	:triangular_flag:	:triangular_flag:	🚩	🚩
12917.040736252236	13026.0	196.0	196.0	:middle_finger:	:middle_finger:	🖕	🖕
6530.463702169987	6744.0	386.0	386.0	:Ukraine:	:Ukraine:	🇺🇦	🇺🇦
5127.751022934494	15798.0	3303.0	3303.0	:fire:	:fire:	🔥	🔥
3543.6640749671815	6862.0	2049.0	2049.0	:red_heart:	:red_heart:	❤️	❤️
3420.994416120033	3602.0	490.0	490.0	:clapping_hands:	:clapping_hands:	👏	👏
3384.497744451571	3392.0	94.0	94.0	:black_large_square:	:black_large_square:	⬛	⬛
3357.066486118783	3382.0	181.0	181.0	:clown_face:	:clown_face:	🤡	🤡
3315.3587504851757	3608.0	632.0	632.0	:face_vomiting:	:face_vomiting:	🤮	🤮
3270.9042945218434	4100.0	1063.0	1063.0	:rocket:	:rocket:	🚀	🚀
2738.863697836711	2750.0	94.0	181.0	:black_large_square:	:clown_face:	⬛	🤡
2738.86369783671	2750.0	181.0	94.0	:clown_face:	:black_large_square:	🤡	⬛
1827.7898318695266	1896.0	410.0	410.0	:crossed_fingers:	:crossed_fingers:	🤞	🤞
1676.762603720757	1804.0	585.0	585.0	:american_football:	:american_football:	🏈	🏈
1558.1184283948144	1560.0	51.0	51.0	:white_circle:	:white_circle:	⚪	⚪
1527.8642822218148	1530.0	51.0	67.0	:white_circle:	:blue_circle:	⚪	🔵
1527.8642822218148	1530.0	67.0	51.0	:blue_circle:	:white_circle:	🔵	⚪
1472.6268897652408	1480.0	141.0	141.0	:four_leaf_clover:	:four_leaf_clover:	🍀	🍀
1451.803372926047	1806.0	1042.0	1042.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
1419.6134976968913	1422.0	67.0	67.0	:blue_circle:	:blue_circle:	🔵	🔵
1375.837384673072	1514.0	672.0	672.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
1287.326606500133	1780.0	1300.0	1300.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
1231.6078502957857	1444.0	878.0	878.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
1208.3620384078654	1220.0	201.0	201.0	:sparkles:	:sparkles:	✨	✨
1202.0373066688328	1212.0	185.0	185.0	:thumbs_down:	:thumbs_down:	👎	👎
1151.2930723068243	1173.0	201.0	410.0	:sparkles:	:crossed_fingers:	✨	🤞
1151.2930723068243	1173.0	410.0	201.0	:crossed_fingers:	:sparkles:	🤞	✨
1013.1082011834835	1026.0	232.0	232.0	:glowing_star:	:glowing_star:	🌟	🌟
1000.5363145947297	1010.0	197.0	197.0	:backhand_index_pointing_right:	:backhand_index_pointing_right:	👉	👉
998.6521859869462	1000.0	40.0	40.0	:middle_finger_medium-dark_skin_tone:	:middle_finger_medium-dark_skin_tone:	🖕🏾	🖕🏾
944.5426478401272	1154.0	993.0	993.0	:eyes:	:eyes:	👀	👀
916.360412053213	920.0	115.0	115.0	:bird:	:bird:	🐦	🐦
888.3510872118217	892.0	117.0	117.0	:black_heart:	:black_heart:	🖤	🖤
837.0873788624405	844.0	180.0	180.0	:high_voltage:	:high_voltage:	⚡	⚡
829.010943986279	840.0	235.0	235.0	:pleading_face:	:pleading_face:	🥺	🥺
773.3612876095303	806.0	432.0	432.0	:hundred_points:	:hundred_points:	💯	💯
765.7946425079375	768.0	85.0	85.0	:soccer_ball:	:soccer_ball:	⚽	⚽
681.602298142654	684.0	97.0	97.0	:airplane:	:airplane:	✈️	✈️
677.0516173319184	1162.0	2049.0	1540.0	:red_heart:	:blue_heart:	❤️	💙
677.0516173319184	1162.0	1540.0	2049.0	:blue_heart:	:red_heart:	💙	❤️
667.7343317102154	999.0	1063.0	2049.0	:rocket:	:red_heart:	🚀	❤️
667.7343317102154	999.0	2049.0	1063.0	:red_heart:	:rocket:	❤️	🚀
