SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
645.2561068121126	669.0	239.0	673.0	:full_moon:	hyper	🌕	
644.0762263431695	669.0	239.0	709.0	:full_moon:	_	🌕	
375.29157530988766	400.0	1540.0	186.0	:blue_heart:	#bluesparrow	💙	
335.06197953313034	337.0	197.0	65.0	:backhand_index_pointing_right:	bnb	👉	
334.2370904400701	336.0	197.0	53.0	:backhand_index_pointing_right:	upto	👉	
333.4198025818942	336.0	197.0	110.0	:backhand_index_pointing_right:	daily	👉	
333.2481632134971	336.0	197.0	122.0	:backhand_index_pointing_right:	return	👉	
331.9797257506026	336.0	197.0	211.0	:backhand_index_pointing_right:	8	👉	
224.91954346921017	228.0	196.0	215.0	:middle_finger:	plan	🖕	
219.43131581164394	223.0	239.0	223.0	:full_moon:	#hyperfaction	🌕	
219.43131581164394	223.0	239.0	223.0	:full_moon:	#collidercraftworks	🌕	
219.1122561739378	223.0	239.0	251.0	:full_moon:	sun	🌕	
198.22901131125312	200.0	1042.0	17.0	:smiling_face_with_heart-eyes:	#babydoge	😍	
167.57166959518364	169.0	197.0	59.0	:backhand_index_pointing_right:	pool	👉	
166.82657415404	168.0	197.0	24.0	:backhand_index_pointing_right:	#obsidium	👉	
166.82657415404	168.0	197.0	24.0	:backhand_index_pointing_right:	miners	👉	
166.82657415404	168.0	197.0	24.0	:backhand_index_pointing_right:	tastiest	👉	
166.82657415404	168.0	197.0	24.0	:backhand_index_pointing_right:	2920	👉	
166.82657415404	168.0	197.0	24.0	:backhand_index_pointing_right:	#obs	👉	
166.82657415404	168.0	197.0	24.0	:backhand_index_pointing_right:	referal	👉	
166.81935447115177	168.0	197.0	25.0	:backhand_index_pointing_right:	apr	👉	
166.72554509677641	168.0	197.0	38.0	:backhand_index_pointing_right:	dev	👉	
166.7039090388335	168.0	197.0	41.0	:backhand_index_pointing_right:	reward	👉	
166.6750681091211	168.0	197.0	45.0	:backhand_index_pointing_right:	tg	👉	
166.56698733342336	168.0	197.0	60.0	:backhand_index_pointing_right:	uses	👉	
166.4158669243868	168.0	197.0	81.0	:backhand_index_pointing_right:	total	👉	
166.394296626354	168.0	197.0	84.0	:backhand_index_pointing_right:	earn	👉	
166.3367982187788	168.0	197.0	92.0	:backhand_index_pointing_right:	fee	👉	
166.0426292877157	168.0	197.0	133.0	:backhand_index_pointing_right:	low	👉	
164.48570389653503	168.0	197.0	352.0	:backhand_index_pointing_right:	website	👉	
164.23206973643588	168.0	197.0	388.0	:backhand_index_pointing_right:	12	👉	
163.7757496614359	168.0	197.0	453.0	:backhand_index_pointing_right:	3	👉	
162.53680069690108	168.0	197.0	631.0	:backhand_index_pointing_right:	twitter	👉	
159.81050318953547	161.0	490.0	11.0	:clapping_hands:	maravilhosa	👏	
156.33615505863136	168.0	197.0	1557.0	:backhand_index_pointing_right:	who	👉	
132.5647339238845	134.0	1063.0	14.0	:rocket:	#shibaswap	🚀	
132.5506404557327	344.0	197.0	37819.0	:backhand_index_pointing_right:	the	👉	
131.7900260588984	244.0	189.0	19477.0	:grinning_face:	pepsi	😀	
131.63980608937118	134.0	1063.0	44.0	:rocket:	#shib	🚀	
130.75468097444897	132.0	1063.0	8.0	:rocket:	#leash	🚀	
130.75468097444897	132.0	1063.0	8.0	:rocket:	#shibabone	🚀	
130.69346805660592	132.0	1063.0	10.0	:rocket:	#shibacoin	🚀	
130.2967196460641	132.0	1063.0	23.0	:rocket:	#shiba	🚀	
129.5551595627142	132.0	189.0	267.0	:grinning_face:	etc	😀	
129.02749417420299	168.0	197.0	6539.0	:backhand_index_pointing_right:	your	👉	
128.78853340003545	130.0	1063.0	7.0	:rocket:	#oshiverse	🚀	
128.72821795916187	130.0	1063.0	9.0	:rocket:	#shibarium	🚀	
128.72821795916187	130.0	1063.0	9.0	:rocket:	#shibarmystrong	🚀	
128.39730370625153	130.0	1063.0	20.0	:rocket:	#shibainu	🚀	
128.0477076199024	241.0	196.0	19477.0	:middle_finger:	pepsi	🖕	
124.2095495156967	126.0	192.0	150.0	:triangular_flag:	prefer	🚩	
121.03274112122438	123.0	1063.0	34.0	:rocket:	#shibarmy	🚀	
116.73317718877178	122.0	386.0	426.0	:Ukraine:	ukraine	🇺🇦	
114.00111864153591	172.0	197.0	10979.0	:backhand_index_pointing_right:	of	👉	
112.96573396418691	114.0	196.0	7.0	:middle_finger:	worries	🖕	
112.84085062558249	114.0	1063.0	6.0	:rocket:	#bone	🚀	
111.9725547308479	173.0	197.0	11760.0	:backhand_index_pointing_right:	with	👉	
111.28240697677514	122.0	192.0	2029.0	:triangular_flag:	coke	🚩	
108.01609551542562	114.0	196.0	1056.0	:middle_finger:	've	🖕	
107.49711493684318	254.0	192.0	31914.0	:triangular_flag:	i	🚩	
107.16845202181905	112.0	136.0	1181.0	:pancakes:	#showusyourstack	🥞	
106.7761872239581	119.0	386.0	1211.0	:Ukraine:	russia	🇺🇦	
106.51922716116329	126.0	192.0	3985.0	:triangular_flag:	like	🚩	
105.99857725797355	172.0	3303.0	801.0	:fire:	fire	🔥	
105.84183188198408	116.0	136.0	2836.0	:pancakes:	#pepsisweepstakes	🥞	
104.64870402350377	115.0	196.0	2031.0	:middle_finger:	got	🖕	
102.73703725435197	160.0	74.0	31914.0	:police_car_light:	i	🚨	
100.99081392276344	114.0	386.0	1366.0	:Ukraine:	stop	🇺🇦	
100.92374619291076	1160.0	3303.0	37819.0	:fire:	the	🔥	
100.7022335814203	102.0	115.0	116.0	:bird:	#bestdrawtoken	🐦	
100.69455155966678	102.0	115.0	119.0	:bird:	#bluesparrowcommunity	🐦	
100.68943073843658	102.0	115.0	121.0	:bird:	#bluesparrowtoken	🐦	
100.67407080203313	102.0	115.0	127.0	:bird:	#web3	🐦	
100.6689516655354	102.0	115.0	129.0	:bird:	#bluesparrowcharity	🐦	
100.58710272390242	102.0	115.0	161.0	:bird:	#bitcoin	🐦	
100.56410211056446	102.0	115.0	170.0	:bird:	#eth	🐦	
100.52323314478859	102.0	115.0	186.0	:bird:	#bluesparrow	🐦	
100.00163559890126	132.0	192.0	7024.0	:triangular_flag:	n't	🚩	
97.98861169258817	114.0	196.0	3449.0	:middle_finger:	no	🖕	
95.97499263376767	172.0	197.0	17129.0	:backhand_index_pointing_right:	and	👉	
95.32484428660034	109.0	1063.0	553.0	:rocket:	lfg	🚀	
95.16390383411752	122.0	192.0	6163.0	:triangular_flag:	do	🚩	
94.64341179407167	232.0	239.0	27434.0	:full_moon:	to	🌕	
94.09441979448778	116.0	196.0	4961.0	:middle_finger:	we	🖕	
93.8663700254182	247.0	2049.0	3680.0	:red_heart:	love	❤️	
93.05219080177457	107.0	3303.0	186.0	:fire:	#bluesparrow	🔥	
92.92821185727306	97.0	113.0	1311.0	:cookie:	#pilkandcookies	🍪	
92.51446283911633	120.0	500.0	2491.0	:folded_hands:	please	🙏	
91.22770100098872	96.0	74.0	2500.0	:police_car_light:	did	🚨	
90.60271199627863	107.0	275.0	2717.0	:microphone:	#pepsimicdrop	🎤	
90.57227612371663	230.0	585.0	11994.0	:american_football:	#pepsihalftime	🏈	
89.35408154444919	91.0	189.0	172.0	:grinning_face:	pitch	😀	
88.33669909263648	92.0	103.0	1311.0	:glass_of_milk:	#pilkandcookies	🥛	
87.90968215603318	91.0	189.0	564.0	:grinning_face:	black	😀	
84.45118920945862	87.0	189.0	435.0	:grinning_face:	vanilla	😀	
