SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
1403.0922668578312	1406.0	39.0	39.0	:triangular_flag:	:triangular_flag:	🚩	🚩
176.52647517530716	583.0	1413.0	2085.0	:registered:	:trade_mark:	®️	™️
176.52647517530716	583.0	2085.0	1413.0	:trade_mark:	:registered:	™️	®️
135.69418013334214	138.0	103.0	103.0	:clapping_hands:	:clapping_hands:	👏	👏
132.9185953661453	134.0	26.0	26.0	:baguette_bread:	:baguette_bread:	🥖	🥖
60.991229976420136	62.0	26.0	6.0	:baguette_bread:	:tomato:	🥖	🍅
60.991229976420136	62.0	6.0	26.0	:tomato:	:baguette_bread:	🍅	🥖
58.992923523576664	60.0	26.0	5.0	:baguette_bread:	:cucumber:	🥖	🥒
58.992923523576664	60.0	5.0	26.0	:cucumber:	:baguette_bread:	🥒	🥖
58.99009330857803	60.0	26.0	7.0	:baguette_bread:	:turkey:	🥖	🦃
58.99009330857803	60.0	7.0	26.0	:turkey:	:baguette_bread:	🦃	🥖
38.92086866681984	40.0	57.0	38.0	:green_heart:	:yellow_heart:	💚	💛
38.92086866681984	40.0	38.0	57.0	:yellow_heart:	:green_heart:	💛	💚
36.96869523465322	38.0	30.0	30.0	:fire:	:fire:	🔥	🔥
24.673332529762593	26.0	117.0	117.0	:eyes:	:eyes:	👀	👀
23.99930390198191	25.0	6.0	5.0	:tomato:	:cucumber:	🍅	🥒
23.99930390198191	25.0	5.0	6.0	:cucumber:	:tomato:	🥒	🍅
23.999187888519074	25.0	5.0	7.0	:cucumber:	:turkey:	🥒	🦃
23.99918788851907	25.0	7.0	5.0	:turkey:	:cucumber:	🦃	🥒
23.999025471068776	25.0	6.0	7.0	:tomato:	:turkey:	🍅	🦃
23.999025471068776	25.0	7.0	6.0	:turkey:	:tomato:	🦃	🍅
20.85244913723536	22.0	85.0	85.0	:raising_hands:	:raising_hands:	🙌	🙌
18.99953147073307	20.0	5.0	5.0	:cucumber:	:cucumber:	🥒	🥒
18.99932532305271	20.0	6.0	6.0	:tomato:	:tomato:	🍅	🍅
18.999081698080662	20.0	7.0	7.0	:turkey:	:turkey:	🦃	🦃
14.99848293586548	16.0	10.0	10.0	:speaking_head:	:speaking_head:	🗣️	🗣️
14.981430406400378	16.0	35.0	35.0	:sparkles:	:sparkles:	✨	✨
12.99292095304908	14.0	23.0	23.0	:drooling_face:	:drooling_face:	🤤	🤤
10.999814371912064	12.0	4.0	4.0	:police_car_light:	:police_car_light:	🚨	🚨
10.999257511721904	12.0	8.0	8.0	:check_mark_button:	:check_mark_button:	✅	✅
10.998039505851565	12.0	13.0	13.0	:face_with_steam_from_nose:	:face_with_steam_from_nose:	😤	😤
10.997389973316299	12.0	15.0	15.0	:sandwich:	:sandwich:	🥪	🥪
10.990908937596766	12.0	28.0	28.0	:smiling_face_with_smiling_eyes:	:smiling_face_with_smiling_eyes:	😊	😊
10.990908937596766	12.0	28.0	28.0	:backhand_index_pointing_up:	:backhand_index_pointing_up:	👆	👆
10.98145702394142	12.0	40.0	40.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
10.97104418363174	12.0	50.0	50.0	:cookie:	:cookie:	🍪	🍪
6.999485968649865	8.0	8.0	8.0	:repeat_button:	:repeat_button:	🔁	🔁
6.965110306585492	8.0	66.0	66.0	:handshake:	:handshake:	🤝	🤝
5.566489783724306	22.0	1413.0	1413.0	:registered:	:registered:	®️	®️
4.999943775816285	6.0	3.0	3.0	:peach:	:peach:	🍑	🍑
4.999900046320083	6.0	4.0	4.0	:oncoming_fist:	:oncoming_fist:	👊	👊
4.999900046320083	6.0	4.0	4.0	:grinning_face_with_sweat:	:grinning_face_with_sweat:	😅	😅
4.9998438232458335	6.0	5.0	5.0	:zany_face:	:zany_face:	🤪	🤪
4.999775106996099	6.0	6.0	6.0	:prohibited:	:billed_cap:	🚫	🧢
4.999775106996099	6.0	6.0	6.0	:billed_cap:	:prohibited:	🧢	🚫
4.999693898085374	6.0	7.0	7.0	:crown:	:crown:	👑	👑
4.999600197113846	6.0	8.0	8.0	:trophy:	:trophy:	🏆	🏆
4.998594582409103	6.0	15.0	15.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
4.997976322114148	6.0	18.0	18.0	:hundred_points:	:hundred_points:	💯	💯
4.997976322114148	6.0	18.0	18.0	:waving_hand:	:waving_hand:	👋	👋
4.997501749223225	6.0	20.0	20.0	:pleading_face:	:pleading_face:	🥺	🥺
4.99724574809305	6.0	21.0	21.0	:revolving_hearts:	:revolving_hearts:	💞	💞
4.996696325921487	6.0	23.0	23.0	:thinking_face:	:thinking_face:	🤔	🤔
3.9989291845997106	5.0	4.0	50.0	:money_with_wings:	:cookie:	💸	🍪
3.9989291845997106	5.0	50.0	4.0	:cookie:	:money_with_wings:	🍪	💸
2.9998572102061125	4.0	4.0	8.0	:money_with_wings:	:repeat_button:	💸	🔁
2.9998572102061125	4.0	8.0	4.0	:repeat_button:	:money_with_wings:	🔁	💸
2.9996385733442783	4.0	9.0	9.0	:writing_hand:	:writing_hand:	✍️	✍️
2.998215498757999	4.0	50.0	8.0	:cookie:	:repeat_button:	🍪	🔁
2.998215498757999	4.0	8.0	50.0	:repeat_button:	:cookie:	🔁	🍪
2.9873030100901135	4.0	57.0	50.0	:green_heart:	:cookie:	💚	🍪
2.9873030100901135	4.0	50.0	57.0	:cookie:	:green_heart:	🍪	💚
