SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
630.363546831707	1546.0	780.0	2138.0	:american_football:	that	🏈	
534.378648440589	1456.0	1413.0	1456.0	:registered:	jaws	®️	
517.6669275630561	3579.0	2085.0	6256.0	:trade_mark:	and	™️	
511.39951256884893	1457.0	1413.0	1591.0	:registered:	will	®️	
500.18190926636333	847.0	865.0	857.0	:red_heart:	season	❤️	
496.20820640549863	845.0	865.0	869.0	:red_heart:	long	❤️	
493.3595162396844	772.0	780.0	772.0	:american_football:	rookie	🏈	
492.89922291446095	772.0	780.0	774.0	:american_football:	wrap	🏈	
492.66942861832405	772.0	780.0	775.0	:american_football:	met	🏈	
488.7985672991291	772.0	780.0	792.0	:american_football:	12	🏈	
480.1667599062264	772.0	780.0	831.0	:american_football:	subs	🏈	
476.93626304265626	772.0	780.0	846.0	:american_football:	now	🏈	
471.3951701347287	1732.0	2085.0	1786.0	:trade_mark:	cheese	™️	
469.58458738254336	772.0	780.0	881.0	:american_football:	let	🏈	
468.84093296968217	848.0	865.0	1004.0	:red_heart:	sandwich	❤️	
467.96306422010605	4917.0	2085.0	14202.0	:trade_mark:	the	™️	
463.0175633574225	845.0	865.0	1025.0	:red_heart:	thanks	❤️	
458.80532494567046	1630.0	2085.0	1670.0	:trade_mark:	bacon	™️	
457.74662217641486	847.0	865.0	1058.0	:red_heart:	new	❤️	
456.9782128997773	772.0	780.0	944.0	:american_football:	from	🏈	
452.8856924451184	2826.0	2085.0	5092.0	:trade_mark:	draft	™️	
450.41400651251286	2102.0	2085.0	2867.0	:trade_mark:	turkey	™️	
450.11668321621704	772.0	780.0	980.0	:american_football:	know	🏈	
449.5638834080186	1530.0	2085.0	1533.0	:trade_mark:	garlic	™️	
443.85793824121623	847.0	865.0	1134.0	:red_heart:	'll	❤️	
439.79040010644206	1467.0	1413.0	2173.0	:registered:	ham	®️	
429.72405860472196	772.0	780.0	1095.0	:american_football:	've	🏈	
413.9906705954987	1306.0	2085.0	1317.0	:trade_mark:	philly	™️	
412.757458801728	1338.0	2085.0	1390.0	:trade_mark:	chicken	™️	
404.6152597358293	772.0	780.0	1256.0	:american_football:	's	🏈	
403.1184631556156	1328.0	1413.0	2117.0	:registered:	club	®️	
398.64918929861886	2343.0	2085.0	4509.0	:trade_mark:	time	™️	
396.8281777317477	2063.0	2085.0	3539.0	:trade_mark:	pick	™️	
391.1152276867038	1888.0	1413.0	4509.0	:registered:	time	®️	
381.46762057326964	1162.0	2085.0	1227.0	:trade_mark:	steak	™️	
379.45392365721267	1148.0	1413.0	1786.0	:registered:	cheese	®️	
379.2222697128736	2934.0	2085.0	7730.0	:trade_mark:	to	™️	
374.67753155674853	1060.0	2085.0	1059.0	:trade_mark:	#8	™️	
374.4574414701502	732.0	1413.0	731.0	:registered:	#11	®️	
374.4027114450061	845.0	865.0	1619.0	:red_heart:	lineup	❤️	
373.1012799832088	728.0	1413.0	728.0	:registered:	fierce	®️	
373.1012799832088	728.0	1413.0	728.0	:registered:	tame	®️	
372.86734954571506	728.0	1413.0	729.0	:registered:	competition	®️	
372.6816697709938	729.0	1413.0	732.0	:registered:	mozzarella	®️	
372.63378948930114	728.0	1413.0	730.0	:registered:	#5	®️	
372.4005990116927	728.0	1413.0	731.0	:registered:	keeping	®️	
372.4005990116927	728.0	1413.0	731.0	:registered:	bella	®️	
372.4005990116927	728.0	1413.0	731.0	:registered:	mozza	®️	
372.4005990116927	728.0	1413.0	731.0	:registered:	close	®️	
372.0748694483113	772.0	780.0	1506.0	:american_football:	luck	🏈	
371.93532359349996	728.0	1413.0	733.0	:registered:	melted	®️	
371.4715169116983	728.0	1413.0	735.0	:registered:	seem	®️	
368.6588636615577	735.0	1413.0	763.0	:registered:	roast	®️	
