SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
22362.255799664876	24116.0	426.0	426.0	:triangular_flag:	:triangular_flag:	🚩	🚩
18705.95934096757	19940.0	391.0	391.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
17513.45734798034	19930.0	563.0	563.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
3913.6960191637936	4060.0	294.0	294.0	:Ukraine:	:Ukraine:	🇺🇦	🇺🇦
1512.9800764852243	1552.0	242.0	242.0	:face_vomiting:	:face_vomiting:	🤮	🤮
1104.4300898494919	1144.0	285.0	285.0	:fire:	:fire:	🔥	🔥
817.5499449802468	932.0	564.0	564.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
707.6030365348379	722.0	210.0	210.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
317.84392682442007	320.0	92.0	92.0	:check_mark_button:	:check_mark_button:	✅	✅
308.1942131797896	310.0	78.0	78.0	:hundred_points:	:hundred_points:	💯	💯
228.8390783987839	234.0	174.0	242.0	:nauseated_face:	:face_vomiting:	🤢	🤮
228.83907839878384	234.0	242.0	174.0	:face_vomiting:	:nauseated_face:	🤮	🤢
223.6242767552659	228.0	187.0	187.0	:weary_face:	:weary_face:	😩	😩
210.95991732718775	212.0	21.0	21.0	:black_large_square:	:black_large_square:	⬛	⬛
208.9797401311807	210.0	15.0	15.0	:new_moon:	:new_moon:	🌑	🌑
202.00637599516372	208.0	239.0	239.0	:enraged_face:	:enraged_face:	😡	😡
190.6735357882614	192.0	63.0	63.0	:smiling_face_with_sunglasses:	:smiling_face_with_sunglasses:	😎	😎
184.61121149742175	188.0	173.0	173.0	:red_heart:	:red_heart:	❤️	❤️
180.2217411495611	182.0	100.0	100.0	:thumbs_down:	:thumbs_down:	👎	👎
170.7627752633364	174.0	174.0	174.0	:nauseated_face:	:nauseated_face:	🤢	🤢
134.87637152106964	136.0	46.0	46.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
130.73795965091395	132.0	68.0	68.0	:broken_heart:	:broken_heart:	💔	💔
116.39911510955984	118.0	109.0	109.0	:drooling_face:	:drooling_face:	🤤	🤤
112.70203600168225	114.0	78.0	78.0	:beaming_face_with_smiling_eyes:	:beaming_face_with_smiling_eyes:	😁	😁
110.28594365154595	112.0	122.0	122.0	:pleading_face:	:pleading_face:	🥺	🥺
106.96609616052132	108.0	27.0	27.0	:party_popper:	:party_popper:	🎉	🎉
104.13613856556019	106.0	138.0	138.0	:thinking_face:	:thinking_face:	🤔	🤔
101.30431402249731	104.0	564.0	68.0	:loudly_crying_face:	:broken_heart:	😭	💔
101.30431402249731	104.0	68.0	564.0	:broken_heart:	:loudly_crying_face:	💔	😭
98.89233213209556	100.0	50.0	50.0	:pile_of_poo:	:pile_of_poo:	💩	💩
96.81063212718985	98.0	67.0	67.0	:skull:	:skull:	💀	💀
96.67369339811516	98.0	88.0	88.0	:folded_hands:	:folded_hands:	🙏	🙏
90.97900749909228	92.0	23.0	23.0	:american_football:	:american_football:	🏈	🏈
90.93331922881814	92.0	41.0	41.0	:rocket:	:rocket:	🚀	🚀
89.60958092691855	92.0	563.0	63.0	:face_with_tears_of_joy:	:smiling_face_with_sunglasses:	😂	😎
89.60958092691855	92.0	63.0	563.0	:smiling_face_with_sunglasses:	:face_with_tears_of_joy:	😎	😂
88.99611641906293	90.0	10.0	10.0	:Niger:	:Niger:	🇳🇪	🇳🇪
86.92981384865159	88.0	43.0	43.0	:money_bag:	:money_bag:	💰	💰
80.20923403877732	82.0	150.0	150.0	:face_savoring_food:	:face_savoring_food:	😋	😋
78.82111756200027	80.0	72.0	72.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
76.53282274403637	78.0	118.0	118.0	:unamused_face:	:unamused_face:	😒	😒
76.34368444955166	78.0	140.0	140.0	:eyes:	:eyes:	👀	👀
66.6875432326697	68.0	426.0	25.0	:triangular_flag:	:confused_face:	🚩	😕
66.6875432326697	68.0	25.0	426.0	:confused_face:	:triangular_flag:	😕	🚩
64.9835329377805	66.0	24.0	24.0	:thumbs_down_light_skin_tone:	:thumbs_down_light_skin_tone:	👎🏻	👎🏻
63.8724338163007	65.0	72.0	63.0	:smiling_face_with_heart-eyes:	:smiling_face_with_sunglasses:	😍	😎
63.8724338163007	65.0	63.0	72.0	:smiling_face_with_sunglasses:	:smiling_face_with_heart-eyes:	😎	😍
60.92454761209935	62.0	53.0	53.0	:tired_face:	:tired_face:	😫	😫
59.9533788253007	61.0	41.0	43.0	:rocket:	:money_bag:	🚀	💰
59.9533788253007	61.0	43.0	41.0	:money_bag:	:rocket:	💰	🚀
58.989587968556215	60.0	20.0	20.0	:peanuts:	:peanuts:	🥜	🥜
58.686316955571826	60.0	110.0	110.0	:thumbs_up:	:thumbs_up:	👍	👍
56.92933814872495	58.0	53.0	53.0	:middle_finger:	:middle_finger:	🖕	🖕
56.918282243064645	58.0	57.0	57.0	:woozy_face:	:woozy_face:	🥴	🥴
54.99523231557568	56.0	14.0	14.0	:middle_finger_light_skin_tone:	:middle_finger_light_skin_tone:	🖕🏻	🖕🏻
54.79023158140829	56.0	93.0	93.0	:sandwich:	:sandwich:	🥪	🥪
53.839126054319834	55.0	39.0	173.0	:flexed_biceps:	:red_heart:	💪	❤️
53.839126054319834	55.0	173.0	39.0	:red_heart:	:flexed_biceps:	❤️	💪
52.95662629791925	54.0	43.0	43.0	:upside-down_face:	:upside-down_face:	🙃	🙃
49.88428413259812	52.0	210.0	239.0	:face_with_symbols_on_mouth:	:enraged_face:	🤬	😡
49.88428413259812	52.0	239.0	210.0	:enraged_face:	:face_with_symbols_on_mouth:	😡	🤬
49.56805861688786	51.0	426.0	46.0	:triangular_flag:	:flushed_face:	🚩	😳
49.56805861688786	51.0	46.0	426.0	:flushed_face:	:triangular_flag:	😳	🚩
48.966911564985224	50.0	39.0	39.0	:flexed_biceps:	:flexed_biceps:	💪	💪
48.966911564985224	50.0	39.0	39.0	:neutral_face:	:neutral_face:	😐	😐
43.64213342078019	49.0	563.0	391.0	:face_with_tears_of_joy:	:rolling_on_the_floor_laughing:	😂	🤣
43.64213342078019	49.0	391.0	563.0	:rolling_on_the_floor_laughing:	:face_with_tears_of_joy:	🤣	😂
42.99623603713937	44.0	14.0	14.0	:gem_stone:	:gem_stone:	💎	💎
41.24936335930991	43.0	563.0	72.0	:face_with_tears_of_joy:	:smiling_face_with_heart-eyes:	😂	😍
41.24936335930991	43.0	72.0	563.0	:smiling_face_with_heart-eyes:	:face_with_tears_of_joy:	😍	😂
40.998164900354716	42.0	10.0	10.0	:downcast_face_with_sweat:	:downcast_face_with_sweat:	😓	😓
38.99748040366437	40.0	12.0	12.0	:soccer_ball:	:soccer_ball:	⚽	⚽
38.99650062829584	40.0	10.0	20.0	:bikini:	:peanuts:	👙	🥜
38.99650062829584	40.0	20.0	10.0	:peanuts:	:bikini:	🥜	👙
38.99650062829584	40.0	20.0	10.0	:peanuts:	:lotion_bottle:	🥜	🧴
38.99650062829584	40.0	10.0	20.0	:lotion_bottle:	:peanuts:	🧴	🥜
38.99510101491723	40.0	14.0	20.0	:eggplant:	:peanuts:	🍆	🥜
38.995101014917225	40.0	20.0	14.0	:peanuts:	:eggplant:	🥜	🍆
36.992660890128796	38.0	21.0	21.0	:skull_and_crossbones:	:skull_and_crossbones:	☠️	☠️
36.99194540469266	38.0	22.0	22.0	:clown_face:	:clown_face:	🤡	🤡
36.93192027677906	38.0	64.0	64.0	:baguette_bread:	:baguette_bread:	🥖	🥖
36.57318866075711	38.0	294.0	88.0	:Ukraine:	:folded_hands:	🇺🇦	🙏
36.57318866075711	38.0	88.0	294.0	:folded_hands:	:Ukraine:	🙏	🇺🇦
35.395064463175075	37.0	564.0	67.0	:loudly_crying_face:	:skull:	😭	💀
35.395064463175075	37.0	67.0	564.0	:skull:	:loudly_crying_face:	💀	😭
34.99924204747321	36.0	6.0	8.0	:old_man_dark_skin_tone:	:video_game:	👴🏿	🎮
34.99924204747321	36.0	8.0	6.0	:video_game:	:old_man_dark_skin_tone:	🎮	👴🏿
34.9964473139779	36.0	15.0	15.0	:squinting_face_with_tongue:	:squinting_face_with_tongue:	😝	😝
34.990132785903775	36.0	25.0	25.0	:folded_hands_light_skin_tone:	:folded_hands_light_skin_tone:	🙏🏻	🙏🏻
34.798356424410834	36.0	53.0	242.0	:tired_face:	:face_vomiting:	😫	🤮
34.79835642441083	36.0	242.0	53.0	:face_vomiting:	:tired_face:	🤮	😫
32.999058965796024	34.0	21.0	3.0	:black_large_square:	:yellow_square:	⬛	🟨
32.999058965796024	34.0	3.0	21.0	:yellow_square:	:black_large_square:	🟨	⬛
32.83780529649875	34.0	63.0	173.0	:smiling_face_with_sunglasses:	:red_heart:	😎	❤️
32.83780529649875	34.0	173.0	63.0	:red_heart:	:smiling_face_with_sunglasses:	❤️	😎
30.80152361898253	32.0	119.0	119.0	:face_with_rolling_eyes:	:face_with_rolling_eyes:	🙄	🙄
30.39072837974058	32.0	78.0	563.0	:beaming_face_with_smiling_eyes:	:face_with_tears_of_joy:	😁	😂
30.39072837974058	32.0	563.0	78.0	:face_with_tears_of_joy:	:beaming_face_with_smiling_eyes:	😂	😁
28.999603096694646	30.0	6.0	5.0	:old_man_dark_skin_tone:	:sled:	👴🏿	🛷
28.999603096694646	30.0	5.0	6.0	:sled:	:old_man_dark_skin_tone:	🛷	👴🏿
28.99952371701709	30.0	6.0	6.0	:old_man_dark_skin_tone:	:old_man_dark_skin_tone:	👴🏿	👴🏿
28.99952371701709	30.0	6.0	6.0	:hourglass_not_done:	:hourglass_not_done:	⏳	⏳
28.99947079740492	30.0	5.0	8.0	:sled:	:video_game:	🛷	🎮
28.99947079740492	30.0	8.0	5.0	:video_game:	:sled:	🎮	🛷
28.999153282808333	30.0	8.0	8.0	:video_game:	:video_game:	🎮	🎮
28.996613353556043	30.0	16.0	16.0	:smiling_face_with_horns:	:smiling_face_with_horns:	😈	😈
28.99522447077679	30.0	19.0	19.0	:tomato:	:tomato:	🍅	🍅
28.991058420662974	30.0	26.0	26.0	:clapping_hands:	:clapping_hands:	👏	👏
28.981393995701595	30.0	21.0	67.0	:skull_and_crossbones:	:skull:	☠️	💀
28.981393995701595	30.0	67.0	21.0	:skull:	:skull_and_crossbones:	💀	☠️
28.98090495349748	30.0	38.0	38.0	:frowning_face:	:frowning_face:	☹️	☹️
27.98310704250282	29.0	44.0	30.0	:green_heart:	:yellow_heart:	💚	💛
27.98310704250282	29.0	30.0	44.0	:yellow_heart:	:green_heart:	💛	💚
26.9994801868352	28.0	21.0	2.0	:black_large_square:	:green_square:	⬛	🟩
26.9994801868352	28.0	2.0	21.0	:green_square:	:black_large_square:	🟩	⬛
26.976054552823683	28.0	44.0	44.0	:green_heart:	:green_heart:	💚	💚
26.973829825445407	28.0	46.0	46.0	:flushed_face:	:flushed_face:	😳	😳
26.952486326916866	28.0	62.0	62.0	:face_with_steam_from_nose:	:face_with_steam_from_nose:	😤	😤
25.921842907117707	27.0	23.0	285.0	:american_football:	:fire:	🏈	🔥
25.921842907117707	27.0	285.0	23.0	:fire:	:american_football:	🔥	🏈
24.998847727451988	26.0	10.0	10.0	:ghost:	:ghost:	👻	👻
24.998847727451988	26.0	10.0	10.0	:star:	:star:	⭐	⭐
24.99774161948489	26.0	14.0	14.0	:red_exclamation_mark:	:red_exclamation_mark:	❗	❗
24.99096828276678	26.0	28.0	28.0	:smiling_face:	:smiling_face:	☺️	☺️
23.995451135374104	25.0	10.0	41.0	:ghost:	:rocket:	👻	🚀
23.995451135374104	25.0	41.0	10.0	:rocket:	:ghost:	🚀	👻
22.99573275680133	24.0	20.0	20.0	:folded_hands_medium-light_skin_tone:	:folded_hands_medium-light_skin_tone:	🙏🏼	🙏🏼
22.99333294037706	24.0	25.0	25.0	:confused_face:	:confused_face:	😕	😕
22.97005771004256	24.0	53.0	53.0	:smiling_face_with_smiling_eyes:	:smiling_face_with_smiling_eyes:	😊	😊
20.987284034643956	22.0	36.0	36.0	:disappointed_face:	:disappointed_face:	😞	😞
20.97245297835536	22.0	53.0	53.0	:face_with_raised_eyebrow:	:face_with_raised_eyebrow:	🤨	🤨
18.99977594127877	20.0	5.0	5.0	:cupcake:	:cupcake:	🧁	🧁
18.99977594127877	20.0	5.0	5.0	:sled:	:sled:	🛷	🛷
18.99977594127877	20.0	5.0	5.0	:Saudi_Arabia:	:Saudi_Arabia:	🇸🇦	🇸🇦
18.99977594127877	20.0	5.0	5.0	:camera_with_flash:	:camera_with_flash:	📸	📸
18.99977594127877	20.0	5.0	5.0	:ticket:	:ticket:	🎫	🎫
18.99967735661285	20.0	6.0	6.0	:bug:	:bug:	🐛	🐛
18.99967735661285	20.0	6.0	6.0	:crossed_fingers_medium-light_skin_tone:	:crossed_fingers_medium-light_skin_tone:	🤞🏼	🤞🏼
18.999641507825455	20.0	10.0	4.0	:star:	:clapping_hands_dark_skin_tone:	⭐	👏🏿
18.999641507825455	20.0	4.0	10.0	:clapping_hands_dark_skin_tone:	:star:	👏🏿	⭐
18.99956084841515	20.0	7.0	7.0	:backhand_index_pointing_down_light_skin_tone:	:backhand_index_pointing_down_light_skin_tone:	👇🏻	👇🏻
18.99927406334357	20.0	9.0	9.0	:chicken:	:chicken:	🐔	🐔
18.999103787613464	20.0	5.0	20.0	:watch:	:peanuts:	⌚	🥜
18.999103787613464	20.0	5.0	20.0	:shorts:	:peanuts:	🩳	🥜
18.999103787613464	20.0	10.0	10.0	:bikini:	:lotion_bottle:	👙	🧴
18.999103787613464	20.0	20.0	5.0	:peanuts:	:watch:	🥜	⌚
18.999103787613464	20.0	20.0	5.0	:peanuts:	:shorts:	🥜	🩳
18.999103787613464	20.0	20.0	5.0	:peanuts:	:leg_medium_skin_tone:	🥜	🦵🏽
18.999103787613464	20.0	20.0	5.0	:peanuts:	:leg:	🥜	🦵
18.999103787613464	20.0	20.0	5.0	:peanuts:	:cherries:	🥜	🍒
18.999103787613464	20.0	20.0	5.0	:peanuts:	:ice_cream:	🥜	🍨
18.999103787613464	20.0	5.0	20.0	:leg_medium_skin_tone:	:peanuts:	🦵🏽	🥜
18.999103787613464	20.0	10.0	10.0	:lotion_bottle:	:bikini:	🧴	👙
18.999103787613464	20.0	5.0	20.0	:leg:	:peanuts:	🦵	🥜
18.999103787613464	20.0	5.0	20.0	:cherries:	:peanuts:	🍒	🥜
18.999103787613464	20.0	5.0	20.0	:ice_cream:	:peanuts:	🍨	🥜
18.998924552347617	20.0	20.0	6.0	:peanuts:	:chocolate_bar:	🥜	🍫
18.998924552347617	20.0	20.0	6.0	:peanuts:	:glass_of_milk:	🥜	🥛
18.998924552347617	20.0	6.0	20.0	:chocolate_bar:	:peanuts:	🍫	🥜
18.998924552347617	20.0	6.0	20.0	:glass_of_milk:	:peanuts:	🥛	🥜
18.99891559064995	20.0	11.0	11.0	:clapping_hands_medium-light_skin_tone:	:clapping_hands_medium-light_skin_tone:	👏🏼	👏🏼
18.99874531948997	20.0	10.0	14.0	:bikini:	:eggplant:	👙	🍆
18.99874531948997	20.0	14.0	10.0	:eggplant:	:bikini:	🍆	👙
18.99874531948997	20.0	14.0	10.0	:eggplant:	:lotion_bottle:	🍆	🧴
18.99874531948997	20.0	10.0	14.0	:lotion_bottle:	:eggplant:	🧴	🍆
18.99848543610928	20.0	13.0	13.0	:smiling_face_with_open_hands:	:smiling_face_with_open_hands:	🤗	🤗
18.9980642565405	20.0	27.0	8.0	:party_popper:	:ogre:	🎉	👹
18.9980642565405	20.0	8.0	27.0	:ogre:	:party_popper:	👹	🎉
18.997705816300527	20.0	16.0	16.0	:thumbs_down_medium-light_skin_tone:	:thumbs_down_medium-light_skin_tone:	👎🏼	👎🏼
18.996953123094805	20.0	17.0	20.0	:goat:	:peanuts:	🐐	🥜
18.996953123094805	20.0	20.0	17.0	:peanuts:	:goat:	🥜	🐐
18.99676495641827	20.0	19.0	19.0	:grinning_face_with_big_eyes:	:grinning_face_with_big_eyes:	😃	😃
