SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
169.90843025196608	197.0	100.0	3480.0	:thumbs_down:	was	👎	
122.62217641421779	124.0	100.0	71.0	:thumbs_down:	paneer	👎	
111.16524657142702	141.0	100.0	5779.0	:thumbs_down:	subway	👎	
95.72759232280578	111.0	294.0	1139.0	:Ukraine:	stop	🇺🇦	
95.37572913274536	116.0	294.0	1562.0	:Ukraine:	russia	🇺🇦	
94.57575709354259	96.0	187.0	55.0	:weary_face:	missed	😩	
87.18520787815312	143.0	100.0	13736.0	:thumbs_down:	to	👎	
86.0464654269936	182.0	426.0	5779.0	:triangular_flag:	subway	🚩	
82.29535234515235	237.0	239.0	19010.0	:enraged_face:	the	😡	
81.58546035448074	90.0	426.0	481.0	:triangular_flag:	tuna	🚩	
80.76654670578891	217.0	239.0	16586.0	:enraged_face:	i	😡	
80.58490737921704	338.0	564.0	16586.0	:loudly_crying_face:	i	😭	
73.76947280844097	75.0	285.0	25.0	:fire:	#grub	🔥	
73.30274557899548	75.0	285.0	76.0	:fire:	win	🔥	
70.74324603511569	72.0	285.0	29.0	:fire:	angeles	🔥	
70.51431095405493	72.0	285.0	55.0	:fire:	los	🔥	
68.8218022671204	174.0	210.0	16586.0	:face_with_symbols_on_mouth:	i	🤬	
67.01300702604804	305.0	564.0	19010.0	:loudly_crying_face:	the	😭	
65.33702570854786	130.0	294.0	7245.0	:Ukraine:	in	🇺🇦	
64.67332623065619	149.0	210.0	13736.0	:face_with_symbols_on_mouth:	to	🤬	
63.159075418265566	70.0	294.0	704.0	:Ukraine:	business	🇺🇦	
62.662946040105886	109.0	564.0	2773.0	:loudly_crying_face:	back	😭	
62.3745414579399	65.0	100.0	589.0	:thumbs_down:	were	👎	
62.36377951335817	125.0	187.0	11538.0	:weary_face:	you	😩	
62.26685070850472	102.0	564.0	2382.0	:loudly_crying_face:	why	😭	
61.49793698658879	63.0	100.0	185.0	:thumbs_down:	missing	👎	
61.37520479639537	64.0	100.0	598.0	:thumbs_down:	take	👎	
61.331121768982165	63.0	100.0	247.0	:thumbs_down:	sucks	👎	
60.94626295591193	62.0	100.0	20.0	:thumbs_down:	zomatto	👎	
60.94626295591193	62.0	100.0	20.0	:thumbs_down:	dustbin???please	👎	
60.93284040686955	62.0	100.0	25.0	:thumbs_down:	32	👎	
60.92478912453661	62.0	100.0	28.0	:thumbs_down:	noida	👎	
60.895282167821165	62.0	100.0	39.0	:thumbs_down:	surprise	👎	
60.895282167821165	62.0	100.0	39.0	:thumbs_down:	sector	👎	
60.8818773978053	62.0	100.0	44.0	:thumbs_down:	frozen	👎	
60.87383677961706	62.0	100.0	47.0	:thumbs_down:	rotten	👎	
60.82295191736012	62.0	100.0	66.0	:thumbs_down:	vegetables	👎	
60.82295191736012	62.0	100.0	66.0	:thumbs_down:	action	👎	
60.798872086787014	62.0	100.0	75.0	:thumbs_down:	mall	👎	
60.79084883468202	62.0	100.0	78.0	:thumbs_down:	throw	👎	
59.788011220296816	62.0	100.0	458.0	:thumbs_down:	through	👎	
59.445702097992026	63.0	100.0	967.0	:thumbs_down:	ordered	👎	
59.38908934920134	62.0	100.0	612.0	:thumbs_down:	over	👎	
59.33096357057616	63.0	100.0	1012.0	:thumbs_down:	need	👎	
59.23517331565628	79.0	100.0	6907.0	:thumbs_down:	it	👎	
59.13744353097017	62.0	100.0	710.0	:thumbs_down:	some	👎	
58.95846838441235	66.0	100.0	2285.0	:thumbs_down:	but	👎	
58.82531939650175	63.0	100.0	1212.0	:thumbs_down:	bread	👎	
58.814753305810264	66.0	100.0	2344.0	:thumbs_down:	sandwich	👎	
58.45717068403738	86.0	210.0	4675.0	:face_with_symbols_on_mouth:	this	🤬	
58.32502404197169	82.0	564.0	1495.0	:loudly_crying_face:	bring	😭	
58.26103894029551	159.0	210.0	19010.0	:face_with_symbols_on_mouth:	the	🤬	
58.19028942804917	150.0	564.0	6336.0	:loudly_crying_face:	my	😭	
57.5986562274544	63.0	100.0	1709.0	:thumbs_down:	like	👎	
56.93717492084231	98.0	239.0	6336.0	:enraged_face:	my	😡	
56.56745247424932	74.0	100.0	6336.0	:thumbs_down:	my	👎	
56.43091810629569	140.0	174.0	19010.0	:nauseated_face:	the	🤢	
55.46615658813811	86.0	100.0	11459.0	:thumbs_down:	and	👎	
55.16928549822943	98.0	426.0	3828.0	:triangular_flag:	's	🚩	
54.99318245525308	162.0	242.0	19010.0	:face_vomiting:	the	🤮	
54.293657370381595	85.0	210.0	5600.0	:face_with_symbols_on_mouth:	n't	🤬	
54.053226211888095	63.0	100.0	3249.0	:thumbs_down:	all	👎	
53.52643461224278	121.0	239.0	11459.0	:enraged_face:	and	😡	
53.42180674727168	59.0	210.0	909.0	:face_with_symbols_on_mouth:	chicken	🤬	
53.3753768233769	81.0	564.0	1902.0	:loudly_crying_face:	please	😭	
52.797953133262396	56.0	294.0	318.0	:Ukraine:	ukraine	🇺🇦	
51.96012452349508	118.0	239.0	11538.0	:enraged_face:	you	😡	
51.28572707888428	139.0	564.0	6907.0	:loudly_crying_face:	it	😭	
51.072317987187446	55.0	173.0	740.0	:red_heart:	love	❤️	
50.9473894974726	69.0	100.0	7245.0	:thumbs_down:	in	👎	
49.96229473542242	51.0	100.0	17.0	:thumbs_down:	logix	👎	
49.86745264844549	51.0	285.0	21.0	:fire:	union	🔥	
49.66027395222291	51.0	285.0	54.0	:fire:	station	🔥	
49.18234812273108	93.0	285.0	6551.0	:fire:	for	🔥	
48.99839033089944	88.0	100.0	16586.0	:thumbs_down:	i	👎	
