SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
418.77507760256657	420.0	22.0	22.0	:triangular_flag:	:triangular_flag:	🚩	🚩
70.92750471483672	72.0	30.0	30.0	:taco:	:taco:	🌮	🌮
26.974909353423705	28.0	28.0	28.0	:eye:	:eye:	👁️	👁️
26.62346189804632	28.0	109.0	109.0	:purple_heart:	:purple_heart:	💜	💜
24.989150136831743	26.0	28.0	13.0	:eye:	:mouth:	👁️	👄
24.989150136831743	26.0	13.0	28.0	:mouth:	:eye:	👄	👁️
22.996659761652364	24.0	11.0	11.0	:writing_hand:	:writing_hand:	✍️	✍️
19.89973087993774	21.0	109.0	38.0	:purple_heart:	:sparkles:	💜	✨
19.89973087993774	21.0	38.0	109.0	:sparkles:	:purple_heart:	✨	💜
10.70338841351775	12.0	145.0	145.0	:eyes:	:eyes:	👀	👀
8.999222593821933	10.0	8.0	8.0	:musical_notes:	:musical_notes:	🎶	🎶
6.99806220560158	8.0	13.0	15.0	:trade_mark:	:registered:	™️	®️
6.99806220560158	8.0	15.0	13.0	:registered:	:trade_mark:	®️	™️
6.997764136879159	8.0	15.0	15.0	:registered:	:registered:	®️	®️
6.985664665606322	8.0	38.0	38.0	:sparkles:	:sparkles:	✨	✨
3.9990062144738387	5.0	30.0	5.0	:taco:	:baseball:	🌮	⚾
3.9990062144738387	5.0	5.0	30.0	:baseball:	:taco:	⚾	🌮
2.999729448892218	4.0	7.0	7.0	:clapping_hands:	:clapping_hands:	👏	👏
2.9996411096887314	4.0	5.0	13.0	:baseball:	:trade_mark:	⚾	™️
2.9996411096887314	4.0	13.0	5.0	:trade_mark:	:baseball:	™️	⚾
2.999585898690941	4.0	5.0	15.0	:baseball:	:registered:	⚾	®️
2.999585898690941	4.0	15.0	5.0	:registered:	:baseball:	®️	⚾
2.9978471474841317	4.0	30.0	13.0	:taco:	:trade_mark:	🌮	™️
2.997847147484131	4.0	13.0	30.0	:trade_mark:	:taco:	™️	🌮
2.997516043619458	4.0	30.0	15.0	:taco:	:registered:	🌮	®️
2.997516043619458	4.0	15.0	30.0	:registered:	:taco:	®️	🌮
2.9849821568467574	4.0	25.0	109.0	:handshake:	:purple_heart:	🤝	💜
2.9849821568467565	4.0	109.0	25.0	:purple_heart:	:handshake:	💜	🤝
