SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
28197.837541934157	53480.0	2295.0	2295.0	:taco:	:taco:	🌮	🌮
16347.235500925599	18778.0	938.0	938.0	:triangular_flag:	:triangular_flag:	🚩	🚩
14140.504940368526	20996.0	1677.0	1677.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
3899.608124955005	9618.0	3026.0	3026.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
3258.1726520136585	3370.0	452.0	452.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
2307.484014433728	2742.0	1052.0	1052.0	:fire:	:fire:	🔥	🔥
1594.0216507841387	1776.0	821.0	821.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
1454.368816267695	1642.0	872.0	872.0	:red_heart:	:red_heart:	❤️	❤️
949.2851032117327	1132.0	1061.0	1061.0	:pleading_face:	:pleading_face:	🥺	🥺
913.1999723269747	916.0	109.0	109.0	:thumbs_down:	:thumbs_down:	👎	👎
909.704809253971	920.0	248.0	248.0	:clapping_hands:	:clapping_hands:	👏	👏
869.6249436963559	980.0	863.0	863.0	:weary_face:	:weary_face:	😩	😩
734.0178847025104	782.0	618.0	618.0	:enraged_face:	:enraged_face:	😡	😡
707.0924086188876	730.0	431.0	431.0	:folded_hands:	:folded_hands:	🙏	🙏
670.3055140908042	672.0	79.0	79.0	:man_facepalming_medium-dark_skin_tone:	:man_facepalming_medium-dark_skin_tone:	🤦🏾‍♂️	🤦🏾‍♂️
646.5739546855982	648.0	63.0	63.0	:check_mark_button:	:check_mark_button:	✅	✅
576.2904571121461	596.0	441.0	441.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
471.26016534105986	474.0	149.0	149.0	:middle_finger:	:middle_finger:	🖕	🖕
440.5582895418036	482.0	738.0	738.0	:eyes:	:eyes:	👀	👀
438.8946373271942	440.0	38.0	38.0	:OK_hand_medium-light_skin_tone:	:OK_hand_medium-light_skin_tone:	👌🏼	👌🏼
432.4982034302202	438.0	250.0	250.0	:face_vomiting:	:face_vomiting:	🤮	🤮
424.1668516657523	442.0	487.0	487.0	:drooling_face:	:drooling_face:	🤤	🤤
387.12032171751054	406.0	525.0	525.0	:face_with_rolling_eyes:	:face_with_rolling_eyes:	🙄	🙄
365.08139902436494	384.0	541.0	541.0	:face_savoring_food:	:face_savoring_food:	😋	😋
324.0162253962093	326.0	135.0	135.0	:two_hearts:	:two_hearts:	💕	💕
323.44495575103866	338.0	500.0	500.0	:thinking_face:	:thinking_face:	🤔	🤔
321.3248042321894	330.0	378.0	378.0	:burrito:	:burrito:	🌯	🌯
314.28322671847195	316.0	117.0	117.0	:partying_face:	:partying_face:	🥳	🥳
285.15894110494605	292.0	350.0	350.0	:face_with_steam_from_nose:	:face_with_steam_from_nose:	😤	😤
283.9654389483194	288.0	253.0	253.0	:purple_heart:	:purple_heart:	💜	💜
