SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
183.26070629854595	429.0	1061.0	7572.0	:pleading_face:	please	🥺	
182.95217170618372	2164.0	3026.0	62053.0	:loudly_crying_face:	the	😭	
181.87010433361655	1787.0	3026.0	43602.0	:loudly_crying_face:	i	😭	
165.06103217508002	658.0	3026.0	7572.0	:loudly_crying_face:	please	😭	
151.40670352871297	1045.0	3026.0	21833.0	:loudly_crying_face:	back	😭	
148.18459351449243	234.0	431.0	7572.0	:folded_hands:	please	🙏	
144.4373838976133	385.0	2295.0	4507.0	:taco:	tacos	🌮	
128.28297266510313	181.0	378.0	6089.0	:burrito:	burrito	🌯	
122.98318751951723	687.0	3026.0	14306.0	:loudly_crying_face:	bring	😭	
121.98213904151231	493.0	1061.0	21833.0	:pleading_face:	back	🥺	
121.8424827971982	618.0	2295.0	15656.0	:taco:	taco	🌮	
120.93177729157321	733.0	3026.0	16705.0	:loudly_crying_face:	my	😭	
118.62568377752845	245.0	938.0	6525.0	:triangular_flag:	we	🚩	
111.97725259928978	365.0	1061.0	14306.0	:pleading_face:	bring	🥺	
107.5318518810091	345.0	938.0	15656.0	:triangular_flag:	taco	🚩	
105.96149996999699	227.0	452.0	14559.0	:face_with_symbols_on_mouth:	in	🤬	
105.69654958794482	474.0	452.0	62053.0	:face_with_symbols_on_mouth:	the	🤬	
104.56878160933438	345.0	3026.0	5116.0	:loudly_crying_face:	chicken	😭	
104.35021811980853	381.0	863.0	21833.0	:weary_face:	back	😩	
104.30222074253162	325.0	3026.0	4577.0	:loudly_crying_face:	fries	😭	
103.89603603043936	467.0	3026.0	9298.0	:loudly_crying_face:	all	😭	
102.77399650078402	327.0	3026.0	4763.0	:loudly_crying_face:	nacho	😭	
101.61578962097055	447.0	618.0	43602.0	:enraged_face:	i	😡	
101.27629836770963	753.0	1677.0	43602.0	:face_with_tears_of_joy:	i	😂	
100.6557535353222	117.0	2295.0	385.0	:taco:	28	🌮	
100.49273506831959	707.0	1061.0	62053.0	:pleading_face:	the	🥺	
100.36326017025577	633.0	863.0	62053.0	:weary_face:	the	😩	
100.12345980828594	332.0	3026.0	5153.0	:loudly_crying_face:	why	😭	
99.38079067087973	372.0	452.0	43602.0	:face_with_symbols_on_mouth:	i	🤬	
98.56899729198133	290.0	863.0	14306.0	:weary_face:	bring	😩	
97.3728150398331	673.0	3026.0	20965.0	:loudly_crying_face:	it	😭	
97.24893391789821	281.0	3026.0	3936.0	:loudly_crying_face:	y'	😭	
96.11444759878201	127.0	2295.0	773.0	:taco:	many	🌮	
96.09051462332296	775.0	3026.0	27952.0	:loudly_crying_face:	and	😭	
95.93116690535663	847.0	2295.0	43602.0	:taco:	i	🌮	
