SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
154.9540662099661	156.0	13.0	13.0	:white_large_square:	:white_large_square:	⬜	⬜
76.9893309788729	78.0	6.0	13.0	:black_large_square:	:white_large_square:	⬛	⬜
76.9893309788729	78.0	13.0	6.0	:white_large_square:	:black_large_square:	⬜	⬛
65.47545205470136	68.0	114.0	114.0	:sparkles:	:sparkles:	✨	✨
58.86335618434455	60.0	36.0	36.0	:check_mark:	:check_mark:	✔️	✔️
28.99806761557872	30.0	6.0	6.0	:black_large_square:	:black_large_square:	⬛	⬛
16.98106396720908	18.0	24.0	24.0	:fire:	:fire:	🔥	🔥
14.960331317458781	16.0	30.0	45.0	:owl:	:high_voltage:	🦉	⚡
14.960331317458781	16.0	45.0	30.0	:high_voltage:	:owl:	⚡	🦉
12.958632857958584	14.0	14.0	114.0	:woman_dancing:	:sparkles:	💃	✨
12.958632857958584	14.0	114.0	14.0	:sparkles:	:woman_dancing:	✨	💃
11.999684851705508	13.0	13.0	1.0	:white_large_square:	:woman_light_skin_tone:	⬜	👩🏻
11.999684851705508	13.0	13.0	1.0	:white_large_square:	:bathtub:	⬜	🛁
11.999684851705508	13.0	1.0	13.0	:woman_light_skin_tone:	:white_large_square:	👩🏻	⬜
11.999684851705508	13.0	1.0	13.0	:bathtub:	:white_large_square:	🛁	⬜
10.99493652219203	12.0	15.0	15.0	:purple_heart:	:purple_heart:	💜	💜
10.987852664739016	12.0	36.0	15.0	:check_mark:	:hot_face:	✔️	🥵
10.987852664739016	12.0	15.0	36.0	:hot_face:	:check_mark:	🥵	✔️
5.9960117708995355	7.0	24.0	12.0	:fire:	:dragon:	🔥	🐉
5.9960117708995355	7.0	12.0	24.0	:dragon:	:fire:	🐉	🔥
4.999927272749609	6.0	6.0	1.0	:black_large_square:	:woman_light_skin_tone:	⬛	👩🏻
4.999927272749609	6.0	6.0	1.0	:black_large_square:	:bathtub:	⬛	🛁
4.999927272749609	6.0	1.0	6.0	:woman_light_skin_tone:	:black_large_square:	👩🏻	⬛
4.999927272749609	6.0	1.0	6.0	:bathtub:	:black_large_square:	🛁	⬛
4.9998909095085455	6.0	3.0	3.0	:check_box_with_check:	:check_box_with_check:	☑️	☑️
4.9998909095085455	6.0	3.0	3.0	:check_mark_button:	:check_mark_button:	✅	✅
4.9998909095085455	6.0	3.0	3.0	:prohibited:	:prohibited:	🚫	🚫
4.996728306285909	6.0	45.0	6.0	:high_voltage:	:pill:	⚡	💊
4.996728306285909	6.0	6.0	45.0	:pill:	:high_voltage:	💊	⚡
3.9993766622343876	5.0	12.0	5.0	:dragon:	:robot:	🐉	🤖
3.9993766622343876	5.0	5.0	12.0	:robot:	:dragon:	🤖	🐉
3.994081775648886	5.0	114.0	5.0	:sparkles:	:robot:	✨	🤖
3.994081775648886	5.0	5.0	114.0	:robot:	:sparkles:	🤖	✨
3.9858093293159067	5.0	12.0	114.0	:dragon:	:sparkles:	🐉	✨
3.9858093293159067	5.0	114.0	12.0	:sparkles:	:dragon:	✨	🐉
2.999861473332682	4.0	4.0	4.0	:musical_notes:	:musical_notes:	🎶	🎶
