SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
102.17669540400883	108.0	198.0	134.0	:registered:	emmy	®️	
93.40354106315641	119.0	76.0	1895.0	:tennis:	in	🎾	
75.22721887688255	83.0	114.0	438.0	:sparkles:	that	✨	
74.85522381337792	78.0	198.0	81.0	:registered:	oscar	®️	
74.48457489231089	83.0	114.0	490.0	:sparkles:	mo	✨	
73.78201909627141	83.0	114.0	540.0	:sparkles:	just	✨	
73.32806033498157	76.0	76.0	168.0	:tennis:	richard	🎾	
73.0649534311524	76.0	76.0	195.0	:tennis:	king	🎾	
72.26172418303567	83.0	114.0	651.0	:sparkles:	like	✨	
70.18531336855068	73.0	198.0	73.0	:registered:	-winning	®️	
67.79965318457788	76.0	76.0	771.0	:tennis:	experience	🎾	
65.13891965623637	83.0	114.0	1230.0	:sparkles:	start	✨	
64.49086055231344	217.0	198.0	7492.0	:registered:	the	®️	
63.13116725672899	83.0	114.0	1414.0	:sparkles:	plans	✨	
62.521448850932764	83.0	114.0	1472.0	:sparkles:	9.99	✨	
62.03884110310695	179.0	198.0	5561.0	:registered:	max	®️	
60.44676218047045	68.0	76.0	784.0	:tennis:	theaters	🎾	
58.96821758999145	83.0	114.0	1832.0	:sparkles:	at	✨	
56.62074153087221	165.0	198.0	5624.0	:registered:	hbo	®️	
56.349860852628844	175.0	198.0	6349.0	:registered:	on	®️	
54.35198636035571	88.0	114.0	2789.0	:sparkles:	and	✨	
49.89953966919283	52.0	114.0	107.0	:sparkles:	december	✨	
49.7986096806441	52.0	114.0	117.0	:sparkles:	9	✨	
49.65288915960362	51.0	76.0	51.0	:tennis:	triumphs	🎾	
49.07607656471033	51.0	76.0	137.0	:tennis:	true	🎾	
48.4315664608152	51.0	76.0	235.0	:tennis:	life	🎾	
45.191687896591226	61.0	76.0	2289.0	:tennis:	now	🎾	
44.0161873264661	75.0	198.0	1801.0	:registered:	for	®️	
43.26672751910737	84.0	76.0	6349.0	:tennis:	on	🎾	
42.78762067127918	44.0	114.0	24.0	:sparkles:	friendships	✨	
42.68204112345737	44.0	114.0	36.0	:sparkles:	great	✨	
42.60312197320098	44.0	114.0	45.0	:sparkles:	style	✨	
42.31257874533798	46.0	198.0	175.0	:registered:	entertainment	®️	
42.211913449194995	44.0	114.0	90.0	:sparkles:	go	✨	
42.15156253425998	44.0	114.0	97.0	:sparkles:	never	✨	
41.60598570574214	44.0	114.0	161.0	:sparkles:	out	✨	
41.45552144753987	76.0	76.0	5561.0	:tennis:	max	🎾	
41.24411967457191	76.0	76.0	5624.0	:tennis:	hbo	🎾	
40.25308684273028	48.0	12.0	7492.0	:locomotive:	the	🚂	
38.909381101398246	52.0	198.0	828.0	:registered:	series	®️	
38.880562053838496	60.0	36.0	7492.0	:check_mark:	the	✔️	
38.705811342988945	92.0	114.0	6349.0	:sparkles:	on	✨	
38.19482074390673	64.0	45.0	7492.0	:high_voltage:	the	⚡	
36.30580060216599	81.0	114.0	5561.0	:sparkles:	max	✨	
36.20404941654775	48.0	114.0	1376.0	:sparkles:	sign	✨	
36.09039453277587	81.0	114.0	5624.0	:sparkles:	hbo	✨	
35.727492517284375	68.0	198.0	2289.0	:registered:	now	®️	
35.68051240274817	63.0	114.0	3343.0	:sparkles:	of	✨	
35.36709034492404	45.0	198.0	651.0	:registered:	like	®️	
34.57794617897315	48.0	114.0	1645.0	:sparkles:	up	✨	
34.547822827014684	36.0	198.0	36.0	:registered:	triumphant	®️	
33.32902851180297	36.0	28.0	967.0	:kiss_mark:	with	💋	
32.597404289742	34.0	45.0	149.0	:high_voltage:	potter	⚡	
32.57332617788008	34.0	45.0	158.0	:high_voltage:	harry	⚡	
32.55212630671033	36.0	198.0	204.0	:registered:	drama	®️	
31.723736836496343	42.0	198.0	771.0	:registered:	experience	®️	
31.172858119787527	48.0	114.0	2289.0	:sparkles:	now	✨	
30.135515589306664	60.0	198.0	2476.0	:registered:	streaming	®️	
29.619667035886444	31.0	198.0	35.0	:registered:	winners	®️	
29.11075350768704	33.0	76.0	694.0	:tennis:	plan	🎾	
28.83164437149495	30.0	30.0	105.0	:owl:	20th	🦉	
28.826855780937578	30.0	30.0	108.0	:owl:	anniversary	🦉	
28.761531256753948	30.0	30.0	149.0	:owl:	potter	🦉	
28.747221498476755	30.0	30.0	158.0	:owl:	harry	🦉	
28.496171586136658	30.0	30.0	317.0	:owl:	miss	🦉	
28.367474450764227	32.0	28.0	1760.0	:kiss_mark:	new	💋	
28.25460467041144	30.0	30.0	472.0	:owl:	do	🦉	
28.114220111102195	30.0	30.0	563.0	:owl:	n't	🦉	
28.013128085581112	42.0	114.0	2078.0	:sparkles:	stream	✨	
27.670287976379967	33.0	114.0	721.0	:sparkles:	only	✨	
26.869780329343858	42.0	114.0	2342.0	:sparkles:	to	✨	
26.668616174401578	28.0	45.0	148.0	:high_voltage:	8	⚡	
25.771350984426306	32.0	45.0	2342.0	:high_voltage:	to	⚡	
24.809620623529234	26.0	45.0	91.0	:high_voltage:	special	⚡	
24.737230097198033	28.0	114.0	422.0	:sparkles:	premieres	✨	
24.56363154904633	28.0	198.0	263.0	:registered:	discover	®️	
24.45199977462972	30.0	198.0	487.0	:registered:	more	®️	
24.299817026367137	28.0	28.0	2078.0	:kiss_mark:	stream	💋	
23.873886844424728	25.0	76.0	37.0	:tennis:	greatness	🎾	
23.71721239997233	25.0	198.0	32.0	:registered:	drive	®️	
23.71721239997233	25.0	198.0	32.0	:registered:	car	®️	
23.56119505154902	38.0	45.0	6349.0	:high_voltage:	on	⚡	
22.96441858067724	25.0	198.0	120.0	:registered:	her	®️	
22.961086817096795	24.0	36.0	25.0	:check_mark:	twists	✔️	
22.959532289883676	24.0	36.0	26.0	:check_mark:	turns	✔️	
22.940889946996407	24.0	36.0	38.0	:check_mark:	vice	✔️	
22.92847399975069	24.0	36.0	46.0	:check_mark:	dramas	✔️	
22.925371546851814	24.0	36.0	48.0	:check_mark:	tokyo	✔️	
22.885095418881946	24.0	36.0	74.0	:check_mark:	crime	✔️	
22.61009217103688	24.0	114.0	80.0	:sparkles:	premiering	✨	
22.595406331976378	24.0	36.0	263.0	:check_mark:	discover	✔️	
22.305936048527933	28.0	17.0	6349.0	:rocket:	on	🚀	
22.164219960335593	24.0	36.0	551.0	:check_mark:	including	✔️	
22.15922497291432	25.0	198.0	219.0	:registered:	my	®️	
21.978031366321577	23.0	23.0	23.0	:clinking_beer_mugs:	butterbeer	🍻	
21.95800085164397	23.0	23.0	44.0	:clinking_beer_mugs:	accio	🍻	
21.801169628011564	30.0	30.0	5561.0	:owl:	max	🦉	
21.79968895178997	24.0	36.0	801.0	:check_mark:	all	✔️	
21.760851152119884	24.0	36.0	828.0	:check_mark:	series	✔️	
