SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
25148.114685017932	65098.0	3534.0	3534.0	:red_heart:	:red_heart:	❤️	❤️
18561.348700927272	19662.0	662.0	662.0	:face_vomiting:	:face_vomiting:	🤮	🤮
6471.008281449566	6480.0	96.0	96.0	:butterfly:	:butterfly:	🦋	🦋
6366.734757521081	15416.0	3302.0	3302.0	:fire:	:fire:	🔥	🔥
5805.900459496283	8088.0	1680.0	1680.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
5232.642531384174	17898.0	4670.0	4670.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
4433.4693750625	4618.0	554.0	554.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
4096.56868692875	4888.0	1185.0	1185.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
3860.8513694377493	3868.0	109.0	109.0	:dollar_banknote:	:dollar_banknote:	💵	💵
3042.5776331104416	3988.0	1496.0	1496.0	:folded_hands:	:folded_hands:	🙏	🙏
2871.5421576916406	2898.0	257.0	257.0	:exploding_head:	:exploding_head:	🤯	🤯
2865.190018795339	2870.0	109.0	91.0	:dollar_banknote:	:money_bag:	💵	💰
2865.1900187953383	2870.0	91.0	109.0	:money_bag:	:dollar_banknote:	💰	💵
2773.9205552362555	2778.0	91.0	91.0	:money_bag:	:money_bag:	💰	💰
2665.4289733807445	3926.0	1840.0	1840.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
2438.3468569038814	2490.0	393.0	393.0	:sparkling_heart:	:sparkling_heart:	💖	💖
2334.3017673377267	2356.0	257.0	257.0	:thumbs_down:	:thumbs_down:	👎	👎
2100.190386792109	2148.0	407.0	407.0	:two_hearts:	:two_hearts:	💕	💕
1892.727908600576	1908.0	237.0	237.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
1853.8216332893016	1898.0	416.0	416.0	:hundred_points:	:hundred_points:	💯	💯
1816.6321426747988	1850.0	364.0	364.0	:backhand_index_pointing_right:	:backhand_index_pointing_right:	👉	👉
1806.2852604216878	1842.0	378.0	378.0	:bat:	:bat:	🦇	🦇
1802.7947596107044	1918.0	684.0	684.0	:clapping_hands:	:clapping_hands:	👏	👏
