SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
2857.892775565206	2862.0	54.0	54.0	:black_large_square:	:black_large_square:	⬛	⬛
2252.89965129643	2256.0	50.0	50.0	:clown_face:	:clown_face:	🤡	🤡
983.0406990175929	1280.0	883.0	883.0	:clapping_hands:	:clapping_hands:	👏	👏
678.2154835164755	2090.0	2513.0	2513.0	:green_heart:	:green_heart:	💚	💚
660.3658425885959	1516.0	1869.0	1869.0	:raising_hands:	:raising_hands:	🙌	🙌
478.5343148947901	480.0	51.0	51.0	:hamburger:	:hamburger:	🍔	🍔
416.9772248332625	452.0	464.0	464.0	:hundred_points:	:hundred_points:	💯	💯
307.5736918050765	388.0	817.0	817.0	:eyes:	:eyes:	👀	👀
186.42369024036452	208.0	537.0	537.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
170.3130147474031	184.0	442.0	442.0	:fire:	:fire:	🔥	🔥
160.9975519300327	190.0	671.0	671.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
153.84989126204138	172.0	539.0	539.0	:sparkles:	:sparkles:	✨	✨
119.72814754340162	124.0	268.0	268.0	:pleading_face:	:pleading_face:	🥺	🥺
98.96313845316932	100.0	35.0	28.0	:rose:	:red_heart:	🌹	❤️
98.96313845316932	100.0	28.0	35.0	:red_heart:	:rose:	❤️	🌹
98.95903991578504	100.0	33.0	33.0	:star:	:star:	⭐	⭐
94.95575121234315	96.0	35.0	35.0	:rose:	:rose:	🌹	🌹
94.90973163644004	96.0	50.0	50.0	:plus:	:plus:	➕	➕
94.89858407161167	96.0	53.0	53.0	:lollipop:	:lollipop:	🍭	🍭
88.99335602422144	90.0	14.0	14.0	:play_button:	:play_button:	▶️	▶️
88.97342888328208	90.0	28.0	28.0	:red_heart:	:red_heart:	❤️	❤️
88.5611861932198	90.0	114.0	114.0	:party_popper:	:party_popper:	🎉	🎉
86.98673969691528	88.0	20.0	20.0	:hand_with_fingers_splayed:	:hand_with_fingers_splayed:	🖐️	🖐️
64.33416794539244	66.0	164.0	164.0	:crown:	:crown:	👑	👑
54.99864105138113	56.0	8.0	8.0	:multiply:	:multiply:	✖️	✖️
54.99864105138113	56.0	8.0	8.0	:gem_stone:	:gem_stone:	💎	💎
52.94464338899814	54.0	52.0	52.0	:police_car_light:	:police_car_light:	🚨	🚨
