SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
38908.28570109848	87748.0	2629.0	2629.0	:bouquet:	:bouquet:	💐	💐
13548.154400800433	23484.0	1966.0	1966.0	:red_heart:	:red_heart:	❤️	❤️
11438.030328534514	15644.0	1392.0	1392.0	:fire:	:fire:	🔥	🔥
9263.322727251645	9358.0	235.0	235.0	:wastebasket:	:wastebasket:	🗑️	🗑️
7390.2874093264045	7490.0	270.0	270.0	:middle_finger:	:middle_finger:	🖕	🖕
7126.874965047082	7158.0	152.0	152.0	:black_large_square:	:black_large_square:	⬛	⬛
6189.84396498406	6276.0	274.0	274.0	:clown_face:	:clown_face:	🤡	🤡
6156.623215664876	6168.0	96.0	96.0	:hamburger:	:hamburger:	🍔	🍔
4736.781301274974	4802.0	270.0	274.0	:middle_finger:	:clown_face:	🖕	🤡
4736.781301274974	4802.0	274.0	270.0	:clown_face:	:middle_finger:	🤡	🖕
4027.88763551384	4032.0	65.0	65.0	:control_knobs:	:control_knobs:	🎛️	🎛️
3174.060369725316	6582.0	2406.0	2406.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
2905.166228928647	2980.0	372.0	372.0	:face_vomiting:	:face_vomiting:	🤮	🤮
2626.4280754136475	2850.0	2629.0	174.0	:bouquet:	:sunflower:	💐	🌻
2626.4280754136475	2850.0	174.0	2629.0	:sunflower:	:bouquet:	🌻	💐
2400.0356953900105	2770.0	313.0	2629.0	:rose:	:bouquet:	🌹	💐
2400.0356953900105	2770.0	2629.0	313.0	:bouquet:	:rose:	💐	🌹
2391.544090204226	3400.0	1488.0	1488.0	:folded_hands:	:folded_hands:	🙏	🙏
2383.9320527695445	2854.0	1024.0	1024.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
2226.9703041277503	2268.0	313.0	313.0	:rose:	:rose:	🌹	🌹
2086.387318756511	3450.0	1852.0	1852.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
1805.1460143697957	1810.0	108.0	108.0	:heart_with_arrow:	:heart_with_arrow:	💘	💘
1622.9879074757357	1640.0	232.0	232.0	:sparkling_heart:	:sparkling_heart:	💖	💖
1593.563421226941	1680.0	539.0	539.0	:clapping_hands:	:clapping_hands:	👏	👏
1521.6163633975507	1528.0	139.0	139.0	:tomato:	:tomato:	🍅	🍅
1406.6318138964155	1408.0	65.0	22.0	:control_knobs:	:white_large_square:	🎛️	⬜
1406.6318138964152	1408.0	22.0	65.0	:white_large_square:	:control_knobs:	⬜	🎛️
1227.9737479110845	1232.0	116.0	116.0	:unicorn:	:unicorn:	🦄	🦄
1196.3625427262787	1204.0	174.0	174.0	:sunflower:	:sunflower:	🌻	🌻
1124.2416528361155	1154.0	373.0	373.0	:purple_heart:	:purple_heart:	💜	💜
1069.9306337423466	1209.0	1488.0	465.0	:folded_hands:	:crossed_fingers:	🙏	🤞
1069.9306337423466	1209.0	465.0	1488.0	:crossed_fingers:	:folded_hands:	🤞	🙏
1049.6264537785046	1059.0	313.0	139.0	:rose:	:hibiscus:	🌹	🌺
1049.6264537785046	1059.0	139.0	313.0	:hibiscus:	:rose:	🌺	🌹
1040.621506575229	1051.0	313.0	157.0	:rose:	:cherry_blossom:	🌹	🌸
1040.621506575229	1051.0	157.0	313.0	:cherry_blossom:	:rose:	🌸	🌹
982.9324829178375	1030.0	504.0	504.0	:green_heart:	:green_heart:	💚	💚
972.6146067007743	1048.0	2629.0	157.0	:bouquet:	:cherry_blossom:	💐	🌸
972.6146067007743	1048.0	157.0	2629.0	:cherry_blossom:	:bouquet:	🌸	💐
948.828960615494	1014.0	139.0	2629.0	:hibiscus:	:bouquet:	🌺	💐
948.828960615494	1014.0	2629.0	139.0	:bouquet:	:hibiscus:	💐	🌺
940.110863415486	1040.0	752.0	752.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
924.8213420924448	930.0	157.0	157.0	:cherry_blossom:	:cherry_blossom:	🌸	🌸
924.3546121378281	960.0	451.0	451.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
910.766870050841	1024.0	813.0	813.0	:pleading_face:	:pleading_face:	🥺	🥺
904.4422295510511	918.0	275.0	275.0	:heart_suit:	:heart_suit:	♥️	♥️
887.8557257039472	892.0	139.0	139.0	:hibiscus:	:hibiscus:	🌺	🌺
873.3058870493055	902.0	415.0	415.0	:enraged_face:	:enraged_face:	😡	😡
865.5373629562287	870.0	157.0	139.0	:cherry_blossom:	:hibiscus:	🌸	🌺
865.5373629562287	870.0	139.0	157.0	:hibiscus:	:cherry_blossom:	🌺	🌸
851.6936268088579	862.0	244.0	244.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
835.2754138739894	876.0	98.0	2629.0	:blossom:	:bouquet:	🌼	💐
835.2754138739894	876.0	2629.0	98.0	:bouquet:	:blossom:	💐	🌼
829.4980190333936	832.0	65.0	152.0	:control_knobs:	:black_large_square:	🎛️	⬛
829.4980190333935	832.0	152.0	65.0	:black_large_square:	:control_knobs:	⬛	🎛️
814.5249628483385	848.0	465.0	465.0	:crossed_fingers:	:crossed_fingers:	🤞	🤞
791.0980109202321	796.0	164.0	164.0	:rocket:	:rocket:	🚀	🚀
772.962952897895	782.0	238.0	238.0	:blue_heart:	:blue_heart:	💙	💙
762.5655861023095	830.0	685.0	685.0	:smiling_face_with_hearts:	:smiling_face_with_hearts:	🥰	🥰
722.7400483257053	726.0	174.0	98.0	:sunflower:	:blossom:	🌻	🌼
722.7400483257053	726.0	98.0	174.0	:blossom:	:sunflower:	🌼	🌻
706.542012522507	802.0	846.0	846.0	:eyes:	:eyes:	👀	👀
634.0586802209392	638.0	159.0	159.0	:pile_of_poo:	:pile_of_poo:	💩	💩
580.1950677006226	587.0	313.0	174.0	:rose:	:sunflower:	🌹	🌻
580.1950677006226	587.0	174.0	313.0	:sunflower:	:rose:	🌻	🌹
575.9851267194397	578.0	98.0	98.0	:blossom:	:blossom:	🌼	🌼
572.650467267173	604.0	2629.0	109.0	:bouquet:	:tulip:	💐	🌷
572.650467267173	604.0	109.0	2629.0	:tulip:	:bouquet:	🌷	💐
528.1125861361019	564.0	597.0	597.0	:face_with_rolling_eyes:	:face_with_rolling_eyes:	🙄	🙄
508.3938875710548	510.0	28.0	232.0	:four_leaf_clover:	:sparkling_heart:	🍀	💖
508.3938875710548	510.0	232.0	28.0	:sparkling_heart:	:four_leaf_clover:	💖	🍀
494.91284000468914	504.0	298.0	298.0	:hundred_points:	:hundred_points:	💯	💯
470.26246191658845	474.0	178.0	178.0	:gem_stone:	:gem_stone:	💎	💎
460.9590447775422	462.0	22.0	22.0	:white_large_square:	:white_large_square:	⬜	⬜
460.687849985204	464.0	157.0	174.0	:cherry_blossom:	:sunflower:	🌸	🌻
460.687849985204	464.0	174.0	157.0	:sunflower:	:cherry_blossom:	🌻	🌸
446.91466524583507	448.0	16.0	65.0	:black_small_square:	:control_knobs:	▪️	🎛️
446.91466524583507	448.0	65.0	16.0	:control_knobs:	:black_small_square:	🎛️	▪️
445.3355236221338	448.0	65.0	313.0	:control_knobs:	:sparkles:	🎛️	✨
445.3355236221338	448.0	313.0	65.0	:sparkles:	:control_knobs:	✨	🎛️
440.26463384389496	444.0	108.0	313.0	:heart_with_arrow:	:rose:	💘	🌹
440.26463384389496	444.0	313.0	108.0	:rose:	:heart_with_arrow:	🌹	💘
436.62733221892483	439.0	157.0	109.0	:cherry_blossom:	:tulip:	🌸	🌷
436.62733221892483	439.0	109.0	157.0	:tulip:	:cherry_blossom:	🌷	🌸
432.149829950131	438.0	247.0	247.0	:relieved_face:	:relieved_face:	😌	😌
429.214409030501	434.0	219.0	219.0	:smiling_face_with_sunglasses:	:smiling_face_with_sunglasses:	😎	😎
413.4892982918115	416.0	141.0	141.0	:yellow_heart:	:yellow_heart:	💛	💛
412.4131332219464	416.0	313.0	109.0	:rose:	:tulip:	🌹	🌷
412.41313322194634	416.0	109.0	313.0	:tulip:	:rose:	🌷	🌹
410.6140881646654	430.0	492.0	492.0	:weary_face:	:weary_face:	😩	😩
403.1499716528128	406.0	158.0	158.0	:clapping_hands_light_skin_tone:	:clapping_hands_light_skin_tone:	👏🏻	👏🏻
398.29712481289357	400.0	98.0	98.0	:clapping_hands_medium-light_skin_tone:	:clapping_hands_medium-light_skin_tone:	👏🏼	👏🏼
380.6726911398741	383.0	109.0	174.0	:tulip:	:sunflower:	🌷	🌻
380.6726911398741	383.0	174.0	109.0	:sunflower:	:tulip:	🌻	🌷
378.95989261492963	380.0	24.0	24.0	:magnifying_glass_tilted_right:	:magnifying_glass_tilted_right:	🔎	🔎
374.1828042035119	376.0	109.0	109.0	:tulip:	:tulip:	🌷	🌷
373.9584047114296	376.0	139.0	109.0	:hibiscus:	:tulip:	🌺	🌷
373.9584047114296	376.0	109.0	139.0	:tulip:	:hibiscus:	🌷	🌺
370.77860938241906	372.0	57.0	57.0	:middle_finger_light_skin_tone:	:middle_finger_light_skin_tone:	🖕🏻	🖕🏻
370.3527591886947	373.0	139.0	174.0	:hibiscus:	:sunflower:	🌺	🌻
370.3527591886947	373.0	174.0	139.0	:sunflower:	:hibiscus:	🌻	🌺
358.59294500272205	362.0	191.0	191.0	:folded_hands_light_skin_tone:	:folded_hands_light_skin_tone:	🙏🏻	🙏🏻
357.97989640449487	361.0	313.0	98.0	:rose:	:blossom:	🌹	🌼
357.97989640449487	361.0	98.0	313.0	:blossom:	:rose:	🌼	🌹
352.3539412130495	356.0	202.0	202.0	:party_popper:	:party_popper:	🎉	🎉
