SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
96.99548064657871	98.0	39.0	39.0	:clapping_hands:	:clapping_hands:	👏	👏
54.99752967032951	56.0	38.0	38.0	:fire:	:fire:	🔥	🔥
40.999936760089525	42.0	7.0	7.0	:triangular_flag:	:triangular_flag:	🚩	🚩
24.999948135385704	26.0	8.0	8.0	:file_folder:	:file_folder:	📁	📁
22.999603065875913	24.0	23.0	23.0	:purple_heart:	:purple_heart:	💜	💜
18.999977309161537	20.0	6.0	6.0	:unicorn:	:unicorn:	🦄	🦄
18.999948945814623	20.0	9.0	9.0	:sparkling_heart:	:sparkling_heart:	💖	💖
16.99997205678254	18.0	7.0	7.0	:check_mark_button:	:check_mark_button:	✅	✅
16.999963502677733	18.0	8.0	8.0	:speaking_head:	:speaking_head:	🗣️	🗣️
16.999378989961482	18.0	33.0	33.0	:fallen_leaf:	:fallen_leaf:	🍂	🍂
14.999967344500744	16.0	8.0	8.0	:police_car_light:	:police_car_light:	🚨	🚨
10.99999375720776	12.0	4.0	4.0	:beating_heart:	:beating_heart:	💓	💓
10.999960981518418	12.0	10.0	10.0	:skull_and_crossbones:	:skull_and_crossbones:	☠️	☠️
8.999935289448807	10.0	14.0	14.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
6.999857103553988	8.0	23.0	23.0	:movie_camera:	:movie_camera:	🎥	🎥
6.999813613983839	8.0	23.0	30.0	:movie_camera:	:television:	🎥	📺
6.999813613983839	8.0	30.0	23.0	:television:	:movie_camera:	📺	🎥
4.999998109265573	6.0	3.0	3.0	:thinking_face:	:thinking_face:	🤔	🤔
4.9999947475068325	6.0	5.0	5.0	:exploding_head:	:exploding_head:	🤯	🤯
4.999992436386401	6.0	6.0	6.0	:growing_heart:	:growing_heart:	💗	💗
2.9999926465201274	4.0	7.0	7.0	:sparkles:	:sparkles:	✨	✨
2.9999909957347564	4.0	12.0	5.0	:crown:	:smiling_face_with_heart-eyes:	👑	😍
2.9999909957347564	4.0	5.0	12.0	:smiling_face_with_heart-eyes:	:crown:	😍	👑
2.999978389755169	4.0	12.0	12.0	:crown:	:crown:	👑	👑
2.9896825806542617	4.0	17210.0	4.0	:red_heart:	:robot:	❤️	🤖
2.9896825806542617	4.0	4.0	17210.0	:robot:	:red_heart:	🤖	❤️
