SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
3220.936392105222	170408.0	114000.0	198059.0	:magnifying_glass_tilted_left:	holmes	🔍	
3220.908791203908	170407.0	114000.0	198060.0	:magnifying_glass_tilted_left:	enola	🔍	
3053.781410751992	170406.0	114000.0	219557.0	:magnifying_glass_tilted_left:	is	🔍	
2877.1699780098506	17176.0	17210.0	17177.0	:red_heart:	#chrisrocklive	❤️	
2875.9093402679578	17176.0	17210.0	17192.0	:red_heart:	goes	❤️	
2875.5734484291656	17176.0	17210.0	17196.0	:red_heart:	rock	❤️	
2875.157030991069	31477.0	31477.0	31477.0	:performing_arts:	can't	🎭	
2875.157030991069	31477.0	31477.0	31477.0	:performing_arts:	sleuth	🎭	
2875.0650008600132	31477.0	31477.0	31479.0	:performing_arts:	sharp	🎭	
2875.0650008600132	31477.0	31477.0	31479.0	:performing_arts:	card	🎭	
2875.018989075143	31477.0	31477.0	31480.0	:performing_arts:	onto	🎭	
2874.9269720658526	31477.0	31477.0	31482.0	:performing_arts:	tewkesbury	🎭	
2874.6049813998293	31477.0	31477.0	31489.0	:performing_arts:	handle	🎭	
2874.482607750644	17176.0	17210.0	17209.0	:red_heart:	chris	❤️	
2874.421034814226	31477.0	31477.0	31493.0	:performing_arts:	dance	🎭	
2873.5032520064105	33369.0	33374.0	33387.0	:blue_heart:	dreams	💙	
2873.5023642490532	33372.0	33374.0	33393.0	:blue_heart:	18	💙	
2872.555679503101	17176.0	17210.0	17232.0	:red_heart:	march	❤️	
2871.1196952909463	33373.0	33374.0	33450.0	:blue_heart:	november	💙	
2869.2964985265626	17175.0	17210.0	17269.0	:red_heart:	see	❤️	
2861.157192035919	17176.0	17210.0	17369.0	:red_heart:	when	❤️	
2813.03236481527	33372.0	33374.0	34832.0	:blue_heart:	of	💙	
2542.5588022613433	113986.0	114000.0	141887.0	:magnifying_glass_tilted_left:	2	🔍	
2512.733561807876	62954.0	31477.0	162869.0	:performing_arts:	you	🎭	
2497.093210759543	33369.0	33374.0	44097.0	:blue_heart:	ready	💙	
2494.921262221189	33369.0	33374.0	44173.0	:blue_heart:	get	💙	
2483.4456000727996	31477.0	31477.0	42082.0	:performing_arts:	or	🎭	
2476.47008468845	31477.0	31477.0	42317.0	:performing_arts:	can	🎭	
2331.1600957230617	62954.0	31477.0	188638.0	:performing_arts:	's	🎭	
2330.4292035848493	33369.0	33374.0	50551.0	:blue_heart:	thanks	💙	
2254.7213710346887	17177.0	17210.0	27901.0	:red_heart:	live	❤️	
2233.4359717241296	94431.0	31477.0	455938.0	:performing_arts:	to	🎭	
2181.0657761251177	113997.0	114000.0	190569.0	:magnifying_glass_tilted_left:	netflix	🔍	
2154.8071296484345	62954.0	31477.0	219940.0	:performing_arts:	your	🎭	
2119.2054031865423	171561.0	114000.0	445422.0	:magnifying_glass_tilted_left:	the	🔍	
2092.7509672166057	171557.0	114000.0	455938.0	:magnifying_glass_tilted_left:	to	🔍	
2091.2821270477834	31477.0	31477.0	59101.0	:performing_arts:	maker	🎭	
2091.1924061612226	31477.0	31477.0	59106.0	:performing_arts:	match	🎭	
2090.977122257561	31477.0	31477.0	59118.0	:performing_arts:	eyes	🎭	
2090.9233114752624	31477.0	31477.0	59121.0	:performing_arts:	keep	🎭	
2090.027064845351	31477.0	31477.0	59171.0	:performing_arts:	way	🎭	
2022.7579633652067	57564.0	114000.0	57564.0	:magnifying_glass_tilted_left:	afoot	🔍	
2022.7579633652067	57564.0	114000.0	57564.0	:magnifying_glass_tilted_left:	nov.	🔍	
2022.7579633652067	57564.0	114000.0	57564.0	:magnifying_glass_tilted_left:	#holmesbury	🔍	
2022.721849793463	57564.0	114000.0	57566.0	:magnifying_glass_tilted_left:	below	🔍	
2020.846510301791	57564.0	114000.0	57670.0	:magnifying_glass_tilted_left:	game	🔍	
2020.233309314441	57567.0	114000.0	57710.0	:magnifying_glass_tilted_left:	only	🔍	
2002.5386923298877	56421.0	114000.0	56423.0	:magnifying_glass_tilted_left:	agency	🔍	
2002.4475069372309	56421.0	114000.0	56428.0	:magnifying_glass_tilted_left:	business	🔍	
2002.4292712999613	56421.0	114000.0	56429.0	:magnifying_glass_tilted_left:	open	🔍	
2002.3016352882694	56421.0	114000.0	56436.0	:magnifying_glass_tilted_left:	detective	🔍	
2002.1375664196503	56421.0	114000.0	56445.0	:magnifying_glass_tilted_left:	officially	🔍	
1965.495615729881	33372.0	33374.0	70732.0	:blue_heart:	adventure	💙	
1929.7236531093452	113985.0	114000.0	240419.0	:magnifying_glass_tilted_left:	#unsubscribe	🔍	
1929.7236531093452	113985.0	114000.0	240419.0	:magnifying_glass_tilted_left:	opt	🔍	
1929.7194012757784	113985.0	114000.0	240420.0	:magnifying_glass_tilted_left:	reply	🔍	
1929.0608015130142	113995.0	114000.0	240616.0	:magnifying_glass_tilted_left:	out	🔍	
1882.0010766157372	113997.0	114000.0	252092.0	:magnifying_glass_tilted_left:	on	🔍	
1871.994012875965	66741.0	33374.0	305697.0	:blue_heart:	for	💙	
1766.076465877253	57565.0	114000.0	74886.0	:magnifying_glass_tilted_left:	4	🔍	
1717.1471494106722	57564.0	114000.0	79052.0	:magnifying_glass_tilted_left:	at	🔍	
1697.6574183831733	113994.0	114000.0	305697.0	:magnifying_glass_tilted_left:	for	🔍	
1697.5984017948458	31477.0	31477.0	89043.0	:performing_arts:	invitation	🎭	
1670.3141364019684	17175.0	17210.0	50551.0	:red_heart:	thanks	❤️	
1651.4870676911487	57565.0	114000.0	85211.0	:magnifying_glass_tilted_left:	exclusive	🔍	
1651.2559968954627	57564.0	114000.0	85231.0	:magnifying_glass_tilted_left:	peek	🔍	
1651.2550130499278	57565.0	114000.0	85234.0	:magnifying_glass_tilted_left:	sneak	🔍	
1614.0290925358581	57564.0	114000.0	89043.0	:magnifying_glass_tilted_left:	invitation	🔍	
1560.9895643838202	57564.0	114000.0	94925.0	:magnifying_glass_tilted_left:	available	🔍	
1537.6015810333024	66742.0	33374.0	445422.0	:blue_heart:	the	💙	
1493.401098133875	62954.0	31477.0	445422.0	:performing_arts:	the	🎭	
1482.5310417809187	34356.0	17210.0	252092.0	:red_heart:	on	❤️	
1478.102047500322	31477.0	31477.0	116666.0	:performing_arts:	decode	🎭	
1478.0825036629894	31477.0	31477.0	116669.0	:performing_arts:	ball	🎭	
1450.0518183598085	56421.0	114000.0	105051.0	:magnifying_glass_tilted_left:	now	🔍	
1400.6037033793395	57564.0	114000.0	116666.0	:magnifying_glass_tilted_left:	decode	🔍	
1400.5846683423842	57564.0	114000.0	116669.0	:magnifying_glass_tilted_left:	ball	🔍	
1368.381352497729	17176.0	17210.0	74886.0	:red_heart:	4	❤️	
1323.4738716119432	31477.0	31477.0	144534.0	:performing_arts:	an	🎭	
1249.7771257401055	57564.0	114000.0	144534.0	:magnifying_glass_tilted_left:	an	🔍	
1094.4164528852277	33370.0	33374.0	219940.0	:blue_heart:	your	💙	
1044.0917589773235	33369.0	33374.0	240419.0	:blue_heart:	#unsubscribe	💙	
1044.0917589773235	33369.0	33374.0	240419.0	:blue_heart:	opt	💙	
1044.0894584877901	33369.0	33374.0	240420.0	:blue_heart:	reply	💙	
1043.6388342700384	33369.0	33374.0	240616.0	:blue_heart:	out	💙	
1018.5066417875414	33380.0	33374.0	252092.0	:blue_heart:	on	💙	
1014.1406895748895	31477.0	31477.0	240419.0	:performing_arts:	#unsubscribe	🎭	
1014.1406895748895	31477.0	31477.0	240419.0	:performing_arts:	opt	🎭	
1014.138455097101	31477.0	31477.0	240420.0	:performing_arts:	reply	🎭	
1013.700761384882	31477.0	31477.0	240616.0	:performing_arts:	out	🎭	
994.3201929779058	57564.0	114000.0	219940.0	:magnifying_glass_tilted_left:	your	🔍	
918.1261396886863	17179.0	17210.0	162869.0	:red_heart:	you	❤️	
892.1092162860463	31477.0	31477.0	305697.0	:performing_arts:	for	🎭	
845.896305170015	17179.0	17210.0	190569.0	:red_heart:	netflix	❤️	
748.3099949710698	17175.0	17210.0	240419.0	:red_heart:	#unsubscribe	❤️	
748.3099949710698	17175.0	17210.0	240419.0	:red_heart:	opt	❤️	
748.3083460095783	17175.0	17210.0	240420.0	:red_heart:	reply	❤️	
748.0301933694805	17176.0	17210.0	240616.0	:red_heart:	out	❤️	
738.0895151907011	33374.0	33374.0	455938.0	:blue_heart:	to	💙	
658.4536187899403	17180.0	17210.0	305697.0	:red_heart:	for	❤️	
536.1360918505127	17185.0	17210.0	445422.0	:red_heart:	the	❤️	
529.0463363051758	17180.0	17210.0	455938.0	:red_heart:	to	❤️	
35.36762404592995	42.0	11.0	445422.0	:admission_tickets:	the	🎟️	
23.816857899422367	27.0	11.0	252092.0	:admission_tickets:	on	🎟️	
21.81194419059952	35.0	36.0	445422.0	:camera:	the	📷	
18.999979830313183	20.0	8.0	4.0	:file_folder:	_	📁	
17.6451832254561	25.0	23.0	445422.0	:movie_camera:	the	🎥	
16.998983818263422	18.0	33.0	54.0	:fallen_leaf:	heartstopper	🍂	
14.302596652865958	23.0	33.0	445422.0	:fallen_leaf:	the	🍂	
13.999834802597508	15.0	8.0	43.0	:file_folder:	shows	📁	
13.442523426354382	15.0	30.0	39770.0	:television:	a	📺	
13.414901979994061	15.0	36.0	34832.0	:camera:	of	📷	
12.999400332667761	14.0	36.0	37.0	:camera:	#sagawards	📷	
12.945414382897495	14.0	7.0	17369.0	:triangular_flag:	when	🚩	
12.56962711615054	16.0	33.0	162869.0	:fallen_leaf:	you	🍂	
12.416459369869317	14.0	3.0	445422.0	:musical_notes:	the	🎶	
12.331879460773134	14.0	7.0	219557.0	:triangular_flag:	is	🚩	
12.072389104779644	14.0	36.0	60114.0	:camera:	and	📷	
11.691596146003935	14.0	7.0	445422.0	:triangular_flag:	the	🚩	
11.285684102819033	18.0	30.0	445422.0	:television:	the	📺	
11.20293638019763	13.0	33.0	60114.0	:fallen_leaf:	and	🍂	
10.999707365553908	12.0	15.0	50.0	:registered:	award	®️	
10.929920276673101	12.0	3.0	60114.0	:musical_notes:	and	🎶	
10.892059294980156	12.0	7.0	39770.0	:check_mark_button:	a	✅	
10.403998953132978	14.0	15.0	445422.0	:registered:	the	®️	
9.999940571900801	11.0	11.0	15.0	:admission_tickets:	tickets	🎟️	
9.999939131240058	11.0	13.0	13.0	:backhand_index_pointing_right:	edition	👉	
9.999939131240058	11.0	13.0	13.0	:backhand_index_pointing_right:	props	👉	
9.999911038114025	11.0	13.0	19.0	:backhand_index_pointing_right:	rules	👉	
9.999798666606086	11.0	13.0	43.0	:backhand_index_pointing_right:	limited	👉	
9.970147534628486	11.0	11.0	7549.0	:admission_tickets:	in	🎟️	
9.9027142430061	11.0	36.0	7549.0	:camera:	in	📷	
9.826889352633868	11.0	11.0	44173.0	:admission_tickets:	get	🎟️	
9.59440713047738	11.0	11.0	105051.0	:admission_tickets:	now	🎟️	
9.412987267580448	16.0	33.0	455938.0	:fallen_leaf:	to	🍂	
9.033229473864987	11.0	13.0	219940.0	:backhand_index_pointing_right:	your	👉	
8.99999207625529	10.0	8.0	3.0	:file_folder:	coffee	📁	
8.99999207625529	10.0	8.0	3.0	:file_folder:	addiction	📁	
8.999963022456898	10.0	8.0	14.0	:file_folder:	age	📁	
8.999952787666382	10.0	13.0	11.0	:backhand_index_pointing_right:	fansgiving	👉	
8.999901283631457	10.0	13.0	23.0	:backhand_index_pointing_right:	official	👉	
8.999845487996636	10.0	36.0	13.0	:camera:	getty	📷	
8.99982171720229	10.0	36.0	15.0	:camera:	images	📷	
8.999811152432915	10.0	13.0	44.0	:backhand_index_pointing_right:	inspired	👉	
8.999789692781361	10.0	13.0	49.0	:backhand_index_pointing_right:	favorite	👉	
8.99968305577075	10.0	8.0	120.0	:file_folder:	coming	📁	
8.999608773930888	10.0	15.0	79.0	:registered:	academy	®️	
8.998987146648794	10.0	13.0	236.0	:backhand_index_pointing_right:	by	👉	
8.925105038216737	10.0	114000.0	2.0	:magnifying_glass_tilted_left:	jr	🔍	
8.925105038216737	10.0	114000.0	2.0	:magnifying_glass_tilted_left:	bautista	🔍	
8.90856813606747	10.0	8.0	34832.0	:file_folder:	of	📁	
8.903432427212708	10.0	39.0	7549.0	:clapping_hands:	in	👏	
8.887941505374753	10.0	114000.0	3.0	:magnifying_glass_tilted_left:	monáe	🔍	
8.887941505374753	10.0	114000.0	3.0	:magnifying_glass_tilted_left:	odom	🔍	
8.850965744026166	10.0	114000.0	4.0	:magnifying_glass_tilted_left:	norton	🔍	
8.814176617735818	10.0	114000.0	5.0	:magnifying_glass_tilted_left:	madelyn	🔍	
8.814176617735818	10.0	114000.0	5.0	:magnifying_glass_tilted_left:	cline	🔍	
8.777572997191065	10.0	114000.0	6.0	:magnifying_glass_tilted_left:	edward	🔍	
8.777572997191065	10.0	114000.0	6.0	:magnifying_glass_tilted_left:	henwick	🔍	
8.757367078165245	11.0	23.0	162869.0	:movie_camera:	you	🎥	
8.741153760157777	10.0	114000.0	7.0	:magnifying_glass_tilted_left:	janelle	🔍	
8.741153760157777	10.0	114000.0	7.0	:magnifying_glass_tilted_left:	hahn	🔍	
8.741153760157777	10.0	114000.0	7.0	:magnifying_glass_tilted_left:	leslie	🔍	
8.70491779143661	10.0	114000.0	8.0	:magnifying_glass_tilted_left:	hudson	🔍	
8.632991233046457	10.0	114000.0	10.0	:magnifying_glass_tilted_left:	kathryn	🔍	
8.597298447762524	10.0	114000.0	11.0	:magnifying_glass_tilted_left:	craig	🔍	
8.597298447762524	10.0	114000.0	11.0	:magnifying_glass_tilted_left:	dave	🔍	
8.584902786795404	13.0	33.0	305697.0	:fallen_leaf:	for	🍂	
8.352397461095912	10.0	114000.0	18.0	:magnifying_glass_tilted_left:	daniel	🔍	
8.245680488594902	12.0	17210.0	492.0	:red_heart:	i	❤️	
8.2162492653177	10.0	114000.0	22.0	:magnifying_glass_tilted_left:	jessica	🔍	
8.082778885236232	10.0	114000.0	26.0	:magnifying_glass_tilted_left:	knives	🔍	
8.040093107549326	11.0	33.0	188638.0	:fallen_leaf:	's	🍂	
7.999970285927551	9.0	11.0	9.0	:admission_tickets:	95th	🎟️	
7.999970285927551	9.0	11.0	9.0	:admission_tickets:	landmark	🎟️	
7.999966984341746	9.0	11.0	10.0	:admission_tickets:	germany	🎟️	
7.999966984341746	9.0	11.0	10.0	:admission_tickets:	selection	🎟️	
7.999957079695037	9.0	11.0	13.0	:admission_tickets:	literary	🎟️	
7.999947175044639	9.0	11.0	16.0	:admission_tickets:	western	🎟️	
7.999943873479209	9.0	11.0	17.0	:admission_tickets:	international	🎟️	
7.99994057193514	9.0	11.0	18.0	:admission_tickets:	quiet	🎟️	
7.999933968855436	9.0	11.0	20.0	:admission_tickets:	classic	🎟️	
7.999930667318626	9.0	11.0	21.0	:admission_tickets:	front	🎟️	
7.999927365776869	9.0	11.0	22.0	:admission_tickets:	awards	🎟️	
7.999924064248915	9.0	11.0	23.0	:admission_tickets:	official	🎟️	
7.999906356032176	9.0	13.0	24.0	:backhand_index_pointing_right:	giving	👉	
7.999904255051602	9.0	11.0	29.0	:admission_tickets:	feature	🎟️	
7.999904255051602	9.0	11.0	29.0	:admission_tickets:	select	🎟️	
7.99988684703395	9.0	13.0	29.0	:backhand_index_pointing_right:	away	👉	
7.999884445930163	9.0	11.0	35.0	:admission_tickets:	theaters	🎟️	
7.999821717389126	9.0	11.0	54.0	:admission_tickets:	based	🎟️	
7.999739180724258	9.0	11.0	79.0	:admission_tickets:	academy	🎟️	
7.999722673507301	9.0	11.0	84.0	:admission_tickets:	best	🎟️	
7.999623631065108	9.0	11.0	114.0	:admission_tickets:	film	🎟️	
7.9994537616216075	9.0	13.0	140.0	:backhand_index_pointing_right:	're	👉	
7.999149447793649	9.0	13.0	218.0	:backhand_index_pointing_right:	series	👉	
7.965869380060632	9.0	114000.0	1.0	:magnifying_glass_tilted_left:	11/23	🔍	
7.957691236866378	9.0	13.0	10877.0	:backhand_index_pointing_right:	we	👉	
7.95192238598718	10.0	114000.0	30.0	:magnifying_glass_tilted_left:	onion	🔍	
7.929495233554974	9.0	11.0	21466.0	:admission_tickets:	all	🎟️	
7.919609339678326	10.0	114000.0	31.0	:magnifying_glass_tilted_left:	kate	🔍	
7.919609339678326	10.0	114000.0	31.0	:magnifying_glass_tilted_left:	glass	🔍	
7.844968115393301	9.0	15.0	34832.0	:registered:	of	®️	
7.743923314039412	9.0	11.0	79052.0	:admission_tickets:	at	🎟️	
7.698882800976873	9.0	114000.0	9.0	:magnifying_glass_tilted_left:	rian	🔍	
7.698401890367097	9.0	13.0	79052.0	:backhand_index_pointing_right:	at	👉	
7.5834838456605995	9.0	36.0	39770.0	:camera:	a	📷	
7.404625187751153	9.0	11.0	188638.0	:admission_tickets:	's	🎟️	
7.312053230379842	9.0	11.0	219557.0	:admission_tickets:	is	🎟️	
7.292771398318907	10.0	36.0	162869.0	:camera:	you	📷	
7.276225384231093	10.0	114000.0	52.0	:magnifying_glass_tilted_left:	mystery	🔍	
7.0611649065415145	9.0	11.0	305697.0	:admission_tickets:	for	🎟️	
7.05983277800521	10.0	36.0	188638.0	:camera:	's	📷	
7.0463078870184335	9.0	114000.0	30.0	:magnifying_glass_tilted_left:	23	🔍	
7.0168739711563965	9.0	114000.0	31.0	:magnifying_glass_tilted_left:	johnson	🔍	
6.999968395024533	8.0	13.0	9.0	:backhand_index_pointing_right:	pur	👉	
6.999968395024533	8.0	13.0	9.0	:backhand_index_pointing_right:	nec	👉	
6.999968395024533	8.0	13.0	9.0	:backhand_index_pointing_right:	void	👉	
6.999968395024533	8.0	13.0	9.0	:backhand_index_pointing_right:	prohibited	👉	
6.999968395024533	8.0	13.0	9.0	:backhand_index_pointing_right:	11/26/21	👉	
6.999968395024533	8.0	13.0	9.0	:backhand_index_pointing_right:	11:59	👉	
6.9999332785717785	8.0	13.0	19.0	:backhand_index_pointing_right:	ends	👉	
6.999891139086868	8.0	13.0	31.0	:backhand_index_pointing_right:	pt	👉	
6.9998541322086565	8.0	36.0	15.0	:camera:	carpet	📷	
6.999827930391016	8.0	13.0	49.0	:backhand_index_pointing_right:	happy	👉	
