SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
4358.508169497549	5104.0	3489.0	2027.0	:candle:	#savelegacies	🕯️	
2510.0468633654023	2544.0	3489.0	159.0	:candle:	️#renewlegacies	🕯️	
1972.685137076925	2045.0	784.0	1941.0	:drooling_face:	plz	🤤	
1757.608310925798	1812.0	3720.0	344.0	:rocket:	withdrawal	🚀	
1748.5669155920407	1812.0	3720.0	404.0	:rocket:	bitcoin	🚀	
1735.2184174458534	2499.0	5655.0	3162.0	:heart_suit:	grow	♥️	
1630.924158248253	2505.0	5655.0	3845.0	:heart_suit:	#lucifermovie	♥️	
1599.0831417827158	1642.0	3720.0	297.0	:rocket:	zelle	🚀	
1589.3285747622026	1642.0	3720.0	368.0	:rocket:	paypal	🚀	
1580.2757233959344	1622.0	3720.0	292.0	:rocket:	cashap	🚀	
1493.412386404691	2445.0	5655.0	4575.0	:heart_suit:	girls	♥️	
1420.1388358084416	2678.0	5655.0	6430.0	:heart_suit:	deserves	♥️	
1400.5328841761934	2448.0	5655.0	5388.0	:heart_suit:	little	♥️	
1276.105646403952	2546.0	3489.0	11803.0	:candle:	u	🕯️	
1160.6154767815265	1262.0	3720.0	971.0	:rocket:	#shib	🚀	
1010.9125873465623	2464.0	5655.0	11047.0	:heart_suit:	his	♥️	
1004.9455103633611	1132.0	784.0	6647.0	:drooling_face:	release	🤤	
883.7362379691792	1263.0	8961.0	1941.0	:folded_hands:	plz	🙏	
839.5940618719645	854.0	3720.0	181.0	:rocket:	shiba	🚀	
834.9753617337706	840.0	1125.0	181.0	:crown:	shiba	👑	
807.0956234371345	811.0	840.0	181.0	:gem_stone:	shiba	💎	
796.8369029527944	805.0	784.0	484.0	:drooling_face:	dubbing	🤤	
752.5289438015949	2549.0	3489.0	34531.0	:candle:	can	🕯️	
713.1539429248213	756.0	1454.0	1690.0	:heart_on_fire:	w	❤️‍🔥	
695.2016235292615	700.0	790.0	292.0	:globe_showing_Asia-Australia:	cashap	🌏	
695.1368817756113	700.0	790.0	297.0	:globe_showing_Asia-Australia:	zelle	🌏	
694.5287993925039	700.0	790.0	344.0	:globe_showing_Asia-Australia:	withdrawal	🌏	
694.218630656308	700.0	790.0	368.0	:globe_showing_Asia-Australia:	paypal	🌏	
693.753809816298	700.0	790.0	404.0	:globe_showing_Asia-Australia:	bitcoin	🌏	
652.9392953785781	722.0	8961.0	484.0	:folded_hands:	dubbing	🙏	
647.9689968665897	2568.0	5655.0	29073.0	:heart_suit:	watch	♥️	
634.3896464522094	2529.0	5655.0	29407.0	:heart_suit:	up	♥️	
619.8187066852514	836.0	14560.0	971.0	:fire:	#shib	🔥	
614.0305730429333	618.0	840.0	243.0	:gem_stone:	#shibaswap	💎	
604.7844777395367	4407.0	8961.0	61313.0	:folded_hands:	please	🙏	
589.6430941205762	2585.0	28515.0	7037.0	:loudly_crying_face:	yes	😭	
586.5508126592603	1847.0	5655.0	18380.0	:heart_suit:	he	♥️	
577.594370940365	585.0	3489.0	134.0	:candle:	manifesting	🕯️	
