SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
2350.644155003344	2352.0	55.0	55.0	:clown_face:	:clown_face:	🤡	🤡
901.6876353388961	3008.0	9837.0	5615.0	:heart_suit:	:sparkles:	♥️	✨
901.6876353388961	3008.0	5615.0	9837.0	:sparkles:	:heart_suit:	✨	♥️
740.9213978334467	742.0	46.0	46.0	:triangular_flag:	:triangular_flag:	🚩	🚩
460.9887956701474	462.0	22.0	22.0	:white_large_square:	:white_large_square:	⬜	⬜
238.94909787031372	240.0	65.0	65.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
160.72146180058346	162.0	185.0	185.0	:red_heart:	:red_heart:	❤️	❤️
118.99380508647548	120.0	32.0	32.0	:star:	:star:	⭐	⭐
108.96269228938985	110.0	82.0	82.0	:clapping_hands:	:clapping_hands:	👏	👏
94.99672150432734	96.0	26.0	26.0	:flushed_face:	:flushed_face:	😳	😳
94.96896829746079	96.0	80.0	80.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
58.97692177801625	60.0	87.0	87.0	:fire:	:fire:	🔥	🔥
38.99909596974515	40.0	21.0	21.0	:folded_hands_medium-light_skin_tone:	:folded_hands_medium-light_skin_tone:	🙏🏼	🙏🏼
34.98663769588929	36.0	85.0	85.0	:eyes:	:eyes:	👀	👀
30.99904962578656	32.0	24.0	24.0	:american_football:	:american_football:	🏈	🏈
28.9996032056413	30.0	16.0	16.0	:speaking_head:	:speaking_head:	🗣️	🗣️
28.99944046032702	30.0	19.0	19.0	:exploding_head:	:exploding_head:	🤯	🤯
26.998323884096646	28.0	34.0	34.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
24.80653705514851	26.0	355.0	406.0	:movie_camera:	:television:	🎥	📺
24.806537055148503	26.0	406.0	355.0	:television:	:movie_camera:	📺	🎥
23.999792002159875	25.0	32.0	5.0	:smiling_face_with_horns:	:angry_face_with_horns:	😈	👿
23.999792002159875	25.0	5.0	32.0	:angry_face_with_horns:	:smiling_face_with_horns:	👿	😈
22.9996400055433	24.0	24.0	12.0	:eye:	:mouth:	👁️	👄
22.9996400055433	24.0	12.0	24.0	:mouth:	:eye:	👄	👁️
22.999280019334204	24.0	24.0	24.0	:eye:	:eye:	👁️	👁️
20.99896504092795	22.0	30.0	30.0	:musical_notes:	:musical_notes:	🎶	🎶
18.999973750238464	20.0	5.0	5.0	:writing_hand:	:writing_hand:	✍️	✍️
18.999973750238464	20.0	5.0	5.0	:angry_face_with_horns:	:angry_face_with_horns:	👿	👿
18.999962200260097	20.0	6.0	6.0	:waving_hand_medium-light_skin_tone:	:waving_hand_medium-light_skin_tone:	👋🏼	👋🏼
18.999962200260097	20.0	6.0	6.0	:check_mark:	:check_mark:	✔️	✔️
18.999696554651862	20.0	17.0	17.0	:crossed_swords:	:crossed_swords:	⚔️	⚔️
18.999176828645584	20.0	28.0	28.0	:upside-down_face:	:upside-down_face:	🙃	🙃
18.998924847552495	20.0	32.0	32.0	:smiling_face_with_horns:	:smiling_face_with_horns:	😈	😈
18.997990459144955	20.0	87.0	22.0	:fire:	:skull:	🔥	💀
18.997990459144955	20.0	22.0	87.0	:skull:	:fire:	💀	🔥
18.997269239965096	20.0	51.0	51.0	:slightly_smiling_face:	:slightly_smiling_face:	🙂	🙂
