SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
46006.092154497055	53988.0	1436.0	1436.0	:face_vomiting:	:face_vomiting:	🤮	🤮
26498.30529035071	35248.0	1969.0	1969.0	:folded_hands:	:folded_hands:	🙏	🙏
14833.72963758771	18200.0	1638.0	1638.0	:smiling_face_with_hearts:	:smiling_face_with_hearts:	🥰	🥰
11161.96164417412	11356.0	458.0	458.0	:folded_hands_light_skin_tone:	:folded_hands_light_skin_tone:	🙏🏻	🙏🏻
10097.315488654349	10108.0	108.0	108.0	:boar:	:boar:	🐗	🐗
8789.972266427229	23770.0	4713.0	4713.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
8530.665775195255	9176.0	953.0	953.0	:rainbow_flag:	:rainbow_flag:	🏳️‍🌈	🏳️‍🌈
7192.303595504459	7230.0	249.0	249.0	:triangular_flag:	:triangular_flag:	🚩	🚩
6502.613496594307	11186.0	2904.0	2904.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
5816.282712723702	12830.0	3830.0	3830.0	:fire:	:fire:	🔥	🔥
5774.578316909443	5840.0	368.0	368.0	:nauseated_face:	:nauseated_face:	🤢	🤢
5690.993002441231	5941.0	368.0	1436.0	:nauseated_face:	:face_vomiting:	🤢	🤮
5690.993002441231	5941.0	1436.0	368.0	:face_vomiting:	:nauseated_face:	🤮	🤢
5091.840425882135	19492.0	6671.0	6671.0	:red_heart:	:red_heart:	❤️	❤️
4465.544290397983	4470.0	97.0	97.0	:middle_finger_medium-light_skin_tone:	:middle_finger_medium-light_skin_tone:	🖕🏼	🖕🏼
4274.063803608113	4316.0	341.0	341.0	:party_popper:	:party_popper:	🎉	🎉
3950.942286312551	4544.0	1336.0	1336.0	:clapping_hands:	:clapping_hands:	👏	👏
3769.156348238825	6496.0	2910.0	2910.0	:smiling_face_with_heart-eyes:	:smiling_face_with_heart-eyes:	😍	😍
3751.9788397424513	3776.0	273.0	273.0	:grinning_face_with_big_eyes:	:grinning_face_with_big_eyes:	😃	😃
3732.071598914546	3754.0	261.0	261.0	:pile_of_poo:	:pile_of_poo:	💩	💩
3521.894618252456	3632.0	261.0	1436.0	:pile_of_poo:	:face_vomiting:	💩	🤮
3521.894618252456	3632.0	1436.0	261.0	:face_vomiting:	:pile_of_poo:	🤮	💩
3229.389781750731	7622.0	4105.0	4105.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
3081.3318275370148	3087.0	54.0	341.0	:crab:	:party_popper:	🦀	🎉
3081.3318275370148	3087.0	341.0	54.0	:party_popper:	:crab:	🎉	🦀
2715.109389329002	2718.0	92.0	92.0	:thumbs_down_medium-light_skin_tone:	:thumbs_down_medium-light_skin_tone:	👎🏼	👎🏼
2556.937715431133	2632.0	592.0	592.0	:star:	:star:	⭐	⭐
2356.434675698194	2358.0	54.0	54.0	:crab:	:crab:	🦀	🦀
1894.4199234945784	1896.0	61.0	61.0	:milky_way:	:milky_way:	🌌	🌌
1871.925396816411	1940.0	658.0	658.0	:backhand_index_pointing_down:	:backhand_index_pointing_down:	👇	👇
1785.0687949694118	1808.0	386.0	386.0	:thumbs_down:	:thumbs_down:	👎	👎
1671.5457408388113	1864.0	1170.0	1170.0	:pleading_face:	:pleading_face:	🥺	🥺
1631.814897479927	1648.0	336.0	336.0	:face_blowing_a_kiss:	:face_blowing_a_kiss:	😘	😘
1524.3873220655025	1540.0	341.0	341.0	:clapping_hands_light_skin_tone:	:clapping_hands_light_skin_tone:	👏🏻	👏🏻
1494.7754112336354	1594.0	889.0	889.0	:heart_suit:	:heart_suit:	♥️	♥️
