FREQ	WORD	FPM	EXTRA
2634	:blue_heart:	4904.8178569632955	💙
1169	:airplane:	2176.815518143543	✈️
882	:smiling_face_with_heart-eyes:	1642.3877562041105	😍
554	:red_heart:	1031.613171130473	❤️
530	:smiling_face_with_hearts:	986.922347832402	🥰
513	:smiling_face_with_smiling_eyes:	955.2663479962683	😊
495	:raising_hands:	921.7482305227151	🙌
349	:green_heart:	649.8790554594495	💚
248	:winking_face:	461.80517408006733	😉
170	:star-struck:	316.55999836133645	🤩
162	:grinning_face:	301.6630572619795	😀
152	:partying_face:	283.0418808877832	🥳
113	:clapping_hands:	210.41929302841777	👏
112	:smiling_face_with_open_hands:	208.55717539099814	🤗
111	:crossed_fingers:	206.69505775357854	🤞
109	:pensive_face:	202.97082247873928	😔
95	:smiling_face_with_sunglasses:	176.9011755548645	😎
94	:rolling_on_the_floor_laughing:	175.03905791744486	🤣
93	:party_popper:	173.17694028002526	🎉
92	:face_with_tears_of_joy:	171.31482264260563	😂
90	:thumbs_up:	167.59058736776637	👍
87	:grinning_face_with_sweat:	162.0042344555075	😅
87	:downcast_face_with_sweat:	162.0042344555075	😓
85	:eyes:	158.27999918066823	👀
82	:beaming_face_with_smiling_eyes:	152.69364626840937	😁
77	:slightly_smiling_face:	143.38305808131122	🙂
75	:evergreen_tree:	139.658822806472	🌲
58	:clinking_glasses:	108.00282297033833	🥂
54	:purple_heart:	100.55435242065982	💜
52	:face_savoring_food:	96.83011714582057	😋
52	:crying_face:	96.83011714582057	😢
51	:grinning_squinting_face:	94.96799950840095	😆
49	:thinking_face:	91.24376423356169	🤔
47	:american_football:	87.51952895872243	🏈
46	:loudly_crying_face:	85.65741132130282	😭
45	:face_blowing_a_kiss:	83.79529368388319	😘
44	:yellow_heart:	81.93317604646356	💛
43	:mount_fuji:	80.07105840904393	🗻
42	:confounded_face:	78.20894077162431	😖
42	:police_car_light:	78.20894077162431	🚨
40	:orange_heart:	74.48470549678505	🧡
37	:snowflake:	68.89835258452618	❄️
36	:folded_hands:	67.03623494710655	🙏
35	:weary_face:	65.17411730968692	😩
35	:grimacing_face:	65.17411730968692	😬
32	:hundred_points:	59.587764397428046	💯
32	:palm_tree:	59.587764397428046	🌴
31	:star:	57.725646760008416	⭐
28	:grinning_face_with_smiling_eyes:	52.139293847749535	😄
28	:face_screaming_in_fear:	52.139293847749535	😱
27	:smirking_face:	50.27717621032991	😏
27	:disappointed_face:	50.27717621032991	😞
26	:flushed_face:	48.41505857291028	😳
26	:hot_beverage:	48.41505857291028	☕
25	:two_hearts:	46.55294093549066	💕
23	:sun:	42.82870566065141	☀️
23	:snow-capped_mountain:	42.82870566065141	🏔️
23	:hibiscus:	42.82870566065141	🌺
23	:musical_notes:	42.82870566065141	🎶
22	:drooling_face:	40.96658802323178	🤤
22	:Christmas_tree:	40.96658802323178	🎄
22	:money-mouth_face:	40.96658802323178	🤑
21	:cheese_wedge:	39.10447038581216	🧀
21	:luggage:	39.10447038581216	🧳
20	:cloud:	37.24235274839253	☁️
20	:globe_showing_Americas:	37.24235274839253	🌎
18	:sun_with_face:	33.518117473553275	🌞
18	:sparkles:	33.518117473553275	✨
18	:red_apple:	33.518117473553275	🍎
18	:frowning_face:	33.518117473553275	☹️
17	:wine_glass:	31.65599983613365	🍷
16	:white_heart:	29.793882198714023	🤍
16	:deciduous_tree:	29.793882198714023	🌳
16	:clinking_beer_mugs:	29.793882198714023	🍻
16	:waving_hand:	29.793882198714023	👋
16	:slightly_frowning_face:	29.793882198714023	🙁
15	:check_mark_button:	27.931764561294393	✅
15	:ice_hockey:	27.931764561294393	🏒
14	:registered:	26.069646923874767	®️
14	:smiling_face:	26.069646923874767	☺️
14	:baseball:	26.069646923874767	⚾
14	:chocolate_bar:	26.069646923874767	🍫
14	:grapes:	26.069646923874767	🍇
13	:sunrise:	24.20752928645514	🌅
13	:woman_dancing:	24.20752928645514	💃
13	:pancakes:	24.20752928645514	🥞
13	:sparkling_heart:	24.20752928645514	💖
12	:droplet:	22.345411649035515	💧
12	:growing_heart:	22.345411649035515	💗
11	:tropical_drink:	20.48329401161589	🍹
11	:rainbow:	20.48329401161589	🌈
11	:globe_showing_Europe-Africa:	20.48329401161589	🌍
11	:dog_face:	20.48329401161589	🐶
11	:winking_face_with_tongue:	20.48329401161589	😜
10	:black_heart:	18.621176374196263	🖤
10	:broken_heart:	18.621176374196263	💔
10	:cherry_blossom:	18.621176374196263	🌸
10	:trophy:	18.621176374196263	🏆
10	:megaphone:	18.621176374196263	📣
10	:heart_suit:	18.621176374196263	♥️
9	:tumbler_glass:	16.759058736776637	🥃
9	:worried_face:	16.759058736776637	😟
9	:fish:	16.759058736776637	🐟
9	:cold_face:	16.759058736776637	🥶
9	:beach_with_umbrella:	16.759058736776637	🏖️
9	:upside-down_face:	16.759058736776637	🙃
9	:airplane_departure:	16.759058736776637	🛫
9	:sad_but_relieved_face:	16.759058736776637	😥
9	:persevering_face:	16.759058736776637	😣
8	:grinning_face_with_big_eyes:	14.896941099357011	😃
8	:desert_island:	14.896941099357011	🏝️
8	:water_wave:	14.896941099357011	🌊
8	:Santa_Claus:	14.896941099357011	🎅
8	:trade_mark:	14.896941099357011	™️
8	:face_with_open_mouth:	14.896941099357011	😮
7	:cookie:	13.034823461937384	🍪
7	:game_die:	13.034823461937384	🎲
7	:United_States:	13.034823461937384	🇺🇸
7	:man_dancing:	13.034823461937384	🕺
7	:rainbow_flag:	13.034823461937384	🏳️‍🌈
7	:musical_note:	13.034823461937384	🎵
7	:wrapped_gift:	13.034823461937384	🎁
7	:smiling_cat_with_heart-eyes:	13.034823461937384	😻
7	:paw_prints:	13.034823461937384	🐾
6	:fire:	11.172705824517758	🔥
6	:exploding_head:	11.172705824517758	🤯
6	:relieved_face:	11.172705824517758	😌
6	:nerd_face:	11.172705824517758	🤓
6	:soccer_ball:	11.172705824517758	⚽
6	:backpack:	11.172705824517758	🎒
6	:confused_face:	11.172705824517758	😕
6	:birthday_cake:	11.172705824517758	🎂
6	:clapping_hands_medium-light_skin_tone:	11.172705824517758	👏🏼
6	:camera_with_flash:	11.172705824517758	📸
6	:microphone:	11.172705824517758	🎤
6	:revolving_hearts:	11.172705824517758	💞
6	:see-no-evil_monkey:	11.172705824517758	🙈
5	:sleeping_face:	9.310588187098132	😴
5	:astonished_face:	9.310588187098132	😲
5	:basketball:	9.310588187098132	🏀
5	:sweat_droplets:	9.310588187098132	💦
5	:face_with_rolling_eyes:	9.310588187098132	🙄
5	:turkey:	9.310588187098132	🦃
5	:skull:	9.310588187098132	💀
5	:beating_heart:	9.310588187098132	💓
5	:face_with_monocle:	9.310588187098132	🧐
5	:flexed_biceps:	9.310588187098132	💪
5	:face_with_hand_over_mouth:	9.310588187098132	🤭
5	:cucumber:	9.310588187098132	🥒
5	:woman_shrugging:	9.310588187098132	🤷‍♀️
4	:sunrise_over_mountains:	7.448470549678506	🌄
4	:pot_of_food:	7.448470549678506	🍲
4	:shushing_face:	7.448470549678506	🤫
4	:zany_face:	7.448470549678506	🤪
4	:cocktail_glass:	7.448470549678506	🍸
4	:fork_and_knife_with_plate:	7.448470549678506	🍽️
4	:high-heeled_shoe:	7.448470549678506	👠
4	:beer_mug:	7.448470549678506	🍺
4	:bottle_with_popping_cork:	7.448470549678506	🍾
4	:jack-o-lantern:	7.448470549678506	🎃
4	:slot_machine:	7.448470549678506	🎰
4	:tired_face:	7.448470549678506	😫
