FREQ	WORD	FPM
19004	you	35387.68358152258
18240	to	33965.02570653398
16103	i	29985.68031536824
14131	the	26313.58433437674
13490	your	25119.96692879076
11221	for	20894.822009485626
10532	we	19611.822957303506
9324	can	17362.384851300598
9130	sorry	17001.134029641187
8729	a	16254.424857035918
7164	so	13340.210754474203
6722	dm	12517.154758734729
6176	this	11500.438528703613
6104	with	11366.366058809399
5652	us	10524.688886695729
5478	and	10200.680417784713
5451	our	10150.403241574384
5433	that	10116.88512410083
5271	please	9815.22206683885
5041	code	9386.935010232337
4966	confirmation	9247.276187425865
4917	am	9156.032423192302
4774	is	8889.749601041296
4716	have	8781.746778070958
4531	are	8437.255015148326
4174	'm	7772.479018589521
4163	flight	7751.995724577904
3734	it	6953.1472581248845
3427	will	6381.47714343706
3298	hear	6141.263968209928
3233	on	6020.226321777652
3134	-andre	5835.876675673109
3107	at	5785.599499462779
3045	-jordan	5670.148205942763
2970	if	5530.489383136291
2939	be	5472.7637363762815
2863	in	5331.24279593239
2807	of	5226.964208236891
2735	oh	5092.891738342678
2393	no	4456.047506345166
2388	team	4446.736918158068
2318	look	4316.388683538694
2286	not	4256.800919141266
2246	as	4182.316213644481
2139	-ronni	3983.0696264405806
2096	send	3902.9985680315367
2085	do	3882.515274019921
2028	thank	3776.374568687002
1997	alexis	3718.648921926994
1932	n't	3597.611275494718
1877	would	3495.1948054366385
1814	experience	3377.881394279202
1808	about	3366.7086884546843
1784	what	3322.0178651566134
1703	get	3171.1863365256236
1687	out	3141.3924543269095
1679	like	3126.4955132275527
1650	an	3072.4941017423835
1647	there	3066.9077488301245
1617	they	3011.044219707536
1599	-carrie	2977.5261022339823
1582	was	2945.8701023978488
1570	-maeghan	2923.5246907488136
1570	baggage	2923.5246907488136
1553	into	2891.8686909126795
1521	number	2832.280926515252
1515	but	2821.108220690734
1495	's	2783.8658679423415
1475	-julie	2746.623515193949
1472	me	2741.03716228169
1417	see	2638.6206922236106
1411	happy	2627.4479863990928
1389	-amber	2586.481398375861
1368	hi	2547.376927990049
1302	brandy	2424.4771639203536
1298	katie	2417.028693370675
1285	-annie	2392.82116408422
1280	-allison	2383.5105758971217
1261	apologize	2348.1303407861487
1222	or	2275.5077529267833
1217	reservations	2266.1971647396854
1187	thanks	2210.3336356170967
1162	bobbi	2163.780694681606
1159	assist	2158.194341769347
1148	take	2137.711047757731
1144	great	2130.2625772080523
1135	able	2113.503518471276
1116	share	2078.123283360303
1090	time	2029.7082247873927
1083	love	2016.6734013254554
1057	nadine	1968.258342752545
1053	help	1960.8098722028665
1052	delay	1958.947754565447
1012	're	1884.4630490686618
1012	wait	1884.4630490686618
996	may	1854.6691668699477
987	feedback	1837.9101081331712
963	were	1793.2192848351
942	more	1754.1148144492881
918	-rae	1709.423991151217
894	glad	1664.733167853146
880	unfortunately	1638.6635209292713
869	kelsey	1618.1802269176553
865	up	1610.7317563679767
820	been	1526.9364626840936
806	reach	1500.8668157602187
791	any	1472.9350511989244
784	need	1459.900227736987
772	from	1437.5548160879516
753	800	1402.1745809769786
743	pass	1383.5534046027824
724	truly	1348.1731694918094
721	very	1342.5868165795505
701	sharing	1305.344463831158
701	soon	1305.344463831158
697	make	1297.8959932814796
694	here	1292.3096403692207
691	82008	1286.7232874569618
685	has	1275.550581632444
683	way	1271.8263463576047
681	call	1268.1021110827655
678	agent	1262.5157581705066
672	much	1251.343052345989
668	really	1243.8945817963104
656	along	1221.549170147275
652	all	1214.1006995975963
651	252	1212.2385819601768
651	7522	1212.2385819601768
649	-angel	1208.5143466853374
638	hope	1188.0310526737217
636	them	1184.3068173988825
625	had	1163.8235233872665
616	sure	1147.0644646504898
616	should	1147.0644646504898
615	text	1145.2023470130703
614	'll	1143.3402293756506
603	melissa	1122.8569353640346
592	via	1102.3736413524189
591	information	1100.5115237149992
590	mileage	1098.6494060775794
583	long	1085.6145826156421
577	social	1074.4418767911245
576	-samantha	1072.5797591537048
572	airport	1065.1312886040262
572	service	1065.1312886040262
571	1	1063.2691709666067
571	did	1063.2691709666067
559	when	1040.9237593175712
551	due	1026.0268182182142
551	delayed	1026.0268182182142
545	appreciate	1014.8541123936964
541	working	1007.4056418440179
539	by	1003.6814065691786
535	'd	996.2329360195001
529	flights	985.0602301949823
526	one	979.4738772827235
522	info	972.025406733045
520	claim	968.3011714582057
520	want	968.3011714582057
516	yes	960.8527009085271
508	reservation	945.9557598091702
507	contact	944.0936421717505
506	flying	942.2315245343309
501	hold	932.9209363472328
501	looks	932.9209363472328
500	check	931.0588187098132
499	care	929.1967010723936
493	travel	918.0239952478757
487	know	906.851289423358
486	now	904.9891717859384
480	alaska	893.8164659614206
475	815	884.5058777743225
475	8253	884.5058777743225
474	877	882.6437601369029
472	today	878.9195248620637
470	available	875.1952895872244
461	email	858.4362308504477
459	could	854.7119955756085
450	free	837.9529368388319
449	assistance	836.0908192014123
448	bag	834.2287015639926
445	inconvenience	828.6423486517338
441	plan	821.1938781020552
438	let	815.6075251897963
437	leadership	813.7454075523767
437	some	813.7454075523767
425	ticket	791.3999959033412
421	my	783.9515253536626
418	change	778.3651724414038
416	next	774.6409371665645
414	feel	770.9167018917253
411	just	765.3303489794664
405	best	754.1576431549487
404	gate	752.2955255175291
398	back	741.1228196930113
398	options	741.1228196930113
396	again	737.398584418172
394	air	733.6743491433327
389	trouble	724.3637609562346
386	good	718.7774080439758
385	miles	716.9152904065561
382	kind	711.3289374942973
380	right	707.604702219458
378	their	703.8804669446188
375	go	698.2941140323599
375	central	698.2941140323599
375	possible	698.2941140323599
374	aircraft	696.4319963949403
369	ca	687.1214082078421
369	message	687.1214082078421
362	try	674.0865847459047
362	always	674.0865847459047
359	understand	668.5002318336459
357	link	664.7759965588066
357	trip	664.7759965588066
357	day	664.7759965588066
356	guests	662.913878921387
356	issue	662.913878921387
352	still	655.4654083717085
345	also	642.4305849097711
344	happened	640.5684672723514
344	amazing	640.5684672723514
343	only	638.7063496349318
342	those	636.8442319975122
341	her	634.9821143600926
340	awesome	633.1199967226729
336	through	625.6715261729945
334	crew	621.9472908981552
332	hours	618.223055623316
328	#iflyalaska	610.7745850736375
325	seat	605.1882321613786
324	further	603.326114523959
324	quickly	603.326114523959
323	welcome	601.4639968865393
322	pm	599.6018792491196
321	frustrating	597.7397616117
317	vanessa	590.2912910620215
317	agents	590.2912910620215
316	bags	588.4291734246019
313	details	582.842820512343
313	does	582.842820512343
309	times	575.3943499626646
307	words	571.6701146878253
303	kitty	564.2216441381468
302	how	562.3595265007272
301	media	560.4974088633076
297	first	553.048938313629
296	diana	551.1868206762094
292	weather	543.7383501265309
288	changes	536.2898795768524
284	new	528.8414090271739
283	frustration	526.9792913897543
281	ugh	523.255056114915
280	than	521.3929384774954
272	too	506.4959973781384
271	chat	504.6338797407187
271	off	504.6338797407187
271	well	504.6338797407187
269	inflight	500.90964446587947
268	yay	499.04752682845987
268	safety	499.04752682845987
265	provide	493.461173916201
265	sounds	493.461173916201
263	enjoy	489.73693864136175
261	compensation	486.0127033665225
258	going	480.42635045426357
258	other	480.42635045426357
257	open	478.56423281684397
255	update	474.8399975420047
251	office	467.3915269923262
250	recommend	465.5294093549066
248	departure	461.80517408006733
244	which	454.3567035303888
243	customer	452.4945858929692
243	schedule	452.4945858929692
243	fly	452.4945858929692
242	guarantee	450.63246825554955
242	-ariel	450.63246825554955
242	~julie	450.63246825554955
241	yet	448.77035061812995
239	file	445.0461153432907
237	work	441.32188006845143
236	having	439.45976243103183
234	kudos	435.7355271561926
231	forward	430.1491742439337
231	access	430.1491742439337
230	review	428.28705660651406
230	seats	428.28705660651406
230	account	428.28705660651406
228	option	424.5628213316748
226	book	420.83858605683554
223	follow	415.2522331445767
222	yikes	413.3901155071571
215	counter	400.35529204521964
215	fare	400.35529204521964
214	wonderful	398.49317440780004
214	issues	398.49317440780004
214	-nettë	398.49317440780004
213	down	396.63105677038044
213	definitely	396.63105677038044
212	seattle	394.7689391329608
212	system	394.7689391329608
209	being	389.1825862207019
209	once	389.1825862207019
205	patience	381.7341156710234
203	cancelled	378.00988039618414
202	find	376.14776275876454
201	give	374.2856451213449
200	lounge	372.4235274839253
200	uh	372.4235274839253
199	while	370.5614098465056
197	private	366.83717457166637
196	discuss	364.97505693424677
195	got	363.11293929682716
195	reaching	363.11293929682716
195	something	363.11293929682716
194	she	361.2508216594075
194	class	361.2508216594075
192	've	357.52658638456825
192	another	357.52658638456825
192	request	357.52658638456825
190	getting	353.802351109729
190	better	353.802351109729
189	website	351.9402334723094
188	kiki	350.07811583488973
187	currently	348.2159981974701
187	booking	348.2159981974701
185	50	344.49176292263087
184	regarding	342.62964528521127
184	keep	342.62964528521127
182	rebooked	338.905410010372
182	boarding	338.905410010372
181	credit	337.04329237295235
179	speak	333.3190570981131
179	these	333.3190570981131
178	sending	331.4569394606935
177	online	329.5948218232739
176	receive	327.73270418585423
174	fun	324.008468911015
173	longer	322.14635127359537
173	where	322.14635127359537
172	joining	320.2842336361757
172	unable	320.2842336361757
171	address	318.4221159987561
171	view	318.4221159987561
171	hello	318.4221159987561
171	waiting	318.4221159987561
171	poor	318.4221159987561
171	airlines	318.4221159987561
170	wow	316.55999836133645
170	late	316.55999836133645
170	status	316.55999836133645
169	days	314.69788072391685
168	report	312.83576308649725
167	concerns	310.9736454490776
167	already	310.9736454490776
165	reached	307.24941017423834
165	date	307.24941017423834
165	over	307.24941017423834
165	samantha	307.24941017423834
163	beautiful	303.5251748993991
163	luggage	303.5251748993991
163	sent	303.5251748993991
161	hug	299.8009396245598
160	looking	297.9388219871402
159	onboard	296.0767043497206
158	use	294.21458671230096
158	everyone	294.21458671230096
158	~angel	294.21458671230096
154	diane	286.76611616262244
153	correct	284.90399852520284
153	name	284.90399852520284
153	within	284.90399852520284
153	offer	284.90399852520284
152	shared	283.0418808877832
151	who	281.1797632503636
151	minutes	281.1797632503636
148	calling	275.5934103381047
148	after	275.5934103381047
148	however	275.5934103381047
147	disappointment	273.73129270068506
147	before	273.73129270068506
