FREQ	WORD	FPM	EXTRA
1614	:enraged_face:	362.54607075533573	😡
1107	:face_with_symbols_on_mouth:	248.66078087122472	🤬
996	:face_with_tears_of_joy:	223.72731503860868	😂
966	:red_heart:	216.988540489253	❤️
865	:loudly_crying_face:	194.30133283975553	😭
763	:airplane:	171.38949937194621	✈️
694	:face_with_rolling_eyes:	155.89031790842813	🙄
599	:rolling_on_the_floor_laughing:	134.5508651688018	🤣
407	:folded_hands:	91.42270805292544	🙏
359	:thinking_face:	80.64066877395635	🤔
356	:unamused_face:	79.96679131902077	😒
308	:clapping_hands:	69.18475204005168	👏
297	:pile_of_poo:	66.71386803862127	💩
296	:clown_face:	66.48924222030941	🤡
291	:weary_face:	65.36611312875013	😩
287	:thumbs_up:	64.4676098555027	👍
273	:smiling_face_with_smiling_eyes:	61.32284839913672	😊
242	:thumbs_down:	54.35944803146918	👎
241	:United_States:	54.13482221315732	🇺🇸
227	:eyes:	50.99006075679134	👀
227	:airplane_departure:	50.99006075679134	🛫
206	:upside-down_face:	46.27291857224236	🙃
199	:face_with_steam_from_nose:	44.70053784405937	😤
179	:crying_face:	40.20802147782224	😢
176	:middle_finger:	39.53414402288668	🖕
173	:pleading_face:	38.86026656795111	🥺
167	:face_vomiting:	37.51251165807997	🤮
166	:backhand_index_pointing_down:	37.287885839768116	👇
161	:wastebasket:	36.16475674820883	🗑️
143	:blue_heart:	32.121492018595426	💙
141	:winking_face:	31.67224038197171	😉
135	:expressionless_face:	30.324485472100577	😑
134	:smiling_face_with_heart-eyes:	30.09985965378872	😍
134	:smiling_face_with_hearts:	30.09985965378872	🥰
134	:woozy_face:	30.09985965378872	🥴
133	:face_with_monocle:	29.875233835476863	🧐
132	:man_facepalming:	29.650608017165005	🤦‍♂️
126	:flushed_face:	28.30285310729387	😳
121	:beaming_face_with_smiling_eyes:	27.17972401573459	😁
120	:grimacing_face:	26.955098197422732	😬
117	:pensive_face:	26.281220742487164	😔
116	:man_shrugging:	26.056594924175307	🤷‍♂️
116	:folded_hands_light_skin_tone:	26.056594924175307	🙏🏻
107	:exploding_head:	24.034962559368605	🤯
107	:middle_finger_medium-dark_skin_tone:	24.034962559368605	🖕🏾
106	:man_facepalming_medium_skin_tone:	23.810336741056748	🤦🏽‍♂️
106	:thumbs_down_light_skin_tone:	23.810336741056748	👎🏻
105	:folded_hands_medium-light_skin_tone:	23.58571092274489	🙏🏼
104	:clapping_hands_light_skin_tone:	23.361085104433034	👏🏻
101	:disappointed_face:	22.687207649497466	😞
101	:slightly_smiling_face:	22.687207649497466	🙂
101	:angry_face:	22.687207649497466	😠
100	:thumbs_up_medium-light_skin_tone:	22.46258183118561	👍🏼
97	:man_facepalming_light_skin_tone:	21.788704376250042	🤦🏻‍♂️
97	:smiling_face_with_sunglasses:	21.788704376250042	😎
95	:neutral_face:	21.33945273962633	😐
94	:grinning_face_with_sweat:	21.114826921314474	😅
92	:man_facepalming_medium-dark_skin_tone:	20.665575284690764	🤦🏾‍♂️
90	:folded_hands_medium_skin_tone:	20.21632364806705	🙏🏽
87	:star:	19.542446193131482	⭐
87	:fire:	19.542446193131482	🔥
87	:check_mark_button:	19.542446193131482	✅
86	:face_with_raised_eyebrow:	19.317820374819625	🤨
85	:smiling_face_with_tear:	19.09319455650777	🥲
84	:frowning_face:	18.868568738195915	☹️
83	:woman_facepalming_light_skin_tone:	18.643942919884058	🤦🏻‍♀️
83	:clapping_hands_medium-light_skin_tone:	18.643942919884058	👏🏼
81	:middle_finger_light_skin_tone:	18.194691283260344	🖕🏻
78	:grinning_face:	17.520813828324776	😀
77	:sparkles:	17.29618801001292	✨
75	:crossed_fingers:	16.84693637338921	🤞
75	:hundred_points:	16.84693637338921	💯
74	:woman_shrugging:	16.622310555077352	🤷‍♀️
73	:nauseated_face:	16.397684736765495	🤢
72	:thumbs_up_light_skin_tone:	16.17305891845364	👍🏻
71	:heart_suit:	15.948433100141784	♥️
71	:skull:	15.948433100141784	💀
70	:raising_hands:	15.723807281829927	🙌
69	:tired_face:	15.499181463518072	😫
66	:smiling_face:	14.825304008582503	☺️
65	:woman_shrugging_light_skin_tone:	14.600678190270648	🤷🏻‍♀️
65	:folded_hands_medium-dark_skin_tone:	14.600678190270648	🙏🏾
63	:face_with_spiral_eyes:	14.151426553646935	😵‍💫
62	:middle_finger_medium-light_skin_tone:	13.926800735335078	🖕🏼
61	:two_hearts:	13.702174917023223	💕
59	:police_car_light:	13.25292328039951	🚨
58	:litter_in_bin_sign:	13.028297462087654	🚮
57	:confused_face:	12.803671643775798	😕
56	:party_popper:	12.579045825463941	🎉
55	:man_shrugging_light_skin_tone:	12.354420007152086	🤷🏻‍♂️
55	:thumbs_down_medium-light_skin_tone:	12.354420007152086	👎🏼
54	:woman_facepalming:	12.12979418884023	🤦‍♀️
54	:grinning_face_with_big_eyes:	12.12979418884023	😃
54	:grinning_squinting_face:	12.12979418884023	😆
53	:woman_facepalming_medium_skin_tone:	11.905168370528374	🤦🏽‍♀️
53	:face_blowing_a_kiss:	11.905168370528374	😘
53	:waving_hand:	11.905168370528374	👋
53	:face_screaming_in_fear:	11.905168370528374	😱
52	:broken_heart:	11.680542552216517	💔
50	:middle_finger_medium_skin_tone:	11.231290915592805	🖕🏽
49	:woman_shrugging_medium-light_skin_tone:	11.00666509728095	🤷🏼‍♀️
47	:woman_shrugging_medium_skin_tone:	10.557413460657237	🤷🏽‍♀️
46	:thumbs_down_medium_skin_tone:	10.332787642345382	👎🏽
46	:clapping_hands_medium_skin_tone:	10.332787642345382	👏🏽
45	:winking_face_with_tongue:	10.108161824033525	😜
45	:star-struck:	10.108161824033525	🤩
45	:partying_face:	10.108161824033525	🥳
45	:melting_face:	10.108161824033525	🫠
45	:tomato:	10.108161824033525	🍅
43	:woman_facepalming_medium-dark_skin_tone:	9.658910187409813	🤦🏾‍♀️
42	:smiling_face_with_open_hands:	9.434284369097957	🤗
42	:snowflake:	9.434284369097957	❄️
41	:triangular_flag:	9.2096585507861	🚩
40	:thumbs_up_medium_skin_tone:	8.985032732474245	👍🏽
40	:OK_hand:	8.985032732474245	👌
40	:victory_hand:	8.985032732474245	✌️
40	:luggage:	8.985032732474245	🧳
39	:persevering_face:	8.760406914162388	😣
39	:smiling_face_with_halo:	8.760406914162388	😇
38	:thumbs_down_medium-dark_skin_tone:	8.535781095850533	👎🏾
37	:raising_hands_light_skin_tone:	8.311155277538676	🙌🏻
37	:man_shrugging_medium_skin_tone:	8.311155277538676	🤷🏽‍♂️
37	:face_with_medical_mask:	8.311155277538676	😷
37	:grinning_face_with_smiling_eyes:	8.311155277538676	😄
37	:woman_facepalming_medium-light_skin_tone:	8.311155277538676	🤦🏼‍♀️
36	:slightly_frowning_face:	8.08652945922682	🙁
36	:Christmas_tree:	8.08652945922682	🎄
34	:thread:	7.6372778226031075	🧵
34	:raising_hands_medium-light_skin_tone:	7.6372778226031075	🙌🏼
34	:clinking_glasses:	7.6372778226031075	🥂
34	:money_bag:	7.6372778226031075	💰
33	:man_shrugging_medium-light_skin_tone:	7.412652004291251	🤷🏼‍♂️
33	:airplane_arrival:	7.412652004291251	🛬
33	:crossed_fingers_light_skin_tone:	7.412652004291251	🤞🏻
33	:revolving_hearts:	7.412652004291251	💞
33	:face_holding_back_tears:	7.412652004291251	🥹
32	:confounded_face:	7.188026185979395	😖
32	:clapping_hands_medium-dark_skin_tone:	7.188026185979395	👏🏾
32	:right_arrow:	7.188026185979395	➡️
32	:purple_heart:	7.188026185979395	💜
31	:sleepy_face:	6.963400367667539	😪
30	:down_arrow:	6.738774549355683	⬇️
30	:man_pilot:	6.738774549355683	👨‍✈️
29	:hot_face:	6.514148731043827	🥵
29	:cricket:	6.514148731043827	🦗
28	:white_heart:	6.289522912731971	🤍
28	:bottle_with_popping_cork:	6.289522912731971	🍾
28	:red_circle:	6.289522912731971	🔴
26	:person_facepalming:	5.8402712761082585	🤦
26	:globe_showing_Americas:	5.8402712761082585	🌎
25	:see-no-evil_monkey:	5.615645457796402	🙈
24	:money_with_wings:	5.391019639484546	💸
24	:cowboy_hat_face:	5.391019639484546	🤠
24	:OK_hand_light_skin_tone:	5.391019639484546	👌🏻
24	:zany_face:	5.391019639484546	🤪
23	:red_question_mark:	5.166393821172691	❓
23	:smirking_face:	5.166393821172691	😏
23	:person_shrugging:	5.166393821172691	🤷
23	:crossed_fingers_medium-light_skin_tone:	5.166393821172691	🤞🏼
22	:backhand_index_pointing_right:	4.941768002860835	👉
22	:man_facepalming_medium-light_skin_tone:	4.941768002860835	🤦🏼‍♂️
22	:face_exhaling:	4.941768002860835	😮‍💨
22	:sad_but_relieved_face:	4.941768002860835	😥
21	:thumbs_up_medium-dark_skin_tone:	4.717142184548979	👍🏾
21	:relieved_face:	4.717142184548979	😌
21	:high_voltage:	4.717142184548979	⚡
20	:skull_and_crossbones:	4.492516366237123	☠️
20	:downcast_face_with_sweat:	4.492516366237123	😓
20	:heavy_dollar_sign:	4.492516366237123	💲
20	:cross_mark:	4.492516366237123	❌
20	:handshake:	4.492516366237123	🤝
19	:raising_hands_medium_skin_tone:	4.2678905479252665	🙌🏽
19	:speaking_head:	4.2678905479252665	🗣️
19	:red_exclamation_mark:	4.2678905479252665	❗
19	:man_shrugging_medium-dark_skin_tone:	4.2678905479252665	🤷🏾‍♂️
19	:dollar_banknote:	4.2678905479252665	💵
19	:cold_face:	4.2678905479252665	🥶
19	:trophy:	4.2678905479252665	🏆
19	:face_with_peeking_eye:	4.2678905479252665	🫣
19	:face_with_diagonal_mouth:	4.2678905479252665	🫤
18	:double_exclamation_mark:	4.04326472961341	‼️
18	:dashing_away:	4.04326472961341	💨
18	:check_mark:	4.04326472961341	✔️
18	:registered:	4.04326472961341	®️
18	:black_heart:	4.04326472961341	🖤
18	:backhand_index_pointing_down_medium_skin_tone:	4.04326472961341	👇🏽
17	:rainbow:	3.8186389113015538	🌈
17	:rocket:	3.8186389113015538	🚀
17	:victory_hand_medium_skin_tone:	3.8186389113015538	✌🏽
17	:SOS_button:	3.8186389113015538	🆘
17	:middle_finger_dark_skin_tone:	3.8186389113015538	🖕🏿
17	:rose:	3.8186389113015538	🌹
17	:worried_face:	3.8186389113015538	😟
17	:growing_heart:	3.8186389113015538	💗
17	:eagle:	3.8186389113015538	🦅
16	:dog_face:	3.5940130929896976	🐶
16	:glowing_star:	3.5940130929896976	🌟
16	:woman_shrugging_medium-dark_skin_tone:	3.5940130929896976	🤷🏾‍♀️
16	:alarm_clock:	3.5940130929896976	⏰
16	:gem_stone:	3.5940130929896976	💎
15	:face_with_hand_over_mouth:	3.3693872746778415	🤭
15	:face_with_open_mouth:	3.3693872746778415	😮
15	:nerd_face:	3.3693872746778415	🤓
15	:sparkling_heart:	3.3693872746778415	💖
15	:anxious_face_with_sweat:	3.3693872746778415	😰
15	:yellow_heart:	3.3693872746778415	💛
15	:cat_with_tears_of_joy:	3.3693872746778415	😹
15	:saluting_face:	3.3693872746778415	🫡
14	:flexed_biceps:	3.1447614563659854	💪
14	:camera_with_flash:	3.1447614563659854	📸
14	:raising_hands_medium-dark_skin_tone:	3.1447614563659854	🙌🏾
14	:collision:	3.1447614563659854	💥
14	:confetti_ball:	3.1447614563659854	🎊
14	:wrapped_gift:	3.1447614563659854	🎁
14	:clinking_beer_mugs:	3.1447614563659854	🍻
14	:thumbs_down_dark_skin_tone:	3.1447614563659854	👎🏿
13	:face_savoring_food:	2.9201356380541292	😋
13	:sun_with_face:	2.9201356380541292	🌞
13	:cow:	2.9201356380541292	🐄
13	:small_airplane:	2.9201356380541292	🛩️
13	:sun:	2.9201356380541292	☀️
13	:U.S._Outlying_Islands:	2.9201356380541292	🇺🇲
13	:seat:	2.9201356380541292	💺
12	:backhand_index_pointing_down_light_skin_tone:	2.695509819742273	👇🏻
12	:orange_heart:	2.695509819742273	🧡
12	:OK_hand_medium-light_skin_tone:	2.695509819742273	👌🏼
12	:prohibited:	2.695509819742273	🚫
12	:sauropod:	2.695509819742273	🦕
12	:rat:	2.695509819742273	🐀
12	:white_large_square:	2.695509819742273	⬜
11	:four_leaf_clover:	2.4708840014304174	🍀
11	:victory_hand_light_skin_tone:	2.4708840014304174	✌🏻
11	:syringe:	2.4708840014304174	💉
11	:folded_hands_dark_skin_tone:	2.4708840014304174	🙏🏿
11	:musical_notes:	2.4708840014304174	🎶
11	:crossed_fingers_medium-dark_skin_tone:	2.4708840014304174	🤞🏾
10	:warning:	2.2462581831185613	⚠️
10	:man:	2.2462581831185613	👨
10	:angry_face_with_horns:	2.2462581831185613	👿
10	:sleeping_face:	2.2462581831185613	😴
10	:Statue_of_Liberty:	2.2462581831185613	🗽
10	:United_Kingdom:	2.2462581831185613	🇬🇧
10	:crossed_fingers_medium_skin_tone:	2.2462581831185613	🤞🏽
10	:call_me_hand_medium-light_skin_tone:	2.2462581831185613	🤙🏼
10	:billed_cap:	2.2462581831185613	🧢
10	:sneezing_face:	2.2462581831185613	🤧
9	:flexed_biceps_light_skin_tone:	2.021632364806705	💪🏻
9	:microbe:	2.021632364806705	🦠
9	:green_heart:	2.021632364806705	💚
9	:backhand_index_pointing_down_medium-light_skin_tone:	2.021632364806705	👇🏼
9	:hibiscus:	2.021632364806705	🌺
9	:call_me_hand:	2.021632364806705	🤙
9	:beach_with_umbrella:	2.021632364806705	🏖️
9	:light_bulb:	2.021632364806705	💡
9	:heart_exclamation:	2.021632364806705	❣️
9	:desert_island:	2.021632364806705	🏝️
9	:crown:	2.021632364806705	👑
8	:full_moon:	1.7970065464948488	🌕
8	:money-mouth_face:	1.7970065464948488	🤑
8	:trade_mark:	1.7970065464948488	™️
8	:wine_glass:	1.7970065464948488	🍷
8	:jack-o-lantern:	1.7970065464948488	🎃
8	:face_with_crossed-out_eyes:	1.7970065464948488	😵
8	:up_arrow:	1.7970065464948488	⬆️
8	:victory_hand_medium-light_skin_tone:	1.7970065464948488	✌🏼
8	:person_facepalming_light_skin_tone:	1.7970065464948488	🤦🏻
8	:Cuba:	1.7970065464948488	🇨🇺
8	:waving_hand_medium-light_skin_tone:	1.7970065464948488	👋🏼
8	:toilet:	1.7970065464948488	🚽
8	:ogre:	1.7970065464948488	👹
8	:palm_tree:	1.7970065464948488	🌴
8	:telephone_receiver:	1.7970065464948488	📞
8	:rainbow_flag:	1.7970065464948488	🏳️‍🌈
8	:oncoming_fist:	1.7970065464948488	👊
8	:bat:	1.7970065464948488	🦇
7	:raised_fist:	1.5723807281829927	✊
7	:OK_hand_medium_skin_tone:	1.5723807281829927	👌🏽
7	:astonished_face:	1.5723807281829927	😲
7	:dizzy:	1.5723807281829927	💫
7	:goat:	1.5723807281829927	🐐
7	:shushing_face:	1.5723807281829927	🤫
7	:stopwatch:	1.5723807281829927	⏱️
7	:lying_face:	1.5723807281829927	🤥
7	:India:	1.5723807281829927	🇮🇳
7	:1st_place_medal:	1.5723807281829927	🥇
7	:birthday_cake:	1.5723807281829927	🎂
7	:raised_hand:	1.5723807281829927	✋
7	:clapping_hands_dark_skin_tone:	1.5723807281829927	👏🏿
7	:robot:	1.5723807281829927	🤖
7	:waving_hand_light_skin_tone:	1.5723807281829927	👋🏻
7	:briefcase:	1.5723807281829927	💼
7	:peach:	1.5723807281829927	🍑
6	:bullseye:	1.3477549098711366	🎯
6	:raised_fist_medium-dark_skin_tone:	1.3477549098711366	✊🏾
6	:Japanese_symbol_for_beginner:	1.3477549098711366	🔰
6	:yawning_face:	1.3477549098711366	🥱
6	:broom:	1.3477549098711366	🧹
6	:ghost:	1.3477549098711366	👻
6	:fearful_face:	1.3477549098711366	😨
6	:Puerto_Rico:	1.3477549098711366	🇵🇷
6	:Chile:	1.3477549098711366	🇨🇱
6	:globe_showing_Asia-Australia:	1.3477549098711366	🌏
6	:cocktail_glass:	1.3477549098711366	🍸
6	:leaf_fluttering_in_wind:	1.3477549098711366	🍃
6	:woman_gesturing_NO_light_skin_tone:	1.3477549098711366	🙅🏻‍♀️
6	:France:	1.3477549098711366	🇫🇷
6	:Jamaica:	1.3477549098711366	🇯🇲
6	:backhand_index_pointing_up:	1.3477549098711366	👆
6	:call_me_hand_light_skin_tone:	1.3477549098711366	🤙🏻
6	:smiling_cat_with_heart-eyes:	1.3477549098711366	😻
6	:woman_raising_hand_medium-light_skin_tone:	1.3477549098711366	🙋🏼‍♀️
6	:backhand_index_pointing_down_medium-dark_skin_tone:	1.3477549098711366	👇🏾
6	:victory_hand_medium-dark_skin_tone:	1.3477549098711366	✌🏾
6	:man_facepalming_dark_skin_tone:	1.3477549098711366	🤦🏿‍♂️
6	:cactus:	1.3477549098711366	🌵
6	:peace_symbol:	1.3477549098711366	☮️
6	:thumbs_up_dark_skin_tone:	1.3477549098711366	👍🏿
6	:heart_hands_medium-light_skin_tone:	1.3477549098711366	🫶🏼
6	:weary_cat:	1.3477549098711366	🙀
6	:Italy:	1.3477549098711366	🇮🇹
6	:frog:	1.3477549098711366	🐸
5	:fireworks:	1.1231290915592806	🎆
5	:unicorn:	1.1231290915592806	🦄
5	:ring:	1.1231290915592806	💍
5	:kissing_face_with_smiling_eyes:	1.1231290915592806	😙
5	:stop_sign:	1.1231290915592806	🛑
5	:Colombia:	1.1231290915592806	🇨🇴
5	:flexed_biceps_medium-light_skin_tone:	1.1231290915592806	💪🏼
5	:flexed_biceps_medium-dark_skin_tone:	1.1231290915592806	💪🏾
5	:woman_dancing:	1.1231290915592806	💃
5	:flexed_biceps_medium_skin_tone:	1.1231290915592806	💪🏽
5	:face_with_tongue:	1.1231290915592806	😛
5	:beer_mug:	1.1231290915592806	🍺
5	:beating_heart:	1.1231290915592806	💓
5	:popcorn:	1.1231290915592806	🍿
5	:new_moon_face:	1.1231290915592806	🌚
5	:tropical_drink:	1.1231290915592806	🍹
5	:Spain:	1.1231290915592806	🇪🇸
5	:mobile_phone:	1.1231290915592806	📱
5	:pinched_fingers_medium-light_skin_tone:	1.1231290915592806	🤌🏼
5	:hot_beverage:	1.1231290915592806	☕
5	:eye:	1.1231290915592806	👁️
5	:balloon:	1.1231290915592806	🎈
5	:person_shrugging_light_skin_tone:	1.1231290915592806	🤷🏻
5	:P_button:	1.1231290915592806	🅿️
5	:anguished_face:	1.1231290915592806	😧
5	:telephone:	1.1231290915592806	☎️
5	:sign_of_the_horns_medium-light_skin_tone:	1.1231290915592806	🤘🏼
5	:movie_camera:	1.1231290915592806	🎥
5	:american_football:	1.1231290915592806	🏈
5	:tumbler_glass:	1.1231290915592806	🥃
5	:heart_hands:	1.1231290915592806	🫶
