FREQ	WORD	FPM
156044	to	35051.51119265528
124425	the	27949.067443452695
114944	i	25819.39006003799
93078	and	20907.721916830942
91546	a	20563.59516317718
82770	you	18592.27898167233
64337	for	14451.751272729887
64265	my	14435.578213811434
60423	flight	13572.565819857282
56680	is	12731.791381916004
54611	on	12267.040563828774
50435	in	11329.003146558463
44663	it	10032.46292326243
41798	of	9388.909953798962
38207	n't	8582.278640241086
37019	your	8315.423168086601
35592	this	7994.8821253555825
34594	have	7770.70555868035
33899	that	7614.59061495361
33705	with	7571.01320620111
33281	me	7475.771859236883
31576	was	7092.7848390151685
30630	not	6880.288814892153
27722	no	6227.076935241275
27253	do	6121.727426453014
26994	we	6063.549339510244
26677	at	5992.342955105385
25217	's	5664.389260370075
24645	are	5535.903292295694
22295	get	5008.032619262832
21358	from	4797.558227504623
21032	they	4724.330210734957
20868	be	4687.491576531814
18917	can	4249.246605005382
18319	but	4114.9203656548925
17740	an	3984.8620168523275
17578	all	3948.4726342858066
17024	just	3824.0299309410384
16577	now	3723.6221901556387
15862	hours	3563.014730062662
15816	been	3552.6819424203163
15701	so	3526.8499733144527
15657	service	3516.966437308731
14793	what	3322.8897302872874
14439	help	3243.3721906048904
13894	customer	3120.9511196249287
13687	our	3074.4535752343745
12522	will	2812.764496901062
12278	us	2757.9557972329694
12189	out	2737.9640994032143
12180	time	2735.9424670384074
12162	how	2731.899202308794
11993	aa	2693.93743901409
11802	please	2651.033907716526
11694	'm	2626.7743193388455
11366	when	2553.0970509325566
11145	there	2503.454745085636
11141	if	2502.556241812389
11063	had	2485.035427984064
11062	flights	2484.810802165752
10994	or	2469.5362465205462
10920	has	2452.9139359654687
10888	as	2445.7259097794895
10718	one	2407.539520666474
10280	why	2309.1534122458806
10253	need	2303.088515151461
10162	did	2282.6475656850816
10006	back	2247.6059380284323
9976	up	2240.8671634790767
9719	plane	2183.1383281729295
9683	would	2175.0517987137027
9650	delayed	2167.6391467094113
9583	still	2152.589216882517
9382	2	2107.439427401834
9241	about	2075.7671870198624
9044	airline	2031.5159008124267
9022	've	2026.5741328095658
9011	am	2024.1032488081355
8988	bag	2018.9368549869628
8968	because	2014.4443386207256
8877	american	1994.0033891543467
8741	after	1963.4542778639343
8399	airport	1886.6322480012795
8152	ca	1831.149670878251
