FREQ	WORD	FPM	EXTRA
1354	:airplane:	373.9953363831171	✈️
1195	:red_heart:	330.0771247989844	❤️
1019	:face_with_tears_of_joy:	281.4632553725231	😂
986	:enraged_face:	272.34815485506164	😡
952	:loudly_crying_face:	262.9568391704043	😭
759	:face_with_symbols_on_mouth:	209.64731190161436	🤬
580	:rolling_on_the_floor_laughing:	160.20479697356566	🤣
489	:face_with_rolling_eyes:	135.0692167587476	🙄
413	:folded_hands:	114.07686405186658	🙏
392	:smiling_face_with_heart-eyes:	108.27634554075472	😍
386	:weary_face:	106.6190545375799	😩
379	:smiling_face_with_hearts:	104.68554836720928	🥰
359	:eyes:	99.16124502329322	👀
338	:thinking_face:	93.36072651218136	🤔
334	:smiling_face_with_smiling_eyes:	92.25586584339815	😊
327	:smiling_face_with_sunglasses:	90.32235967302753	😎
314	:clapping_hands:	86.7315624994821	👏
301	:airplane_departure:	83.14076532593666	🛫
271	:thumbs_up:	74.85431031006257	👍
264	:pleading_face:	72.92080413969195	🥺
246	:unamused_face:	67.94893113016751	😒
237	:United_States:	65.46299462540527	🇺🇸
228	:winking_face:	62.97705812064305	😉
215	:sun:	59.38626094709761	☀️
213	:beaming_face_with_smiling_eyes:	58.83383061270601	😁
200	:crying_face:	55.24303343916057	😢
199	:upside-down_face:	54.96681827196477	🙃
198	:heart_suit:	54.69060310476897	♥️
195	:Jamaica:	53.86195760318156	🇯🇲
191	:desert_island:	52.75709693439835	🏝️
191	:grinning_face_with_sweat:	52.75709693439835	😅
188	:thumbs_down:	51.92845143281094	👎
183	:blue_heart:	50.54737559683192	💙
171	:clown_face:	47.23279359048229	🤡
169	:face_with_steam_from_nose:	46.68036325609068	😤
160	:fire:	44.19442675132846	🔥
155	:grinning_face:	42.813350915349446	😀
147	:backhand_index_pointing_down:	40.60362957778302	👇
146	:folded_hands_medium-light_skin_tone:	40.32741441058722	🙏🏼
144	:hundred_points:	39.77498407619561	💯
142	:beach_with_umbrella:	39.222553741804006	🏖️
138	:face_with_medical_mask:	38.117693073020796	😷
136	:grimacing_face:	37.56526273862919	😬
133	:pensive_face:	36.73661723704178	😔
132	:palm_tree:	36.460402069845976	🌴
128	:two_hearts:	35.355541401062766	💕
127	:expressionless_face:	35.079326233866965	😑
125	:smiling_face_with_tear:	34.526895899475356	🥲
123	:woozy_face:	33.974465565083754	🥴
122	:check_mark_button:	33.698250397887946	✅
118	:sparkles:	32.593389729104736	✨
116	:microbe:	32.040959394713134	🦠
112	:star-struck:	30.93609872592992	🤩
111	:raising_hands:	30.659883558734116	🙌
110	:slightly_smiling_face:	30.383668391538315	🙂
110	:middle_finger_medium-light_skin_tone:	30.383668391538315	🖕🏼
109	:smiling_face:	30.10745322434251	☺️
109	:folded_hands_light_skin_tone:	30.10745322434251	🙏🏻
105	:crossed_fingers:	29.0025925555593	🤞
105	:frowning_face:	29.0025925555593	☹️
104	:flushed_face:	28.726377388363495	😳
100	:Italy:	27.621516719580285	🇮🇹
98	:tired_face:	27.06908638518868	😫
98	:clapping_hands_light_skin_tone:	27.06908638518868	👏🏻
97	:skull:	26.792871217992875	💀
96	:man_facepalming:	26.516656050797074	🤦‍♂️
96	:water_wave:	26.516656050797074	🌊
96	:tropical_drink:	26.516656050797074	🍹
95	:clinking_glasses:	26.24044088360127	🥂
95	:face_holding_back_tears:	26.24044088360127	🥹
92	:middle_finger:	25.411795382013864	🖕
91	:disappointed_face:	25.13558021481806	😞
89	:face_vomiting:	24.583149880426454	🤮
89	:airplane_arrival:	24.583149880426454	🛬
88	:face_with_spiral_eyes:	24.30693471323065	😵‍💫
87	:exploding_head:	24.03071954603485	🤯
85	:face_with_raised_eyebrow:	23.478289211643244	🤨
