FREQ	WORD	FPM
130140	to	35946.64185886178
101699	i	28090.806288645956
99077	the	27366.57012025856
76968	a	21259.728988726554
76444	and	21114.992241115953
57733	you	15946.730247715286
56902	my	15717.195443775574
54332	for	15007.322464082361
48843	flight	13491.177411344599
48705	on	13453.059718271577
45836	is	12660.59840358682
41804	in	11546.898849453342
33552	it	9267.571289753578
32174	of	8886.94678935776
28929	n't	7990.6285718073805
28785	me	7950.853587731185
28242	with	7800.8687519438645
27457	have	7584.039845695159
27245	your	7525.482230249649
26361	this	7281.308022448559
23402	that	6463.987342716178
23204	not	6409.296739611409
22791	was	6295.219875559543
22034	delta	6086.12499399232
20558	at	5678.431407211315
20145	no	5564.354543159448
19857	do	5484.804575007057
18909	's	5222.952596505436
18795	get	5191.464067445115
18735	we	5174.891157413366
18584	from	5133.1826671668005
17995	can	4970.491933688472
17969	are	4963.310339341381
15744	be	4348.731592330721
15568	help	4300.117722904259
15516	but	4285.7545342100775
14815	an	4092.127702005819
14470	hours	3996.8334693232673
14378	been	3971.4216739412536
12901	now	3563.4518719930525
12731	service	3516.495293569766
12428	just	3432.802097909438
12332	all	3406.2854418586408
12184	they	3365.4055971136618
12068	so	3333.364637718949
11897	please	3286.1318441284666
11285	what	3117.088161804635
10698	'm	2954.9498586606987
10540	customer	2911.307862243762
10531	time	2908.8219257389997
10237	our	2827.614666583434
10190	out	2814.632553725231
9949	need	2748.0646984310424
9816	when	2711.328081194001
9572	one	2643.931580398225
9453	how	2611.0619755019243
9222	flights	2547.256271879694
8794	there	2429.0361803198903
8761	has	2419.9210798024287
8759	or	2419.3686494680373
8554	if	2362.7445401928976
8508	as	2350.0386425018905
8385	2	2316.064176936807
8379	up	2314.406885933632
8367	us	2311.0923039272825
8324	am	2299.215051737863
8287	back	2288.9950905516184
8187	will	2261.373573832038
7994	had	2208.064046563248
7895	why	2180.7187450108636
7670	've	2118.570332391808
7583	still	2094.5396128457733
7475	would	2064.7083747886263
7197	ca	1987.9205583081932
7135	hour	1970.7952179420533
7058	over	1949.5266500679766
7046	after	1946.212068061627
7018	did	1938.4780433801445
6844	hold	1890.4166042880747
6712	about	1853.9562022182288
6404	plane	1768.8819307219214
6317	3	1744.8512111758866
6264	because	1730.211807314509
6242	delayed	1724.1350736362015
6023	like	1663.6439520203205
6011	got	1660.329370013971
5896	airport	1628.5646257864537
5896	then	1628.5646257864537
5884	trying	1625.250043780104
5869	fly	1621.106816272167
5828	thanks	1609.781994417139
5741	gate	1585.7512748711042
5722	waiting	1580.5031866943839
5707	bag	1576.359959186447
5703	thank	1575.2550985176638
5645	going	1559.234618820307
5606	by	1548.4622272996708
5604	today	1547.9097969652792
5521	first	1524.9839380880276
5456	seat	1507.0299522203004
5306	wait	1465.59767714093
5299	any	1463.6641709705593
5269	cancelled	1455.3777159546853
5226	does	1443.5004637652657
5168	check	1427.479984067909
5131	people	1417.2600228816646
5107	someone	1410.630858868965
5000	only	1381.0758359790143
4975	more	1374.1704567991192
4965	were	1371.4083051271612
4827	4	1333.2906120541404
4813	make	1329.4235997133992
4727	airline	1305.66909533456
4720	days	1303.7355891641894
4668	phone	1289.3724004700077
4659	trip	1286.8864639652454
4652	again	1284.952957794875
4652	day	1284.952957794875
4649	their	1284.1243122932874
4613	call	1274.1805662742386
4605	luggage	1271.9708449366722
4579	even	1264.7892505895813
4537	could	1253.1882135673575
4513	who	1246.5590495546583
4485	ticket	1238.8250248731758
4437	flying	1225.5666968477772
4388	last	1212.032153655183
4286	new	1183.8582066012111
4244	them	1172.2571695789873
4240	change	1171.152308910204
4230	never	1168.390157238246
4208	go	1162.3134235599384
4158	bags	1148.5026652001484
4150	off	1146.2929438625818
4149	atl	1146.016728695386
4091	way	1129.9962489980294
4065	minutes	1122.8146546509386
4026	know	1112.0422631303022
4026	want	1112.0422631303022
3992	told	1102.650947445645
3980	app	1099.3363654392954
3953	should	1091.8785559250086
3936	getting	1087.1828980826801
3933	dm	1086.3542525810926
3852	two	1063.9808240382326
3835	agent	1059.285166195904
3795	being	1048.2365595080719
3795	travel	1048.2365595080719
3761	she	1038.8452438234146
3739	before	1032.7685101451068
3718	home	1026.967991633995
3698	her	1021.443688290079
3683	here	1017.300460782142
3647	hi	1007.356714763093
3638	some	1004.8707782583308
3635	where	1004.0421327567434
3629	really	1002.3848417535686
3617	than	999.070259747219
3613	another	997.9653990784357
3598	're	993.8221715704987
3585	since	990.2313743969532
3581	jfk	989.12651372817
3579	canceled	988.5740833937784
3562	take	983.8784255514498
3543	baggage	978.6303373747295
3528	lost	974.4871098667925
3499	wuhan	966.4768700181141
3478	class	960.6763515070023
3377	see	932.7786196202262
3305	very	912.8911275821284
3283	atlanta	906.8143939038208
3244	seats	896.0420023831845
3228	times	891.6225597080517
3200	better	883.8885350265691
3187	5	880.2977378530237
3177	experience	877.5355861810657
3175	book	876.9831558466741
3165	work	874.2210041747161
3136	refund	866.2107643260377
3117	website	860.9626761493175
3068	sent	847.4281329567232
3038	through	839.141677940849
2999	next	828.3692864202128
2982	other	823.6736285778841
2960	guys	817.5968948995765
2933	response	810.1390853852897
2925	due	807.9293640477233
2908	let	803.2337062053947
2905	booked	802.4050607038073
2884	number	796.6045421926955
2864	worst	791.0802388487793
2857	use	789.1467326784087
2851	customers	787.4894416752339
2834	line	782.7937838329053
2815	great	777.545695656185
2787	passengers	769.8116709747026
2761	tomorrow	762.6300766276116
2755	give	760.9727856244368
2748	without	759.0392794540662
2718	delay	750.7528244381922
2708	ever	747.9906727662342
2687	1	742.1901542551223
2660	right	734.7323447408356
2624	he	724.7885987217867
2622	airlines	724.2361683873951
2608	issue	720.3691560466539
2583	long	713.4637768667587
2570	good	709.8729796932133
2552	pay	704.9011066836889
2549	message	704.0724611821015
2542	y'	702.1389550117309
2536	boarding	700.4816640085561
2536	crew	700.4816640085561
2510	miles	693.3000696614652
2482	find	685.5660449799827
2477	chat	684.1849691440036
2460	which	679.489311301675
2446	same	675.6222989609338
2445	made	675.346083793738
2444	sky	675.0698686265422
2437	cancel	673.1363624561716
2420	said	668.4407046138429
2413	wo	666.5071984434722
2412	much	666.2309832762764
2361	nothing	652.1440097492905
2354	able	650.2105035789199
2341	morning	646.6197064053745
2324	tried	641.9240485630459
2323	already	641.6478333958501
2319	love	640.5429727270669
2300	family	635.2948845503465
2283	care	630.5992267080179
2265	put	625.6273536984935
