FREQ	WORD	FPM
49136	to	35865.379281349364
37616	the	27456.693809981225
33960	i	24788.10404580398
29858	and	21793.96968785675
28386	a	20719.526544293043
23016	flight	16799.85284800425
22661	you	16540.731030093168
21177	for	15457.528839163453
19692	is	14373.596727619904
19615	my	14317.392840354683
19519	on	14247.320461426616
12966	in	9464.150678972155
12540	it	9153.204497478855
12145	your	8864.885855014409
11739	of	8568.538085797789
11702	n't	8541.531023085929
11512	this	8402.846106457462
11116	with	8113.797543379182
9748	have	7115.266143654216
9390	me	6853.95456390163
9284	not	6776.582978835222
8979	no	6553.95719161584
8762	was	6395.564418413854
8664	that	6324.032198258117
8573	at	6257.6094223992195
7878	's	5750.314595784563
7738	do	5648.125709847797
7622	we	5563.454918643049
7422	are	5417.47079587624
6963	get	5082.437234126416
6779	from	4948.131841180953
6597	hours	4815.286289463158
6234	be	4550.325106641401
6124	an	4470.033839119657
5937	they	4333.538684332692
5749	been	4196.313608931892
5726	now	4179.52543481371
5625	can	4105.803452816472
5545	but	4047.4098037097483
5445	what	3974.4177423263445
5271	service	3847.4115555192216
4712	just	3439.385932385994
4555	all	3324.7883960140493
4535	help	3310.189983737369
4534	jetblue	3309.460063123535
4517	customer	3297.051412688356
4513	time	3294.13173023302
4503	so	3286.8325240946797
3971	flights	2898.5147575349706
3897	our	2844.5006321112514
3829	out	2794.866030370537
3828	please	2794.136109756703
3787	when	2764.2093645895075
3745	has	2733.5526988084775
3674	delayed	2681.7283352262607
3672	hour	2680.268493998593
3654	how	2667.12992294958
3599	will	2626.984289188708
3560	2	2598.5173852491803
3536	why	2580.9992905171634
3512	or	2563.4811957851466
3494	'm	2550.3426247361335
3423	us	2498.5182611539167
3422	there	2497.788340540083
3347	one	2443.0442945025297
3258	airline	2378.0813598713003
3207	up	2340.8554085657643
3185	jfk	2324.7971550614157
3182	plane	2322.6073932199133
3180	am	2321.147551992245
3170	ca	2313.848345853905
3112	need	2271.5129502515306
3091	over	2256.1846173610156
2970	if	2167.864223087097
2954	after	2156.1854932657525
2929	had	2137.9374779199015
2926	've	2135.747716078399
2826	cancelled	2062.7556546949954
2820	as	2058.376131011991
2809	trying	2050.347004259817
2801	still	2044.5076393491445
2721	back	1986.1139902424213
2720	wait	1985.3840696285872
2683	did	1958.3770069167276
2663	going	1943.778594640047
2651	website	1935.0195472740386
2620	then	1912.3920082451832
2616	waiting	1909.472325789847
2566	hold	1872.976295098145
2535	airport	1850.34875606929
2453	fly	1790.4952657348986
2447	3	1786.1157420518944
2435	about	1777.356694685886
2394	again	1747.4299495186904
2284	even	1667.138681996946
2271	would	1657.6497140171034
2270	because	1656.9197934032695
2262	never	1651.080428492597
2246	got	1639.4016986712525
2199	phone	1605.0954298210527
2167	like	1581.7379701783634
2158	people	1575.168684653857
2142	gate	1563.4899548325125
2118	by	1545.9718601004954
2108	more	1538.672653962155
2079	were	1517.5049561609678
2050	blue	1496.337258359781
2042	today	1490.4978934491085
2011	does	1467.8703544202533
2003	app	1462.0309895095809
1968	only	1436.4837680253895
1954	worst	1426.264879431713
1931	book	1409.4767053135301
1923	check	1403.6373404028577
1922	their	1402.9074197890238
