FREQ	WORD	FPM
126146	to	38916.390196769236
106261	we	32781.81265120492
91023	you	28080.847469444343
85989	the	26527.844534349006
85306	for	26317.13714367159
77784	your	23996.57932130625
64180	and	19799.70766277686
62425	a	19258.28530459404
50368	this	15538.667428462835
35686	more	11009.229785818869
33091	in	10208.665102351963
32868	us	10139.868985044403
31699	dm	9779.22924902405
31059	with	9581.787477379035
30575	of	9432.472137572491
29936	're	9235.33886869567
28925	#wannagetaway	8923.442570050182
26985	number	8324.947199751223
26484	our	8170.387312885358
26169	getaway	8073.208940903827
25879	can	7983.743138127178
25014	that	7716.88824363821
24146	on	7449.107840844656
23986	confirmation	7399.747397933402
23823	so	7349.461446717562
22965	sorry	7084.766071605961
21643	ideas	6676.925412051723
21475	if	6625.096946994905
19976	or	6162.651297470092
19918	tweet	6144.758136914763
19387	is	5980.943167003037
19049	be	5876.669231353013
18763	please	5788.437439649146
18449	there	5691.567570435809
17401	are	5368.256669367094
16759	's	5170.197892185686
16552	it	5106.337819169252
15353	send	4736.44300010304
14299	flight	4411.281082425153
13749	hear	4241.604559917716
13569	break	4186.0740616425555
13398	as	4133.3200882811525
13338	out	4114.809922189432
13083	spring	4036.1417162996204
12869	get	3970.1221239058177
12666	feel	3907.496061962164
12657	do	3904.719537048406
12612	like	3890.836912479616
12248	'll	3778.5419048565122
12167	hi	3753.55318063269
11884	free	3666.246897233409
11714	have	3613.801426640201
11378	any	3510.1444965265673
11271	mountain	3477.134700329666
11138	look	3436.103832159686
9954	summer	3070.8365546164046
9836	all	3034.4332279693544
9564	up	2950.5204750202224
9555	at	2947.743950106464
9400	just	2899.9260210361867
9283	today	2863.831197157332
9186	thanks	2833.906428642384
8744	take	2697.5482051000445
8528	hope	2630.9116071698513
8496	n't	2621.0395185876005
8410	i	2594.508280522801
8195	appreciate	2528.180185360803
8133	book	2509.0530137326923
8034	hey	2478.511239681354
7785	further	2401.6940504007143
7766	onboard	2395.8324978050027
7643	will	2357.886657316976
7559	not	2331.9724247885674
7518	'd	2319.3238112925587
7103	happy	2191.295162491493
7060	make	2178.0295434590935
6940	reaching	2141.009211275653
6815	destination	2102.4463652512354
6677	see	2059.8729832402787
6371	wanna	1965.4711361725049
6271	know	1934.620859352971
6188	here	1909.0151295927578
6177	soon	1905.621599142609
6172	need	1904.0790853016324
6009	beaches	1853.7931340857922
6004	no	1852.2506202448155
5899	beach	1819.857829584305
5649	travel	1742.7321375354702
5617	time	1732.8600489532193
5597	about	1726.6899935893125
5557	when	1714.3498828614988
5479	but	1690.2866669422624
5467	looking	1686.5846337239184
5405	regret	1667.4574620958074
5256	from	1621.490549634702
5244	what	1617.7885164163579
