FREQ	WORD	FPM
78549	to	34733.709992159944
65611	the	29012.634741315687
55606	i	24588.50752809133
46252	and	20452.24706307377
46063	a	20368.67284585244
38530	you	17037.643330888015
33090	for	14632.120888115349
30680	my	13566.439070637018
29487	on	13038.904461403967
28713	is	12696.648143259474
28092	flight	12422.047143817963
25288	in	11182.141825888817
22391	of	9901.11268678727
22340	it	9878.560913886276
18241	n't	8066.017440922094
18067	your	7989.076098083408
17474	this	7726.856464156168
16811	have	7433.683416443249
16807	with	7431.914649941211
16428	that	7264.324023873041
15196	not	6719.543941245114
14648	me	6477.222930465809
14357	was	6348.545167442492
13234	at	5851.96397199512
13070	we	5779.444545411532
12923	are	5714.4423764616095
12862	do	5687.468687305519
12699	no	5615.3914523474405
12576	's	5561.00188240975
12428	united	5495.557521834317
11881	from	5253.678702680521
10726	be	4742.94737521684
10419	get	4607.1945461853675
9996	can	4420.147488594773
9822	they	4343.206145756088
9466	but	4185.785927074641
8851	an	3913.8380773861877
7849	now	3470.7620686254872
7819	been	3457.4963198601968
7703	just	3406.202091301074
7689	all	3400.011408543938
7650	so	3382.7659351490606
7209	what	3187.7594282992914
7110	service	3143.982457373833
7103	help	3140.887115995265
7073	hours	3127.6213672299746
6573	will	2906.525554475134
6365	our	2814.5496963691203
6294	please	2783.154090957933
6197	how	2740.2615032834938
6152	customer	2720.362880135558
5997	when	2651.8231781815575
5992	time	2649.6122200540094
5960	us	2635.4620880376997
5843	one	2583.7256678530666
5813	out	2570.459919087776
5714	or	2526.682948162318
5674	as	2508.9952831419305
5611	flights	2481.1372107348207
5608	if	2479.810635858292
5596	there	2474.5043363521754
5488	'm	2426.74764079713
5463	has	2415.692850159388
5354	plane	2367.4939629788328
5140	why	2272.864955119761
4956	about	2191.5016960259795
4931	did	2180.4469053882376
4884	had	2159.6638989892826
4862	up	2149.9356832280696
4784	still	2115.4447364383145
4750	would	2100.4102211709856
4674	after	2066.8036576322497
4628	need	2046.4628428588042
4620	back	2042.9253098547267
4476	am	1979.2497157813327
4393	delayed	1942.547810864029
4336	fly	1917.3428882099774
4288	bag	1896.1176901855126
4219	2	1865.6064680253446
4091	airline	1809.0059399601055
4072	've	1800.6042990754215
4060	because	1795.2979995693054
