FREQ	WORD	FPM	EXTRA
2487	:fire:	2630.0205156405323	🔥
1672	:hamburger:	1768.1521118419662	🍔
1461	:rocket:	1545.0180833738711	🚀
1314	:face_with_tears_of_joy:	1389.564518516952	😂
926	:loudly_crying_face:	979.2517078741989	😭
756	:enraged_face:	799.4754764070134	😡
730	:red_heart:	771.9802880649733	❤️
725	:rolling_on_the_floor_laughing:	766.6927518453501	🤣
672	:Ukraine:	710.6448679173452	🇺🇦
659	:crown:	696.8972737463251	👑
513	:thinking_face:	542.5012161333306	🤔
498	:smiling_face_with_heart-eyes:	526.6386074744612	😍
492	:eyes:	520.2935640109134	👀
490	:french_fries:	518.1785495230642	🍟
376	:gem_stone:	397.62272371565746	💎
358	:face_with_symbols_on_mouth:	378.58759332501427	🤬
339	:face_vomiting:	358.4949556904465	🤮
307	:face_savoring_food:	324.6547238848586	😋
302	:pleading_face:	319.3671876652355	🥺
279	:dog:	295.0445210549692	🐕
248	:thumbs_up:	262.26179649330595	👍
243	:nauseated_face:	256.9742602736829	🤢
232	:hundred_points:	245.34168059051206	💯
230	:face_with_raised_eyebrow:	243.2266661026628	🤨
228	:triangular_flag:	241.11165161481355	🚩
223	:drooling_face:	235.82411539519046	🤤
222	:folded_hands:	234.76660815126584	🙏
203	:smiling_face_with_sunglasses:	214.67397051669803	😎
190	:beaming_face_with_smiling_eyes:	200.92637634567797	😁
184	:weary_face:	194.58133288213025	😩
179	:clapping_hands:	189.29379666250713	👏
177	:face_with_rolling_eyes:	187.1787821746579	🙄
166	:hamster:	175.54620249148707	🐹
163	:check_mark_button:	172.3736807597132	✅
162	:smiling_face_with_hearts:	171.3161735157886	🥰
162	:winking_face:	171.3161735157886	😉
154	:pile_of_poo:	162.85611556439162	💩
146	:Brazil:	154.39605761299464	🇧🇷
142	:unamused_face:	150.16602863729617	😒
138	:grinning_face_with_sweat:	145.9359996615977	😅
132	:sparkles:	139.59095619804995	✨
124	:Russia:	131.13089824665298	🇷🇺
124	:pensive_face:	131.13089824665298	😔
121	:smiling_face_with_smiling_eyes:	127.95837651487912	😊
115	:face_with_steam_from_nose:	121.6133330513314	😤
115	:star-struck:	121.6133330513314	🤩
114	:thumbs_down:	120.55582580740678	👎
107	:skull:	113.15327509993443	💀
107	:collision:	113.15327509993443	💥
105	:dog_face:	111.0382606120852	🐶
104	:heart_suit:	109.98075336816058	♥️
101	:flushed_face:	106.80823163638671	😳
