FREQ	WORD	FPM	EXTRA
12018	:police_car_light:	26397.580331628113	🚨
6260	:eyes:	13750.112570809784	👀
5830	:joystick:	12805.616020418698	🕹️
216	:sparkles:	474.4447788011044	✨
193	:heart_suit:	423.925195873209	♥️
87	:raising_hands:	191.09581368377818	🙌
82	:cloud:	180.1132956559748	☁️
73	:face_savoring_food:	160.3447632059288	😋
70	:winking_face:	153.7552523892468	😉
64	:dizzy:	140.5762307558828	💫
63	:smiling_face_with_heart-eyes:	138.3797271503221	😍
58	:star-struck:	127.39720912251877	🤩
58	:cup_with_straw:	127.39720912251877	🥤
44	:smiling_face_with_sunglasses:	96.64615864466941	😎
39	:clapping_hands:	85.66364061686608	👏
38	:backhand_index_pointing_down:	83.46713701130541	👇
37	:red_heart:	81.27063340574473	❤️
33	:watermelon:	72.48461898350206	🍉
33	:strawberry:	72.48461898350206	🍓
33	:handshake:	72.48461898350206	🤝
30	:exploding_head:	65.89510816682005	🤯
29	:registered:	63.69860456125939	®️
25	:smiling_face_with_open_hands:	54.912590139016714	🤗
24	:star:	52.71608653345604	⭐
23	:musical_notes:	50.51958292789538	🎶
22	:sun:	48.323079322334706	☀️
21	:glowing_star:	46.12657571677404	🌟
20	:high_voltage:	43.93007211121337	⚡
18	:milky_way:	39.537064900092034	🌌
18	:fire:	39.537064900092034	🔥
18	:white_heart:	39.537064900092034	🤍
17	:crystal_ball:	37.34056129453136	🔮
17	:soccer_ball:	37.34056129453136	⚽
15	:crescent_moon:	32.947554083410026	🌙
15	:comet:	32.947554083410026	☄️
15	:up_arrow:	32.947554083410026	⬆️
14	:first_quarter_moon_face:	30.751050477849358	🌛
14	:full_moon:	30.751050477849358	🌕
13	:backhand_index_pointing_up:	28.55454687228869	👆
13	:alien_monster:	28.55454687228869	👾
11	:headphone:	24.161539661167353	🎧
11	:down_arrow:	24.161539661167353	⬇️
11	:partying_face:	24.161539661167353	🥳
10	:smiling_face_with_smiling_eyes:	21.965036055606685	😊
10	:hundred_points:	21.965036055606685	💯
9	:slightly_smiling_face:	19.768532450046017	🙂
8	:video_game:	17.57202884448535	🎮
8	:smiling_face_with_hearts:	17.57202884448535	🥰
7	:rainbow:	15.375525238924679	🌈
7	:hot_beverage:	15.375525238924679	☕
6	:chocolate_bar:	13.17902163336401	🍫
6	:two_hearts:	13.17902163336401	💕
5	:ringed_planet:	10.982518027803343	🪐
5	:globe_showing_Americas:	10.982518027803343	🌎
5	:musical_note:	10.982518027803343	🎵
5	:pizza:	10.982518027803343	🍕
5	:waving_hand:	10.982518027803343	👋
5	:basketball:	10.982518027803343	🏀
4	:thumbs_up:	8.786014422242674	👍
4	:flexed_biceps:	8.786014422242674	💪
4	:check_mark_button:	8.786014422242674	✅
4	:shushing_face:	8.786014422242674	🤫
4	:tongue:	8.786014422242674	👅
4	:person_raising_hand:	8.786014422242674	🙋
4	:trade_mark:	8.786014422242674	™️
3	:party_popper:	6.589510816682005	🎉
3	:rocket:	6.589510816682005	🚀
3	:backhand_index_pointing_right:	6.589510816682005	👉
3	:backhand_index_pointing_left:	6.589510816682005	👈
3	:thinking_face:	6.589510816682005	🤔
3	:cherries:	6.589510816682005	🍒
3	:megaphone:	6.589510816682005	📣
3	:hamburger:	6.589510816682005	🍔
3	:ice:	6.589510816682005	🧊
3	:relieved_face:	6.589510816682005	😌
3	:heart_hands:	6.589510816682005	🫶
3	:Scorpio:	6.589510816682005	♏
2	:victory_hand:	4.393007211121337	✌️
2	:ring:	4.393007211121337	💍
2	:snowflake:	4.393007211121337	❄️
2	:blue_heart:	4.393007211121337	💙
2	:Santa_Claus:	4.393007211121337	🎅
2	:wrapped_gift:	4.393007211121337	🎁
2	:alien:	4.393007211121337	👽
2	:shooting_star:	4.393007211121337	🌠
2	:trophy:	4.393007211121337	🏆
2	:winking_face_with_tongue:	4.393007211121337	😜
2	:unlocked:	4.393007211121337	🔓
2	:jack-o-lantern:	4.393007211121337	🎃
2	:Virgo:	4.393007211121337	♍
2	:Cancer:	4.393007211121337	♋
1	:sunglasses:	2.1965036055606686	🕶️
1	:smiling_face_with_halo:	2.1965036055606686	😇
1	:sports_medal:	2.1965036055606686	🏅
1	:folded_hands:	2.1965036055606686	🙏
1	:deer:	2.1965036055606686	🦌
1	:sled:	2.1965036055606686	🛷
1	:sandwich:	2.1965036055606686	🥪
1	:love_letter:	2.1965036055606686	💌
1	:goat:	2.1965036055606686	🐐
1	:smiling_face:	2.1965036055606686	☺️
1	:sunrise:	2.1965036055606686	🌅
1	:house:	2.1965036055606686	🏠
1	:orange_heart:	2.1965036055606686	🧡
1	:yellow_heart:	2.1965036055606686	💛
1	:green_heart:	2.1965036055606686	💚
1	:purple_heart:	2.1965036055606686	💜
1	:bellhop_bell:	2.1965036055606686	🛎️
1	:woman_superhero:	2.1965036055606686	🦸‍♀️
1	:polar_bear:	2.1965036055606686	🐻‍❄️
1	:raised_hand:	2.1965036055606686	✋
1	:automobile:	2.1965036055606686	🚗
1	:face_blowing_a_kiss:	2.1965036055606686	😘
1	:three_o’clock:	2.1965036055606686	🕒
1	:lemon:	2.1965036055606686	🍋
1	:beaming_face_with_smiling_eyes:	2.1965036055606686	😁
1	:running_shoe:	2.1965036055606686	👟
1	:goal_net:	2.1965036055606686	🥅
1	:man_technologist_dark_skin_tone:	2.1965036055606686	👨🏿‍💻
1	:check_mark:	2.1965036055606686	✔️
1	:keycap_10:	2.1965036055606686	🔟
1	:money_with_wings:	2.1965036055606686	💸
