FREQ	WORD	FPM
19485	to	42798.87275434963
16571	stream	36398.26124774584
16566	twitch	36387.27872971803
16451	the	36134.68081507856
13743	out	30186.549051220267
12372	a	27175.14260799659
12085	#cocacolacreations	26544.74607320068
12033	reply	26430.527885711523
12032	#cocacolaxmarshmello	26428.331382105964
12014	#unsubscribe	26388.794317205873
12014	opt	26388.794317205873
8878	we	19500.559010167613
8820	you	19373.161801045095
7700	for	16913.07776281715
7605	us	16704.409920288883
7054	at	15494.136433624955
6713	if	14745.128704128769
6674	your	14659.465063511901
6629	could	14560.622401261671
6486	is	14246.522385666496
6290	any	13816.007678976604
6275	it	13783.060124893194
6246	those	13719.361520331935
6239	's	13703.985995093011
6234	keep	13693.003477065207
6223	want	13668.84193740404
6205	drop	13629.304872503948
6188	heard	13591.964311209416
6188	moment	13591.964311209416
6187	rumor	13589.767807603856
6186	peepers	13587.571303998295
6186	peeped	13587.571303998295
6062	time	13315.204856908773
5952	now	13073.589460297098
5870	game	12893.476164641124
5835	join	12816.5985384465
5834	live	12814.40203484094
4582	day	10064.379520678984
4581	way	10062.183017073423
4576	coming	10051.200499045619
4561	soon	10018.252944962209
4558	control	10011.663434145526
4555	notification	10005.073923328846
3140	in	6897.021321460499
2544	with	5587.9051725463405
1636	livestream	3593.4798986972537
1636	designed	3593.4798986972537
1564	please	3435.3316390968857
1429	our	3138.803652346195
1357	thanks	2980.655392745827
1216	reaching	2670.948384361773
1215	and	2668.7518807562124
1045	cola	2295.3462678108986
1037	coca	2277.774238966413
1015	this	2229.4511596440784
866	are	1902.172122415539
841	hi	1847.2595322765221
796	like	1748.4168700262921
680	on	1493.6224517812545
679	of	1491.425948175694
651	contact	1429.9238472199952
639	coke	1403.5658039532673
638	get	1401.3693003477065
631	call	1385.9937751087818
609	give	1337.6706957864471
586	further	1287.1511128585519
582	'd	1278.3650984363092
579	look	1271.775587619627
574	800	1260.7930695918237
547	mon	1201.4874722416857
547	fri	1201.4874722416857
542	have	1190.5049542138822
529	9a-7p	1161.9504073415937
523	est	1148.7713857082297
507	providing	1113.627328019259
500	country	1098.2518027803342
499	can	1096.0552991747736
495	into	1087.269284752531
491	available	1078.4832703302882
484	so	1063.1077450913635
484	reference	1063.1077450913635
446	that	979.6406080800582
432	be	948.8895576022088
422	product	926.9245215466021
408	request	896.1734710687527
402	best	882.9944494353888
402	help	882.9944494353888
401	more	880.7979458298281
392	world	861.0294133797821
379	visit	832.4748665074934
378	thank	830.2783629019327
363	options	797.3308088185227
358	're	786.3482907907194
355	company	779.7587799740373
346	find	759.9902475239913
343	reached	753.4007367073093
338	local	742.4182186795059
325	will	713.8636718072173
315	what	691.8986357516106
314	locator	689.70213214605
312	united	685.3091249349286
310	choose	680.9161177238072
303	checking	665.5405924848826
302	states	663.3440888793219
299	headquarters	656.7545780626399
292	not	641.3790528237153
292	locally	641.3790528237153
287	assistance	630.3965347959119
282	area	619.4140167681086
270	flavor	593.0559735013805
269	send	590.8594698958199
250	bottlers	549.1259013901671
249	through	546.9293977846064
249	independent	546.9293977846064
247	recommend	542.5363905734852
238	sorry	522.767858123439
234	deliveries	513.9818437011965
234	regionally	513.9818437011965
233	organized	511.7853400956358
231	limited	507.3923328845144
215	here	472.2482751955437
212	products	465.65876437886175
209	check	459.0692535621797
192	as	421.72869226764834
188	from	412.9426778454057
184	or	404.156663423163
169	about	371.20910933975296
160	demand	351.44057688970696
159	office	349.2440732841463
158	where	347.0475696785856
158	zero	347.0475696785856
157	may	344.851066073025
156	beverages	342.6545624674643
153	was	336.06505165078227
152	right	333.86854804522164
148	message	325.08253362297893
144	team	316.29651920073627
144	fan	316.29651920073627
144	know	316.29651920073627
143	being	314.1000155951756
140	hear	307.5105047784936
138	dm	303.11749756737225
137	located	300.9209939618116
135	but	296.5279867506903
135	information	296.5279867506903
134	while	294.3314831451296
133	flavors	292.1349795395689
133	has	292.1349795395689
132	taste	289.93847593400824
130	do	285.5454687228869
126	details	276.7594543006442
122	'll	267.97343987840156
120	sugar	263.5804326672802
119	availability	261.3839290617195
119	indiahelpline	261.3839290617195
119	other	261.3839290617195
118	by	259.1874254561589
117	free	256.9909218505982
116	n't	254.79441824503755
116	back	254.79441824503755
112	up	246.00840382279486
111	all	243.8119002172342
111	2653	243.8119002172342
109	point	239.41889300611288
107	starlight	235.02588579499152
102	direction	224.0433677671882
98	0800	215.25735334494553
98	assist	215.25735334494553
