FREQ	WORD	FPM	EXTRA
1495	:Ukraine:	2340.5234631606304	🇺🇦
689	:red_heart:	1078.6760308479427	❤️
584	:face_with_tears_of_joy:	914.2914397898383	😂
461	:loudly_crying_face:	721.7266331217729	😭
430	:fire:	673.194039571285	🔥
425	:face_vomiting:	665.3662019018515	🤮
306	:rolling_on_the_floor_laughing:	479.063665369333	🤣
289	:face_with_symbols_on_mouth:	452.449017293259	🤬
266	:smiling_face_with_heart-eyes:	416.4409640138647	😍
261	:folded_hands:	408.6131263444311	🙏
245	:enraged_face:	383.56404580224375	😡
240	:thinking_face:	375.73620813281025	🤔
224	:cup_with_straw:	350.6871275906229	🥤
221	:eyes:	345.99042498896273	👀
220	:middle_finger:	344.42485745507605	🖕
209	:rocket:	327.20361458232225	🚀
182	:thumbs_up:	284.93329116738107	👍
161	:nauseated_face:	252.0563729557602	🤢
154	:backhand_index_pointing_down:	241.09740021855322	👇
144	:victory_hand:	225.44172487968615	✌️
144	:moai:	225.44172487968615	🗿
129	:pleading_face:	201.9582118713855	🥺
124	:clapping_hands:	194.13037420195195	👏
118	:smiling_face_with_sunglasses:	184.73696899863168	😎
118	:sparkles:	184.73696899863168	✨
116	:smiling_face_with_hearts:	181.60583393085827	🥰
116	:blue_heart:	181.60583393085827	💙
111	:face_savoring_food:	173.77799626142473	😋
107	:smiling_face_with_smiling_eyes:	167.5157261258779	😊
106	:yellow_heart:	165.95015859199117	💛
104	:beaming_face_with_smiling_eyes:	162.81902352421776	😁
102	:winking_face:	159.68788845644434	😉
93	:full_moon:	145.59778065146395	🌕
88	:purple_heart:	137.76994298203041	💜
84	:heart_suit:	131.5076728464836	♥️
79	:unamused_face:	123.67983517705004	😒
78	:hundred_points:	122.11426764316332	💯
75	:drooling_face:	117.4175650415032	🤤
75	:thumbs_down:	117.4175650415032	👎
73	:weary_face:	114.28642997372978	😩
71	:smiling_face_with_halo:	111.15529490595635	😇
67	:crying_face:	104.89302477040953	😢
66	:grinning_face_with_sweat:	103.32745723652282	😅
63	:Christmas_tree:	98.63075463486268	🎄
62	:check_mark_button:	97.06518710097598	✅
60	:pile_of_poo:	93.93405203320256	💩
60	:face_with_rolling_eyes:	93.93405203320256	🙄
60	:folded_hands_light_skin_tone:	93.93405203320256	🙏🏻
58	:flushed_face:	90.80291696542913	😳
56	:smirking_face:	87.67178189765572	😏
56	:dog:	87.67178189765572	🐕
55	:money_bag:	86.10621436376901	💰
53	:United_States:	82.97507929599558	🇺🇸
53	:man_facepalming:	82.97507929599558	🤦‍♂️
52	:pensive_face:	81.40951176210888	😔
50	:money-mouth_face:	78.27837669433546	🤑
49	:two_hearts:	76.71280916044876	💕
49	:face_with_raised_eyebrow:	76.71280916044876	🤨
48	:Russia:	75.14724162656205	🇷🇺
48	:red_exclamation_mark:	75.14724162656205	❗
48	:star-struck:	75.14724162656205	🤩
48	:party_popper:	75.14724162656205	🎉
45	:partying_face:	70.45053902490191	🥳
44	:face_with_monocle:	68.88497149101521	🧐
43	:flexed_biceps:	67.3194039571285	💪
42	:winking_face_with_tongue:	65.7538364232418	😜
42	:folded_hands_medium_skin_tone:	65.7538364232418	🙏🏽
39	:down_arrow:	61.05713382158166	⬇️
39	:smiling_face:	61.05713382158166	☺️
38	:grinning_face:	59.49156628769495	😀
37	:face_blowing_a_kiss:	57.925998753808244	😘
36	:double_exclamation_mark:	56.36043121992154	‼️
36	:waving_hand:	56.36043121992154	👋
36	:slightly_smiling_face:	56.36043121992154	🙂
36	:rainbow_flag:	56.36043121992154	🏳️‍🌈
35	:OK_hand:	54.79486368603482	👌
35	:sparkling_heart:	54.79486368603482	💖
35	:face_with_steam_from_nose:	54.79486368603482	😤
35	:Santa_Claus:	54.79486368603482	🎅
34	:grinning_face_with_big_eyes:	53.229296152148116	😃
33	:exploding_head:	51.66372861826141	🤯
32	:grimacing_face:	50.098161084374695	😬
32	:relieved_face:	50.098161084374695	😌
32	:skull:	50.098161084374695	💀
31	:sunflower:	48.53259355048799	🌻
30	:upside-down_face:	46.96702601660128	🙃
30	:high_voltage:	46.96702601660128	⚡
30	:dove:	46.96702601660128	🕊️
30	:alien:	46.96702601660128	👽
30	:smiling_face_with_open_hands:	46.96702601660128	🤗
29	:smiling_face_with_tear:	45.40145848271457	🥲
29	:zany_face:	45.40145848271457	🤪
29	:backhand_index_pointing_right:	45.40145848271457	👉
28	:broken_heart:	43.83589094882786	💔
28	:collision:	43.83589094882786	💥
28	:angry_face:	43.83589094882786	😠
28	:clown_face:	43.83589094882786	🤡
28	:star:	43.83589094882786	⭐
28	:gem_stone:	43.83589094882786	💎
28	:green_circle:	43.83589094882786	🟢
27	:raising_hands:	42.27032341494115	🙌
27	:stop_sign:	42.27032341494115	🛑
26	:prohibited:	40.70475588105444	🚫
26	:handshake:	40.70475588105444	🤝
26	:wrapped_gift:	40.70475588105444	🎁
26	:globe_showing_Asia-Australia:	40.70475588105444	🌏
25	:dizzy:	39.13918834716773	💫
25	:musical_notes:	39.13918834716773	🎶
25	:frowning_face:	39.13918834716773	☹️
24	:man_shrugging:	37.573620813281025	🤷‍♂️
24	:tired_face:	37.573620813281025	😫
