FREQ	WORD	FPM
18374	the	28765.737867634398
15341	you	24017.371537356008
14877	to	23290.948201632575
12870	i	20148.854161121948
11043	a	17288.56227671093
10853	in	16991.104445272456
10532	and	16488.557266894823
9468	of	14822.793410839364
8702	it	13623.568679882144
8459	is	13243.135769147673
6541	coke	10240.377239152966
6338	your	9922.567029773963
5499	for	8609.055868843014
5417	this	8480.679331064304
5163	russia	8083.02517745708
5052	cola	7909.247181195656
4730	with	7405.134435284135
4728	's	7402.003300216362
4659	do	7293.979140378178
4591	are	7187.520548073882
4543	coca	7112.37330644732
4499	stop	7043.488334956305
4089	on	6401.605646062754
4064	that	6362.466457715586
3771	n't	5903.75517028678
3544	not	5548.371340094498
3499	support	5477.920801069596
3464	my	5423.125937383561
3053	have	4779.677680956123
2996	be	4690.440331524581
2906	ukraine	4549.539253474777
2623	back	4106.483641384839
2614	please	4092.393533579858
2575	like	4031.3363997582765
2532	can	3964.016995801148
2527	will	3956.1891581317145
2454	all	3841.9027281579847
2378	russian	3722.919595582595
2328	me	3644.641218888259
2224	what	3481.8221953640414
2150	we	3365.970197856425
2122	out	3322.134306907597
2082	but	3259.511605552129
1976	from	3093.5614469601373
1867	no	2922.914585766486
1847	so	2891.603235088752
1815	bring	2841.5050740043775
1801	people	2819.5871285299636
1800	why	2818.021560996077
1796	zero	2811.7592908605297
1753	they	2744.439886903401
1696	now	2655.2025374718587
1689	just	2644.243564734652
1672	drink	2617.628916658578
1630	as	2551.875080235336
1624	get	2542.481675032016
1610	products	2520.563729557602
1607	or	2515.8670269559416
1605	one	2512.735891888168
1604	if	2511.1703243542815
1479	was	2315.474382618443
1459	new	2284.1630319407086
1409	more	2205.8846552463733
1371	war	2146.3930889586786
1339	still	2096.2949278743035
1330	at	2082.2048200693234
1328	business	2079.07368500155
1315	when	2058.721307061023
1311	'm	2052.4590369254756
1270	economy	1988.2707680361207
1256	#boycottcocacola	1966.352822561707
1255	how	1964.78725502782
1230	about	1925.6480666806524
1223	investing	1914.6890939434454
1199	make	1877.1154731301644
1195	world	1870.8532029946175
1178	murder	1844.2385549185435
1176	made	1841.1074198507702
1165	has	1823.8861769780162
1157	by	1811.3616367069226
1157	up	1811.3616367069226
1157	their	1811.3616367069226
1056	taste	1653.239315784365
1044	company	1634.4525053777245
1036	love	1621.9279651066308
1014	an	1587.4854793611232
1013	who	1585.9199118272365
1007	would	1576.5265066239162
1000	buy	1565.5675338867093
990	tell	1549.9118585478423
974	want	1524.8627780056547
973	time	1523.297210471768
966	supporting	1512.338237734561
948	need	1484.1580221246004
944	should	1477.8957519890535
925	money	1448.149968845206
920	good	1440.3221311757725
915	there	1432.494293506339
887	#cocacola	1388.6584025575112
885	know	1385.5272674897376
866	any	1355.7814843458902
865	our	1354.2159168120036
857	only	1341.69137654091
848	pepsi	1327.6012687359294
848	go	1327.6012687359294
838	did	1311.9455933970623
838	selling	1311.9455933970623
835	doing	1307.2488907954023
828	bottle	1296.2899180581953
816	shame	1277.5031076515547
797	them	1247.7573245077074
797	de	1247.7573245077074
796	sugar	1246.1917569738205
791	product	1238.363919304387
788	right	1233.6672167027268
775	again	1213.3148387621998
774	never	1211.7492712283129
771	bottles	1207.0525686266528
766	does	1199.2247309572192
766	thank	1199.2247309572192
761	help	1191.3968932877858
752	putin	1177.3067854828055
747	're	1169.4789478133719
744	#bringbacktab	1164.7822452117116
737	better	1153.8232724745046
730	bot	1142.8642997372979
727	been	1138.1675971356376
722	us	1130.339759466204
716	plastic	1120.946354262884
715	ca	1119.3807867289972
711	ukrainian	1113.1185165934503
707	going	1106.8562464579034
705	flavor	1103.72511139013
700	some	1095.8972737206966
695	starlight	1088.069436051263
689	am	1078.6760308479427
684	boycott	1070.848193178509
681	really	1066.151490576849
680	blood	1064.5859230429623
679	white	1063.0203555090757
661	than	1034.8401398991148
647	over	1012.9221944247009
641	tastes	1003.5287892213806
633	its	991.004248950287
629	see	984.7419788147402
627	soda	981.6108437469667
623	've	975.3485736114199
618	where	967.5207359419863
617	because	965.9551684080997
615	free	962.8240333403262
611	too	956.5617632047794
610	think	954.9961956708927
598	diet	936.2093852642521
597	these	934.6438177303654
593	guys	928.3815475948186
586	drinking	917.4225748576116
583	here	912.7258722559515
571	find	893.939061849311
561	country	878.2833865104438
560	children	876.7178189765572
556	ever	870.4555488410103
547	thing	856.36544103603
538	until	842.2753332310496
523	real	818.7918202227489
508	take	795.3083072144483
507	much	793.7427396805616
505	had	790.6116046127881
505	year	790.6116046127881
501	cocacola	784.3493344772413
495	thanks	774.9559292739211
494	woke	773.3903617400343
492	killing	770.259226672261
491	being	768.6936591383743
480	even	751.4724162656205
479	market	749.9068487317337
475	very	743.6445785961869
471	best	737.38230846064
469	got	734.2511733928667
466	day	729.5544707912065
466	keep	729.5544707912065
464	fuck	726.4233357234331
464	sponsor	726.4233357234331
464	brand	726.4233357234331
460	water	720.1610655878862
459	la	718.5954980539996
456	give	713.8987954523394
443	cans	693.5464175118123
440	vanilla	688.8497149101521
433	against	677.8907421729451
430	put	673.194039571285
429	use	671.6284720373983
429	let	671.6284720373983
426	making	666.9317694357381
426	could	666.9317694357381
425	'll	665.3662019018515
424	every	663.8006343679647
421	y	659.1039317663046
420	standwithukraine️	657.5383642324178
417	less	652.8416616307578
416	hey	651.276094096871
414	while	648.1449590290977
408	u	638.7515538257774
408	which	638.7515538257774
408	drinks	638.7515538257774
408	buying	638.7515538257774
407	today	637.1859862918907
406	way	635.620418758004
399	cherry	624.661446020797
399	years	624.661446020797
395	2	618.3991758852502
394	life	616.8336083513634
393	after	615.2680408174767
393	other	615.2680408174767
391	off	612.1369057497034
382	great	598.0467979447229
382	civilians	598.0467979447229
381	he	596.4812304108362
379	leave	593.3500953430628
379	last	593.3500953430628
374	since	585.5222576736293
374	twitter	585.5222576736293
373	old	583.9566901397426
372	say	582.3911226058558
370	y'	579.2599875380824
368	que	576.128852470309
367	also	574.5632849364223
366	come	572.9977174025356
360	change	563.6043121992153
357	genocide	558.9076095975552
356	something	557.3420420636685
353	try	552.6453394620083
352	sell	551.0797719281217
349	into	546.3830693264615
346	'd	541.6863667248014
343	wo	536.9896641231413
339	then	530.7273939875945
339	work	530.7273939875945
338	those	529.1618264537077
336	bad	526.0306913859343
331	look	518.2028537165007
328	same	513.5061511148407
328	companies	513.5061511148407
327	lives	511.94058358095396
326	continue	510.3750160470672
325	hi	508.80944851318054
324	nft	507.2438809792938
321	many	502.54717837763366
320	pull	500.981610843747
318	always	497.85047577597356
317	en	496.28490824208683
312	sponsoring	488.45707057265327
310	well	485.32593550487985
309	first	483.7603679709932
309	working	483.7603679709932
307	supports	480.62923290321976
303	innocent	474.36696276767293
302	hands	472.8013952337862
302	long	472.8013952337862
297	na	464.97355756435263
295	before	461.8424224965792
294	were	460.27685496269254
294	check	460.27685496269254
293	hope	458.7112874288058
291	family	455.5801523610324
289	away	452.449017293259
288	shit	450.8834497593723
287	christmas	449.31788222548556
286	_	447.7523146915988
282	done	441.490044556052
277	sure	433.6622068866185
274	#ukraine	428.96550428495834
273	anymore	427.3999367510716
273	down	427.3999367510716
272	ad	425.8343692171849
272	magic	425.8343692171849
272	another	425.8343692171849
271	hyper	424.2688016832982
269	profits	421.1376666155248
267	#standwithukraine	418.00653154775136
265	big	414.87539647997795
264	#stopputinnow	413.3098289460913
262	bought	410.1786938783178
260	care	407.0475588105444
259	1	405.4819912766577
257	12	402.3508562088843
256	el	400.78528867499756
254	already	397.65415360722415
254	dream	397.65415360722415
253	side	396.08858607333747
253	nothing	396.08858607333747
253	disgusting	396.08858607333747
252	store	394.52301853945073
251	happy	392.95745100556405
250	stand	391.3918834716773
249	nt	389.8263159377906
249	trying	389.8263159377906
248	his	388.2607484039039
247	pack	386.69518087001717
245	#russia	383.56404580224375
245	caffeine	383.56404580224375
244	coffee	381.9984782683571
244	true	381.9984782683571
242	profit	378.86734320058366
242	everyone	378.86734320058366
241	tried	377.3017756666969
240	needs	375.73620813281025
240	sales	375.73620813281025
239	sprite	374.1706405989235
239	start	374.1706405989235
237	without	371.0395055311501
237	stores	371.0395055311501
237	ukrainians	371.0395055311501
235	getting	367.9083704633767
235	favorite	367.9083704633767
234	yet	366.34280292948995
233	operations	364.77723539560327
232	wrong	363.21166786171653
231	#cocacolabanrussia	361.64610032782986
230	3	360.0805327939431
230	cocaine	360.0805327939431
229	thirst	358.51496526005644
229	original	358.51496526005644
228	team	356.9493977261697
227	fanta	355.383830192283
225	amazing	352.2526951245096
225	end	352.2526951245096
224	glass	350.6871275906229
224	human	350.6871275906229
223	kill	349.12156005673614
220	aggressor	344.42485745507605
218	most	341.29372238730264
218	through	341.29372238730264
217	show	339.7281548534159
217	quench	339.7281548534159
214	open	335.0314522517558
214	available	335.0314522517558
213	man	333.4658847178691
213	thought	333.4658847178691
213	game	333.4658847178691
209	found	327.20361458232225
208	coming	325.6380470484355
208	must	325.6380470484355
207	m	324.07247951454883
207	regular	324.07247951454883
207	russians	324.07247951454883
207	nice	324.07247951454883
206	share	322.5069119806621
205	next	320.9413444467754
205	boycotting	320.9413444467754
204	space	319.3757769128887
203	she	317.810209379002
202	her	316.24464184511527
202	customer	316.24464184511527
200	anything	313.11350677734185
199	commercial	311.5479392434551
199	using	311.5479392434551
197	longer	308.4168041756817
197	customers	308.4168041756817
197	#stoprussia	308.4168041756817
197	advertising	308.4168041756817
196	gon	306.851236641795
195	different	305.2856691079083
194	flat	303.7201015740216
192	hate	300.5889665062482
191	cold	299.02339897236146
191	single	299.02339897236146
191	pay	299.02339897236146
190	maybe	297.4578314384748
189	him	295.89226390458805
189	full	295.89226390458805
189	trading	295.89226390458805
189	used	295.89226390458805
188	enough	294.32669637070137
188	idea	294.32669637070137
187	name	292.76112883681463
187	chance	292.76112883681463
184	call	288.0644262351545
184	pls	288.0644262351545
184	limited	288.0644262351545
184	fan	288.0644262351545
184	crimes	288.0644262351545
183	send	286.4988587012678
183	terrorists	286.4988587012678
182	anywhere	284.93329116738107
182	remember	284.93329116738107
182	stopped	284.93329116738107
182	terrorism	284.93329116738107
182	#unsubscribe	284.93329116738107
181	yes	283.3677236334944
181	around	283.3677236334944
180	flavored	281.80215609960766
180	feel	281.80215609960766
179	two	280.236588565721
178	marketing	278.67102103183424
178	wtf	278.67102103183424
178	having	278.67102103183424
178	dreamworld	278.67102103183424
177	lot	277.10545349794756
177	ok	277.10545349794756
176	actually	275.53988596406083
176	terrorist	275.53988596406083
175	women	273.97431843017415
175	history	273.97431843017415
174	stuff	272.4087508962874
174	flavors	272.4087508962874
174	#coke	272.4087508962874
174	china	272.4087508962874
172	miss	269.277615828514
171	live	267.71204829462727
171	red	267.71204829462727
171	fridge	267.71204829462727
171	video	267.71204829462727
170	con	266.1464807607406
170	may	266.1464807607406
170	black	266.1464807607406
169	hard	264.58091322685385
169	problem	264.58091322685385
168	guess	263.0153456929672
168	operating	263.0153456929672
168	instead	263.0153456929672
167	lol	261.44977815908044
167	small	261.44977815908044
167	#stoprussianaggression	261.44977815908044
166	said	259.88421062519376
166	sold	259.88421062519376
165	un	258.318643091307
165	hell	258.318643091307
165	brands	258.318643091307
164	sorry	256.75307555742035
164	stay	256.75307555742035
164	cinnamon	256.75307555742035
163	orange	255.1875080235336
163	looking	255.1875080235336
163	american	255.1875080235336
162	days	253.6219404896469
162	stock	253.6219404896469
162	georgia	253.6219404896469
162	part	253.6219404896469
162	price	253.6219404896469
161	sip	252.0563729557602
161	racist	252.0563729557602
160	edition	250.4908054218735
160	read	250.4908054218735
158	makes	247.35967035410007
158	looks	247.35967035410007
158	formula	247.35967035410007
157	tab	245.79410282021337
157	5	245.79410282021337
157	follow	245.79410282021337
157	ur	245.79410282021337
155	cool	242.66296775243993
153	whole	239.5318326846665
152	waiting	237.9662651507798
152	someone	237.9662651507798
151	4	236.4006976168931
151	2022	236.4006976168931
150	hello	234.8351300830064
150	invasion	234.8351300830064
150	aggression	234.8351300830064
149	ask	233.26956254911968
149	enjoy	233.26956254911968
149	10	233.26956254911968
148	case	231.70399501523298
147	save	230.13842748134627
146	order	228.57285994745956
146	huge	228.57285994745956
146	india	228.57285994745956
146	win	228.57285994745956
145	oh	227.00729241357286
145	es	227.00729241357286
145	little	227.00729241357286
145	delicious	227.00729241357286
145	#boycottcoke	227.00729241357286
144	else	225.44172487968615
143	worst	223.8761573457994
143	such	223.8761573457994
143	job	223.8761573457994
143	dying	223.8761573457994
143	state	223.8761573457994
143	elon	223.8761573457994
142	lost	222.3105898119127
142	own	222.3105898119127
142	dear	222.3105898119127
142	move	222.3105898119127
142	recipe	222.3105898119127
141	se	220.745022278026
141	once	220.745022278026
141	important	220.745022278026
140	sad	219.1794547441393
140	death	219.1794547441393
140	both	219.1794547441393
138	sweet	216.04831967636588
138	hear	216.04831967636588
138	mean	216.04831967636588
138	rights	216.04831967636588
137	yourself	214.48275214247917
137	gift	214.48275214247917
137	terrible	214.48275214247917
136	version	212.91718460859246
136	supply	212.91718460859246
136	fucking	212.91718460859246
135	nfts	211.35161707470576
135	left	211.35161707470576
135	hand	211.35161707470576
135	top	211.35161707470576
134	together	209.78604954081905
134	decision	209.78604954081905
134	kind	209.78604954081905
134	others	209.78604954081905
134	#nft	209.78604954081905
133	por	208.22048200693234
132	anyone	206.65491447304564
132	perfect	206.65491447304564
131	sucks	205.0893469391589
131	months	205.0893469391589
131	regime	205.0893469391589
131	cooperating	205.0893469391589
131	nazi	205.0893469391589
130	employees	203.5237794052722
130	ads	203.5237794052722
130	bombing	203.5237794052722
130	taking	203.5237794052722
130	person	203.5237794052722
130	financing	203.5237794052722
129	number	201.9582118713855
129	peace	201.9582118713855
128	uk	200.39264433749878
128	called	200.39264433749878
128	20	200.39264433749878
128	6	200.39264433749878
128	una	200.39264433749878
128	100	200.39264433749878
128	santa	200.39264433749878
128	went	200.39264433749878
128	cup	200.39264433749878
128	#stopputin	200.39264433749878
127	soft	198.82707680361207
127	least	198.82707680361207
127	might	198.82707680361207
127	friends	198.82707680361207
127	packaging	198.82707680361207
127	decided	198.82707680361207
127	#plasticpollution	198.82707680361207
126	high	197.26150926972537
126	few	197.26150926972537
126	inu	197.26150926972537
125	says	195.69594173583866
125	broke	195.69594173583866
124	link	194.13037420195195
124	putting	194.13037420195195
124	humanity	194.13037420195195
124	able	194.13037420195195
123	syrup	192.56480666806524
123	s	192.56480666806524
123	machine	192.56480666806524
123	america	192.56480666806524
123	production	192.56480666806524
123	#cocacolacreations	192.56480666806524
122	wait	190.99923913417854
122	#ukrainerussianwar	190.99923913417854
122	home	190.99923913417854
122	literally	190.99923913417854
122	kids	190.99923913417854
122	service	190.99923913417854
121	area	189.43367160029183
121	die	189.43367160029183
121	seen	189.43367160029183
121	cities	189.43367160029183
121	#realmagic	189.43367160029183
120	purchase	187.86810406640512
120	poison	187.86810406640512
120	explain	187.86810406640512
120	killed	187.86810406640512
120	reason	187.86810406640512
120	release	187.86810406640512
120	awful	187.86810406640512
120	ago	187.86810406640512
119	soon	186.30253653251842
119	#boycottrussia	186.30253653251842
119	bloody	186.30253653251842
118	pretty	184.73696899863168
118	ice	184.73696899863168
118	continuing	184.73696899863168
118	speech	184.73696899863168
117	local	183.17140146474497
117	community	183.17140146474497
116	los	181.60583393085827
116	oz	181.60583393085827
116	deal	181.60583393085827
116	metaverse	181.60583393085827
115	para	180.04026639697156
115	pulling	180.04026639697156
115	giving	180.04026639697156
115	bear	180.04026639697156
115	atlanta	180.04026639697156
115	join	180.04026639697156
114	planet	178.47469886308485
114	everything	178.47469886308485
114	ya	178.47469886308485
113	ban	176.90913132919815
113	absolutely	176.90913132919815
113	kills	176.90913132919815
112	energy	175.34356379531144
112	immediately	175.34356379531144
112	week	175.34356379531144
111	seriously	173.77799626142473
