FREQ	WORD	FPM
11327	i	37615.483219648915
8228	the	27324.11017315011
6948	a	23073.397846748536
6719	pepper	22312.918844603257
5811	you	19297.56978806214
5680	to	18862.535948406978
5198	it	17261.87708799639
4598	dr	15269.35568499565
4202	is	13954.291559015162
4032	and	13389.743828164954
3348	my	11118.269428744114
3306	of	10978.792930534062
3210	in	10659.989506053944
3082	this	10234.918273413787
2803	for	9308.395821018445
2677	that	8889.966326388289
2449	n't	8132.808193248009
2433	's	8079.67428916799
2334	me	7750.908257672868
2167	do	7196.323133837663
2112	dr.	7013.675338562595
2083	have	6917.37013741756
1909	can	6339.538930547345
1519	on	5044.400018596866
1487	be	4938.132210436827
1478	all	4908.244389391816
1449	with	4811.939188246781
1435	your	4765.447022176763
1416	but	4702.35051108174
1398	so	4642.574868991718
1370	get	4549.590536851683
1349	love	4479.852287746658
1325	please	4400.151431626628
1316	just	4370.263610581617
1312	what	4356.980134561612
1300	not	4317.129706501597
1262	like	4190.93668431155
1259	one	4180.974077296547
1205	back	4001.6471510264805
1190	'm	3951.834115951462
1171	soda	3888.737604856439
1146	drink	3805.715879731408
1140	are	3785.790665701401
1109	was	3682.8437265463626
1081	berry	3589.859394406328
1043	we	3463.6663722162816
1031	if	3423.8159441562666
967	out	3211.280327836188
911	dark	3025.3116635561196
890	no	2955.5734144510934
875	would	2905.760379376075
849	need	2819.417785246043
845	at	2806.134309226038
814	they	2703.1873700710003
812	or	2696.545632060998
809	cream	2686.583025045994
807	make	2679.9412870359915
780	zero	2590.2778239009585
767	will	2547.1065268359425
750	diet	2490.6517537509217
747	up	2480.689146735918
739	when	2454.122194695908
736	barry	2444.159587680904
728	now	2417.5926356408945
725	how	2407.6300286258906
710	flavor	2357.816993550872
698	some	2317.9665654908576
691	find	2294.720482455849
691	bring	2294.720482455849
688	why	2284.7578754408455
674	good	2238.265709370828
666	did	2211.6987573308184
665	ca	2208.377888325817
657	as	2181.810936285807
642	got	2131.9979012107888
624	cherry	2072.222259120767
619	about	2055.6179140957606
606	more	2012.4466170307446
601	only	1995.8422720057386
600	there	1992.5214030007373
572	them	1899.537070860703
565	from	1876.2909878256942
560	sugar	1859.686642800688
553	know	1836.4405597656794
553	should	1836.4405597656794
543	free	1803.2318697156672
541	give	1796.5901317056648
537	time	1783.3066556856597
520	right	1726.8518826006389
519	day	1723.5310135956377
518	had	1720.2101445906364
515	does	1710.2475375756328
509	been	1690.3223235456255
508	best	1687.001454540624
497	has	1650.4718954856107
493	've	1637.1884194656056
487	want	1617.2632054355984
476	both	1580.7336463805848
473	never	1570.7710393655811
464	an	1540.8832183205702
452	where	1501.0327902605554
436	're	1447.8988861805358
434	go	1441.2571481705334
434	better	1441.2571481705334
432	thank	1434.6154101605307
431	he	1431.2945411555295
431	deserve	1431.2945411555295
428	sponsor	1421.3319341405258
425	still	1411.3693271255222
416	new	1381.481506080511
411	flavors	1364.877161055505
409	try	1358.2354230455026
406	any	1348.272816030499
400	23	1328.3476020004914
381	even	1265.2510909054681
378	'll	1255.2884838904645
378	buy	1255.2884838904645
377	could	1251.9676148854633
373	y'	1238.6841388654584
366	here	1215.4380558304497
365	who	1212.1171868254485
363	caffeine	1205.475448815446
362	favorite	1202.1545798104448
359	much	1192.1919727954412
352	ever	1168.9458897604325
351	am	1165.6250207554313
349	because	1158.9832827454288
345	really	1145.699806725424
345	2	1145.699806725424
342	too	1135.7371997104203
341	taste	1132.4163307054189
336	cans	1115.8119856804128
335	drinking	1112.4911166754116
334	guys	1109.1702476704104
332	going	1102.528509660408
327	always	1085.924164635402
325	stores	1079.2824266253992
322	think	1069.3198196103956
321	pack	1065.9989506053944
318	vanilla	1056.0363435903907
307	every	1019.5067845353772
307	lol	1019.5067845353772
305	great	1012.8650465253747
305	dp	1012.8650465253747
301	thing	999.5815705053699
300	see	996.2607015003687
299	then	992.9398324953673
298	way	989.6189634903661
298	u	989.6189634903661
297	yes	986.2980944853649
297	thanks	986.2980944853649
294	chocolate	976.3354874703613
290	#drpepper	963.0520114503563
287	send	953.0894044353527
282	people	936.4850594103465
281	by	933.1641904053453
276	12	916.5598453803391
273	come	906.5972383653354
272	these	903.2763693603342
269	name	893.3137623453305
266	us	883.3511553303268
265	very	880.0302863253256
261	than	866.7468103053207
258	'd	856.784203290317
258	water	856.784203290317
255	pop	846.8215962753134
250	today	830.2172512503072
243	help	806.9711682152986
242	life	803.6502992102974
240	follow	797.0085612002949
240	say	797.0085612002949
237	keep	787.0459541852912
231	man	767.1207401552838
230	real	763.7998711502826
229	other	760.4790021452814
228	again	757.1581331402801
224	years	743.8746571202753
224	fridge	743.8746571202753
223	over	740.553788115274
223	already	740.553788115274
222	since	737.2329191102727
221	let	733.9120501052715
219	made	727.2703120952691
218	coke	723.9494430902679
217	stop	720.6285740852667
216	take	717.3077050802654
216	money	717.3077050802654
215	also	713.9868360752641
214	hey	710.6659670702629
212	last	704.0242290602605
210	well	697.3824910502581
209	sweet	694.0616220452569
209	off	694.0616220452569
208	deserves	690.7407530402555
207	doctor	687.4198840352543
206	points	684.0990150302531
206	anywhere	684.0990150302531
205	berries	680.7781460252519
204	fan	677.4572770202507
204	first	677.4572770202507
202	him	670.8155390102482
201	year	667.4946700052469
201	put	667.4946700052469
199	his	660.8529319952445
196	nt	650.8903249802408
194	football	644.2485869702384
194	after	644.2485869702384
193	10	640.9277179652371
192	making	637.6068489602359
192	their	637.6068489602359
191	m	634.2859799552347
190	fansville	630.9651109502335
189	our	627.6442419452322
188	she	624.323372940231
186	something	617.6816349302286
186	100k	617.6816349302286
185	those	614.3607659252273
183	sure	607.7190279152248
181	bad	601.0772899052224
181	another	601.0772899052224
180	bottles	597.7564209002212
179	available	594.43555189522
175	gon	581.152075875215
174	world	577.8312068702138
173	bottle	574.5103378652126
173	shit	574.5103378652126
173	getting	574.5103378652126
173	most	574.5103378652126
172	little	571.1894688602114
172	na	571.1894688602114
171	tell	567.8685998552102
171	before	567.8685998552102
171	into	567.8685998552102
168	store	557.9059928402064
168	bought	557.9059928402064
168	regular	557.9059928402064
168	wait	557.9059928402064
168	its	557.9059928402064
167	being	554.5851238352052
166	oh	551.264254830204
165	commercials	547.9433858252028
163	two	541.3016478152002
162	actually	537.980778810199
162	look	537.980778810199
161	1	534.6599098051978
161	product	534.6599098051978
161	drinks	534.6599098051978
160	needs	531.3390408001966
159	3	528.0181717951954
159	larry	528.0181717951954
156	hard	518.0555647801917
156	many	518.0555647801917
156	literally	518.0555647801917
156	check	518.0555647801917
156	leave	518.0555647801917
154	float	511.41382677018925
154	order	511.41382677018925
153	5	508.092957765188
153	guy	508.092957765188
153	tie	508.092957765188
152	tweet	504.77208876018676
152	found	504.77208876018676
152	commercial	504.77208876018676
151	true	501.45121975518555
151	win	501.45121975518555
150	were	498.13035075018433
150	strawberries	498.13035075018433
149	mean	494.80948174518306
148	game	491.48861274018185
147	big	488.16774373518064
147	down	488.16774373518064
146	work	484.84687473017937
146	amazing	484.84687473017937
145	nice	481.52600572517815
144	tastes	478.20513672017694
143	girl	474.8842677151757
142	wish	471.56339871017445
142	version	471.56339871017445
141	her	468.24252970517324
141	ad	468.24252970517324
140	hope	464.921660700172
140	stuff	464.921660700172
140	permanent	464.921660700172
139	while	461.6007916951708
139	long	461.6007916951708
139	done	461.6007916951708
138	enough	458.27992269016954
138	having	458.27992269016954
138	case	458.27992269016954
138	dr.pepper	458.27992269016954
138	tuition	458.27992269016954
138	pibb	458.27992269016954
136	pepsi	451.6381846801671
136	beer	451.6381846801671
134	someone	444.99644667016463
134	anything	444.99644667016463
134	everyone	444.99644667016463
134	same	444.99644667016463
134	hi	444.99644667016463
133	thought	441.6755776651634
133	throw	441.6755776651634
132	24	438.3547086601622
132	around	438.3547086601622
131	trying	435.033839655161
130	next	431.7129706501597
130	fuck	431.7129706501597
129	though	428.3921016451585
129	y	428.3921016451585
128	texas	425.0712326401573
126	challenge	418.4294946301548
125	said	415.1086256251536
125	coming	415.1086256251536
125	sorry	415.1086256251536
124	few	411.7877566201524
123	doing	408.4668876151511
123	least	408.4668876151511
123	seen	408.4668876151511
123	stock	408.4668876151511
122	change	405.1460186101499
122	pay	405.1460186101499
122	root	405.1460186101499
121	4	401.8251496051487
120	live	398.50428060014747
120	100	398.50428060014747
118	yet	391.862542590145
118	wo	391.862542590145
117	ta	388.54167358514377
117	cold	388.54167358514377
117	mini	388.54167358514377
116	miss	385.22080458014256
116	old	385.22080458014256
116	birthday	385.22080458014256
116	tried	385.22080458014256
115	open	381.8999355751413
114	ask	378.57906657014007
114	away	378.57906657014007
113	yeah	375.25819756513886
113	looking	375.25819756513886
112	y'all	371.93732856013764
112	twitter	371.93732856013764
112	original	371.93732856013764
111	red	368.6164595551364
111	without	368.6164595551364
111	waiting	368.6164595551364
111	maybe	368.6164595551364
111	nothing	368.6164595551364
111	limited	368.6164595551364
110	brand	365.29559055013516
109	full	361.97472154513395
109	supply	361.97472154513395
108	sell	358.6538525401327
108	drpepper	358.6538525401327
107	god	355.33298353513146
107	6	355.33298353513146
107	ok	355.33298353513146
106	happy	352.01211453013025
106	pls	352.01211453013025
106	culpepper	352.01211453013025
106	different	352.01211453013025
106	ago	352.01211453013025
106	days	352.01211453013025
106	girls	352.01211453013025
105	lil	348.69124552512903
105	flavored	348.69124552512903
105	feel	348.69124552512903
105	s	348.69124552512903
105	hell	348.69124552512903
104	flat	345.37037652012776
104	delicious	345.37037652012776
104	instead	345.37037652012776
104	perks	345.37037652012776
103	packs	342.04950751512655
103	looks	342.04950751512655
103	area	342.04950751512655
103	ice	342.04950751512655
102	cool	338.72863851012534
102	makes	338.72863851012534
101	strawberry	335.4077695051241
101	which	335.4077695051241
101	20	335.4077695051241
101	peppers	335.4077695051241
99	blue	328.76603149512164
98	might	325.4451624901204
98	college	325.4451624901204
98	cola	325.4451624901204
98	damn	325.4451624901204
97	things	322.1242934851192
