FREQ	WORD	FPM	EXTRA
19671	:purple_heart:	3554.8293253631136	💜
11690	:rocket:	2112.5491745968584	🚀
11384	:face_with_tears_of_joy:	2057.2506247742203	😂
11055	:loudly_crying_face:	1997.795648004129	😭
10940	:fire:	1977.0135132668631	🔥
7010	:rolling_on_the_floor_laughing:	1266.8066478976882	🤣
6219	:red_heart:	1123.86170374832	❤️
3976	:eyes:	718.5197192640811	👀
3964	:hamburger:	716.3511486828012	🍔
3846	:smiling_face_with_heart-eyes:	695.0268713002152	😍
3471	:french_fries:	627.2590406352177	🍟
3452	:face_vomiting:	623.8254705481911	🤮
3302	:gem_stone:	596.7183382821921	💎
3273	:pleading_face:	591.477626044099	🥺
2791	:enraged_face:	504.3733743626887	😡
2656	:folded_hands:	479.9769553232896	🙏
2301	:hundred_points:	415.82340896042524	💯
2281	:thinking_face:	412.209124658292	🤔
2258	:weary_face:	408.0526977108388	😩
2097	:pinching_hand:	378.95770907866654	🤏
1912	:face_with_rolling_eyes:	345.5255792839344	🙄
1819	:face_savoring_food:	328.71915727901495	😋
1732	:nauseated_face:	312.9970205647355	🤢
1716	:smiling_face_with_hearts:	310.105593123029	🥰
1679	:skull:	303.4191671640825	💀
1538	:check_mark_button:	277.93846283404343	✅
1484	:face_with_symbols_on_mouth:	268.1798952182838	🤬
1442	:Ukraine:	260.58989818380405	🇺🇦
1417	:drooling_face:	256.0720428061376	🤤
1403	:beaming_face_with_smiling_eyes:	253.54204379464431	😁
1364	:grinning_face_with_sweat:	246.49418940548458	😅
1362	:smiling_face_with_sunglasses:	246.13276097527125	😎
1291	:collision:	233.30205170269838	💥
1262	:thumbs_up:	228.06133946460523	👍
1236	:unamused_face:	223.36276987183206	😒
1144	:winking_face:	206.73706208201932	😉
1087	:pensive_face:	196.43635182093968	😔
1062	:clown_face:	191.91849644327317	🤡
1058	:star-struck:	191.19563958284652	🤩
1037	:face_with_steam_from_nose:	187.40064106560666	😤
1033	:flexed_biceps:	186.67778420518002	💪
1022	:handshake:	184.68992783900677	🤝
982	:sparkles:	177.46135923474034	✨
981	:money_with_wings:	177.2806450196337	💸
968	:smiling_face_with_smiling_eyes:	174.9313602232471	😊
961	:money_bag:	173.66636071750048	💰
937	:dog:	169.32921955494064	🐕
893	:flushed_face:	161.3777940902476	😳
872	:crying_face:	157.58279557300773	😢
859	:clapping_hands:	155.23351077662116	👏
844	:face_with_raised_eyebrow:	152.52279755002124	🤨
810	:face_blowing_a_kiss:	146.3785142363948	😘
799	:grinning_squinting_face:	144.39065787022153	😆
773	:bird:	139.69208827744836	🐦
758	:broken_heart:	136.98137505084847	💔
754	:backhand_index_pointing_down:	136.25851819042182	👇
751	:money-mouth_face:	135.71637554510184	🤑
724	:dog_face:	130.837091737222	🐶
723	:tired_face:	130.65637752211535	😫
721	:smiling_face_with_tear:	130.29494909190203	🥲
709	:smirking_face:	128.12637851062212	😏
685	:crown:	123.78923734806226	👑
656	:speaking_head:	118.54852510996912	🗣️
646	:heart_suit:	116.74138295890252	♥️
575	:dizzy:	103.91067368632964	💫
573	:smiling_face_with_horns:	103.54924525611632	😈
568	:neutral_face:	102.64567418058301	😐
560	:high_voltage:	101.19996045972974	⚡
552	:partying_face:	99.75424673887645	🥳
551	:slightly_smiling_face:	99.5735325237698	🙂
545	:green_heart:	98.48924723312983	💚
543	:blue_heart:	98.12781880291651	💙
543	:cloud:	98.12781880291651	☁️
542	:expressionless_face:	97.94710458780985	😑
529	:upside-down_face:	95.59781979142326	🙃
521	:link:	94.15210607056999	🔗
518	:disappointed_face:	93.60996342525	😞
517	:folded_hands_light_skin_tone:	93.42924921014334	🙏🏻
505	:grinning_face_with_big_eyes:	91.26067862886342	😃
504	:frowning_face:	91.07996441375676	☹️
504	:police_car_light:	91.07996441375676	🚨
503	:bagel:	90.8992501986501	🥯
501	:relieved_face:	90.53782176843679	😌
498	:OK_hand:	89.9956791231168	👌
497	:woozy_face:	89.81496490801014	🥴
497	:face_screaming_in_fear:	89.81496490801014	😱
493	:two_hearts:	89.0921080475835	💕
482	:folded_hands_medium-light_skin_tone:	87.10425168141023	🙏🏼
479	:exploding_head:	86.56210903609025	🤯
473	:thumbs_down:	85.4778237454503	👎
