FREQ	WORD	FPM	EXTRA
8017	:backhand_index_pointing_down:	8953.95031490162	👇
7111	:eyes:	7942.065696553002	👀
4476	:blue_heart:	4999.1120880004555	💙
4431	:fire:	4948.852918214929	🔥
1753	:exploding_head:	1957.8738807562106	🤯
1744	:smirking_face:	1947.8220467991052	😏
1725	:broken_heart:	1926.6015084452158	💔
1336	:musical_notes:	1492.1389074103238	🎶
760	:raising_hands:	848.8215341555733	🙌
279	:star-struck:	311.6068526702697	🤩
259	:clapping_hands:	289.269443876702	👏
208	:hundred_points:	232.30905145310427	💯
195	:face_savoring_food:	217.78973573728527	😋
175	:smiling_face_with_sunglasses:	195.45232694371754	😎
138	:american_football:	154.12812067561725	🏈
123	:face_blowing_a_kiss:	137.3750640804415	😘
118	:winking_face:	131.79071188204955	😉
105	:smiling_face_with_heart-eyes:	117.27139616623053	😍
82	:cherries:	91.58337605362765	🍒
76	:rocket:	84.88215341555734	🚀
70	:glowing_star:	78.18093077748702	🌟
64	:sparkles:	71.4797081394167	✨
55	:microphone:	61.42787418231123	🎤
39	:white_circle:	43.55794714745706	⚪
35	:cup_with_straw:	39.09046538874351	🥤
35	:baseball:	39.09046538874351	⚾
33	:party_popper:	36.85672450938674	🎉
32	:police_car_light:	35.73985406970835	🚨
32	:wrapped_gift:	35.73985406970835	🎁
29	:smiling_face_with_smiling_eyes:	32.38924275067319	😊
27	:check_mark:	30.15550187131642	✔️
27	:smiling_face_with_hearts:	30.15550187131642	🥰
27	:sun:	30.15550187131642	☀️
26	:waving_hand:	29.038631431638034	👋
26	:blue_circle:	29.038631431638034	🔵
25	:sign_of_the_horns:	27.92176099195965	🤘
24	:face_with_tears_of_joy:	26.804890552281265	😂
23	:partying_face:	25.688020112602878	🥳
22	:mango:	24.57114967292449	🥭
22	:heart_suit:	24.57114967292449	♥️
22	:camera_with_flash:	24.57114967292449	📸
21	:down_arrow:	23.454279233246105	⬇️
21	:trophy:	23.454279233246105	🏆
20	:confetti_ball:	22.337408793567718	🎊
18	:ice_hockey:	20.10366791421095	🏒
16	:star:	17.869927034854175	⭐
16	:black_large_square:	17.869927034854175	⬛
16	:movie_camera:	17.869927034854175	🎥
15	:crown:	16.75305659517579	👑
14	:OK_hand:	15.636186155497404	👌
13	:alarm_clock:	14.519315715819017	⏰
13	:triangular_flag:	14.519315715819017	🚩
12	:collision:	13.402445276140632	💥
12	:thumbs_up:	13.402445276140632	👍
12	:dizzy:	13.402445276140632	💫
12	:thinking_face:	13.402445276140632	🤔
12	:man_dancing:	13.402445276140632	🕺
12	:cookie:	13.402445276140632	🍪
11	:soccer_ball:	12.285574836462246	⚽
11	:speaker_high_volume:	12.285574836462246	🔊
11	:winking_face_with_tongue:	12.285574836462246	😜
11	:high_voltage:	12.285574836462246	⚡
11	:black_heart:	12.285574836462246	🖤
11	:pizza:	12.285574836462246	🍕
11	:rolling_on_the_floor_laughing:	12.285574836462246	🤣
10	:crossed_fingers:	11.168704396783859	🤞
10	:snowflake:	11.168704396783859	❄️
10	:registered:	11.168704396783859	®️
10	:pancakes:	11.168704396783859	🥞
10	:poultry_leg:	11.168704396783859	🍗
10	:cut_of_meat:	11.168704396783859	🥩
10	:fried_shrimp:	11.168704396783859	🍤
10	:glass_of_milk:	11.168704396783859	🥛
9	:folded_hands:	10.051833957105474	🙏
9	:drooling_face:	10.051833957105474	🤤
9	:smiling_cat_with_heart-eyes:	10.051833957105474	😻
8	:taco:	8.934963517427088	🌮
8	:ring:	8.934963517427088	💍
7	:flexed_biceps:	7.818093077748702	💪
7	:pinched_fingers:	7.818093077748702	🤌
7	:victory_hand:	7.818093077748702	✌️
7	:heart_hands:	7.818093077748702	🫶
6	:ice:	6.701222638070316	🧊
6	:bell:	6.701222638070316	🔔
6	:repeat_button:	6.701222638070316	🔁
6	:hot_pepper:	6.701222638070316	🌶️
6	:smiling_face_with_halo:	6.701222638070316	😇
6	:jack-o-lantern:	6.701222638070316	🎃
6	:video_camera:	6.701222638070316	📹
6	:goal_net:	6.701222638070316	🥅
6	:loudly_crying_face:	6.701222638070316	😭
6	:leafy_green:	6.701222638070316	🥬
6	:pot_of_food:	6.701222638070316	🍲
6	:writing_hand:	6.701222638070316	✍️
5	:weary_face:	5.5843521983919295	😩
5	:oncoming_fist:	5.5843521983919295	👊
5	:cold_face:	5.5843521983919295	🥶
5	:grinning_face_with_sweat:	5.5843521983919295	😅
5	:red_exclamation_mark:	5.5843521983919295	❗
4	:person_running:	4.467481758713544	🏃
4	:red_heart:	4.467481758713544	❤️
4	:airplane:	4.467481758713544	✈️
4	:goat:	4.467481758713544	🐐
4	:recycling_symbol:	4.467481758713544	♻️
4	:face_screaming_in_fear:	4.467481758713544	😱
4	:woman_dancing:	4.467481758713544	💃
4	:palm_tree:	4.467481758713544	🌴
4	:octopus:	4.467481758713544	🐙
4	:fish:	4.467481758713544	🐟
4	:fallen_leaf:	4.467481758713544	🍂
4	:chocolate_bar:	4.467481758713544	🍫
4	:high-heeled_shoe:	4.467481758713544	👠
4	:man’s_shoe:	4.467481758713544	👞
4	:yellow_heart:	4.467481758713544	💛
4	:hatching_chick:	4.467481758713544	🐣
3	:raised_hand:	3.350611319035158	✋
3	:smiling_face:	3.350611319035158	☺️
3	:person_shrugging:	3.350611319035158	🤷
3	:P_button:	3.350611319035158	🅿️
3	:astonished_face:	3.350611319035158	😲
3	:T-Rex:	3.350611319035158	🦖
3	:camera:	3.350611319035158	📷
3	:woman_tipping_hand_medium-dark_skin_tone:	3.350611319035158	💁🏾‍♀️
3	:check_mark_button:	3.350611319035158	✅
3	:woman_dancing_light_skin_tone:	3.350611319035158	💃🏻
3	:film_projector:	3.350611319035158	📽️
3	:clapper_board:	3.350611319035158	🎬
3	:smiling_face_with_tear:	3.350611319035158	🥲
3	:musical_note:	3.350611319035158	🎵
3	:flashlight:	3.350611319035158	🔦
3	:thought_balloon:	3.350611319035158	💭
3	:sports_medal:	3.350611319035158	🏅
3	:water_wave:	3.350611319035158	🌊
3	:running_shoe:	3.350611319035158	👟
3	:gem_stone:	3.350611319035158	💎
2	:smiling_face_with_open_hands:	2.233740879356772	🤗
2	:locked:	2.233740879356772	🔒
2	:snowman:	2.233740879356772	☃️
2	:thread:	2.233740879356772	🧵
2	:crystal_ball:	2.233740879356772	🔮
2	:white_large_square:	2.233740879356772	⬜
2	:flushed_face:	2.233740879356772	😳
2	:relieved_face:	2.233740879356772	😌
2	:basketball:	2.233740879356772	🏀
2	:sparkling_heart:	2.233740879356772	💖
2	:automobile:	2.233740879356772	🚗
2	:door:	2.233740879356772	🚪
2	:up_arrow:	2.233740879356772	⬆️
2	:rose:	2.233740879356772	🌹
2	:growing_heart:	2.233740879356772	💗
2	:honeybee:	2.233740879356772	🐝
2	:musical_score:	2.233740879356772	🎼
2	:man_running:	2.233740879356772	🏃‍♂️
2	:woman_running:	2.233740879356772	🏃‍♀️
2	:face_with_hand_over_mouth:	2.233740879356772	🤭
2	:man_dancing_medium_skin_tone:	2.233740879356772	🕺🏽
2	:hamburger:	2.233740879356772	🍔
2	:ghost:	2.233740879356772	👻
2	:detective:	2.233740879356772	🕵️
2	:fireworks:	2.233740879356772	🎆
2	:shushing_face:	2.233740879356772	🤫
2	:studio_microphone:	2.233740879356772	🎙️
2	:face_with_monocle:	2.233740879356772	🧐
2	:snow-capped_mountain:	2.233740879356772	🏔️
2	:dog_face:	2.233740879356772	🐶
2	:house_with_garden:	2.233740879356772	🏡
2	:man_raising_hand:	2.233740879356772	🙋‍♂️
2	:person_raising_hand_medium_skin_tone:	2.233740879356772	🙋🏽
2	:popcorn:	2.233740879356772	🍿
2	:woman’s_boot:	2.233740879356772	👢
2	:Santa_Claus:	2.233740879356772	🎅
2	:eagle:	2.233740879356772	🦅
1	:headphone:	1.116870439678386	🎧
1	:fuel_pump:	1.116870439678386	⛽
1	:folded_hands_light_skin_tone:	1.116870439678386	🙏🏻
1	:four_leaf_clover:	1.116870439678386	🍀
1	:check_box_with_check:	1.116870439678386	☑️
1	:ZZZ:	1.116870439678386	💤
1	:pleading_face:	1.116870439678386	🥺
1	:mobile_phone_with_arrow:	1.116870439678386	📲
1	:red_square:	1.116870439678386	🟥
1	:blue_square:	1.116870439678386	🟦
1	:bicycle:	1.116870439678386	🚲
1	:rabbit:	1.116870439678386	🐇
1	:raising_hands_medium-light_skin_tone:	1.116870439678386	🙌🏼
1	:sleeping_face:	1.116870439678386	😴
1	:hourglass_not_done:	1.116870439678386	⏳
1	:United_Kingdom:	1.116870439678386	🇬🇧
1	:upside-down_face:	1.116870439678386	🙃
1	:shopping_bags:	1.116870439678386	🛍️
1	:snowman_without_snow:	1.116870439678386	⛄
1	:hiking_boot:	1.116870439678386	🥾
1	:face_with_open_mouth:	1.116870439678386	😮
1	:people_hugging:	1.116870439678386	🫂
1	:heart_with_arrow:	1.116870439678386	💘
1	:barber_pole:	1.116870439678386	💈
1	:chair:	1.116870439678386	🪑
1	:stadium:	1.116870439678386	🏟️
1	:television:	1.116870439678386	📺
1	:artist_palette:	1.116870439678386	🎨
1	:umbrella_on_ground:	1.116870439678386	⛱️
1	:flamingo:	1.116870439678386	🦩
1	:cherry_blossom:	1.116870439678386	🌸
1	:teddy_bear:	1.116870439678386	🧸
1	:potted_plant:	1.116870439678386	🪴
1	:anxious_face_with_sweat:	1.116870439678386	😰
1	:heart_exclamation:	1.116870439678386	❣️
1	:deciduous_tree:	1.116870439678386	🌳
1	:kite:	1.116870439678386	🪁
1	:heart_on_fire:	1.116870439678386	❤️‍🔥
1	:globe_showing_Americas:	1.116870439678386	🌎
1	:worm:	1.116870439678386	🪱
1	:right_arrow_curving_down:	1.116870439678386	⤵️
1	:NEW_button:	1.116870439678386	🆕
1	:man_cook:	1.116870439678386	👨‍🍳
1	:right-facing_fist:	1.116870439678386	🤜
1	:cowboy_hat_face:	1.116870439678386	🤠
1	:sign_of_the_horns_medium-light_skin_tone:	1.116870439678386	🤘🏼
1	:clapping_hands_medium-light_skin_tone:	1.116870439678386	👏🏼
1	:keycap_1:	1.116870439678386	1️⃣
1	:mirror_ball:	1.116870439678386	🪩
1	:person_swimming:	1.116870439678386	🏊
1	:shark:	1.116870439678386	🦈
1	:guitar:	1.116870439678386	🎸
1	:telephone:	1.116870439678386	☎️
1	:desert_island:	1.116870439678386	🏝️
1	:night_with_stars:	1.116870439678386	🌃
1	:ferris_wheel:	1.116870439678386	🎡
1	:call_me_hand:	1.116870439678386	🤙
1	:sun_with_face:	1.116870439678386	🌞
1	:kiss_mark:	1.116870439678386	💋
1	:keycap_3:	1.116870439678386	3️⃣
1	:red_question_mark:	1.116870439678386	❓
1	:chart_increasing:	1.116870439678386	📈
1	:soft_ice_cream:	1.116870439678386	🍦
1	:shooting_star:	1.116870439678386	🌠
1	:basket:	1.116870439678386	🧺
1	:billed_cap:	1.116870439678386	🧢
1	:dolphin:	1.116870439678386	🐬
1	:dove:	1.116870439678386	🕊️
1	:man_swimming:	1.116870439678386	🏊‍♂️
1	:man_rowing_boat:	1.116870439678386	🚣‍♂️
1	:pensive_face:	1.116870439678386	😔
1	:grinning_face:	1.116870439678386	😀
1	:frowning_face:	1.116870439678386	☹️
1	:globe_showing_Europe-Africa:	1.116870439678386	🌍
1	:wind_face:	1.116870439678386	🌬️
1	:woman_raising_hand:	1.116870439678386	🙋‍♀️
1	:man_raising_hand_medium-dark_skin_tone:	1.116870439678386	🙋🏾‍♂️
1	:woman_raising_hand_light_skin_tone:	1.116870439678386	🙋🏻‍♀️
1	:birthday_cake:	1.116870439678386	🎂
1	:watermelon:	1.116870439678386	🍉
1	:skull:	1.116870439678386	💀
1	:smiling_face_with_horns:	1.116870439678386	😈
1	:tent:	1.116870439678386	⛺
1	:right_arrow:	1.116870439678386	➡️
1	:desktop_computer:	1.116870439678386	🖥️
1	:nail_polish:	1.116870439678386	💅
1	:woman’s_sandal:	1.116870439678386	👡
1	:sandwich:	1.116870439678386	🥪
1	:owl:	1.116870439678386	🦉
1	:peanuts:	1.116870439678386	🥜
1	:slightly_smiling_face:	1.116870439678386	🙂
1	:woman_tipping_hand:	1.116870439678386	💁‍♀️
1	:Christmas_tree:	1.116870439678386	🎄
1	:Mrs._Claus:	1.116870439678386	🤶
1	:saluting_face:	1.116870439678386	🫡
1	:t-shirt:	1.116870439678386	👕
1	:umbrella:	1.116870439678386	☂️
1	:avocado:	1.116870439678386	🥑
1	:kissing_face:	1.116870439678386	😗
1	:kissing_face_with_smiling_eyes:	1.116870439678386	😙
1	:backhand_index_pointing_right:	1.116870439678386	👉
1	:passenger_ship:	1.116870439678386	🛳️
1	:hushed_face:	1.116870439678386	😯
1	:mobile_phone:	1.116870439678386	📱
1	:unlocked:	1.116870439678386	🔓
1	:rabbit_face:	1.116870439678386	🐰
