FREQ	WORD	FPM
54959	to	61382.08249428441
27171	the	30346.486716501426
23049	out	25742.74676414712
22171	#takehomehalftime	24762.134518109495
21437	for	23942.35161538556
20775	#pepsihalftime	23202.983384318468
20107	see	22456.913930613307
18252	a	20385.1192650099
18222	your	20351.61315181955
16680	reply	18629.398933835477
16673	#stop	18621.580840757728
16673	opt	18621.580840757728
15416	you	17217.674698082
14890	show	16630.200846811167
14582	and	16286.204751390225
14228	#sweepstakes	15890.832615744075
13993	we	15628.368062419655
13964	zero	15595.978819668982
12648	's	14126.177321052226
12632	on	14108.307394017373
11682	it	13047.280476322905
11502	that	12846.243797180796
11045	is	12335.834006247773
9635	prizes	10761.04668630125
9448	pepsi	10552.191914081392
8822	predictions	9853.031018842721
8181	more	9137.117067008876
7847	us	8764.082340156296
7527	make	8406.683799459212
7478	before	8351.95714791497
7463	starts	8335.204091319794
7323	time	8178.84222976482
7105	right	7935.364473914932
7064	sugar	7889.572785888118
6964	free	7777.88574192028
6919	#zerodebate	7727.626572134753
6913	text	7720.925349496682
6909	terms	7716.457867737969
6909	81234	7716.457867737969
6493	tune	7251.8397648317605
6107	how	6820.727775115904
5962	in	6658.781561362537
5760	try	6433.173732547503
5694	prediction	6359.46028352873
5343	back	5967.438759201616
5282	'll	5899.309662381234
5224	real	5834.531176879888
5185	this	5790.973229732432
5173	if	5777.57078445629
4965	win	5545.261733003186
4939	chance	5516.223101571549
4906	from	5479.3663770621615
4597	day	5134.25341120154
4402	was	4916.463675464255
4184	here	4672.985919614367
4182	one	4670.752178735011
4096	keep	4574.701320922669
4059	want	4533.377114654569
4058	has	4532.26024421489
4025	below	4495.403519705504
4001	live	4468.598629153223
3999	tweet	4466.364888273865
3998	stage	4465.2480178341875
3993	arrived	4459.663665635795
3987	open	4452.962442997725
3981	again	4446.2612203596545
3976	loading	4440.676868161263
3972	remind	4436.209386402549
3972	02.13	4436.209386402549
3894	're	4349.093492107635
3503	pans	3912.397150193386
3450	acting	3853.2030168904316
3279	rules	3662.2181717054277
3260	know	3640.9976333515383
3181	follow	3552.764868616946
3168	rt	3538.2455529011268
3165	using	3534.8949415820916
3144	piano	3511.4406623488458
3143	bench	3510.323791909167
2773	be	3097.0817292281645
2725	let	3043.471948123602
2672	into	2984.2778148206476
2631	guesses	2938.4861267938336
2592	can	2894.9281796463765
2479	so	2768.7218199627187
2449	at	2735.2157067723674
2441	thanks	2726.2807432549403
2426	during	2709.527686659764
2418	watch	2700.5927231423375
2300	think	2568.8020112602876
2289	now	2556.5164364238253
2114	good	2361.064109480108
1954	what	2182.3648391315664
1871	not	2089.6645926382603
1788	being	1996.964346144954
1776	fans	1983.5619008688136
1767	check	1973.510066911708
1761	yourself	1966.8088442736378
1747	gon	1951.1726581181404
1747	na	1951.1726581181404
1737	mind	1940.0039537213565
1733	have	1935.536471962643
1729	stay	1931.0689902039294
1725	hurts	1926.6015084452158
1723	lie	1924.3677675658591
1717	tuned	1917.6665449277887
1715	change	1915.432804048432
1691	great	1888.6279134961508
1681	were	1877.459209099367
1664	after	1858.4724116248342
1654	incredible	1847.3037072280504
1651	happening	1843.9530959090152
1639	like	1830.5506506328745
1620	love	1809.3301122789853
1569	could	1752.3697198553875
1547	our	1727.7985701824632
1526	might	1704.344290949217
1423	play	1589.3066356623433
1415	picks	1580.3716721449161
1382	've	1543.5149476355293
1342	experience	1498.840130048394
1323	answer	1477.6195916945046
1322	track	1476.5027212548264
1316	alright	1469.801498616756
1315	locked	1468.6846281770777
1267	classic	1415.074847072515
1222	all	1364.8156772869877
1149	just	1283.2841351904656
1116	pick	1246.4274106810788
1111	plays	1240.8430584826867
1107	true	1236.3755767239734
1087	guess	1214.0381679304055
1058	always	1181.6489251797325
1045	better	1167.1296094639133
1034	something	1154.844034627451
1025	than	1144.7922006703457
1025	onto	1144.7922006703457
1023	two	1142.5584597909888
974	music	1087.8318082467479
964	sounds	1076.663103849964
963	ears	1075.5462334102856
906	huh	1011.8846183486177
833	with	930.3530762520955
801	pretty	894.6132221823872
785	about	876.743295147533
766	seem	855.5227567936437
760	sorry	848.8215341555733
677	dm	756.1212876622673
674	but	752.7706763432321
655	whoa	731.5501379893428
652	please	728.1995266703077
647	send	722.6151744719157
626	learn	699.1608952386696
581	wait	648.9017254531423
566	of	632.1486688579664
541	tough	604.2269078660069
540	whew	603.1100374263284
516	longer	576.3051468740472
506	little	565.1364424772634
497	hi	555.0846085201579
417	move	465.73497334588694
414	stepping	462.3843620268518
414	direction	462.3843620268518
396	hear	442.28069411264084
258	are	288.1525734370236
246	new	274.750128160883
240	n't	268.0489055228126
237	near	264.6982942037775
232	go	259.1139420053855
209	available	233.42592189278267
202	products	225.60782881503397
182	get	203.27042002146624
171	no	190.984845185004
170	or	189.86797474532563
169	jam	188.75110430564723
157	ready	175.3486590295066
152	up	169.76430683111468
152	soda	169.76430683111468
150	some	167.5305659517579
145	find	161.94621375336598
143	hey	159.7124728740092
143	happy	159.7124728740092
142	teams	158.5956024343308
141	will	157.47873199465243
133	do	148.54376847722534
123	local	137.3750640804415
121	there	135.1413232010847
120	game	134.0244527614063
116	holidays	129.55697100269276
115	only	128.4401005630144
114	having	127.323230123336
114	trouble	127.323230123336
114	team	127.323230123336
113	availability	126.20635968365761
113	vary	126.20635968365761
112	solo	125.08948924397923
112	dolo	125.08948924397923
110	favorite	122.85574836462246
108	finding	120.62200748526568
108	working	120.62200748526568
107	any	119.5051370455873
106	consumers	118.38826660590891
101	product	112.80391440751698
97	share	108.33643264880344
96	locator	107.21956220912506
95	sold	106.10269176944666
94	readily	104.98582132976829
94	first	104.98582132976829
91	best	101.63521001073312
90	holiday	100.51833957105474
87	got	97.16772825201959
82	by	91.58337605362765
80	season	89.34963517427087
76	take	84.88215341555734
76	enter	84.88215341555734
75	special	83.76528297587895
74	an	82.64841253620057
71	cola	79.2978012171654
69	'd	77.06406033780863
68	while	75.94718989813025
67	when	74.83031945845187
66	week	73.71344901877347
65	ya	72.5965785790951
65	who	72.5965785790951
63	collection	70.36283769973832
62	app	69.24596726005993
62	did	69.24596726005993
62	la	69.24596726005993
61	rookie	68.12909682038155
61	nitro	68.12909682038155
60	epic	67.01222638070315
60	#pepsimicdrop	67.01222638070315
59	est	65.89535594102477
58	may	64.77848550134638
56	through	62.544744621989615
55	diligently	61.42787418231123
55	interest	61.42787418231123
55	too	61.42787418231123
55	email	61.42787418231123
54	way	60.31100374263284
54	year	60.31100374263284
54	hard	60.31100374263284
53	ca	59.194133302954455
52	_	58.07726286327607
52	shop	58.07726286327607
52	#realoracting	58.07726286327607
51	full	56.96039242359768
50	ends	55.8435219839193
50	wild	55.8435219839193
50	cherry	55.8435219839193
49	perfect	54.726651544240916
49	friend	54.726651544240916
49	their	54.726651544240916
49	every	54.726651544240916
48	been	53.60978110456253
47	wishing	52.49291066488414
47	message	52.49291066488414
46	gift	51.376040225205756
45	purch	50.25916978552737
45	contact	50.25916978552737
45	most	50.25916978552737
45	shout	50.25916978552737
45	going	50.25916978552737
44	sure	49.14229934584898
44	made	49.14229934584898
44	12/14	49.14229934584898
43	sending	48.025428906170596
42	everyone	46.90855846649221
42	al	46.90855846649221
42	page	46.90855846649221
42	thank	46.90855846649221
42	football	46.90855846649221
42	next	46.90855846649221
41	plans	45.79168802681382
41	give	45.79168802681382
41	which	45.79168802681382
41	nec	45.79168802681382
41	18	45.79168802681382
