FREQ	WORD	FPM	EXTRA
3303	:fire:	2870.0351129636438	🔥
2049	:red_heart:	1780.412336198155	❤️
1540	:blue_heart:	1338.1332346242843	💙
1300	:face_with_tears_of_joy:	1129.592990267253	😂
1063	:rocket:	923.6594989646845	🚀
1042	:smiling_face_with_heart-eyes:	905.4122275834443	😍
993	:eyes:	862.8352610272171	👀
878	:rolling_on_the_floor_laughing:	762.9097272728063	🤣
672	:loudly_crying_face:	583.9126841996878	😭
632	:face_vomiting:	549.1559768068491	🤮
585	:american_football:	508.31684562026385	🏈
511	:nauseated_face:	444.0169369435125	🤢
500	:folded_hands:	434.4588424104819	🙏
490	:clapping_hands:	425.7696655622723	👏
435	:thumbs_up:	377.9791928971193	👍
432	:hundred_points:	375.3724398426564	💯
410	:crossed_fingers:	356.2562507765952	🤞
386	:Ukraine:	335.40222634089207	🇺🇦
385	:smiling_face_with_hearts:	334.5333086560711	🥰
382	:smiling_face_with_sunglasses:	331.9265556016082	😎
381	:face_savoring_food:	331.05763791678726	😋
364	:cup_with_straw:	316.28603727483085	🥤
343	:star-struck:	298.0387658935906	🤩
333	:beaming_face_with_smiling_eyes:	289.349589045381	😁
331	:raising_hands:	287.611753675739	🙌
320	:thinking_face:	278.05365914270845	🤔
299	:party_popper:	259.8063877614682	🎉
275	:microphone:	238.95236332576505	🎤
258	:winking_face:	224.18076268380867	😉
248	:smiling_face_with_smiling_eyes:	215.49158583559904	😊
241	:heart_suit:	209.40916204185228	♥️
241	:grinning_face_with_sweat:	209.40916204185228	😅
239	:full_moon:	207.67132667221037	🌕
235	:pleading_face:	204.1956559329265	🥺
234	:check_mark_button:	203.32673824810556	✅
232	:glowing_star:	201.5889028784636	🌟
231	:partying_face:	200.71998519364266	🥳
230	:pile_of_poo:	199.8510675088217	💩
202	:musical_notes:	175.5213723338347	🎶
201	:sparkles:	174.65245464901375	✨
197	:backhand_index_pointing_right:	171.1767839097299	👉
196	:middle_finger:	170.3078662249089	🖕
193	:drooling_face:	167.70111317044604	🤤
192	:triangular_flag:	166.83219548562505	🚩
189	:grinning_face:	164.22544243116218	😀
188	:backhand_index_pointing_down:	163.3565247463412	👇
185	:thumbs_down:	160.74977169187832	👎
181	:clown_face:	157.27410095259447	🤡
180	:high_voltage:	156.40518326777348	⚡
171	:enraged_face:	148.5849241043848	😡
165	:gem_stone:	143.37141799545904	💎
165	:two_hearts:	143.37141799545904	💕
162	:grinning_squinting_face:	140.76466494099614	😆
161	:slightly_smiling_face:	139.89574725617518	🙂
159	:face_with_rolling_eyes:	138.15791188653324	🙄
146	:collision:	126.86198198386073	💥
144	:smiling_face_with_halo:	125.1241466142188	😇
141	:four_leaf_clover:	122.5173935597559	🍀
137	:studio_microphone:	119.04172282047205	🎙️
136	:pancakes:	118.17280513565109	🥞
134	:crying_face:	116.43496976600916	😢
134	:P_button:	116.43496976600916	🅿️
132	:smiling_face:	114.69713439636723	☺️
128	:weary_face:	111.22146365708338	😩
128	:OK_hand:	111.22146365708338	👌
126	:flushed_face:	109.48362828744145	😳
120	:exploding_head:	104.27012217851566	🤯
117	:black_heart:	101.66336912405278	🖤
117	:purple_heart:	101.66336912405278	💜
115	:bird:	99.92553375441085	🐦
114	:face_blowing_a_kiss:	99.05661606958988	😘
113	:cookie:	98.18769838476892	🍪
111	:pensive_face:	96.449863015127	😔
111	:cherries:	96.449863015127	🍒
109	:smiling_face_with_open_hands:	94.71202764548507	🤗
108	:flexed_biceps:	93.8431099606641	💪
108	:television:	93.8431099606641	📺
106	:smirking_face:	92.10527459102217	😏
106	:grinning_face_with_big_eyes:	92.10527459102217	😃
104	:thumbs_up_light_skin_tone:	90.36743922138024	👍🏻
103	:glass_of_milk:	89.49852153655928	🥛
99	:winking_face_with_tongue:	86.02285079727542	😜
98	:United_States:	85.15393311245445	🇺🇸
97	:Christmas_tree:	84.2850154276335	🎄
97	:victory_hand:	84.2850154276335	✌️
97	:airplane:	84.2850154276335	✈️
94	:black_large_square:	81.6782623731706	⬛
93	:wrapped_gift:	80.80934468834964	🎁
92	:face_with_symbols_on_mouth:	79.94042700352867	🤬
91	:pizza:	79.07150931870771	🍕
90	:chocolate_bar:	78.20259163388674	🍫
85	:soccer_ball:	73.85800320978193	⚽
83	:sparkling_heart:	72.12016784014	💖
82	:grinning_face_with_smiling_eyes:	71.25125015531904	😄
82	:zany_face:	71.25125015531904	🤪
81	:folded_hands_light_skin_tone:	70.38233247049807	🙏🏻
81	:green_heart:	70.38233247049807	💚
81	:goat:	70.38233247049807	🐐
78	:smiling_face_with_tear:	67.77557941603519	🥲
76	:sun:	66.03774404639326	☀️
76	:camera_with_flash:	66.03774404639326	📸
76	:star:	66.03774404639326	⭐
74	:crown:	64.29990867675133	👑
74	:police_car_light:	64.29990867675133	🚨
72	:skull:	62.5620733071094	💀
70	:white_heart:	60.82423793746747	🤍
69	:crossed_fingers_light_skin_tone:	59.95532025264651	🤞🏻
69	:handshake:	59.95532025264651	🤝
68	:unamused_face:	59.086402567825544	😒
68	:folded_hands_medium-light_skin_tone:	59.086402567825544	🙏🏼
