FREQ	WORD	FPM
14202	the	50698.43321065088
7730	to	27594.626722879264
7120	you	25417.04298407508
6256	and	22332.727655670464
5196	#subwayseriesmenu	18548.729683322206
5092	draft	18177.469504903132
4897	out	17481.356670367368
4736	a	16906.617355699378
4509	time	16096.270620111593
4335	we	15475.123783141218
4332	reply	15464.414354917591
4325	#unsubscribe	15439.42568906246
4325	opt	15439.42568906246
4189	us	14953.931609591364
3798	for	13558.13613111196
3539	pick	12633.55549447215
3161	all	11284.16753829513
3010	dm	10745.126317705897
2916	good	10409.564233365581
2867	turkey	10234.643572379671
2828	with	10095.421005472517
2781	send	9927.63996330236
2714	in	9688.462732974687
2611	please	9320.772363963488
2576	it	9195.829034687838
2511	your	8963.791423175917
2285	but	8157.014496996006
2173	ham	7757.195843313925
2162	this	7717.927939827293
2138	that	7632.252514038276
2117	club	7557.2865164728855
1834	can	6547.030454044058
1832	is	6539.890835228307
1786	cheese	6375.679602466024
1758	on	6275.7249390455045
1750	of	6247.166463782499
1670	bacon	5961.581711152441
1619	lineup	5779.52143135078
1591	will	5679.5667679302605
1533	garlic	5472.5178222734685
1506	luck	5376.132968260825
1475	avocado	5265.468876616677
1456	jaws	5197.642497867039
1422	capicola	5076.268977999264
1390	chicken	4962.035076947242
1341	so	4787.114415961332
1317	philly	4701.438990172314
1256	's	4483.6806162918965
1227	steak	4380.1561434635005
1219	sorry	4351.597668200495
1213	're	4330.178811753241
1208	might	4312.329764713862
1197	about	4273.061861227229
1164	subway	4155.25815076733
1134	'll	4048.163868531059
1095	've	3908.9413016239064
1059	#8	3780.4281629403804
1058	new	3776.8583535325047
1043	assist	3723.311212414369
1025	thanks	3659.0546430726063
1004	sandwich	3584.0886455072164
984	pepperoni	3512.692457349702
980	know	3498.4132197181993
944	from	3369.9000810346733
911	like	3252.096370574775
900	hi	3212.828467088142
884	are	3155.711516562131
881	let	3145.0020883385037
869	long	3102.164375443995
857	season	3059.3266625494866
846	now	3020.058759062854
831	subs	2966.5116179447177
824	up	2941.5229520895878
809	our	2887.975810971452
803	only	2866.556954524198
793	location	2830.8588604454408
792	12	2827.289051037565
787	great	2809.4400039981865
786	then	2805.870194590311
779	cali	2780.881528735181
777	last	2773.7419099194294
775	met	2766.602291103678
774	wrap	2763.0324816958023
772	rookie	2755.892862880051
765	beef	2730.904197024921
765	weather	2730.904197024921
765	#12	2730.904197024921
764	mostly	2727.334387617045
764	knows	2727.334387617045
764	rich	2727.334387617045
764	aioli	2727.334387617045
763	roast	2723.7645782091695
763	lure	2723.7645782091695
763	vampires	2723.7645782091695
763	strikes	2723.7645782091695
763	ways	2723.7645782091695
748	drop	2670.217437091034
747	be	2666.647627683158
745	at	2659.5080088674067
735	seem	2623.8099147886496
733	melted	2616.670295972898
732	mozzarella	2613.1004865650225
731	close	2609.530677157147
731	keeping	2609.530677157147
731	#11	2609.530677157147
731	bella	2609.530677157147
731	mozza	2609.530677157147
730	#5	2605.960867749271
729	competition	2602.3910583413954
728	fierce	2598.8212489335197
728	tame	2598.8212489335197
714	always	2548.8439172232593
709	life	2530.9948701838807
701	meats	2502.436394920875
701	another	2502.436394920875
700	mexicali	2498.8665855129993
698	supreme	2491.726966697248
697	#7	2488.157157289372
695	smashed	2481.017538473621
693	spicy	2473.8779196578694
691	#4	2466.738300842118
690	party	2463.1684914342422
690	lil	2463.1684914342422
690	quadruple	2463.1684914342422
690	threat	2463.1684914342422
690	salami	2463.1684914342422
689	reels	2459.5986820263665
689	unstoppable	2459.5986820263665
683	further	2438.1798255791123
663	details	2366.783637421598
635	n't	2266.828974001078
626	more	2234.700689330197
590	champ	2106.187550646671
589	style	2102.617741238795
586	american	2091.908313015168
586	ready	2091.908313015168
586	rotisserie	2091.908313015168
584	#9	2084.7686941994166
582	everything	2077.629075383665
581	#10	2074.0592659757895
580	veggies	2070.4894565679137
575	wins	2052.640409528535
575	humble	2052.640409528535
574	fight	2049.0706001206595
573	annoyingly	2045.5007907127838
561	store	2002.6630778182753
560	could	1999.0932684103996
544	or	1941.9763178843882
505	make	1802.7537509772353
497	baja	1774.1952757142296
482	who	1720.648134596094
480	trouble	1713.5085157803426
468	find	1670.6708028858338
467	does	1667.1009934779581
459	sauce	1638.5425182149525
455	thank	1624.2632805834496
454	there	1620.693471175574
451	ever	1609.9840429519468
448	chipotle	1599.2746147283196
447	had	1595.704805320444
446	most	1592.1349959125682
446	#1	1592.1349959125682
440	outlaw	1570.716139465314
438	#2	1563.5765206495626
434	approach	1549.2972830180597
434	caution	1549.2972830180597
434	drenched	1549.2972830180597
434	sliced	1549.2972830180597
416	hear	1485.0407136762967
400	hey	1427.9237631502854
366	order	1306.5502432825112
340	matter	1213.7351986777426
319	experience	1138.7692011123527
317	any	1131.6295822966013
312	boss	1113.7805352572227
307	monster	1095.9314882178442
303	its	1081.652250586341
303	#3	1081.652250586341
297	fear	1060.2333941390868
294	meatballs	1049.5239659154597
294	stacks	1049.5239659154597
293	gooey	1045.954156507584
293	respected	1045.954156507584
293	marinara	1045.954156507584
288	as	1028.1051094682055
286	help	1020.965490652454
270	not	963.8485401264427
265	team	945.9994930870641
256	issue	913.8712084161826
238	have	849.6146390744199
226	able	806.7769261799112
218	reach	778.2184509169056
217	better	774.6486415090299
216	restaurant	771.0788321011541
213	account	760.369403877527
209	experienced	746.0901662460241
208	do	742.5203568381484
205	what	731.8109286145212
202	reaching	721.1015003908941
201	if	717.5316909830184
188	frustration	671.1241686806342
185	love	660.414740457007
182	uk	649.7053122333799
181	'd	646.1355028255041
162	would	578.3091240758656
160	sub	571.1695052601142
159	footlong	567.5996958522385
158	here	564.0298864443628
157	app	560.4600770364871
157	into	560.4600770364871
153	them	546.1808394049841
153	inconvenience	546.1808394049841
151	by	539.0412205892327
148	just	528.3317923656056
143	see	510.482745326227
143	no	510.482745326227
139	form	496.2035076947242
138	get	492.63369828684847
138	assistance	492.63369828684847
135	their	481.92427006322134
135	information	481.92427006322134
134	directly	478.35446065534563
134	look	478.35446065534563
133	disappoint	474.7846512474699
130	mind	464.07522302384274
129	care	460.50541361596703
128	they	456.9356042080913
127	owned	453.3657948002156
122	sending	435.51674776083706
119	some	424.80731953720993
118	guest	421.23751012933417
113	feedback	403.3884630899556
113	page	403.3884630899556
109	individually	389.1092254584528
109	ordered	389.1092254584528
108	an	385.5394160505771
108	happened	385.5394160505771
107	operated	381.96960664270136
107	locations	381.96960664270136
103	try	367.69036901119847
102	best	364.12055960332276
101	under	360.55075019544705
100	one	356.98094078757134
99	fill	353.41113137969563
96	message	342.7017031560685
96	code	342.7017031560685
93	through	331.9922749324414
91	oh	324.85265611668996
90	appreciate	321.2828467088142
89	contact	317.7130373009385
88	apologize	314.1432278930628
86	how	307.00360907731135
85	sounds	303.43379966943564
84	issues	299.86399026155993
82	website	292.7243714458085
81	should	289.1545620379328
81	may	289.1545620379328
80	disappointment	285.5847526300571
80	discretion	285.5847526300571
79	menu	282.0149432221814
79	italian	282.0149432221814
76	touch	271.3055149985542
76	ask	271.3055149985542
75	shop	267.7357055906785
75	management	267.7357055906785
73	something	260.5960867749271
72	place	257.02627736705136
71	support	253.45646795917565
71	go	253.45646795917565
70	direct	249.88665855129994
70	want	249.88665855129994
70	coupons	249.88665855129994
69	submit	246.31684914342424
69	has	246.31684914342424
68	bread	242.74703973554853
68	participation	242.74703973554853
66	regarding	235.60742091979708
65	looks	232.03761151192137
65	where	232.03761151192137
64	promotions	228.46780210404566
64	responded	228.46780210404566
63	leave	224.89799269616995
62	webform	221.32818328829424
62	when	221.32818328829424
58	info	207.04894565679137
57	very	203.47913624891567
55	via	196.33951743316425
54	stores	192.76970802528854
54	jack	192.76970802528854
53	proper	189.19989861741283
53	visited	189.19989861741283
52	owner	185.6300892095371
52	follow	185.6300892095371
52	sure	185.6300892095371
52	unable	185.6300892095371
51	each	182.06027980166138
51	name	182.06027980166138
51	did	182.06027980166138
51	think	182.06027980166138
51	received	182.06027980166138
50	were	178.49047039378567
50	since	178.49047039378567
49	was	174.92066098590996
49	india	174.92066098590996
48	take	171.35085157803425
48	day	171.35085157803425
47	use	167.78104217015854
47	been	167.78104217015854
47	way	167.78104217015854
46	_	164.21123276228283
46	agree	164.21123276228283
46	number	164.21123276228283
45	link	160.6414233544071
45	right	160.6414233544071
45	hello	160.6414233544071
44	web	157.0716139465314
44	too	157.0716139465314
43	happen	153.50180453865568
43	surprise	153.50180453865568
43	say	153.50180453865568
43	game	153.50180453865568
42	concerns	149.93199513077997
42	really	149.93199513077997
42	lunch	149.93199513077997
42	taken	149.93199513077997
42	product	149.93199513077997
42	cool	149.93199513077997
42	sweet	149.93199513077997
42	hate	149.93199513077997
41	work	146.36218572290426
41	confusion	146.36218572290426
40	somm	142.79237631502855
40	cookies	142.79237631502855
40	suggestion	142.79237631502855
40	post	142.79237631502855
40	herb	142.79237631502855
39	again	139.22256690715284
38	got	135.6527574992771
38	today	135.6527574992771
38	approve	135.6527574992771
38	other	135.6527574992771
38	bringing	135.6527574992771
38	attention	135.6527574992771
38	these	135.6527574992771
37	happy	132.0829480914014
37	glad	132.0829480914014
37	free	132.0829480914014
36	fresh	128.51313868352568
36	enjoy	128.51313868352568
36	suggest	128.51313868352568
36	request	128.51313868352568
35	delicious	124.94332927564997
35	yikes	124.94332927564997
35	possibly	124.94332927564997
35	upcoming	124.94332927564997
35	discontinued	124.94332927564997
34	along	121.37351986777426
34	yes	121.37351986777426
34	wait	121.37351986777426
34	feature	121.37351986777426
34	marketing	121.37351986777426
34	campaign	121.37351986777426
34	replying	121.37351986777426
34	#yessubway	121.37351986777426
34	t&c	121.37351986777426
34	back	121.37351986777426
34	definitely	121.37351986777426
33	looking	117.80371045989854
33	repost	117.80371045989854
33	little	117.80371045989854
33	introducing	117.80371045989854
32	real	114.23390105202283
32	never	114.23390105202283
32	located	114.23390105202283
31	i	110.66409164414712
31	standard	110.66409164414712
