FREQ	WORD	FPM	EXTRA
564	:loudly_crying_face:	962.8204493503523	😭
563	:face_with_tears_of_joy:	961.1133208940573	😂
426	:triangular_flag:	727.2367223816491	🚩
391	:rolling_on_the_floor_laughing:	667.4872264113258	🤣
294	:Ukraine:	501.89576615071553	🇺🇦
285	:fire:	486.531610044061	🔥
242	:face_vomiting:	413.1250864233781	🤮
239	:enraged_face:	408.00370105449326	😡
210	:face_with_symbols_on_mouth:	358.49697582193966	🤬
187	:weary_face:	319.2330213271558	😩
174	:nauseated_face:	297.04035139532147	🤢
173	:red_heart:	295.3332229390265	❤️
150	:face_savoring_food:	256.0692684442426	😋
140	:eyes:	238.99798388129312	👀
138	:thinking_face:	235.58372696870322	🤔
122	:pleading_face:	208.269671667984	🥺
119	:face_with_rolling_eyes:	203.14828629909914	🙄
118	:unamused_face:	201.4411578428042	😒
110	:thumbs_up:	187.7841301924446	👍
109	:drooling_face:	186.07700173614964	🤤
100	:thumbs_down:	170.7128456294951	👎
93	:sandwich:	158.76294643543042	🥪
92	:check_mark_button:	157.05581797913547	✅
88	:folded_hands:	150.22730415395569	🙏
78	:hundred_points:	133.15601959100616	💯
78	:beaming_face_with_smiling_eyes:	133.15601959100616	😁
72	:smiling_face_with_heart-eyes:	122.91324885323645	😍
68	:pensive_face:	116.08473502805666	😔
68	:broken_heart:	116.08473502805666	💔
67	:skull:	114.3776065717617	💀
64	:baguette_bread:	109.25622120287686	🥖
63	:smiling_face_with_sunglasses:	107.5490927465819	😎
62	:face_with_steam_from_nose:	105.84196429028695	😤
59	:crying_face:	100.7205789214021	😢
57	:woozy_face:	97.3063220088122	🥴
53	:middle_finger:	90.47780818363239	🖕
53	:face_with_raised_eyebrow:	90.47780818363239	🤨
53	:tired_face:	90.47780818363239	😫
53	:smiling_face_with_smiling_eyes:	90.47780818363239	😊
51	:cookie:	87.0635512710425	🍪
50	:pile_of_poo:	85.35642281474755	💩
48	:smiling_face_with_hearts:	81.94216590215764	🥰
46	:backhand_index_pointing_down:	78.52790898956773	👇
46	:flushed_face:	78.52790898956773	😳
45	:winking_face:	76.82078053327278	😉
44	:grinning_face_with_sweat:	75.11365207697784	😅
44	:green_heart:	75.11365207697784	💚
43	:money_bag:	73.40652362068289	💰
43	:upside-down_face:	73.40652362068289	🙃
41	:rocket:	69.99226670809298	🚀
39	:flexed_biceps:	66.57800979550308	💪
39	:neutral_face:	66.57800979550308	😐
38	:frowning_face:	64.87088133920813	☹️
36	:disappointed_face:	61.45662442661823	😞
36	:face_with_monocle:	61.45662442661823	🧐
35	:smiling_face_with_tear:	59.74949597032328	🥲
32	:expressionless_face:	54.62811060143843	😑
31	:smirking_face:	52.920982145143476	😏
30	:yellow_heart:	51.21385368884852	💛
28	:smiling_face:	47.799596776258625	☺️
28	:grinning_face:	47.799596776258625	😀
27	:party_popper:	46.09246831996367	🎉
27	:Russia:	46.09246831996367	🇷🇺
26	:raising_hands:	44.38533986366872	🙌
26	:clapping_hands:	44.38533986366872	👏
25	:confused_face:	42.67821140737377	😕
25	:cheese_wedge:	42.67821140737377	🧀
25	:folded_hands_light_skin_tone:	42.67821140737377	🙏🏻
24	:slightly_smiling_face:	40.97108295107882	🙂
24	:thumbs_down_light_skin_tone:	40.97108295107882	👎🏻
24	:exploding_head:	40.97108295107882	🤯
23	:american_football:	39.26395449478387	🏈
23	:angry_face:	39.26395449478387	😠
23	:grinning_squinting_face:	39.26395449478387	😆
23	:OK_hand:	39.26395449478387	👌
23	:waving_hand:	39.26395449478387	👋
22	:clown_face:	37.55682603848892	🤡
22	:blue_heart:	37.55682603848892	💙
21	:star-struck:	35.84969758219397	🤩
21	:sparkles:	35.84969758219397	✨
21	:black_large_square:	35.84969758219397	⬛
21	:skull_and_crossbones:	35.84969758219397	☠️
20	:man_facepalming:	34.142569125899016	🤦‍♂️
20	:man_shrugging:	34.142569125899016	🤷‍♂️
20	:leafy_green:	34.142569125899016	🥬
20	:sleepy_face:	34.142569125899016	😪
20	:folded_hands_medium-light_skin_tone:	34.142569125899016	🙏🏼
20	:raised_hand:	34.142569125899016	✋
20	:peanuts:	34.142569125899016	🥜
19	:woman_shrugging:	32.43544066960406	🤷‍♀️
19	:tomato:	32.43544066960406	🍅
19	:woman_facepalming_light_skin_tone:	32.43544066960406	🤦🏻‍♀️
19	:man_facepalming_light_skin_tone:	32.43544066960406	🤦🏻‍♂️
19	:grinning_face_with_big_eyes:	32.43544066960406	😃
19	:sad_but_relieved_face:	32.43544066960406	😥
19	:two_hearts:	32.43544066960406	💕
19	:handshake:	32.43544066960406	🤝
19	:face_holding_back_tears:	32.43544066960406	🥹
18	:face_blowing_a_kiss:	30.728312213309113	😘
17	:goat:	29.021183757014164	🐐
17	:man_facepalming_medium_skin_tone:	29.021183757014164	🤦🏽‍♂️
17	:backhand_index_pointing_right:	29.021183757014164	👉
17	:bacon:	29.021183757014164	🥓
17	:seedling:	29.021183757014164	🌱
16	:woman_shrugging_light_skin_tone:	27.314055300719215	🤷🏻‍♀️
16	:smiling_face_with_horns:	27.314055300719215	😈
16	:growing_heart:	27.314055300719215	💗
16	:face_screaming_in_fear:	27.314055300719215	😱
16	:thumbs_down_medium-light_skin_tone:	27.314055300719215	👎🏼
16	:grimacing_face:	27.314055300719215	😬
16	:face_with_hand_over_mouth:	27.314055300719215	🤭
15	:wastebasket:	25.60692684442426	🗑️
15	:folded_hands_medium_skin_tone:	25.60692684442426	🙏🏽
15	:zany_face:	25.60692684442426	🤪
15	:registered:	25.60692684442426	®️
15	:squinting_face_with_tongue:	25.60692684442426	😝
15	:thumbs_up_light_skin_tone:	25.60692684442426	👍🏻
15	:new_moon:	25.60692684442426	🌑
14	:worried_face:	23.899798388129312	😟
14	:man_shrugging_light_skin_tone:	23.899798388129312	🤷🏻‍♂️
14	:middle_finger_light_skin_tone:	23.899798388129312	🖕🏻
14	:eggplant:	23.899798388129312	🍆
14	:United_States:	23.899798388129312	🇺🇸
14	:winking_face_with_tongue:	23.899798388129312	😜
14	:cucumber:	23.899798388129312	🥒
14	:collision:	23.899798388129312	💥
14	:man_facepalming_medium-dark_skin_tone:	23.899798388129312	🤦🏾‍♂️
14	:victory_hand:	23.899798388129312	✌️
14	:eye:	23.899798388129312	👁️
14	:gem_stone:	23.899798388129312	💎
14	:red_exclamation_mark:	23.899798388129312	❗
13	:face_exhaling:	22.19266993183436	😮‍💨
13	:thumbs_up_medium-light_skin_tone:	22.19266993183436	👍🏼
13	:see-no-evil_monkey:	22.19266993183436	🙈
13	:middle_finger_medium-light_skin_tone:	22.19266993183436	🖕🏼
13	:poultry_leg:	22.19266993183436	🍗
13	:pizza:	22.19266993183436	🍕
13	:hot_pepper:	22.19266993183436	🌶️
13	:smiling_face_with_open_hands:	22.19266993183436	🤗
13	:melting_face:	22.19266993183436	🫠
13	:speaking_head:	22.19266993183436	🗣️
12	:prohibited:	20.48554147553941	🚫
12	:trade_mark:	20.48554147553941	™️
12	:hot_face:	20.48554147553941	🥵
12	:purple_heart:	20.48554147553941	💜
12	:soccer_ball:	20.48554147553941	⚽
11	:stop_sign:	18.77841301924446	🛑
11	:green_salad:	18.77841301924446	🥗
11	:avocado:	18.77841301924446	🥑
11	:heart_with_arrow:	18.77841301924446	💘
11	:cut_of_meat:	18.77841301924446	🥩
11	:woman_shrugging_medium_skin_tone:	18.77841301924446	🤷🏽‍♀️
11	:clapping_hands_medium-light_skin_tone:	18.77841301924446	👏🏼
10	:folded_hands_medium-dark_skin_tone:	17.071284562949508	🙏🏾
10	:meat_on_bone:	17.071284562949508	🍖
10	:grinning_face_with_smiling_eyes:	17.071284562949508	😄
10	:ghost:	17.071284562949508	👻
10	:partying_face:	17.071284562949508	🥳
10	:sparkling_heart:	17.071284562949508	💖
10	:persevering_face:	17.071284562949508	😣
10	:downcast_face_with_sweat:	17.071284562949508	😓
10	:face_with_medical_mask:	17.071284562949508	😷
10	:turkey:	17.071284562949508	🦃
10	:billed_cap:	17.071284562949508	🧢
10	:star:	17.071284562949508	⭐
10	:Niger:	17.071284562949508	🇳🇪
10	:bikini:	17.071284562949508	👙
10	:lotion_bottle:	17.071284562949508	🧴
9	:cat_with_tears_of_joy:	15.364156106654557	😹
9	:sweat_droplets:	15.364156106654557	💦
9	:musical_notes:	15.364156106654557	🎶
9	:heart_suit:	15.364156106654557	♥️
9	:backhand_index_pointing_left:	15.364156106654557	👈
9	:slightly_frowning_face:	15.364156106654557	🙁
9	:sunflower:	15.364156106654557	🌻
9	:middle_finger_medium_skin_tone:	15.364156106654557	🖕🏽
9	:relieved_face:	15.364156106654557	😌
9	:metro:	15.364156106654557	🚇
9	:chicken:	15.364156106654557	🐔
9	:heavy_dollar_sign:	15.364156106654557	💲
9	:drop_of_blood:	15.364156106654557	🩸
9	:raised_back_of_hand:	15.364156106654557	🤚
9	:beating_heart:	15.364156106654557	💓
9	:hand_with_fingers_splayed:	15.364156106654557	🖐️
8	:woman_facepalming_medium_skin_tone:	13.657027650359607	🤦🏽‍♀️
8	:double_exclamation_mark:	13.657027650359607	‼️
8	:black_heart:	13.657027650359607	🖤
8	:video_game:	13.657027650359607	🎮
8	:ogre:	13.657027650359607	👹
8	:man_facepalming_medium-light_skin_tone:	13.657027650359607	🤦🏼‍♂️
8	:woman_shrugging_medium-light_skin_tone:	13.657027650359607	🤷🏼‍♀️
8	:woman_facepalming_medium-dark_skin_tone:	13.657027650359607	🤦🏾‍♀️
8	:crossed_fingers:	13.657027650359607	🤞
8	:bread:	13.657027650359607	🍞
8	:hot_dog:	13.657027650359607	🌭
8	:hamburger:	13.657027650359607	🍔
8	:confounded_face:	13.657027650359607	😖
8	:heart_hands_medium-light_skin_tone:	13.657027650359607	🫶🏼
8	:saluting_face:	13.657027650359607	🫡
7	:man_shrugging_medium-dark_skin_tone:	11.949899194064656	🤷🏾‍♂️
7	:dog:	11.949899194064656	🐕
7	:woman_facepalming_medium-light_skin_tone:	11.949899194064656	🤦🏼‍♀️
7	:oncoming_fist:	11.949899194064656	👊
7	:brain:	11.949899194064656	🧠
7	:musical_note:	11.949899194064656	🎵
7	:woman_raising_hand_light_skin_tone:	11.949899194064656	🙋🏻‍♀️
7	:man_shrugging_medium_skin_tone:	11.949899194064656	🤷🏽‍♂️
7	:warning:	11.949899194064656	⚠️
7	:backhand_index_pointing_down_light_skin_tone:	11.949899194064656	👇🏻
7	:sneezing_face:	11.949899194064656	🤧
7	:raising_hands_medium-dark_skin_tone:	11.949899194064656	🙌🏾
7	:white_heart:	11.949899194064656	🤍
7	:sign_of_the_horns:	11.949899194064656	🤘
7	:Italy:	11.949899194064656	🇮🇹
7	:onion:	11.949899194064656	🧅
6	:pretzel:	10.242770737769705	🥨
6	:chocolate_bar:	10.242770737769705	🍫
6	:bug:	10.242770737769705	🐛
6	:victory_hand_light_skin_tone:	10.242770737769705	✌🏻
6	:sleeping_face:	10.242770737769705	😴
6	:exclamation_question_mark:	10.242770737769705	⁉️
6	:woman_facepalming:	10.242770737769705	🤦‍♀️
6	:old_man_dark_skin_tone:	10.242770737769705	👴🏿
6	:kiss_mark:	10.242770737769705	💋
6	:raised_fist:	10.242770737769705	✊
6	:face_with_spiral_eyes:	10.242770737769705	😵‍💫
6	:clapping_hands_light_skin_tone:	10.242770737769705	👏🏻
6	:burrito:	10.242770737769705	🌯
6	:bomb:	10.242770737769705	💣
6	:crossed_fingers_medium-light_skin_tone:	10.242770737769705	🤞🏼
6	:stuffed_flatbread:	10.242770737769705	🥙
6	:hourglass_not_done:	10.242770737769705	⏳
6	:fish:	10.242770737769705	🐟
6	:pinched_fingers:	10.242770737769705	🤌
6	:anxious_face_with_sweat:	10.242770737769705	😰
6	:bison:	10.242770737769705	🦬
6	:heart_hands:	10.242770737769705	🫶
6	:drum:	10.242770737769705	🥁
