FREQ	WORD	FPM
19010	the	32452.511954167014
16586	i	28314.432576108054
13736	to	23449.116475667444
11660	a	19905.117800399126
11538	you	19696.848128731144
11459	and	19561.984980683843
7539	your	12870.041432007634
7533	is	12859.798661269864
7245	in	12368.145665856919
6907	it	11791.136247629225
6673	of	11391.668188856207
6551	for	11183.398517188223
6336	my	10816.365899084809
5779	subway	9865.495348928522
5600	n't	9559.919355251724
4675	this	7980.825533178895
4540	that	7750.363191579077
4462	on	7617.2071719880705
4264	do	7279.19573764167
4057	me	6925.820147188616
3828	's	6534.887730697072
3806	not	6497.330904658583
3645	have	6222.483223195096
3480	was	5940.807027906429
3367	are	5747.901512345099
3249	all	5546.460354502296
3247	with	5543.046097589705
3014	they	5145.285167272982
2953	get	5041.15033143899
2773	back	4733.8672093058985
2713	no	4631.439501928202
2703	at	4614.368217365252
2609	order	4453.898142473527
2480	what	4233.678571611478
2397	be	4091.986909738997
2382	why	4066.379982894573
2344	sandwich	4001.509101555365
2305	just	3934.931091759862
2285	but	3900.7885226339627
2141	can	3654.96202492749
2102	so	3588.3840151319864
1949	from	3327.193361318859
1928	out	3291.3436637366653
1918	when	3274.2723791737158
1909	store	3258.908223067061
1902	please	3246.9583238729965
1833	app	3129.1664603886447
1821	one	3108.6809189131054
1784	how	3045.517166030192
1709	like	2917.482531808071
1639	if	2797.9835398674245
1623	sub	2770.6694845667053
1601	we	2733.1126585282163
1576	did	2690.4344471208424
1563	an	2668.241777189008
1562	russia	2666.5346487327133
1550	or	2646.049107257174
1548	up	2642.634850344584
1495	bring	2552.1570421609513
1460	there	2492.407546190628
1444	as	2465.093490889909
1438	got	2454.8507201521393
1396	food	2383.151324987751
1389	'm	2371.2014257936867
1388	now	2369.494297337392
1360	will	2321.6947005611332
1358	would	2318.280443648543
1328	about	2267.0665899596947
1231	still	2101.4751296990844
1225	make	2091.2323589613147
1221	better	2084.403845136135
1212	bread	2069.0396890294805
1190	them	2031.4828629909914
1189	had	2029.7757345346965
1139	stop	1944.419311719949
1135	never	1937.5907978947691
1113	ca	1900.0339718562802
1108	sauce	1891.4983295748054
1096	y'	1871.0127880992661
1079	sandwiches	1841.991604342252
1074	time	1833.4559620607772
1066	go	1819.7989344104176
1047	has	1787.3634937408135
1017	their	1736.149640051965
1012	need	1727.6139977704902
1002	customer	1710.5427132075408
967	ordered	1650.7932172372175
966	been	1649.0860887809224
960	even	1638.8433180431527
954	does	1628.600547305383
950	new	1621.7720334802034
950	money	1621.7720334802034
941	eat	1606.4078773735487
928	only	1584.2152074417143
909	want	1551.7797667721104
909	chicken	1551.7797667721104
907	cheese	1548.3655098595204
884	guys	1509.1015553647364
873	way	1490.323142345492
850	should	1451.0591878507082
849	good	1449.3520593944133
846	've	1444.2306740255283
843	service	1439.1092886566435
838	more	1430.573646375169
829	subs	1415.2094902685142
823	because	1404.9667195307445
800	know	1365.7027650359607
795	going	1357.167122754486
795	any	1357.167122754486
793	sweet	1353.752865841896
778	online	1328.1459389974718
774	who	1321.317425172292
769	people	1312.781782890817
767	then	1309.3675259782274
755	onion	1288.8819845026878
747	by	1275.2249568523282
740	love	1263.2750576582637
735	2	1254.7394153767889
729	free	1244.4966446390192
724	again	1235.9610023575444
713	give	1217.1825893383
710	some	1212.0612039694151
704	business	1201.8184332316455
695	today	1186.4542771249908
692	're	1181.332891756106
672	she	1147.190322630207
658	really	1123.2905242420777
656	footlong	1119.8762673294877
651	employees	1111.340625048013
650	#subway	1109.633496591718
647	could	1104.5121112228333
646	am	1102.8049827665382
645	support	1101.0978543102433
641	stores	1094.2693404850634
640	her	1092.5622120287685
638	help	1089.1479551161785
622	he	1061.8338998154595
620	coupons	1058.4196429028696
614	off	1048.1768721651
614	very	1048.1768721651
612	long	1044.76261525251
612	over	1044.76261525251
610	customers	1041.34835833992
609	after	1039.641229883625
598	take	1020.8628168643806
597	right	1019.1556884080857
594	ever	1014.0343030392008
589	were	1005.498660757726
587	meat	1002.0844038451361
584	location	996.9630184762512
577	someone	985.0131192821866
572	here	976.4774770007119
559	our	954.2848070688775
557	refund	950.8705501562877
556	said	949.1634216999927
551	menu	940.6277794185179
549	use	937.213522505928
544	went	928.6778802244532
525	5	896.2424395548492
