FREQ	WORD	FPM
62053	the	41076.176902999374
43602	i	28862.47990144842
31224	to	20668.824192533037
28006	a	18538.6590550884
27952	and	18502.913586653965
27273	you	18053.44741874691
21833	back	14452.422450537208
20965	it	13877.847143109631
18073	is	11963.478722509913
16705	my	11057.92685550424
15790	for	10452.239751476322
15656	taco	10363.53803350939
14722	of	9745.273820217504
14559	in	9637.375461795045
14306	bring	9469.901322648528
13042	n't	8633.192580035096
12498	this	8273.090083214127
11834	your	7833.553212094413
10671	's	7063.701734515758
10658	on	7055.0963439667275
10554	that	6986.253219574483
9896	me	6550.688067169707
9717	do	6432.198458840748
9581	bell	6342.172834635506
9298	all	6154.840101914302
9088	mexican	6015.829946891501
8937	have	5915.875025898916
8781	pizza	5812.6103393105495
8094	with	5357.848546450244
8008	get	5300.92057820281
7870	was	5209.571047759256
7768	are	5142.051829605323
7615	they	5040.773002374426
7572	please	5012.309018250709
7558	not	5003.041674582522
7226	order	4783.273239022666
6948	but	4599.250271897244
6642	at	4396.692617435448
6525	we	4319.244102494174
6456	just	4273.569337272395
6415	what	4246.429259386991
6357	can	4208.035978475932
6344	be	4199.430587926902
6089	burrito	4030.632542542072
5894	so	3901.551684306614
5760	when	3812.8499663396838
5490	no	3634.1226241675113
5153	why	3411.0444230118733
5133	how	3397.8053606287494
5124	like	3391.8477825563436
5116	chicken	3386.552157603094
5093	out	3371.3272358625018
4823	menu	3192.5998936903293
4780	up	3164.1359095666126
4763	nacho	3152.8827065409573
4577	fries	3029.759426377905
4529	if	2997.9856766584076
4528	'm	2997.3237235392517
4507	tacos	2983.4227080369715
4434	one	2935.100130338569
4332	food	2867.5809121846373
4259	now	2819.258334486235
4154	app	2749.7532569748346
4111	got	2721.2892728511183
3936	y'	2605.447476998784
3927	or	2599.4898989263784
3838	#giveaway	2540.576071321477
3836	sauce	2539.2521650831645
3819	cheese	2527.9989620575093
3810	#ibroughtbackthemexicanpizza	2522.0413839851035
3806	time	2519.3935715084785
3773	about	2497.549118576324
3684	them	2438.635290971423
3605	make	2386.3409945580834
3522	did	2331.3988856681194
3512	from	2324.7793544765573
3441	need	2277.7806830164673
3348	would	2216.219042934941
3331	there	2204.965839909286
3215	want	2128.1792780871674
3198	an	2116.926075061512
2954	had	1955.4095139874005
2941	only	1946.8041234383697
2782	will	1841.5535774925347
2779	ca	1839.5677181350663
2726	been	1804.484202819788
2703	as	1789.2592810791955
2664	love	1763.4431094321037
2524	go	1670.7696727502364
2398	store	1587.363579736556
2389	drive	1581.4060016641502
2377	never	1573.4625642342758
2328	2	1541.0268613956223
2220	've	1469.5359245267532
2206	good	1460.2685808585663
2202	know	1457.6207683819416
2192	should	1451.0012371903797
2185	give	1446.3675653562864
2171	more	1437.1002216880995
2170	has	1436.4382685689434
2165	double	1433.1285029731625
2165	're	1433.1285029731625
2155	because	1426.5089717816004
2147	volcano	1421.213346828351
2146	even	1420.5513937091948
2070	then	1370.242956653324
2060	guys	1363.623425461762
2055	location	1360.313659865981
2023	still	1339.1311600529828
2023	some	1339.1311600529828
2016	does	1334.4974882188894
2003	going	1325.892097669859
1971	day	1304.7095978568607
1929	again	1276.9075668523003
1910	really	1264.3304575883326
1896	people	1255.063113920146
1881	were	1245.133817132803
1850	where	1224.613270438961
1836	us	1215.3459267707742
1817	could	1202.7688175068065
1814	ordered	1200.782958149338
1774	better	1174.3048333830902
1750	new	1158.4179585233414
1737	take	1149.812567974311
1721	am	1139.2213180678118
1719	thru	1137.8974118294993
1682	ever	1113.4051464207203
1671	their	1106.123662110002
1650	eat	1092.222646607722
1622	off	1073.6879592713485
1594	grilled	1055.153271934975
1550	here	1026.0273346921024
1545	every	1022.7175690963214
1542	thank	1020.7317097388528
1540	3	1019.4078035005405
1537	decker	1017.4219441430719
1537	stop	1017.4219441430719
1534	too	1015.4360847856033
1520	right	1006.1687411174166
1519	come	1005.5067879982604
1500	after	992.9296787342927
1495	'll	989.6199131385117
1477	through	977.7047569937002
1476	away	977.042803874544
1464	he	969.0993664446696
1460	burritos	966.4515539680449
1443	breakfast	955.1983509423895
1429	baja	945.9310072742028
1428	who	945.2690541550467
1428	these	945.2690541550467
1390	by	920.1148356271112
1390	#tacobell	920.1148356271112
1389	she	919.452882507955
1385	always	916.8050700313303
1385	items	916.8050700313303
1377	bringing	911.5094450780807
1373	crunch	908.8616326014559
1367	any	904.8899138865187
1364	put	902.9040545290502
1345	item	890.3269452650825
1339	service	886.3552265501453
1327	let	878.4117891202709
1321	beef	874.4400704053337
1316	way	871.1303048095527
1307	thing	865.1727267371471
1299	our	859.8771017838975
1295	wings	857.2292893072727
1287	money	851.9336643540231
1286	getting	851.2717112348669
1283	over	849.2858518773984
1282	5	848.6238987582421
1266	free	838.032648851743
1265	employees	837.3706957325868
1265	keep	837.3706957325868
1246	thanks	824.7935864686191
1241	much	821.4838208728381
1228	today	812.8784303238076
1225	chalupa	810.892570966339
1214	u	803.6110866556209
1209	open	800.3013210598399
1209	customer	800.3013210598399
1202	help	795.6676492257466
1190	meat	787.7242117958722
1189	said	787.0622586767159
1179	since	780.442727485154
1173	than	776.4710087702168
1168	went	773.1612431744359
1153	best	763.231946387093
1145	also	757.9363214338434
1133	her	749.992884003969
1129	two	747.3450715273443
1121	wrong	742.0494465740948
1119	something	740.7255403357823
1117	shit	739.4016340974699
1116	blast	738.7396809783138
1114	last	737.4157747400013
1111	see	735.4299153825327
1101	think	728.8103841909708
1094	made	724.1767123568775
1086	wait	718.8810874036279
1083	told	716.8952280461593
1082	coming	716.2332749270031
1073	orders	710.2756968545974
1062	enchirito	702.9942125438793
1058	chili	700.3464000672544
1053	closed	697.0366344714735
1051	work	695.7127282331611
1039	refund	687.7692908032867
1038	1	687.1073376841306
1037	supreme	686.4453845649743
1034	down	684.4595252075057
1028	pizzas	680.4878064925686
1019	being	674.5302284201629
1019	say	674.5302284201629
1017	very	673.2063221818504
1008	hot	667.2487441094447
998	needs	660.6292129178827
997	'd	659.9672597987266
983	cheesy	650.6999161305398
978	those	647.3901505347588
976	well	646.0662442964465
972	beefy	643.4184318198216
965	box	638.7847599857283
962	first	636.7989006282597
954	steak	631.5032756750102
949	tell	628.1935100792292
947	fuck	626.8696038409167
946	gon	626.2076507217606
945	quesadilla	625.5456976026044
944	already	624.8837444834481
940	rid	622.2359320068234
936	na	619.5881195301986
934	shredded	618.2642132918862
934	doritos	618.2642132918862
928	hey	614.292494576949
920	#frieschallenge	608.9968696236995
916	minutes	606.3490571470747
905	crunchwrap	599.0675728363566
892	great	590.4621822873261
887	someone	587.1524166915451
882	until	583.842651095764
878	times	581.1948386191393
876	online	579.870932380827
873	use	577.8850730233584
870	#mexicanpizza	575.8992136658898
869	lol	575.2372605467335
868	mobile	574.5753074275774
859	y	568.6177293551716
858	before	567.9557762360154
858	damn	567.9557762360154
856	waiting	566.631869997703
854	apple	565.3079637593906
853	lava	564.6460106402344
849	literally	561.9981981636097
845	pls	559.3503856869849
844	took	558.6884325678287
839	next	555.3786669720477
835	tried	552.7308544954229
833	spicy	551.4069482571106
833	nt	551.4069482571106
828	place	548.0971826613296
824	10	545.4493701847048
823	wtf	544.7874170655485
822	same	544.1254639463924
821	days	543.4635108272362
818	4	541.4776514697676
817	line	540.8156983506115
