FREQ	WORD	FPM	EXTRA
198	:registered:	1371.4380705667224	®️
114	:sparkles:	789.6158588111433	✨
76	:tennis:	526.4105725407621	🎾
45	:high_voltage:	311.69047058334604	⚡
36	:check_mark:	249.35237646667682	✔️
30	:owl:	207.793647055564	🦉
28	:kiss_mark:	193.94073725185976	💋
24	:fire:	166.23491764445123	🔥
23	:clinking_beer_mugs:	159.3084627425991	🍻
17	:rocket:	117.74973333148628	🚀
15	:purple_heart:	103.896823527782	💜
15	:hot_face:	103.896823527782	🥵
14	:woman_dancing:	96.97036862592988	💃
13	:white_large_square:	90.04391372407774	⬜
12	:locomotive:	83.11745882222561	🚂
12	:footprints:	83.11745882222561	👣
12	:dragon:	83.11745882222561	🐉
10	:unamused_face:	69.26454901852134	😒
6	:collision:	41.55872941111281	💥
6	:handshake:	41.55872941111281	🤝
6	:pie:	41.55872941111281	🥧
6	:pill:	41.55872941111281	💊
6	:raising_hands:	41.55872941111281	🙌
6	:victory_hand:	41.55872941111281	✌️
6	:black_large_square:	41.55872941111281	⬛
5	:cocktail_glass:	34.63227450926067	🍸
5	:robot:	34.63227450926067	🤖
4	:ghost:	27.705819607408536	👻
4	:musical_notes:	27.705819607408536	🎶
3	:check_box_with_check:	20.779364705556404	☑️
3	:check_mark_button:	20.779364705556404	✅
3	:dizzy:	20.779364705556404	💫
3	:party_popper:	20.779364705556404	🎉
3	:dove:	20.779364705556404	🕊️
3	:prohibited:	20.779364705556404	🚫
3	:four_leaf_clover:	20.779364705556404	🍀
2	:clapping_hands:	13.852909803704268	👏
2	:Santa_Claus:	13.852909803704268	🎅
2	:down_arrow:	13.852909803704268	⬇️
2	:pinched_fingers:	13.852909803704268	🤌
2	:eyes:	13.852909803704268	👀
2	:sparkling_heart:	13.852909803704268	💖
2	:A_button_(blood_type):	13.852909803704268	🅰️
1	:smiling_face_with_heart-eyes:	6.926454901852134	😍
1	:woman_dancing_medium_skin_tone:	6.926454901852134	💃🏽
1	:man_dancing_medium_skin_tone:	6.926454901852134	🕺🏽
1	:warning:	6.926454901852134	⚠️
1	:crown:	6.926454901852134	👑
1	:shushing_face:	6.926454901852134	🤫
1	:grinning_face_with_sweat:	6.926454901852134	😅
1	:waving_hand:	6.926454901852134	👋
1	:right_arrow_curving_down:	6.926454901852134	⤵️
1	:bat:	6.926454901852134	🦇
1	:broken_heart:	6.926454901852134	💔
1	:folded_hands:	6.926454901852134	🙏
1	:red_heart:	6.926454901852134	❤️
1	:woman_light_skin_tone:	6.926454901852134	👩🏻
1	:bathtub:	6.926454901852134	🛁
1	:exploding_head:	6.926454901852134	🤯
1	:bottle_with_popping_cork:	6.926454901852134	🍾
1	:magnifying_glass_tilted_left:	6.926454901852134	🔍
1	:Colombia:	6.926454901852134	🇨🇴
1	:ballot_box_with_ballot:	6.926454901852134	🗳️
1	:pirate_flag:	6.926454901852134	🏴‍☠️
1	:smiling_face_with_tear:	6.926454901852134	🥲
1	:nail_polish:	6.926454901852134	💅
1	:backhand_index_pointing_down:	6.926454901852134	👇
1	:camera_with_flash:	6.926454901852134	📸
1	:trade_mark:	6.926454901852134	™️
1	:movie_camera:	6.926454901852134	🎥
1	:glasses:	6.926454901852134	👓
1	:castle:	6.926454901852134	🏰
1	:police_car_light:	6.926454901852134	🚨
1	:strawberry:	6.926454901852134	🍓
